LoanRange,BusinessName,Address,JobsRetained,long,lat
$1-2 million,SUNBIT INC,10940 WILSHIRE BLVD STE 1850,,-118.4452,34.05822
"$350,000-1 million","A MI JAPANESE RESTAURANT, INC",1051 BROXTON AVE,59,-118.44651,34.061561
"$350,000-1 million","AD.NET, INC.",1100 GLENDON AVE Suite 1200,27,-118.44418,34.06074
"$350,000-1 million","ARIXA CAPITAL ADVISORS, LLC",10960 WILSHIRE BLVD,23,-118.445973,34.057997
"$350,000-1 million",BACKSTAGE EMPLOYMENT & REFERRAL INC.,c/o T&L 10866 Wilshire Blvd. Ste 1100,54,-118.42,34.06
"$350,000-1 million","BEMEL, ROSS & AVEDON LLP",10880 WILSHIRE BLVD Suite 1000,26,-118.44283,34.05885
"$350,000-1 million","BERGMAN DACEY GOLDSMITH, A PROFESSIONAL LAW CORPORATION",10880 WILSHIRE BLVD,20,-118.44283,34.05885
"$350,000-1 million",CAPPELLO GLOBAL LLC,"10990 Wilshire Blvd., Suite 1200",60,-118.44711,34.0577
"$350,000-1 million","CLEMENTINE FOODS, LLC",1751 Ensley Avenue,75,-118.420874,34.060289
"$350,000-1 million",COUNTRY CLUB HOTEL LLC,10850 Wilshire Blvd,80,-118.441394,34.059227
"$350,000-1 million","DE CASTRO, WEST, CHODOROW, MENDLER & GLICKFELD, INC.",10960 WILSHIRE BLVD STE 1400,25,-118.445973,34.057997
"$350,000-1 million",FORD E C INC,10850 WILSHIRE BLVD. SUITE 380,,-118.441394,34.059227
"$350,000-1 million","FRANTIC, INC",10990 WILSHIRE BLVD FL 8,23,-118.44711,34.0577
"$350,000-1 million","FRESH CORN GRILL, INC.",1266 WESTWOOD BLVD,0,-118.44313,34.05781
"$350,000-1 million",FRESHLUNCHES INC,1738 kelton ave,85,-118.440281,34.050785
"$350,000-1 million","GAME PLAY NETWORK, INC","10866 Wilshire Blvd, Suite 700",37,-118.442,34.05907
"$350,000-1 million","GEFFEN PLAYHOUSE, INC.",10886 LE CONTE AVE,69,-118.44437,34.06349
"$350,000-1 million",HELNGO 8750 LLC,10875 Kinross Avenue,84,-118.444761,34.06092
"$350,000-1 million","HOFFMAN, SABBAN & WATENMAKER, A PROFESSIONAL CORPORATION",10880 WILSHIRE BLVD STE. 2200,27,-118.44283,34.05885
"$350,000-1 million","INDIVEST, INCORPORATED",10877 WILSHIRE BLVD 300,24,-118.44252,34.05923
"$350,000-1 million","JAMES CAPITAL ADVISORS, INC",10960 Wilshire Blvd #805,21,-118.445973,34.057997
"$350,000-1 million",JG MARTELL GROUP INC,"10877 Wilshire Blvd, Suite 2300",47,-118.44254,34.05934
"$350,000-1 million","LEUEN, INC.",10880 WILSHIRE BLVD,82,-118.44283,34.05885
"$350,000-1 million",MALONEY-SHAMIE VISION INSTITUTE,10921 Wilshire Blvd Suite 900,24,-118.44477,34.05881
"$350,000-1 million","MCNICHOLAS & MCNICHOLAS, LLP",10866 WILSHIRE BLVD Suite 1400,,-118.442,34.05907
"$350,000-1 million","MEDCAFE WESTWOOD, LLC",1139 GLENDON AVE,35,-118.443891,34.060067
"$350,000-1 million","MEDQIA, LLC",10850 WILSHIRE BLVD STE 1170,38,-118.441394,34.059227
"$350,000-1 million","METALLICA CLUB, INC.",10990 WILSHIRE BLVD 8TH FLLOOR,20,-118.44718,34.05747
"$350,000-1 million","MYLIFE.COM, INC.",1100 GLENDON AVE STE 720,33,-118.44418,34.06074
"$350,000-1 million",NELSON HARDIMAN LLP,1100 GLENDON AVE Suite 1400,40,-118.44418,34.06074
"$350,000-1 million",PACIFIC HERITAGE COMMUNITIES CORP.,1263 WESTWOOD BLVD #210,23,-118.44327,34.05743
"$350,000-1 million",PFC MANAGEMENT LLC,10921 WILSHIRE BLVD ste 700,55,-118.44477,34.05881
"$350,000-1 million",RBB ARCHITECTS INC,10980 WILSHIRE BOULEVARD,44,-118.44673,34.0578
"$350,000-1 million","SEA VIEW RESTAURANTS, INC.",10880 WILSHIRE BLVD,123,-118.44283,34.05885
"$350,000-1 million",SOUTHERN CALIFORNIA TENNIS ASSOCIATION,420 Charles E Young Drive West,63,-118.4449414,34.0734525
"$350,000-1 million","STRATEGIC DEVELOPMENT SOLUTIONS, LLC",1281 Westwood Boulevard,16,-118.44317,34.05704
"$350,000-1 million","TANNER MAINSTAIN GLYNN & JOHNSON, LLP",10866 WILSHIRE BLVD FL 10,40,-118.442,34.05907
"$350,000-1 million",TAYLOR AND LIEBERMAN AAC,10866 WILSHIRE BLVD Ste 1100,28,-118.442,34.05907
"$350,000-1 million",THE ROMAN CATHOLIC ARCHBISHOP OF LOS ANGELES,1536 Selby Avenue,64,-118.4372,34.05478
"$350,000-1 million","THOMAS ST JOHN, INC",10877 WILSHIRE BLVD STE 1550,30,-118.44254,34.05934
"$350,000-1 million",UNIVERSITY PODIATRY GROUP INC,100 UCLA MEDICAL PLZ STE 460,24,-118.445839,34.06522
"$350,000-1 million","WJD RESTAURANT GROUP, LLC",1301 WESTWOOD BLVD.,40,-118.44272,34.05677
"$150,000-350,000",2301 WB BUILDING LLC.,10940 WILSHIRE BLVD SUITE 1225,16,-118.4452,34.05822
"$150,000-350,000",A NEW START TREATMENT & RECOVERY CTR LLC,1251 Westwood Boulevard,26,-118.44315,34.05749
"$150,000-350,000","A.G. PROPERTIES, INC.",1324 Warnall Avenue,6,-118.42574,34.06442
"$150,000-350,000","ADLER-WEINER RESEARCH L.A, INC.",10960 WILSHIRE BLVD #1250,30,-118.445973,34.057997
"$150,000-350,000","AHDOOT &AMP; WOLFSON, A PROFESSIONAL CORPORATION",10728 Lindbrook Drive,12,-118.437294,34.061505
"$150,000-350,000","ALL ACCESS MUSIC GROUP, INC.",10880 WILSHIRE BLVD Ste 1000,30,-118.44283,34.05885
"$150,000-350,000","AMERICAL MANAGEMENT CO., INC.",10940 Wilshire Blvd. 1960,15,-118.44496,34.05786
"$150,000-350,000",AMERICAN COLLEGE EDUCATION INK,10880 WILSHIRE BLVD STE 122,30,-118.44283,34.05885
"$150,000-350,000",AMI ASSET MANAGEMENT CORPORATION,10866 WILSHIRE BLVD,15,-118.442,34.05907
"$150,000-350,000",AP ORIGINAL LLC,1100 GLENDON AVE SUITE 2000,16,-118.44418,34.06074
"$150,000-350,000",ARMOR GUYS INC.,10990 WILSHIRE BLVD STE 1410,18,-118.44711,34.0577
"$150,000-350,000","ASI/SILICA MACHINERY, LLC",515 Loring  AVE,20,-118.43401,34.07179
"$150,000-350,000","BARNEYS WESTWOOD, LP",1037 S. BROXTON AVE,33,-118.446671,34.061739
"$150,000-350,000",BAUM ORTHODONTIC ASSOCIATES,10921 Wilshire Blvd 804,10,-118.44488,34.05892
"$150,000-350,000",BEVERLY HILLS STERLING CLEANERS INC,1600 WESTWOOD BLVD,20,-118.43925,34.05257
"$150,000-350,000","BIG MAN MEDIA, INC.",WILSHIRE BLVD,18,-118.42,34.06
"$150,000-350,000","BLENDED STRATEGY GROUP, LLC",1100 GLENDON AVE Suite 1220,17,-118.44418,34.06074
"$150,000-350,000","BLUE ELAN RECORDS, LLC",10880 WILSHIRE BLVD 2000,11,-118.4429,34.05846
"$150,000-350,000","BONDED FILMS, LLC",10433 Wilshire Blvd Suite 707,12,-118.430533,34.066393
"$150,000-350,000","BRUIN BIOMETRICS, LLC.","10877 Wilshire Blvd., Suite 1600",17,-118.44254,34.05934
"$150,000-350,000",C. 2K ENTERTAINMENT INC,1067 GAYLEY AVE,12,-118.447154,34.06075
"$150,000-350,000",CALFUND LLC,1633 WESTWOOD BLVD,200,-118.439351,34.05222
"$150,000-350,000","CAMBRIA/HOTEL INVESTORS, LLC",10850 WILSHIRE BLVD STE 1050,23,-118.441394,34.059227
"$150,000-350,000",CAMINO INDUSTRIES LLC,1073 Glendon Avenue,13,-118.44463,34.06116
"$150,000-350,000","CAPRI PROPERTIES, A CALIFORNIA CORPORATION",1508 wyton drive,12,-118.42,34.06
"$150,000-350,000",CENTURY INVESTMENT HOLDINGS LLC DBA CARRIAGE TRADE CLEANERS OR CARRIAGE,1600 Westwood Blvd,25,-118.43925,34.05257
"$150,000-350,000",CHABAD OF CALIFORNIA,741 Gayley Avenue,45,-118.448291,34.064467
"$150,000-350,000","CMNTY RCRDS, LLC","10877 Wilshire Blvd, Suite 1550",2,-118.44254,34.05934
"$150,000-350,000",CRENOVATE INC,10940 WILSHIRE BLVD STE 1600,25,-118.4452,34.05822
"$150,000-350,000",DBA AMA PROJECT MANAGEMENT,10940 WILSHIRE BLVD SUITE 1950,,-118.4452,34.05822
"$150,000-350,000","DC ARCHITECTS, INC.",969 HILGARD AVE Unit 708,18,-118.441871,34.062102
"$150,000-350,000","DIDDY RIESE COOKIES, INC.",926 Broxton Avenue,,-118.446851,34.063024
"$150,000-350,000","DREAMVILLE RECORDS, LLC",10960 WILSHIRE BLVD,10,-118.445973,34.057997
"$150,000-350,000",DYLAN RUGA,1100 GLENDON AVE,10,-118.44418,34.06074
"$150,000-350,000","EMPORIUM THAI CUISINE, LLC",1275 WESTWOOD BLVD,22,-118.44315,34.05749
"$150,000-350,000",ENGLISH LANGUAGE CENTER INC,10850 Wilshire Blvd Ste 210,130,-118.441394,34.059227
"$150,000-350,000",ENTERPRISE CONSULTANTS GROUP LLC,10940 WILSHIRE BLVD,15,-118.4452,34.05822
"$150,000-350,000",EXQUISITE RUGS LLC,10790 WILSHIORE BLVD SUITE 1703,16,-118.43943,34.05974
"$150,000-350,000",FAIRMONT MANAGEMENT INC.,"845 Thayer Ave.,",27,-118.434831,34.065854
"$150,000-350,000","FENTON &AMP; ROSS, AN ACCOUNTANCY",10866 WILSHIRE BLVD STE 1250,12,-118.442,34.05907
"$150,000-350,000","FRIEDMAN & ASSOCIATES, INC.",1100 GLENDON AVE,7,-118.44418,34.06074
"$150,000-350,000","GARRY M. GEKHT, A LAW CORPORATION","10866 Wilshire Blvd., Suite 660",9,-118.442,34.05907
"$150,000-350,000","GOLF WANG MERCHANDISING, LLC",10960 WILSHIRE BLVD 5th floor,25,-118.445973,34.057997
"$150,000-350,000","HALSTED, INC.",1103 1/2 GLENDON AVE,7,-118.44431,34.06053
"$150,000-350,000",HCR WEALTH ADVISORS,10866 Wilshire Blvd #1600,13,-118.442,34.05907
"$150,000-350,000",HILLEL AT UCLA,574 HILGARD AVE,,-118.438601,34.070155
"$150,000-350,000",HOSPITALITY RESORTS INC.,10655 Wilshire Blvd.,18,-118.435512,34.061214
"$150,000-350,000","INTELLI-HEART SERVICES, INC",10850 WILSHIRE BLVD STE 740,35,-118.441394,34.059227
"$150,000-350,000",J & Y BUSINESS GROUP,1100 GLENDON AVEFL17,10,-118.44435,34.06077
"$150,000-350,000","J.R. BERRY SEARCH GROUP, INC.",1100 Glendon Ave,10,-118.44418,34.06074
"$150,000-350,000","JASON SNIBBE, M.D., PROFESSIONAL MEDICAL CORPORATION",215 Loring Avenue,14,-118.437261,34.078229
"$150,000-350,000","JONES, ACKERMAN & CORMAN LLP",10960 WILSHIRE BLVD Suite 1225,7,-118.445973,34.057997
"$150,000-350,000","JUST JARED, INC.",10800 WILSHIRE BLVD SUITE 1101,8,-118.44013,34.05955
"$150,000-350,000",KAIROS CAPITAL GROUP LLC,10481 Wyton Dr,10,-118.435431,34.072156
"$150,000-350,000",KOPENTECH,10880 Wilshire Blvd 1100,11,-118.4429,34.05846
"$150,000-350,000","KORA US, LLC",10960 WILSHIRE BLVD 5th Floor,27,-118.445973,34.057997
"$150,000-350,000","KOSS OAK QUARRY, LLC",10580 Wilshire Blvd #92,42,-118.433143,34.061594
"$150,000-350,000",LAMONICAS NY PIZZA CO INC,1066 GAYLEY AVE.,,-118.44686,34.06093
"$150,000-350,000",MERELEX CORPORATION,10884 Weyburn Ave.,22,-118.44465,34.06247
"$150,000-350,000",MICHAEL A KAHN APC,10990 Wilshire Blvd,9,-118.44718,34.05747
"$150,000-350,000","MR.NOODLE, INC",936 BROXTON AVE,24,-118.446831,34.062961
"$150,000-350,000",MYNHD INC,11000 Wilshire Blvd #241426,37,-118.44939,34.05701
"$150,000-350,000",NATIONAL CHILDRENS CHORUS,580 HILGARD AVE,126,-118.438653,34.06995
"$150,000-350,000",NOMOTA LLC,10990 WILSHIRE BLVD 8th Floor,15,-118.44711,34.0577
"$150,000-350,000",NUKI SUB INC,10511 ASHTON AVE #303,38,-118.431411,34.063279
"$150,000-350,000","OUR LADY PRODUCTIONS, INC.","10960 Wilshire Blvd., Flr 5",0,-118.445973,34.057997
"$150,000-350,000","PAPA BURGER, LLC",10955 KINROSS AVE,46,-118.446803,34.060196
"$150,000-350,000",PASICH LLP,10940 WILSHIRE BLVD STE 800,13,-118.4452,34.05822
"$150,000-350,000",PAUL ANKA PRODUCTIONS INC,"10960 WILSHIRE BLVD, FL 5",0,-118.445973,34.057997
"$150,000-350,000","PHILIP O. MENDELOVITZ D.D.S., A PROFESSIONAL CORPORATION",100 UCLA MEDICAL PLZ STE 445,9,-118.445839,34.06522
"$150,000-350,000","PICOA, INC.",10866 WILSHIRE BLVD,8,-118.442,34.05907
"$150,000-350,000",PULSAR ADVERTISING INC,10940 WILSHIRE BLVD STE 1050,16,-118.4452,34.05822
"$150,000-350,000",QUINCY JONES PRODUCTIONS INC,10850 Wilshire Blvd Ste 1200,14,-118.441394,34.059227
"$150,000-350,000",REGENCY WILSHIRE HOMEOWNERS' ASSOCIATION,10551 Wilshire Blvd,,-118.433261,34.062526
"$150,000-350,000",REGENT WEST CORPORATION,1109 Westwood Blvd,14,-118.445068,34.05991
"$150,000-350,000",SEPHARDIC JEWISH COMMUNITY AND BROTHERHOOD OF LOS ANGELES,10500 WILSHIRE BLVD,39,-118.432472,34.06353
"$150,000-350,000","SILTON GROUP, LLC",10866 Wilshire Blvd Ste 1550,21,-118.442,34.05907
"$150,000-350,000","SO FRESH, L P",1124 Manning Ave.,21,-118.435754,34.061295
"$150,000-350,000",SOHRAB INC,1712 WESTWOOD BLVD,53,-118.43783,34.05092
"$150,000-350,000",SOULITO'S WAY,10960 WILSHIRE BLVD 5th Floor,12,-118.445973,34.057997
"$150,000-350,000",STARWIN CORP.,1519 Ensley Avenue,19,-118.42262,34.06308
"$150,000-350,000",STEVEN B SILBART MD A MEDICAL CORP,10921 WILSHIRE BLVD SUITE 604,,-118.44477,34.05881
"$150,000-350,000",SUNNIN LEBANESE CAFE INC,1776 Westwood Blvd,29,-118.43783,34.05092
"$150,000-350,000","SWEET AMBER VENTURES, INC.",10990 WILSHIRE BLVD 8TH FLOOR,18,-118.44711,34.0577
"$150,000-350,000",TEKLEAD CORP.,10880 WILSHIRE BLVD 1101,10,-118.44283,34.05885
"$150,000-350,000","TESS FINKLE PUBLIC RELATIONS, INC.",10960 WILSHIRE BLVD Suite 1900,22,-118.445973,34.057997
"$150,000-350,000",THE APP DEVELOPMENT AND MARKETING DBA AD AM INC. OR RAIN OR RAIN LOCAL,"10866 Wilshire Blvd., Suite 970",6,-118.442,34.05907
"$150,000-350,000",THE SAUCE LLC DBA VIOLET,1121 Glendon Ave,,-118.444302,34.060441
"$150,000-350,000",THE WHISPER HOUSE LLC,10960 Wilshire Boulevard 5th Floor,42,-118.445973,34.057997
"$150,000-350,000",TMC ICE PROTECTION SYSTEMS LLC,10850 Wilshire Blvd Fl 6,8,-118.441394,34.059227
"$150,000-350,000",TRENT MANAGEMENT LLC,907 WESTWOOD BLVD,13,-118.44528,34.06336
"$150,000-350,000","TRI-WEST ENTERPRISES, LLC",1000 GAYLEY AVE,35,-118.44759,34.06187
"$150,000-350,000","TRIYAR REALTY GROUP, LLC",10850 Wilshire Blvd Ste 1250,20,-118.441394,34.059227
"$150,000-350,000",TRIYAR RETAIL GROUP OF TX INC,10850 WILSHIRE BLVD STE 1250,14,-118.441394,34.059227
"$150,000-350,000","UNIVERSITY VASCULAR ASSOCIATES - WESTWOOD, INC",1082 GLENDON AVE,26,-118.44409,34.06186
"$150,000-350,000","VASCULAR MANAGEMENT ASSOCIATES, INC",1082 GLENDON AVE,25,-118.44409,34.06186
"$150,000-350,000",VICKEN SHAKIAN M.D. INC,10921 WILSHIRE BLVD,6,-118.44477,34.05881
"$150,000-350,000",VIVID HOLDINGS LLC,1281 Westwood Blvd Suite 107,9,-118.443084,34.057119
"$150,000-350,000","WESTERN DRUG, INC.",10921 Wilshire Boulevard - Lobby 0.0,12,-118.44477,34.05881
"$150,000-350,000","WIDOM SAVEY & GARFINKEL, LLP","10866 WILSHIRE BLVD, SUITE 900",11,-118.442,34.05907
"$150,000-350,000","WILLIAM C. KIM MD., INC.",321 CONWAY AVE,18,-118.43396,34.076574
"$150,000-350,000",WILSHIRE HOLMBY HOMEOWNERS ASSOC. INC.,10433 WILSHIRE BLVD.,26,-118.430533,34.066393
"$150,000-350,000",WILSHIRE MANNING HOMEOWNERS ASSOCIATION,10660 Wilshire Boulevard,,-118.43529,34.060748
"$150,000-350,000",WISERCARE INC,10880 WILSHIRE BLVD STE 2240,11,-118.44283,34.05885
"$150,000-350,000",YAGOUBZADEH LAW FIRM LLP,10866 WILSHIRE BLVD STE 600,26,-118.442,34.05907
"$150,000-350,000","ELITE SALES AND SERVICES, LLC",10669 WELLWORTH AVE,19,-118.434782,34.059118
"$150,000-350,000","PAULSETH &AMP; ASSOCIATES PHYSICAL THERAPY,",10351 SANTA MONICA BLVD STE 101,12,-118.42319,34.05844
$1-2 million,"SHOUT! FACTORY, LLC",1640 SEPULVEDA BLVD SUITE 400,77,-118.44468,34.04838
"$350,000-1 million","MOJIX, INC.","11075 Santa Monica Blvd., Suite 350",,-118.443973,34.047989
"$150,000-350,000",DATTNER DISPOTO AND ASSOCIATES,10635 SANTA MONICA BLVD,0,-118.43031,34.05353
"$150,000-350,000",MPCA ADMINISTRATION LLC,10635 SANTA MONICA BLVD Suite 180,,-118.43014,34.0538
"$350,000-1 million","LOLA VISUAL EFFECTS, LLC",10435 SANTA MONICA BLVD,49,-118.425485,34.056858
