"LoanRange","BusinessName","Address","JobsRetained"
"$150,000-350,000","ENTERPRISE CONSULTANTS GROUP LLC","10940 WILSHIRE BLVD",15
"$150,000-350,000","EXQUISITE RUGS LLC","10790 WILSHIORE BLVD SUITE 1703",16
"$150,000-350,000","FAIRMONT MANAGEMENT INC.","845 Thayer Ave.,",27
"$150,000-350,000","FENTON &AMP; ROSS, AN ACCOUNTANCY","10866 WILSHIRE BLVD STE 1250",12
"$150,000-350,000","FRIEDMAN & ASSOCIATES, INC.","1100 GLENDON AVE",7
"$150,000-350,000","GARRY M. GEKHT, A LAW CORPORATION","10866 Wilshire Blvd., Suite 660",9
"$150,000-350,000","GOLF WANG MERCHANDISING, LLC","10960 WILSHIRE BLVD 5th floor",25
"$150,000-350,000","HALSTED, INC.","1103 1/2 GLENDON AVE",7
"$150,000-350,000","HCR WEALTH ADVISORS","10866 Wilshire Blvd #1600",13
"$150,000-350,000","HILLEL AT UCLA","574 HILGARD AVE",NA
"$150,000-350,000","HOSPITALITY RESORTS INC.","10655 Wilshire Blvd.",18
"$150,000-350,000","INTELLI-HEART SERVICES, INC","10850 WILSHIRE BLVD STE 740",35
"$150,000-350,000","J & Y BUSINESS GROUP","1100 GLENDON AVEFL17",10
"$150,000-350,000","J.R. BERRY SEARCH GROUP, INC.","1100 Glendon Ave",10
"$150,000-350,000","JASON SNIBBE, M.D., PROFESSIONAL MEDICAL CORPORATION","215 Loring Avenue",14
"$150,000-350,000","JONES, ACKERMAN & CORMAN LLP","10960 WILSHIRE BLVD Suite 1225",7
"$150,000-350,000","JUST JARED, INC.","10800 WILSHIRE BLVD SUITE 1101",8
"$150,000-350,000","KAIROS CAPITAL GROUP LLC","10481 Wyton Dr",10
"$150,000-350,000","KOPENTECH","10880 Wilshire Blvd 1100",11
"$150,000-350,000","KORA US, LLC","10960 WILSHIRE BLVD 5th Floor",27
"$150,000-350,000","KOSS OAK QUARRY, LLC","10580 Wilshire Blvd #92",42
"$150,000-350,000","LAMONICAS NY PIZZA CO INC","1066 GAYLEY AVE.",NA
"$150,000-350,000","LESENFANTS INC","2707 VIRGINIA AVE",0
"$150,000-350,000","MERELEX CORPORATION","10884 Weyburn Ave.",22
"$150,000-350,000","MICHAEL A KAHN APC","10990 Wilshire Blvd",9
"$150,000-350,000","MR.NOODLE, INC","936 BROXTON AVE",24
"$150,000-350,000","MYNHD INC","1100 Wilshire Blvd #241426",37
"$150,000-350,000","NATIONAL CHILDRENS CHORUS","580 HILGARD AVE",126
"$150,000-350,000","NOMOTA LLC","10990 WILSHIRE BLVD 8th Floor",15
"$150,000-350,000","NUKI SUB INC","10511 ASHTON AVE #303",38
"$150,000-350,000","OUR LADY PRODUCTIONS, INC.","10960 Wilshire Blvd., Flr 5",0
"$150,000-350,000","PAPA BURGER, LLC","10955 KINROSS AVE",46
"$150,000-350,000","PASICH LLP","10940 WILSHIRE BLVD STE 800",13
"$150,000-350,000","PAUL ANKA PRODUCTIONS INC","10960 WILSHIRE BLVD, FL 5",0
"$150,000-350,000","PHILIP O. MENDELOVITZ D.D.S., A PROFESSIONAL CORPORATION","100 UCLA MEDICAL PLZ STE 445",9
"$150,000-350,000","PICOA, INC.","10866 WILSHIRE BLVD",8
"$150,000-350,000","PULSAR ADVERTISING INC","10940 WILSHIRE BLVD STE 1050",16
"$150,000-350,000","QUINCY JONES PRODUCTIONS INC","10850 Wilshire Blvd Ste 1200",14
"$150,000-350,000","REGENCY WILSHIRE HOMEOWNERS' ASSOCIATION","10551 Wilshire Blvd",NA
"$150,000-350,000","REGENT WEST CORPORATION","1109 Westwood Blvd",14
"$150,000-350,000","SEPHARDIC JEWISH COMMUNITY AND BROTHERHOOD OF LOS ANGELES","10500 WILSHIRE BLVD",39
"$150,000-350,000","SILTON GROUP, LLC","10866 Wilshire Blvd Ste 1550",21
"$150,000-350,000","SO FRESH, L P","1124 Manning Ave.",21
"$150,000-350,000","SOHRAB INC","1712 WESTWOOD BLVD",53
"$150,000-350,000","SOULITO'S WAY","10960 WILSHIRE BLVD 5th Floor",12
"$150,000-350,000","STARWIN CORP.","1519 Ensley Avenue",19
"$150,000-350,000","STEALTH SOFTWARE TECHNOLOGIES, INC.","PO BOX 241631",16
"$150,000-350,000","STEVEN B SILBART MD A MEDICAL CORP","10921 WILSHIRE BLVD SUITE 604",NA
"$150,000-350,000","SUNNIN LEBANESE CAFE INC","1776 Westwood Blvd",29
"$150,000-350,000","SWEET AMBER VENTURES, INC.","10990 WILSHIRE BLVD 8TH FLOOR",18
"$150,000-350,000","TEKLEAD CORP.","10880 WILSHIRE BLVD 1101",10
"$150,000-350,000","TESS FINKLE PUBLIC RELATIONS, INC.","10960 WILSHIRE BLVD Suite 1900",22
"$150,000-350,000","THE APP DEVELOPMENT AND MARKETING DBA AD AM INC. OR RAIN OR RAIN LOCAL","10866 Wilshire Blvd., Suite 970",6
"$150,000-350,000","THE SAUCE LLC DBA VIOLET","1121 Glendon Ave",NA
"$150,000-350,000","THE WHISPER HOUSE LLC","10960 Wilshire Boulevard 5th Floor",42
"$150,000-350,000","TMC ICE PROTECTION SYSTEMS LLC","10850 Wilshire Blvd Fl 6",8
"$150,000-350,000","TRENT MANAGEMENT LLC","907 WESTWOOD BLVD",13
"$150,000-350,000","TRI-WEST ENTERPRISES, LLC","1000 GAYLEY AVE",35
"$150,000-350,000","TRIYAR REALTY GROUP, LLC","10850 Wilshire Blvd Ste 1250",20
"$150,000-350,000","TRIYAR RETAIL GROUP OF TX INC","10850 WILSHIRE BLVD STE 1250",14
"$150,000-350,000","UNIVERSITY VASCULAR ASSOCIATES - WESTWOOD, INC","1082 GLENDON AVE",26
"$150,000-350,000","VASCULAR MANAGEMENT ASSOCIATES, INC","1082 GLENDON AVE",25
"$150,000-350,000","VICKEN SHAKIAN M.D. INC","10921 WILSHIRE BLVD",6
"$150,000-350,000","VIVID HOLDINGS LLC","1281 Westwood Blvd Suite 107",9
"$150,000-350,000","WESTERN DRUG, INC.","10921 Wilshire Boulevard - Lobby 0.0",12
"$150,000-350,000","WIDOM SAVEY & GARFINKEL, LLP","10866 WILSHIRE BLVD, SUITE 900",11
"$150,000-350,000","WILLIAM C. KIM MD., INC.","321 CONWAY AVE",18
"$150,000-350,000","WILSHIRE HOLMBY HOMEOWNERS ASSOC. INC.","10433 WILSHIRE BLVD.",26
"$150,000-350,000","WILSHIRE MANNING HOMEOWNERS ASSOCIATION","10660 Wilshire Boulevard",NA
"$150,000-350,000","WISERCARE INC","10880 WILSHIRE BLVD STE 2240",11
"$150,000-350,000","YAGOUBZADEH LAW FIRM LLP","10866 WILSHIRE BLVD STE 600",26
