LoanRange,BusinessName,JobsRetained,long,lat
"$350,000-1 million","LEUEN, INC.",82,-118.4429,34.05846
"$350,000-1 million",MALONEY-SHAMIE VISION INSTITUTE,24,-118.44477,34.05881
"$350,000-1 million","MCNICHOLAS & MCNICHOLAS, LLP",NA,-118.442,34.05907
"$350,000-1 million","MEDCAFE WESTWOOD, LLC",35,-118.443891,34.060067
"$350,000-1 million","METALLICA CLUB, INC.",20,-118.44718,34.05747
"$350,000-1 million","MYLIFE.COM, INC.",33,-118.4366913,34.0513382
"$350,000-1 million",NELSON HARDIMAN LLP,40,-118.44418,34.06074
"$350,000-1 million",PACIFIC HERITAGE COMMUNITIES CORP.,23,-118.44327,34.05743
"$350,000-1 million",PFC MANAGEMENT LLC,55,-118.44477,34.05881
"$350,000-1 million",RBB ARCHITECTS INC,44,-118.44673,34.0578
"$350,000-1 million","SEA VIEW RESTAURANTS, INC.",123,-118.4429,34.05846
"$350,000-1 million","STRATEGIC DEVELOPMENT SOLUTIONS, LLC",16,-118.443084,34.057119
"$350,000-1 million","TANNER MAINSTAIN GLYNN & JOHNSON, LLP",40,-118.442,34.05907
"$350,000-1 million",TAYLOR AND LIEBERMAN AAC,28,-118.442,34.05907
"$350,000-1 million",THE ROMAN CATHOLIC ARCHBISHOP OF LOS ANGELES,64,-118.4372,34.05478
"$350,000-1 million","THOMAS ST JOHN, INC",30,-118.44254,34.05934
"$350,000-1 million",UNIVERSITY PODIATRY GROUP INC,24,-118.445839,34.06522
"$350,000-1 million","WJD RESTAURANT GROUP, LLC",40,-118.44293,34.0568
"$150,000-350,000",2301 WB BUILDING LLC.,16,-118.4452,34.05822
"$150,000-350,000",A NEW START TREATMENT & RECOVERY CTR LLC,26,-118.443362,34.057583
"$150,000-350,000","A.G. PROPERTIES, INC.",6,-118.42574,34.06442
"$150,000-350,000","ADLER-WEINER RESEARCH L.A, INC.",30,-118.445973,34.057997
"$150,000-350,000","AHDOOT &AMP; WOLFSON, A PROFESSIONAL CORPORATION",12,-118.437294,34.061505
"$150,000-350,000","ALL ACCESS MUSIC GROUP, INC.",30,-118.44283,34.05885
"$150,000-350,000","AMERICAL MANAGEMENT CO., INC.",15,-118.44496,34.05786
"$150,000-350,000",AMERICAN COLLEGE EDUCATION INK,30,-118.44283,34.05885
"$150,000-350,000",AMI ASSET MANAGEMENT CORPORATION,15,-118.442,34.05907
"$150,000-350,000",AP ORIGINAL LLC,16,-118.44418,34.06074
"$150,000-350,000",ARMOR GUYS INC.,18,-118.44711,34.0577
"$150,000-350,000","ASI/SILICA MACHINERY, LLC",20,-118.43401,34.07179
"$150,000-350,000","BARNEYS WESTWOOD, LP",33,-118.446671,34.061739
"$150,000-350,000",BAUM ORTHODONTIC ASSOCIATES,10,-118.44477,34.05881
"$150,000-350,000",BEVERLY HILLS STERLING CLEANERS INC,20,-118.43924,34.05266
"$150,000-350,000","BIG MAN MEDIA, INC.",18,-118.45,34.06
"$150,000-350,000","BLENDED STRATEGY GROUP, LLC",17,-118.44418,34.06074
"$150,000-350,000","BLUE ELAN RECORDS, LLC",11,-118.4429,34.05846
"$150,000-350,000","BONDED FILMS, LLC",12,-118.430533,34.066393
"$150,000-350,000","BRUIN BIOMETRICS, LLC.",17,-118.44254,34.05934
"$150,000-350,000",C. 2K ENTERTAINMENT INC,12,-118.447154,34.06075
"$150,000-350,000",CALFUND LLC,200,-118.439351,34.05222
"$150,000-350,000","CAMBRIA/HOTEL INVESTORS, LLC",23,-118.441394,34.059227
"$150,000-350,000",CAMINO INDUSTRIES LLC,13,-118.44463,34.06116
"$150,000-350,000","CAPRI PROPERTIES, A CALIFORNIA CORPORATION",12,-118.43312,34.0731
"$150,000-350,000",CENTURY INVESTMENT HOLDINGS LLC DBA CARRIAGE TRADE CLEANERS OR CARRIAGE,25,-118.43924,34.05266
"$150,000-350,000",CHABAD OF CALIFORNIA,45,-118.448291,34.064467
"$150,000-350,000","CMNTY RCRDS, LLC",2,-118.44254,34.05934
"$150,000-350,000",CRENOVATE INC,25,-118.4452,34.05822
"$150,000-350,000",DBA AMA PROJECT MANAGEMENT,NA,-118.4452,34.05822
"$150,000-350,000","DC ARCHITECTS, INC.",18,-118.441871,34.062102
"$150,000-350,000","DIDDY RIESE COOKIES, INC.",NA,-118.446851,34.063024
"$150,000-350,000","DREAMVILLE RECORDS, LLC",10,-118.445973,34.057997
"$150,000-350,000",DYLAN RUGA,10,-118.44418,34.06074
"$150,000-350,000","EMPORIUM THAI CUISINE, LLC",22,-118.44315,34.05722
"$150,000-350,000",ENGLISH LANGUAGE CENTER INC,130,-118.441394,34.059227
"$150,000-350,000",ENTERPRISE CONSULTANTS GROUP LLC,15,-118.4452,34.05822
"$150,000-350,000",EXQUISITE RUGS LLC,16,-118.43943,34.05974
"$150,000-350,000",FAIRMONT MANAGEMENT INC.,27,-118.434831,34.065854
"$150,000-350,000","FENTON &AMP; ROSS, AN ACCOUNTANCY",12,-118.442,34.05907
"$150,000-350,000","FRIEDMAN & ASSOCIATES, INC.",7,-118.44418,34.06074
"$150,000-350,000","GARRY M. GEKHT, A LAW CORPORATION",9,-118.442,34.05907
"$150,000-350,000","GOLF WANG MERCHANDISING, LLC",25,-118.445973,34.057997
"$150,000-350,000","HALSTED, INC.",7,-118.44431,34.06053
"$150,000-350,000",HCR WEALTH ADVISORS,13,-118.442,34.05907
"$150,000-350,000",HILLEL AT UCLA,NA,-118.438601,34.070155
"$150,000-350,000",HOSPITALITY RESORTS INC.,18,-118.435512,34.061214
"$150,000-350,000","INTELLI-HEART SERVICES, INC",35,-118.441394,34.059227
"$150,000-350,000",J & Y BUSINESS GROUP,10,-118.44435,34.06077
"$150,000-350,000","J.R. BERRY SEARCH GROUP, INC.",10,-118.44418,34.06074
"$150,000-350,000","JASON SNIBBE, M.D., PROFESSIONAL MEDICAL CORPORATION",14,-118.437261,34.078229
"$150,000-350,000","JONES, ACKERMAN & CORMAN LLP",7,-118.445973,34.057997
"$150,000-350,000","JUST JARED, INC.",8,-118.44013,34.05955
"$150,000-350,000",KAIROS CAPITAL GROUP LLC,10,-118.435431,34.072156
"$150,000-350,000",KOPENTECH,11,-118.4429,34.05846
"$150,000-350,000","KORA US, LLC",27,-118.445973,34.057997
"$150,000-350,000","KOSS OAK QUARRY, LLC",42,-118.433143,34.061594
"$150,000-350,000",LAMONICAS NY PIZZA CO INC,NA,-118.44686,34.06093
"$150,000-350,000",MERELEX CORPORATION,22,-118.44465,34.06247
"$150,000-350,000",MICHAEL A KAHN APC,9,-118.44718,34.05747
"$150,000-350,000","MR.NOODLE, INC",24,-118.446831,34.062961
"$150,000-350,000",NATIONAL CHILDRENS CHORUS,126,-118.438653,34.06995
"$150,000-350,000",NOMOTA LLC,15,-118.44711,34.0577
"$150,000-350,000",NUKI SUB INC,38,-118.431411,34.063279
"$150,000-350,000","OUR LADY PRODUCTIONS, INC.",0,-118.445973,34.057997
"$150,000-350,000","PAPA BURGER, LLC",46,-118.446803,34.060196
"$150,000-350,000",PASICH LLP,13,-118.4452,34.05822
"$150,000-350,000",PAUL ANKA PRODUCTIONS INC,0,-118.445973,34.057997
"$150,000-350,000","PHILIP O. MENDELOVITZ D.D.S., A PROFESSIONAL CORPORATION",9,-118.445839,34.06522
"$150,000-350,000","PICOA, INC.",8,-118.442,34.05907
"$150,000-350,000",PULSAR ADVERTISING INC,16,-118.4452,34.05822
"$150,000-350,000",QUINCY JONES PRODUCTIONS INC,14,-118.441394,34.059227
"$150,000-350,000",REGENCY WILSHIRE HOMEOWNERS' ASSOCIATION,NA,-118.433261,34.062526
"$150,000-350,000",REGENT WEST CORPORATION,14,-118.445068,34.05991
"$150,000-350,000",SEPHARDIC JEWISH COMMUNITY AND BROTHERHOOD OF LOS ANGELES,39,-118.432472,34.06353
"$150,000-350,000","SILTON GROUP, LLC",21,-118.442,34.05907
"$150,000-350,000","SO FRESH, L P",21,-118.435754,34.061295
"$150,000-350,000",SOHRAB INC,53,-118.43783,34.05092
"$150,000-350,000",SOULITO'S WAY,12,-118.445973,34.057997
"$150,000-350,000",STARWIN CORP.,19,-118.42262,34.06308
"$150,000-350,000",STEVEN B SILBART MD A MEDICAL CORP,NA,-118.44477,34.05881
"$150,000-350,000",SUNNIN LEBANESE CAFE INC,29,-118.437415,34.050535
"$150,000-350,000","SWEET AMBER VENTURES, INC.",18,-118.44711,34.0577
"$150,000-350,000",TEKLEAD CORP.,10,-118.44283,34.05885
"$150,000-350,000","TESS FINKLE PUBLIC RELATIONS, INC.",22,-118.445973,34.057997
"$150,000-350,000",THE APP DEVELOPMENT AND MARKETING DBA AD AM INC. OR RAIN OR RAIN LOCAL,6,-118.442,34.05907
"$150,000-350,000",THE SAUCE LLC DBA VIOLET,NA,-118.444302,34.060441
"$150,000-350,000",THE WHISPER HOUSE LLC,42,-118.445973,34.057997
"$150,000-350,000",TMC ICE PROTECTION SYSTEMS LLC,8,-118.441394,34.059227
"$150,000-350,000",TRENT MANAGEMENT LLC,13,-118.44565,34.06335
"$150,000-350,000","TRI-WEST ENTERPRISES, LLC",35,-118.44759,34.06187
"$150,000-350,000","TRIYAR REALTY GROUP, LLC",20,-118.441394,34.059227
"$150,000-350,000",TRIYAR RETAIL GROUP OF TX INC,14,-118.441394,34.059227
"$150,000-350,000","UNIVERSITY VASCULAR ASSOCIATES - WESTWOOD, INC",26,-118.44409,34.06186
"$150,000-350,000","VASCULAR MANAGEMENT ASSOCIATES, INC",25,-118.44409,34.06186
"$150,000-350,000",VICKEN SHAKIAN M.D. INC,6,-118.44477,34.05881
"$150,000-350,000",VIVID HOLDINGS LLC,9,-118.443084,34.057119
"$150,000-350,000","WESTERN DRUG, INC.",12,-118.44477,34.05881
"$150,000-350,000","WIDOM SAVEY & GARFINKEL, LLP",11,-118.442,34.05907
"$150,000-350,000","WILLIAM C. KIM MD., INC.",18,-118.43396,34.076574
"$150,000-350,000",WILSHIRE HOLMBY HOMEOWNERS ASSOC. INC.,26,-118.430533,34.066393
"$150,000-350,000",WILSHIRE MANNING HOMEOWNERS ASSOCIATION,NA,-118.43529,34.060748
"$150,000-350,000",WISERCARE INC,11,-118.44283,34.05885
"$150,000-350,000",YAGOUBZADEH LAW FIRM LLP,26,-118.442,34.05907
"$150,000-350,000","ELITE SALES AND SERVICES, LLC",19,-118.430186,34.062883
"$150,000-350,000","PAULSETH &AMP; ASSOCIATES PHYSICAL THERAPY,",12,-118.42319,34.05844
$1-2 million,"SHOUT! FACTORY, LLC",77,-118.44468,34.04838
"$350,000-1 million","MOJIX, INC.",,-118.443973,34.047989
"$150,000-350,000",DATTNER DISPOTO AND ASSOCIATES,0,-118.43031,34.05353
"$150,000-350,000",MPCA ADMINISTRATION LLC,,-118.43014,34.0538
"$350,000-1 million","LOLA VISUAL EFFECTS, LLC",49,-118.425485,34.056858
