LoanRange,BusinessName,Address,JobsRetained,long,lat
"d $350,000-1 million",HELNGO 8750 LLC,10875 Kinross Avenue,84.0,-118.444761,34.06092
"d $350,000-1 million","HOFFMAN, SABBAN & WATENMAKER, A PROFESSIONAL CORPORATION",10880 WILSHIRE BLVD STE. 2200,27.0,-118.44283,34.05885
"d $350,000-1 million","INDIVEST, INCORPORATED",10877 WILSHIRE BLVD 300,24.0,-118.44254,34.05934
"d $350,000-1 million","JAMES CAPITAL ADVISORS, INC",10960 Wilshire Blvd #805,21.0,-118.445973,34.057997
"d $350,000-1 million",JG MARTELL GROUP INC,"10877 Wilshire Blvd, Suite 2300",47.0,-118.44254,34.05934
"d $350,000-1 million","LEUEN, INC.",10880 WILSHIRE BLVD,82.0,-118.442926,34.058731
"d $350,000-1 million",MALONEY-SHAMIE VISION INSTITUTE,10921 Wilshire Blvd Suite 900,24.0,-118.44477,34.05881
"d $350,000-1 million","MCNICHOLAS & MCNICHOLAS, LLP",10866 WILSHIRE BLVD Suite 1400,,-118.442,34.05907
"d $350,000-1 million","MEDCAFE WESTWOOD, LLC",1139 GLENDON AVE,35.0,-118.443891,34.060067
"d $350,000-1 million","MEDQIA, LLC",18050 WILSHIRE BLVD STE 1170,38.0,-124.313672,43.345994
"d $350,000-1 million","METALLICA CLUB, INC.",10990 WILSHIRE BLVD 8TH FLLOOR,20.0,-118.447776,34.05768
"d $350,000-1 million","MYLIFE.COM, INC.",100 GLENDON AVE STE 720,33.0,174.694515,-36.887652
"d $350,000-1 million",NELSON HARDIMAN LLP,1100 GLENDON AVE Suite 1400,40.0,-118.44418,34.06074
"d $350,000-1 million",PACIFIC HERITAGE COMMUNITIES CORP.,1263 WESTWOOD BLVD #210,23.0,-118.44327,34.05743
"d $350,000-1 million",PFC MANAGEMENT LLC,10921 WILSHIRE BLVD ste 700,55.0,-118.44477,34.05881
"d $350,000-1 million",RBB ARCHITECTS INC,10980 WILSHIRE BOULEVARD,44.0,-118.44673,34.0578
"d $350,000-1 million","SEA VIEW RESTAURANTS, INC.",10880 WILSHIRE BLVD,123.0,-118.442926,34.058731
"d $350,000-1 million",SOUTHERN CALIFORNIA TENNIS ASSOCIATION,PO Box 240015,63.0,-8.622207,41.248909
"d $350,000-1 million","STRATEGIC DEVELOPMENT SOLUTIONS, LLC",1281 Westwood Boulevard,16.0,-118.443084,34.057119
"d $350,000-1 million","TANNER MAINSTAIN GLYNN & JOHNSON, LLP",10866 WILSHIRE BLVD FL 10,40.0,-118.442,34.05907
"d $350,000-1 million",TAYLOR AND LIEBERMAN AAC,10866 WILSHIRE BLVD Ste 1100,28.0,-118.442,34.05907
"d $350,000-1 million",THE ROMAN CATHOLIC ARCHBISHOP OF LOS ANGELES,1536 Selby Avenue,64.0,-92.981386,44.830465
"d $350,000-1 million","THOMAS ST JOHN, INC",10877 WILSHIRE BLVD STE 1550,30.0,-118.44254,34.05934
"d $350,000-1 million",UNIVERSITY PODIATRY GROUP INC,100 UCLA MEDICAL PLZ STE 460,24.0,-118.445839,34.06522
"d $350,000-1 million","WJD RESTAURANT GROUP, LLC",1301 WESTWOOD BLVD.,40.0,-85.150676,39.642329
"e $150,000-350,000",2301 WB BUILDING LLC.,10940 WILSHIRE BLVD SUITE 1225,16.0,-118.4452,34.05822
"e $150,000-350,000",A NEW START TREATMENT & RECOVERY CTR LLC,1251 Westwood Boulevard,26.0,-118.443362,34.057583
"e $150,000-350,000","A.G. PROPERTIES, INC.",1324 Warnall Avenue,6.0,-118.42574,34.06442
"e $150,000-350,000","ADLER-WEINER RESEARCH L.A, INC.",10960 WILSHIRE BLVD #1250,30.0,-118.445973,34.057997
"e $150,000-350,000","AHDOOT &AMP; WOLFSON, A PROFESSIONAL CORPORATION",10728 Lindbrook Drive,12.0,-118.437294,34.061505
"e $150,000-350,000","ALL ACCESS MUSIC GROUP, INC.",10880 WILSHIRE BLVD Ste 1000,30.0,-118.44283,34.05885
"e $150,000-350,000","AMERICAL MANAGEMENT CO., INC.",10940 Wilshire Blvd. 1960,15.0,-76.0129183,40.3344483
"e $150,000-350,000",AMERICAN COLLEGE EDUCATION INK,10880 WILSHIRE BLVD STE 122,30.0,-118.44283,34.05885
"e $150,000-350,000",AMI ASSET MANAGEMENT CORPORATION,10866 WILSHIRE BLVD,15.0,-118.442,34.05907
"e $150,000-350,000",AP ORIGINAL LLC,1100 GLENDON AVE SUITE 2000,16.0,-118.44418,34.06074
"e $150,000-350,000",ARMOR GUYS INC.,10990 WILSHIRE BLVD STE 1410,18.0,-118.44711,34.0577
"e $150,000-350,000","ASI/SILICA MACHINERY, LLC",515 Loring  AVE,20.0,-122.214021,38.05576
"e $150,000-350,000","BARNEYS WESTWOOD, LP",1037 S. BROXTON AVE,33.0,-118.446671,34.061739
"e $150,000-350,000",BAUM ORTHODONTIC ASSOCIATES,10921 Wilshire Blvd 804,10.0,-118.44477,34.05881
"e $150,000-350,000",BEVERLY HILLS STERLING CLEANERS INC,1600 WESTWOOD BLVD,20.0,-96.851654,39.039588
"e $150,000-350,000","BIG MAN MEDIA, INC.",WILSHIRE BLVD,18.0,-118.3039615,34.0626745
"e $150,000-350,000","BLENDED STRATEGY GROUP, LLC",1100 GLENDON AVE Suite 1220,17.0,-118.44418,34.06074
"e $150,000-350,000","BLUE ELAN RECORDS, LLC",10880 WILSHIRE BLVD 2000,11.0,-118.442926,34.058731
"e $150,000-350,000","BONDED FILMS, LLC",10433 Wilshire Blvd Suite 707,12.0,-118.430533,34.066393
"e $150,000-350,000","BRUIN BIOMETRICS, LLC.","10877 Wilshire Blvd., Suite 1600",17.0,-118.44254,34.05934
"e $150,000-350,000",C. 2K ENTERTAINMENT INC,1067 GAYLEY AVE,12.0,-118.447154,34.06075
"e $150,000-350,000",CALFUND LLC,1633 WESTWOOD BLVD,200.0,-96.850078,39.040121
"e $150,000-350,000","CAMBRIA/HOTEL INVESTORS, LLC",10850 WILSHIRE BLVD STE 1050,23.0,-118.441394,34.059227
"e $150,000-350,000",CAMINO INDUSTRIES LLC,1073 Glendon Avenue,13.0,-118.44463,34.06116
"e $150,000-350,000","CAPRI PROPERTIES, A CALIFORNIA CORPORATION",1508 wyton drive,12.0,-1.771678,54.972095
"e $150,000-350,000",CENTURY INVESTMENT HOLDINGS LLC DBA CARRIAGE TRADE CLEANERS OR CARRIAGE,1600 Westwood Blvd,25.0,-96.851654,39.039588
"e $150,000-350,000",CHABAD OF CALIFORNIA,741 Gayley Avenue,45.0,-118.448291,34.064467
"e $150,000-350,000","CMNTY RCRDS, LLC","10877 Wilshire Blvd, Suite 1550",2.0,-118.44254,34.05934
"e $150,000-350,000",CRENOVATE INC,10940 WILSHIRE BLVD STE 1600,25.0,-118.4452,34.05822
"e $150,000-350,000",DBA AMA PROJECT MANAGEMENT,10940 WILSHIRE BLVD SUITE 1950,,-118.4452,34.05822
"e $150,000-350,000","DC ARCHITECTS, INC.",969 HILGARD AVE Unit 708,18.0,-118.441871,34.062102
"e $150,000-350,000","DIDDY RIESE COOKIES, INC.",926 Broxton Avenue,,-118.446851,34.063024
"e $150,000-350,000","DREAMVILLE RECORDS, LLC",10960 WILSHIRE BLVD,10.0,-118.44673,34.057044
"e $150,000-350,000",DYLAN RUGA,1100 GLENDON AVE,10.0,-118.44418,34.06074
"e $150,000-350,000","EMPORIUM THAI CUISINE, LLC",1275 WESTWOOD BLVD,22.0,-118.44315,34.05722
"e $150,000-350,000",ENGLISH LANGUAGE CENTER INC,10850 Wilshire Blvd Ste 210,130.0,-118.441394,34.059227
"e $150,000-350,000",ENTERPRISE CONSULTANTS GROUP LLC,10940 WILSHIRE BLVD,15.0,-118.4452,34.05822
"e $150,000-350,000",EXQUISITE RUGS LLC,10790 WILSHIORE BLVD SUITE 1703,16.0,-118.43943,34.05974
"e $150,000-350,000",FAIRMONT MANAGEMENT INC.,"845 Thayer Ave.,",27.0,-80.811108,41.892745
"e $150,000-350,000","FENTON &AMP; ROSS, AN ACCOUNTANCY",10866 WILSHIRE BLVD STE 1250,12.0,-118.442,34.05907
"e $150,000-350,000","FRIEDMAN & ASSOCIATES, INC.",1100 GLENDON AVE,7.0,-118.44418,34.06074
"e $150,000-350,000","GARRY M. GEKHT, A LAW CORPORATION","10866 Wilshire Blvd., Suite 660",9.0,-118.442,34.05907
"e $150,000-350,000","GOLF WANG MERCHANDISING, LLC",10960 WILSHIRE BLVD 5th floor,25.0,-118.445973,34.057997
"e $150,000-350,000","HALSTED, INC.",1103 1/2 GLENDON AVE,7.0,121.02758,14.63639
"e $150,000-350,000",HCR WEALTH ADVISORS,10866 Wilshire Blvd #1600,13.0,-118.442,34.05907
"e $150,000-350,000",HILLEL AT UCLA,574 HILGARD AVE,,-118.438601,34.070155
"e $150,000-350,000",HOSPITALITY RESORTS INC.,10655 Wilshire Blvd.,18.0,-118.435512,34.061214
"e $150,000-350,000","INTELLI-HEART SERVICES, INC",10850 WILSHIRE BLVD STE 740,35.0,-118.441394,34.059227
"e $150,000-350,000",J & Y BUSINESS GROUP,1100 GLENDON AVEFL17,10.0,-118.44418,34.06074
"e $150,000-350,000","J.R. BERRY SEARCH GROUP, INC.",1100 Glendon Ave,10.0,-118.44418,34.06074
"e $150,000-350,000","JASON SNIBBE, M.D., PROFESSIONAL MEDICAL CORPORATION",215 Loring Avenue,14.0,-73.805439,40.905849
"e $150,000-350,000","JONES, ACKERMAN & CORMAN LLP",10960 WILSHIRE BLVD Suite 1225,7.0,-118.445973,34.057997
"e $150,000-350,000","JUST JARED, INC.",10800 WILSHIRE BLVD SUITE 1101,8.0,-118.44013,34.05955
"e $150,000-350,000",KAIROS CAPITAL GROUP LLC,10481 Wyton Dr,10.0,-118.435431,34.072156
"e $150,000-350,000",KOPENTECH,10880 Wilshire Blvd 1100,11.0,-118.442926,34.058731
"e $150,000-350,000","KORA US, LLC",10960 WILSHIRE BLVD 5th Floor,27.0,-118.445973,34.057997
"e $150,000-350,000","KOSS OAK QUARRY, LLC",10580 Wilshire Blvd #92,42.0,-118.433143,34.061594
"e $150,000-350,000",LAMONICAS NY PIZZA CO INC,1066 GAYLEY AVE.,,-118.44686,34.06093
"e $150,000-350,000",LESENFANTS INC,2707 VIRGINIA AVE,0.0,-85.132222,39.668576
"e $150,000-350,000",MERELEX CORPORATION,10884 Weyburn Ave.,22.0,-118.444059,34.062546
"e $150,000-350,000",MICHAEL A KAHN APC,10990 Wilshire Blvd,9.0,-118.447776,34.05768
"e $150,000-350,000","MR.NOODLE, INC",936 BROXTON AVE,24.0,-118.446831,34.062961
"e $150,000-350,000",MYNHD INC,1100 Wilshire Blvd #241426,37.0,-89.556395,44.549434
"e $150,000-350,000",NATIONAL CHILDRENS CHORUS,580 HILGARD AVE,126.0,-118.438653,34.06995
"e $150,000-350,000",NOMOTA LLC,10990 WILSHIRE BLVD 8th Floor,15.0,-118.44711,34.0577
"e $150,000-350,000",NUKI SUB INC,10511 ASHTON AVE #303,38.0,-118.431411,34.063279
"e $150,000-350,000","OUR LADY PRODUCTIONS, INC.","10960 Wilshire Blvd., Flr 5",0.0,-93.3463572,45.0517208
"e $150,000-350,000","PAPA BURGER, LLC",10955 KINROSS AVE,46.0,-118.446803,34.060196
"e $150,000-350,000",PASICH LLP,10940 WILSHIRE BLVD STE 800,13.0,-118.4452,34.05822
"e $150,000-350,000",PAUL ANKA PRODUCTIONS INC,"10960 WILSHIRE BLVD, FL 5",0.0,-118.445973,34.057997
"e $150,000-350,000","PHILIP O. MENDELOVITZ D.D.S., A PROFESSIONAL CORPORATION",100 UCLA MEDICAL PLZ STE 445,9.0,-118.445839,34.06522
"e $150,000-350,000","PICOA, INC.",10866 WILSHIRE BLVD,8.0,-118.442,34.05907
"e $150,000-350,000",PULSAR ADVERTISING INC,10940 WILSHIRE BLVD STE 1050,16.0,-118.4452,34.05822
"e $150,000-350,000",QUINCY JONES PRODUCTIONS INC,10850 Wilshire Blvd Ste 1200,14.0,-118.441394,34.059227
"e $150,000-350,000",REGENCY WILSHIRE HOMEOWNERS' ASSOCIATION,10551 Wilshire Blvd,,-118.433261,34.062526
"e $150,000-350,000",REGENT WEST CORPORATION,1109 Westwood Blvd,14.0,-63.872495,44.733777
"e $150,000-350,000",SEPHARDIC JEWISH COMMUNITY AND BROTHERHOOD OF LOS ANGELES,10500 WILSHIRE BLVD,39.0,-118.432472,34.06353
"e $150,000-350,000","SILTON GROUP, LLC",10866 Wilshire Blvd Ste 1550,21.0,-118.442,34.05907
"e $150,000-350,000","SO FRESH, L P",1124 Manning Ave.,21.0,-81.549073,41.063499
"e $150,000-350,000",SOHRAB INC,1712 WESTWOOD BLVD,53.0,-96.849535,39.041821
"e $150,000-350,000",SOULITO'S WAY,10960 WILSHIRE BLVD 5th Floor,12.0,-118.445973,34.057997
"e $150,000-350,000",STARWIN CORP.,1519 Ensley Avenue,19.0,-118.42262,34.06308
"e $150,000-350,000","STEALTH SOFTWARE TECHNOLOGIES, INC.",PO BOX 241631,16.0,-8.622207,41.248909
"e $150,000-350,000",STEVEN B SILBART MD A MEDICAL CORP,10921 WILSHIRE BLVD SUITE 604,,-118.44477,34.05881
"e $150,000-350,000",SUNNIN LEBANESE CAFE INC,1776 Westwood Blvd,29.0,-118.437415,34.050535
"e $150,000-350,000","SWEET AMBER VENTURES, INC.",10990 WILSHIRE BLVD 8TH FLOOR,18.0,-118.44711,34.0577
"e $150,000-350,000",TEKLEAD CORP.,10880 WILSHIRE BLVD 1101,10.0,-118.442926,34.058731
"e $150,000-350,000","TESS FINKLE PUBLIC RELATIONS, INC.",10960 WILSHIRE BLVD Suite 1900,22.0,-118.445973,34.057997
"e $150,000-350,000",THE APP DEVELOPMENT AND MARKETING DBA AD AM INC. OR RAIN OR RAIN LOCAL,"10866 Wilshire Blvd., Suite 970",6.0,-118.442,34.05907
"e $150,000-350,000",THE SAUCE LLC DBA VIOLET,1121 Glendon Ave,,-118.444302,34.060441
"e $150,000-350,000",THE WHISPER HOUSE LLC,10960 Wilshire Boulevard 5th Floor,42.0,-118.445973,34.057997
"e $150,000-350,000",TMC ICE PROTECTION SYSTEMS LLC,10850 Wilshire Blvd Fl 6,8.0,-118.441394,34.059227
"e $150,000-350,000",TRENT MANAGEMENT LLC,907 WESTWOOD BLVD,13.0,-84.443954,42.236431
"e $150,000-350,000","TRI-WEST ENTERPRISES, LLC",1000 GAYLEY AVE,35.0,-118.44759,34.06187
"e $150,000-350,000","TRIYAR REALTY GROUP, LLC",10850 Wilshire Blvd Ste 1250,20.0,-118.441394,34.059227
"e $150,000-350,000",TRIYAR RETAIL GROUP OF TX INC,10850 WILSHIRE BLVD STE 1250,14.0,-118.441394,34.059227
"e $150,000-350,000","UNIVERSITY VASCULAR ASSOCIATES - WESTWOOD, INC",1082 GLENDON AVE,26.0,-118.44445,34.061055
"e $150,000-350,000","VASCULAR MANAGEMENT ASSOCIATES, INC",1082 GLENDON AVE,25.0,-118.44445,34.061055
"e $150,000-350,000",VICKEN SHAKIAN M.D. INC,10921 WILSHIRE BLVD,6.0,-118.44477,34.05881
"e $150,000-350,000",VIVID HOLDINGS LLC,1281 Westwood Blvd Suite 107,9.0,-118.443084,34.057119
"e $150,000-350,000","WESTERN DRUG, INC.",10921 Wilshire Boulevard - Lobby 0.0,12.0,-118.44477,34.05881
"e $150,000-350,000","WIDOM SAVEY & GARFINKEL, LLP","10866 WILSHIRE BLVD, SUITE 900",11.0,-118.442,34.05907
"e $150,000-350,000","WILLIAM C. KIM MD., INC.",321 CONWAY AVE,18.0,-75.265534,40.008763
"e $150,000-350,000",WILSHIRE HOLMBY HOMEOWNERS ASSOC. INC.,10433 WILSHIRE BLVD.,26.0,-118.430533,34.066393
"e $150,000-350,000",WILSHIRE MANNING HOMEOWNERS ASSOCIATION,10660 Wilshire Boulevard,,-118.43529,34.060748
"e $150,000-350,000",WISERCARE INC,10880 WILSHIRE BLVD STE 2240,11.0,-118.44283,34.05885
"e $150,000-350,000",YAGOUBZADEH LAW FIRM LLP,10866 WILSHIRE BLVD STE 600,26.0,-118.442,34.05907
