entry_term_cd,entry_year_trailing_summer_7,admit_level,start_major,deg_major,section,headcount
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,PUBLIC AFFAIRS                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,COMPUTER SCIENCE                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ANTHROPOLOGY                                                                                                            ,ANTHROPOLOGY-BS                                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,31
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASIAN AMERICAN STUDIES                                                                                                  ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,CHEMICAL ENGINEERING                                                                                                    ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,CIVIL ENGINEERING                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,APPLIED LINGUISTICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,EDUCATION AND SOCIAL TRANSFORMATION                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,MECHANICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,27
18F,2018-19,Freshman,CHEMICAL ENGINEERING                                                                                                    ,BIOCHEMISTRY                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMICAL ENGINEERING                                                                                                    ,COMPUTATIONAL AND SYSTEMS BIOLOGY                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPARATIVE LITERATURE                                                                                                  ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTER SCIENCE                                                                                                        ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,DESIGN / MEDIA ARTS                                                                                                     ,ART HISTORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,DESIGN / MEDIA ARTS                                                                                                     ,DESIGN / MEDIA ARTS                                                                                                     ,Fall 1 to Degree,19
18F,2018-19,Freshman,ECONOMICS                                                   ,Did not graduate by Summer 23,Fall 1 to Degree,10
18F,2018-19,Freshman,ECONOMICS                                                   ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGINEERING GEOLOGY                                                                                                     ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,AMERICAN LITERATURE AND CULTURE                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,EDUCATION AND SOCIAL TRANSFORMATION                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,MECHANICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,ARCHITECTURAL STUDIES                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,GLOBAL STUDIES                                                                                                          ,Fall 1 to Degree,14
18F,2018-19,Freshman,ANTHROPOLOGY-BS                                                                                                         ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,ENGINEERING GEOLOGY                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,Did not graduate by Summer 23,Fall 1 to Degree,26
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,COMPUTER SCIENCE                                                                                                        ,Fall 1 to Degree,12
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,ELECTRICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,BIOENGINEERING                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,Did not graduate by Summer 23,Fall 1 to Degree,10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,COMPUTER SCIENCE                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTER ENGINEERING                                                                                                    ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,ENGLISH                                                                                                                 ,Fall 1 to Degree,55
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,ETHNOMUSICOLOGY                                                                                                         ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,COMMUNICATION                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GEOLOGY                                                                                                                 ,AFRICAN AMERICAN STUDIES                                                                                                ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HISTORY                                                     ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,APPLIED LINGUISTICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS                                                                                                             ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS                                                                                                             ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AEROSPACE ENGINEERING                                                                                                   ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AEROSPACE ENGINEERING                                                                                                   ,PHYSICS                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AFRICAN AMERICAN STUDIES                                                                                                ,EDUCATION AND SOCIAL TRANSFORMATION                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AMERICAN INDIAN STUDIES                                                                                                 ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,16
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,LABOR STUDIES                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,CHICANA AND CHICANO STUDIES                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,MECHANICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CLIMATE SCIENCE                                                                                                         ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,NEUROSCIENCE                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTER ENGINEERING                                                                                                    ,ELECTRICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,COMPUTER ENGINEERING                                                                                                    ,Fall 1 to Degree,16
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGINEERING GEOLOGY                                                                                                     ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,48
18F,2018-19,Freshman,GENDER STUDIES                                                                                                          ,ASIAN AMERICAN STUDIES                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GENDER STUDIES                                                                                                          ,GENDER STUDIES                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GEOGRAPHY                                                                                                               ,GEOGRAPHY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AEROSPACE ENGINEERING                                                                                                   ,MECHANICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ANTHROPOLOGY                                                                                                            ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,ANTHROPOLOGY-BS                                                                                                         ,MUSICOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ANTHROPOLOGY-BS                                                                                                         ,PUBLIC AFFAIRS                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART                                                                                                                     ,COMMUNICATION                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART HISTORY                                                                                                             ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,AMERICAN LITERATURE AND CULTURE                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,LABOR STUDIES                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,MATERIALS ENGINEERING                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,35
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,PHYSIOLOGICAL SCIENCE                                                                                                   ,Fall 1 to Degree,40
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,14
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,NEUROSCIENCE                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,ELECTRICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,PHILOSOPHY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPARATIVE LITERATURE                                                                                                  ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
