word,female,male,difference,difference_abs,POLARITY VALUE,POLARITY INTENSITY,POS
method,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,positive,0.599,NOUN
community,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,positive,0.539,NOUN
preparing,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,positive,0.747,VERB
cared,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,positive,0.863,ADJ
music,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,positive,0.54,NOUN
challenging,0.11498458161292009,0.1477771848446287,0.032792603231708614,0.032792603231708614,positive,0.842,VERB
approach,0.02090628756598547,0.05336398341611592,0.032457695850130454,0.032457695850130454,positive,0.612,NOUN
okay,0.07317200648094915,0.04104921801239686,-0.032122788468552294,0.032122788468552294,positive,0.235,ADP
nothing,0.04181257513197094,0.07388859242231435,0.032076017290343414,0.032076017290343414,negative,-0.323,NOUN
background,0.04181257513197094,0.07388859242231435,0.032076017290343414,0.032076017290343414,negative,-0.964,NOUN
help,0.454711754560184,0.4228069455276877,-0.03190480903249626,0.03190480903249626,positive,0.84,NOUN
foundation,0.0313594313489782,0.0,-0.0313594313489782,0.0313594313489782,positive,0.825,NOUN
correctness,0.0313594313489782,0.0,-0.0313594313489782,0.0313594313489782,positive,0.635,NOUN
lack,0.0313594313489782,0.0,-0.0313594313489782,0.0313594313489782,negative,-0.774,NOUN
favor,0.0313594313489782,0.0,-0.0313594313489782,0.0313594313489782,positive,0.458,NOUN
cut,0.0313594313489782,0.0,-0.0313594313489782,0.0313594313489782,negative,-0.815,NOUN
harsh,0.0313594313489782,0.0,-0.0313594313489782,0.0313594313489782,positive,0.812,NOUN
knowledgeable,0.04703914702346731,0.016419687204958747,-0.03061945981850856,0.03061945981850856,positive,0.995,ADJ
generally,0.0627188626979564,0.03283937440991749,-0.029879488288038908,0.029879488288038908,positive,0.835,ADV
awful,0.04181257513197094,0.012314765403719058,-0.029497809728251882,0.029497809728251882,negative,-0.621,ADJ
collaborative,0.04181257513197094,0.012314765403719058,-0.029497809728251882,0.029497809728251882,positive,0.771,ADJ
struggling,0.0156797156744891,0.04515413981363655,0.02947442413914745,0.02947442413914745,negative,-0.65,VERB
freshman,0.057492290806460046,0.028734452608677807,-0.02875783819778224,0.02875783819778224,positive,0.961,NOUN
bearable,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,negative,-0.902,ADJ
plus,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,negative,-0.422,CONJ
fantastic,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.853,ADJ
double,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,negative,-0.825,ADJ
genuine,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.284,ADJ
quick,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.138,NOUN
complain,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,negative,-0.33,NOUN
thanks,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.853,NOUN
specifically,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.767,ADV
save,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.655,VERB
generously,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.867,ADV
certainly,0.0,0.028734452608677807,0.028734452608677807,0.028734452608677807,positive,0.161,ADV
learned,0.2090628756598547,0.1806165592545462,-0.028446316405308508,0.028446316405308508,positive,0.774,VERB
mind,0.04181257513197094,0.06978367062107467,0.02797109548910373,0.02797109548910373,positive,0.169,NOUN
sweet,0.05226571891496368,0.024629530807438117,-0.02763618810752556,0.02763618810752556,positive,0.847,NOUN
knows,0.0627188626979564,0.0903082796272731,0.0275894169293167,0.0275894169293167,positive,0.802,VERB
straightforward,0.1254377253959128,0.09851812322975247,-0.026919602166160336,0.026919602166160336,positive,0.794,ADV
little,0.21951601944284743,0.2462953080743812,0.026779288631533754,0.026779288631533754,positive,0.989,ADJ
prepared,0.08362515026394188,0.05746890521735561,-0.026156245046586264,0.026156245046586264,positive,0.846,ADJ
typically,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.855,ADV
longer,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.164,ADJ
regular,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.869,ADJ
beware,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.843,NOUN
stop,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.833,VERB
harshly,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.899,NOUN
stick,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.841,NOUN
saved,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.846,VERB
computational,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.869,ADJ
mathematics,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.877,NOUN
stopped,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.562,VERB
anxiety,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.33,NOUN
include,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,positive,0.133,VERB
poll,0.02613285945748184,0.0,-0.02613285945748184,0.02613285945748184,negative,-0.412,NOUN
heavily,0.04181257513197094,0.016419687204958747,-0.025392887927012192,0.025392887927012192,negative,-0.794,ADV
worth,0.1306642972874092,0.1559870284471081,0.025322731159698908,0.025322731159698908,positive,0.138,ADJ
real,0.03658600324047458,0.0615738270185953,0.02498782377812072,0.02498782377812072,positive,0.887,ADJ
write,0.09407829404693462,0.11904273223595091,0.024964438189016294,0.024964438189016294,positive,0.119,ADJ
accuracy,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.675,NOUN
appreciation,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.659,NOUN
exact,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.838,ADJ
rate,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.827,NOUN
dedicated,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.847,VERB
reflection,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.223,NOUN
bonus,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.883,NOUN
ensure,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.317,VERB
compare,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.303,ADJ
proud,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.408,ADJ
ready,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.837,ADJ
push,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,negative,-0.91,ADJ
culture,0.0,0.024629530807438117,0.024629530807438117,0.024629530807438117,positive,0.33,NOUN
submit,0.03658600324047458,0.012314765403719058,-0.02427123783675552,0.02427123783675552,negative,-0.863,NOUN
majority,0.03658600324047458,0.012314765403719058,-0.02427123783675552,0.02427123783675552,positive,0.859,NOUN
worry,0.02090628756598547,0.04515413981363655,0.02424785224765108,0.02424785224765108,negative,-0.657,VERB
buy,0.02090628756598547,0.04515413981363655,0.02424785224765108,0.02424785224765108,positive,0.497,VERB
choice,0.1306642972874092,0.10672796683223185,-0.023936330455177346,0.023936330455177346,positive,0.24,NOUN
fast,0.07317200648094915,0.04925906161487623,-0.02391294486607292,0.02391294486607292,positive,0.214,ADV
quickly,0.04181257513197094,0.06567874881983499,0.023866173687864048,0.023866173687864048,negative,-0.806,ADV
basically,0.16725030052788376,0.14367226304338904,-0.023578037484494718,0.023578037484494718,positive,0.264,ADV
thank,0.05226571891496368,0.028734452608677807,-0.02353126630628587,0.02353126630628587,positive,0.925,VERB
organized,0.0627188626979564,0.08620335782603342,0.023484495128077015,0.023484495128077015,positive,0.229,VERB
care,0.08885172215543825,0.06567874881983499,-0.023172973335603267,0.023172973335603267,positive,0.66,NOUN
impossible,0.02613285945748184,0.04925906161487623,0.023126202157394395,0.023126202157394395,negative,-0.832,ADJ
useless,0.06794543458945278,0.04515413981363655,-0.022791294775816227,0.022791294775816227,negative,-0.973,ADJ
awesome,0.04703914702346731,0.06978367062107467,0.022744523597607362,0.022744523597607362,positive,0.905,NOUN
liked,0.0313594313489782,0.05336398341611592,0.022004552067137723,0.022004552067137723,positive,0.544,VERB
provide,0.0627188626979564,0.04104921801239686,-0.02166964468555954,0.02166964468555954,positive,0.861,ADJ
optional,0.0627188626979564,0.04104921801239686,-0.02166964468555954,0.02166964468555954,negative,-0.18,ADJ
manageable,0.0627188626979564,0.04104921801239686,-0.02166964468555954,0.02166964468555954,negative,-0.888,ADJ
answer,0.28223488214080383,0.30376421329173675,0.021529331150932918,0.021529331150932918,positive,0.248,NOUN
attention,0.156797156744891,0.13546241944090964,-0.02133473730398136,0.02133473730398136,positive,0.66,NOUN
easiest,0.04181257513197094,0.02052460900619843,-0.02128796612577251,0.02128796612577251,negative,-0.86,ADJ
depth,0.04181257513197094,0.02052460900619843,-0.02128796612577251,0.02128796612577251,positive,0.892,NOUN
normal,0.04181257513197094,0.02052460900619843,-0.02128796612577251,0.02128796612577251,positive,0.847,ADJ
informative,0.04181257513197094,0.02052460900619843,-0.02128796612577251,0.02128796612577251,positive,0.859,ADJ
mention,0.0156797156744891,0.03694429621115718,0.021264580536668076,0.021264580536668076,positive,0.877,NOUN
research,0.0156797156744891,0.03694429621115718,0.021264580536668076,0.021264580536668076,positive,0.895,NOUN
stuck,0.0156797156744891,0.03694429621115718,0.021264580536668076,0.021264580536668076,positive,0.833,VERB
worried,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.63,ADJ
lesson,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.82,NOUN
sign,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.883,NOUN
percent,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.13,NOUN
hopefully,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.624,ADV
incorrect,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.393,ADJ
owl,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.163,NOUN
deserve,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.789,NOUN
worse,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.534,ADV
effectively,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.843,ADV
reinforce,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.889,VERB
environment,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.873,NOUN
strict,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.126,ADJ
poor,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.501,ADJ
unreasonable,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.879,ADJ
curriculum,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.855,NOUN
naturally,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.876,ADV
types,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.831,VERB
paid,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.78,VERB
bored,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.602,ADJ
therapy,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.294,NOUN
reach,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.836,VERB
creative,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.804,ADJ
