word,female,male,difference,difference_abs,POLARITY VALUE,POLARITY INTENSITY,POS
culture,0.024361435109995572,0.015855855101555967,-0.008505580008439605,0.008505580008439605,positive,0.33,NOUN
fink,0.0004921502042423348,0.008948353869194951,0.008456203664952616,0.008456203664952616,negative,-0.661,VERB
receive,0.02497662286529849,0.016536139313833943,-0.008440483551464546,0.008440483551464546,positive,0.845,ADJ
job,0.05438259756877799,0.0627954657487365,0.00841286817995851,0.00841286817995851,negative,-0.766,NOUN
breakdown,0.026576111029086073,0.018263014621924197,-0.008313096407161876,0.008313096407161876,positive,0.986,ADP
sociology,0.017102219597421135,0.00879136520482311,-0.008310854392598025,0.008310854392598025,negative,-0.893,NOUN
worst,0.08292730941483341,0.07462194513141521,-0.008305364283418201,0.008305364283418201,negative,-0.841,ADJ
prompt,0.023254097150450317,0.014966252670115532,-0.008287844480334785,0.008287844480334785,positive,0.301,ADJ
fail,0.013411093065603624,0.021664435683314096,0.008253342617710472,0.008253342617710472,negative,-0.15,ADJ
genius,0.004060239184999262,0.012245115821003617,0.008184876636004354,0.008184876636004354,positive,0.863,NOUN
awesome,0.05955017471332251,0.06771444389905419,0.008164269185731682,0.008164269185731682,positive,0.905,VERB
hilarious,0.006890102859392687,0.015018582224906148,0.00812847936551346,0.00812847936551346,positive,0.684,ADJ
requirement,0.028790786948176585,0.020670174142292434,-0.00812061280588415,0.00812061280588415,positive,0.442,NOUN
full,0.06656331512377578,0.058452112701115555,-0.008111202422660224,0.008111202422660224,positive,0.901,ADJ
mandatory,0.04933805797529406,0.041445007394166095,-0.007893050581127964,0.007893050581127964,positive,0.168,NOUN
gillespie,0.0001230375510605837,0.008006421882963905,0.007883384331903321,0.007883384331903321,positive,0.596,NOUN
harshly,0.0233771347015109,0.015541877772812284,-0.007835256928698615,0.007835256928698615,positive,0.899,ADV
complex,0.012795905310300705,0.020617844587501818,0.007821939277201113,0.007821939277201113,positive,0.887,ADJ
strict,0.020424233476056892,0.012611422704537915,-0.007812810771518977,0.007812810771518977,positive,0.126,ADJ
worth,0.14395393474088292,0.13626616067475822,-0.007687774066124697,0.007687774066124697,positive,0.138,NOUN
willing,0.07911314533195532,0.07142984228918776,-0.007683303042767556,0.007683303042767556,positive,0.866,ADJ
sweetest,0.011442492248634284,0.0037677279449241903,-0.007674764303710093,0.007674764303710093,positive,0.145,ADJ
mathematical,0.005782764899847434,0.013448695581187733,0.0076659306813403,0.0076659306813403,positive,0.24,ADJ
discuss,0.028175599192873664,0.020513185477920592,-0.007662413714953072,0.007662413714953072,positive,0.833,NOUN
zoom,0.024853585314237904,0.01726875308090254,-0.007584832233335365,0.007584832233335365,positive,0.323,NOUN
try,0.10347458044195088,0.1110433152656824,0.007568734823731521,0.007568734823731521,negative,-0.317,NOUN
prepared,0.05389044736453565,0.06143489732418054,0.007544449959644886,0.007544449959644886,positive,0.846,VERB
stressful,0.024607510212116736,0.017164093971321313,-0.007443416240795423,0.007443416240795423,negative,-0.3,ADJ
diversity,0.009596928982725529,0.0021978413012057776,-0.007399087681519751,0.007399087681519751,positive,0.986,NOUN
late,0.04318618042226487,0.035793415476779805,-0.007392764945485068,0.007392764945485068,negative,-0.169,ADV
practical,0.008366553472119691,0.015751195991974738,0.0073846425198550465,0.0073846425198550465,positive,0.302,ADJ
worksheet,0.014641468576209458,0.007273808115895311,-0.007367660460314147,0.007367660460314147,negative,-0.758,NOUN
brilliant,0.00898174122742261,0.01632682109467149,0.007345079867248881,0.007345079867248881,positive,0.882,ADJ
big,0.05561297307938382,0.04835250862652711,-0.007260464452856712,0.007260464452856712,positive,0.822,ADJ
algebra,0.007505290614695606,0.014756934450953078,0.0072516438362574724,0.0072516438362574724,positive,0.807,NOUN
music,0.038387715930902115,0.0311884146552058,-0.007199301275696315,0.007199301275696315,positive,0.54,NOUN
chill,0.026822186131207248,0.03401421061389894,0.007192024482691694,0.007192024482691694,positive,0.855,NOUN
individual,0.02362320980363207,0.016431480204252717,-0.007191729599379353,0.007191729599379353,positive,0.169,ADJ
calculations,0.0076283281657561885,0.014809264005743691,0.007180935839987503,0.007180935839987503,negative,-0.892,NOUN
ecology,0.008858703676362026,0.0017268753080902537,-0.007131828368271772,0.007131828368271772,negative,-0.81,VERB
theoretical,0.005290614695605099,0.012297445375794233,0.0070068306801891345,0.0070068306801891345,negative,-0.884,ADJ
heavy,0.04429351838181013,0.037310972565707604,-0.0069825458161025256,0.0069825458161025256,positive,0.309,ADJ
advice,0.03457355184802402,0.04154966650374732,0.006976114655723301,0.006976114655723301,positive,0.826,NOUN
solution,0.005167577144544515,0.01214045671142239,0.006972879566877876,0.006972879566877876,positive,0.247,NOUN
background,0.03568088980756927,0.04264858715435021,0.006967697346780939,0.006967697346780939,negative,-0.964,ADP
memorization,0.040110241645750284,0.03317693773724912,-0.006933303908501165,0.006933303908501165,positive,0.596,NOUN
complicated,0.01402628082090654,0.0209318219162455,0.00690554109533896,0.00690554109533896,negative,-0.823,VERB
spend,0.036788227767114524,0.04364284869537187,0.006854620928257345,0.006854620928257345,positive,0.816,VERB
types,0.008120478369998524,0.014966252670115532,0.006845774300117008,0.006845774300117008,negative,-0.831,NOUN
owl,0.0007382253063635022,0.007535455889848381,0.006797230583484878,0.006797230583484878,positive,0.163,X
lenient,0.02829863674393425,0.021507447018942253,-0.0067911897249919966,0.0067911897249919966,positive,0.993,NOUN
texts,0.022392834293026232,0.015698866437184125,-0.006693967855842108,0.006693967855842108,positive,0.873,NOUN
poorly,0.02829863674393425,0.021612106128523483,-0.006686530615410767,0.006686530615410767,negative,-0.878,ADV
unclear,0.03125153796938826,0.024594890751588466,-0.006656647217799794,0.006656647217799794,negative,-0.608,ADJ
expected,0.05672031103892908,0.05007938393461737,-0.00664092710431171,0.00664092710431171,positive,0.873,VERB
clear,0.16056400413406172,0.16719292755601095,0.006628923421949234,0.006628923421949234,positive,0.857,ADJ
understanding,0.1380481322899749,0.14453423033167517,0.006486098041700278,0.006486098041700278,positive,0.768,ADJ
dry,0.035434814705448105,0.04191597338728161,0.006481158681833507,0.006481158681833507,negative,-0.804,ADJ
joke,0.015871844086815298,0.02234471989559207,0.006472875808776774,0.006472875808776774,negative,-0.786,NOUN
pop,0.02509966041635907,0.018629321505458495,-0.006470338910900576,0.006470338910900576,positive,0.846,NOUN
care,0.07050051675771445,0.06405137506371124,-0.006449141694003208,0.006449141694003208,positive,0.66,NOUN
approach,0.01562576898469413,0.02203074256684839,0.00640497358215426,0.00640497358215426,positive,0.612,NOUN
challenge,0.012549830208179536,0.01894329883420218,0.0063934686260226446,0.0063934686260226446,positive,0.8,NOUN
submission,0.010089079186967862,0.0037153983901335765,-0.006373680796834286,0.006373680796834286,positive,0.28,NOUN
example,0.03900290368620503,0.04536972400346212,0.006366820317257091,0.006366820317257091,positive,0.871,NOUN
covid,0.034819626950145184,0.028467277806093885,-0.006352349144051299,0.006352349144051299,negative,-0.873,NOUN
change,0.04097150450317437,0.03469449482617692,-0.006277009676997451,0.006277009676997451,negative,-0.261,NOUN
add,0.022638909395147396,0.016379150649462104,-0.006259758745685292,0.006259758745685292,positive,0.752,VERB
rough,0.020424233476056892,0.014181309348256326,-0.006242924127800566,0.006242924127800566,negative,-0.876,ADJ
give,0.15330478862148728,0.1595004830017907,0.006195694380303429,0.006195694380303429,negative,-0.492,ADJ
see,0.09277031349968011,0.0989551881090506,0.0061848746093704915,0.0061848746093704915,positive,0.996,NOUN
tell,0.07406860573847138,0.08022120749401089,0.0061526017555395135,0.0061526017555395135,positive,0.934,VERB
equation,0.003322013878635759,0.00947164941710109,0.006149635538465331,0.006149635538465331,negative,-0.799,NOUN
explanations,0.020424233476056892,0.026531084278841176,0.006106850802784284,0.006106850802784284,negative,-0.865,NOUN
god,0.012795905310300705,0.018890969279411567,0.006095063969110862,0.006095063969110862,positive,0.842,VERB
proof,0.007136177961513854,0.013134718252444052,0.005998540290930198,0.005998540290930198,negative,-0.62,ADJ
submit,0.02030119592499631,0.014338298012628169,-0.005962897912368141,0.005962897912368141,negative,-0.863,NOUN
loves,0.022515871844086814,0.028467277806093885,0.005951405962007071,0.005951405962007071,positive,0.796,NOUN
timed,0.013165017963482455,0.007221478561104698,-0.005943539402377756,0.005943539402377756,negative,-0.76,VERB
cultural,0.009596928982725529,0.003663068835342963,-0.005933860147382565,0.005933860147382565,positive,0.835,ADJ
improved,0.01365716816772479,0.00779710366380145,-0.00586006450392334,0.00586006450392334,positive,0.874,VERB
optional,0.04023327919681086,0.03438051749743324,-0.005852761699377623,0.005852761699377623,negative,-0.18,ADJ
liked,0.05610512328362616,0.05034103170857043,-0.005764091575055724,0.005764091575055724,positive,0.544,ADJ
personal,0.0346965893990846,0.028938243799209406,-0.005758345599875193,0.005758345599875193,positive,0.802,ADJ
jazz,0.0007382253063635022,0.0064888647940361055,0.005750639487672604,0.005750639487672604,positive,0.881,NOUN
copy,0.016856144495299964,0.022554038114754527,0.005697893619454563,0.005697893619454563,positive,0.863,NOUN
nice,0.23783158620010827,0.2321339050511626,-0.005697681148945671,0.005697681148945671,positive,0.127,ADJ
information,0.12254540085634136,0.1168518958474405,-0.005693505008900854,0.005693505008900854,positive,0.516,NOUN
biology,0.022269796741965647,0.01658846886862456,-0.005681327873341087,0.005681327873341087,negative,-0.815,NOUN
fong,0.006151877553029184,0.0004709659931155238,-0.00568091155991366,0.00568091155991366,negative,-0.99,NOUN
hardest,0.0279295240907525,0.03359557417557403,0.005666050084821531,0.005666050084821531,positive,0.303,ADJ
stay,0.05462867267089916,0.04898046328401447,-0.005648209386884692,0.005648209386884692,negative,-0.586,NOUN
behavior,0.010089079186967862,0.004448012157202169,-0.005641067029765693,0.005641067029765693,negative,-0.82,ADV
rose,0.006151877553029184,0.0005232955479061375,-0.005628582005123047,0.005628582005123047,positive,0.175,VERB
sheet,0.02399232245681382,0.029618528011487382,0.005626205554673563,0.005626205554673563,positive,0.18,NOUN
mathematics,0.0024607510212116736,0.008058751437754518,0.005598000416542844,0.005598000416542844,positive,0.877,NOUN
ok,0.018578670210148137,0.024176254313263555,0.005597584103115418,0.005597584103115418,positive,0.597,ADJ
mechanics,0.003937201633938678,0.009523978971891703,0.005586777337953025,0.005586777337953025,negative,-0.874,NOUN
nag,0.0,0.005546932807805058,0.005546932807805058,0.005546932807805058,negative,-0.907,ADJ
report,0.01833259510802697,0.02386227698451987,0.005529681876492901,0.005529681876492901,positive,0.175,NOUN
development,0.012303755106058368,0.006802842122779787,-0.005500912983278581,0.005500912983278581,positive,0.819,NOUN
smith,0.010212116738028446,0.004761989485945852,-0.005450127252082594,0.005450127252082594,positive,0.803,ADJ
education,0.01931689551651164,0.013867332019512645,-0.005449563496998995,0.005449563496998995,positive,0.798,NOUN
follow,0.0754220188001378,0.08084916215149825,0.00542714335136045,0.00542714335136045,positive,0.14,VERB
quantum,0.0029529012254540087,0.0083727287664982,0.005419827541044191,0.005419827541044191,positive,0.574,ADJ
weird,0.014272355923027709,0.019675912601270773,0.0054035566782430645,0.0054035566782430645,negative,-0.76,NOUN
set,0.044785668586052464,0.050184043044198594,0.00539837445814613,0.00539837445814613,positive,0.972,VERB
favorite,0.06447167675574585,0.05913239691339354,-0.005339279842352308,0.005339279842352308,positive,0.792,ADJ
cheat,0.01697918204636055,0.02229239034080146,0.005313208294440909,0.005313208294440909,negative,-0.578,NOUN
slowly,0.005782764899847434,0.011093865615610116,0.005311100715762683,0.005311100715762683,positive,0.951,ADV
economics,0.012918942861361287,0.018210685067133584,0.005291742205772297,0.005291742205772297,positive,0.841,NOUN
waste,0.04207884246271962,0.036787677017801466,-0.005291165444918151,0.005291165444918151,negative,-0.451,NOUN
geography,0.007382253063635022,0.012663752259328528,0.005281499195693506,0.005281499195693506,positive,0.202,NOUN
cover,0.035803927358629854,0.041026370955841183,0.005222443597211329,0.005222443597211329,positive,0.179,NOUN
cause,0.01304198041242187,0.018263014621924197,0.005221034209502326,0.005221034209502326,positive,0.888,NOUN
dense,0.027560411437570747,0.02234471989559207,-0.005215691541978675,0.005215691541978675,positive,0.159,ADJ
awake,0.01304198041242187,0.018210685067133584,0.005168704654711713,0.005168704654711713,positive,0.943,NOUN
respect,0.01562576898469413,0.01046591095812275,-0.00515985802657138,0.00515985802657138,positive,0.659,ADJ
manual,0.012426792657118952,0.01758273040964622,0.005155937752527269,0.005155937752527269,positive,0.862,ADJ
provides,0.03592696490969044,0.041078700510631797,0.005151735600941357,0.005151735600941357,positive,0.847,VERB
session,0.027560411437570747,0.032705971744133595,0.0051455603065628484,0.0051455603065628484,positive,0.96,NOUN
creative,0.014395393474088292,0.009262331197938635,-0.005133062276149658,0.005133062276149658,positive,0.804,ADJ
condition,0.009473891431664943,0.014547616231790622,0.005073724800125679,0.005073724800125679,positive,0.629,NOUN
reasonable,0.03654215266499335,0.041601996058537934,0.00505984339354458,0.00505984339354458,positive,0.197,ADJ
calculation,0.002706826123332841,0.007744774109010835,0.005037947985677994,0.005037947985677994,positive,0.935,NOUN
astro,0.0031989763275751763,0.008215740102126359,0.005016763774551182,0.005016763774551182,negative,-0.395,NOUN
terrible,0.0482307200157488,0.043224212257046965,-0.005006507758701838,0.005006507758701838,negative,-0.52,ADJ
linear,0.005782764899847434,0.010779888286866433,0.004997123387018999,0.004997123387018999,positive,0.766,ADJ
passionate,0.07037747920665387,0.06541194348826719,-0.004965535718386677,0.004965535718386677,positive,0.493,NOUN
engage,0.017471332250602885,0.012506763594956689,-0.004964568655646196,0.004964568655646196,positive,0.819,VERB
new,0.07788276982134948,0.08283768523354157,0.00495491541219209,0.00495491541219209,positive,0.845,ADJ
critical,0.01697918204636055,0.012035797601841163,-0.004943384444519387,0.004943384444519387,negative,-0.174,ADJ
legend,0.0013534130616664206,0.006279546574873651,0.00492613351320723,0.00492613351320723,positive,0.811,NOUN
game,0.011196417146513116,0.016117502875509036,0.00492108572899592,0.00492108572899592,positive,0.268,NOUN
