quarter_taken,year_taken,gender_guess,Overall rating,Easiness rating,Workload rating,Clarity rating,Helpfulness rating,pre_covid,pos_score,neg_score,review_is_positive,upper_div,time_taken
4,2016,Female,3.857142857,3.228571429,3,3.685714286,4.028571429,1,0.163685714,0.065,0.828571429,0.342857143,2016.4
4,2016,Male,3.991935484,3.274193548,3.330645161,3.701612903,3.991935484,1,0.159185484,0.046314516,0.790322581,0.403225806,2016.4
4,2017,Female,3.875,3.125,3.125,3.9375,3.729166667,0.979166667,0.167083333,0.048083333,0.791666667,0.479166667,2017.4
4,2017,Male,3.946902655,3.194690265,3.053097345,3.761061947,3.884955752,0.991150442,0.154044248,0.064734513,0.769911504,0.486725664,2017.4
4,2018,Female,3.74,3.12,2.76,3.8,3.82,0.94,0.15968,0.05992,0.78,0.56,2018.4
4,2018,Male,4.178947368,3.389473684,3.231578947,4.094736842,4.252631579,0.968421053,0.172905263,0.040431579,0.842105263,0.357894737,2018.4
4,2019,Female,3.782608696,3.246376812,3.014492754,3.782608696,3.855072464,0.811594203,0.166231884,0.056405797,0.739130435,0.463768116,2019.4
4,2019,Male,3.73553719,3.049586777,3.148760331,3.710743802,3.785123967,0.900826446,0.165132231,0.048669421,0.851239669,0.429752066,2019.4
4,2020,Female,3.851851852,3.465608466,3.19047619,3.708994709,3.814814815,0,0.171566138,0.048042328,0.851851852,0.312169312,2020.4
4,2020,Male,4.223214286,3.479166667,3.264880952,4.12202381,4.235119048,0,0.179327381,0.04421131,0.875,0.389880952,2020.4
4,2021,Female,3.953488372,3.290697674,3.220930233,3.802325581,4.011627907,0,0.159372093,0.045290698,0.779069767,0.511627907,2021.4
4,2021,Male,4.127388535,3.337579618,3.439490446,4.159235669,4.401273885,0,0.170853503,0.046630573,0.910828025,0.343949045,2021.4
2,2013,Female,4,3.5,3,3.5,4,1,0.12,0.1075,0.5,0.5,2013.2
2,2013,Male,4,3.666666667,3.333333333,4.666666667,4.666666667,1,0.210666667,0.031,1,0,2013.2
2,2014,Female,3.666666667,2.888888889,2.888888889,3.555555556,3.666666667,1,0.186111111,0.071111111,0.777777778,0.222222222,2014.2
2,2014,Male,3.88,3.24,3.36,3.8,4,1,0.1792,0.0654,0.68,0.28,2014.2
2,2015,Female,3.947368421,3.394736842,3.184210526,3.868421053,3.894736842,1,0.176052632,0.036947368,0.763157895,0.368421053,2015.2
2,2015,Male,4,3.126213592,3.184466019,3.873786408,3.932038835,1,0.166563107,0.065864078,0.747572816,0.436893204,2015.2
2,2016,Female,3.927756654,3.197718631,3.08365019,3.851711027,3.893536122,0.996197719,0.175840304,0.047536122,0.828897338,0.3878327,2016.2
2,2016,Male,3.722908093,2.993141289,3.112482853,3.639231824,3.757201646,0.998628258,0.164599451,0.057061728,0.798353909,0.333333333,2016.2
2,2017,Female,3.722397476,3.1829653,3.028391167,3.640378549,3.662460568,1,0.177886435,0.055835962,0.779179811,0.321766562,2017.2
2,2017,Male,3.671802773,2.916795069,2.967642527,3.545454545,3.6394453,0.99229584,0.158738059,0.053784284,0.779661017,0.380585516,2017.2
2,2018,Female,3.768768769,3.234234234,3.054054054,3.750750751,3.783783784,0.96996997,0.161957958,0.047573574,0.807807808,0.471471471,2018.2
2,2018,Male,3.79454023,3.070402299,3.13362069,3.708333333,3.837643678,0.974137931,0.162192529,0.054635057,0.784482759,0.373563218,2018.2
2,2019,Female,3.686825054,3.22462203,3.110151188,3.570194384,3.652267819,0.898488121,0.160025918,0.05674514,0.807775378,0.47300216,2019.2
2,2019,Male,3.826382153,3.121241513,3.192046557,3.678952473,3.813773036,0.896217265,0.167841901,0.057903977,0.814742968,0.337536372,2019.2
2,2020,Female,3.59742351,3.185185185,3.152979066,3.534621578,3.632850242,0.046698873,0.158874396,0.062537842,0.789049919,0.452495974,2020.2
2,2020,Male,3.868312757,3.198353909,3.248559671,3.701234568,3.841152263,0.041975309,0.168874074,0.055860082,0.834567901,0.377777778,2020.2
2,2021,Female,3.940520446,3.488847584,3.286245353,3.836431227,3.920074349,0,0.173953532,0.051040892,0.860594796,0.410780669,2021.2
2,2021,Male,3.84184514,3.142504119,3.214991763,3.759472817,3.915980231,0,0.171202636,0.059877265,0.827841845,0.389621087,2021.2
2,2022,Female,3.714285714,3.142857143,3.428571429,3.714285714,3.714285714,0,0.218285714,0.050714286,0.714285714,0.285714286,2022.2
2,2022,Male,2.684210526,2.526315789,2.526315789,2.526315789,2.736842105,0,0.129684211,0.088210526,0.473684211,0.473684211,2022.2
