Professor,Class Code,Class Name,Term Taken,COVID 19 Flag,Date Submitted,Grade,Review
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted April 1, 2020",A,"SHERRY I LOVE YOU WITH MY ENTIRE SOUL!So obviously I took this class in the midst of a global pandemic, so our last week of the class was thrown for a loop, but I'll talk about how beautifully Professor Gong handled that later in this review. I hated 31B with every fiber of my being, so I was nervous coming into this class. Professor Gong's lectures are so clear and easy to follow - something I've noticed with a lot of math professors is that they are SUPER insanely smart but suck at passing that smartness onto us and explaining how their brains approach the problems. Sherry is literally a genius but she made this class understandable, approachable, and just generally a very level playing ground. I've never liked math before but her lectures broke down multivariable calculus into manageable bites of info that were easy to absorb and easy to link together into a picture that made sense. She made me like math and see the beauty in math. Freaking legend. Homework is super easy to complete - a very fair number of questions that, if you pay attention in lecture, you should have no problems finishing. Homework is graded partially on accuracy and partially on completion. But they aren't brain-splittingly hard problems so you should be okay. I do wanna quickly add that my TA was useless. I believe there were 3 TA's in the quarter that I took it. One of the TA's was my previous TA from 31B, who I didn't enjoy very much (Tambe), but I ended up with Thorton and OH MY GOD discussion was such a waste of time. I truly think I lost brain cells but hey I still went every week. Even with a mind-numbing section experience, I still learned well enough from Gong's lectures that I felt okay. The midterms both were very fair - problems just like the homework ones and examples she does in class. The formula sheets were helpful and the class isn't memorization heavy - you just gotta know your stuff and understand how to apply equations, which Sherry made very easy to understand. Our final was a fiasco, but Professor Gong was honestly an angel through it all. I was hearing horror stories of math professors making their finals extremely hard to make up for the fact that they were open note and online, but instead of using the pandemic to hurt us and our grades, Professor Gong was accomodating, making the final super fair in terms of questions and offering to help us out with them and giving us the opportunity to collaborate. Yes, the class ended up being easy to get an A in because of this unexpected change, but I still feel like I learned something. I still feel like I really absorbed the material and learned calculus rather than just sitting there, learning it all for the quarter, and then purging my brain of all the math. This is my last math class at UCLA, but I'm so thankful that it was not only a great experience, but also left a good taste in my mouth of mathematics as a whole. Thank you Professor Gong for a great quarter."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted April 1, 2020",A,"PROS:- The homework workload is not bad at all- The homework problems correlate with the lectures very well, so you are not expected to do things that aren't discussed in the lecture- The midterms were not hard. There might be one section where you are tested on theoretical concepts, but the rest are calculations. You are also given a formula sheet. As long as you do the homework and studied somewhat, you should do fine. - I heard that the final is much harder than the midterms. Of course, the coronavirus could've changed things a bit, but the final was about the same as the midterm for me. - During the lecture, she gives you a lot of examples. - Most importantly, she is a very helpful and nice professor. When the coronavirus thing happened, she sent us dozens of emails telling us what her plans are and what to do to prepare for the final. During the final, she joined our class gc and cleared up any confusion. 
CONS:- Sometimes the lectures can be disorganized. She can be in the middle of a problem and then switch gears to talk about something that should've been covered earlier. This tends to lead to some confusion.- This is a very calculation-based class and a lot of the lecture covers examples. She is very good at providing examples but sometimes her explanations of concepts can be vague. Her examples help with homework, but reading the summary of the end of sections provides clearer concept explanations.
OVERALL: Take my impressions with a grain of salt given the coronavirus situation, but I definitely recommend Professor Gong and will take her again if possible."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted March 29, 2020",A+,"Dr Gong is a pretty decent lecturer and really tries to explain her concepts well. She goes over a lot of examples on each topic which helps a lot. However, there have a number of times where she rushes through a concept and doesn't really explain it, especially towards the end of class, which can be quite confusing.The midterms were pretty easy and straightforward and were fairly similar to the problems in the textbook."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted March 29, 2020",A,"Sherry is a really good professor. She is very approachable and I genuinely like her class a lot. The class has a usual 10% HW, 25% midterms and 40% final distribution. Her tests are quite simple and she has a few extra credit questions too. Lectures are pretty nice I would say, but the difficulty of the lectures increased around week 7. Definitely would recommend taking Sherry if you have the choice!"
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted March 27, 2020",A,"As a professor, Sherry Gong is one of the most understanding instructors I've ever had.During lecture, although she tends to talk fairly quickly, she always makes sure to stop after a chunk and wait a good amount of time to ask the class if there are any questions, and if there are, she will explain them thoroughly, even to the point where if she felt as if she didn't explain it well enough in class, she would send emails later that day updating the class.Her midterms were super fair, though not as easy as the previous year had. Our averages for both midterms were around 85%, which are still high, but definitely fair. They are just like the homework and she sends a detailed email a couple days leading up to the exam about what to expect. There were never any surprises. As for the final exam, although I took this class amid the whole coronavirus pandemic, Sherry Gong handled the whole situation beautifully. She was constantly sending us emails updating us on how we were going to approach the last two lectures and the final, and she was actively searching for ways she could help us prepare, hosting zoom office hours for us. She makes it a priority for her to balance fairness and equity as well as learning. Not only did she make the final exam COLLABORATIVE (which I know many other professors were very adamant against cheating), but she said she was open to emails herself DURING the actual final for those who may not have as many friends in the class, AND she sent out an email regarding a group chat for all of us to discuss the final in, which SHE JOINED HERSELF to clarify some misconceptions about certain problems on the practice final, which was pretty much identical to the actual final. She obviously cares a lot about her students. In one of her emails regarding collaboration on the final, her reasoning was that ""This is because I would like it if, even despite this whole stressful situation, people were still learning, at least a little."" That melts my heart. Also, she definitely reads bruinwalk and the UCLA subreddit. If you're reading this, just know that your entire Winter 2020 class wants to thank you for being so awesome."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted March 27, 2020",A,"GONG IS A QUEEN!!!! I took 31B in fall and barely passed so coming into 32A I thought id experience the same trauma. GONG was absolutely amazing, you just have to do the weekly hw and thats basically your midterm. DO GREAT on the midterms (38+/40) and just try your best for the final."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted March 27, 2020",A,"Professor Sherry Gong is the closest thing to a perfect professor you can ask for. She made a relatively difficult class way easier to understand while not sacrificing the fundamental concepts. She tries very hard to make sure the class really understands what she is teaching by taking questions and never turning down a question because it's ""obvious"". Her exams are pretty easy but she does spend a considerable amount of effort curating the extra credit problems.
I had to take the final amid a viral pandemic and she sent out so many emails reassuring us that we will do fine through the final and answered the tsunami of emails flooding to her in due time. I don't think I've ever seen a professor work so hard for their students. I've heard horror stories from my other friends taking other professors that made me really appreciate what a great professor I had."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2020,Pre COVID-19,"Submitted March 17, 2020",NR,"Sherry cares a lot for her students. I enjoy going to her class because I like seeing how happy she is teaching us. I would definitely take her class again if I had the chance. Some people talked about how her finals are hard. I didn't really get to experience that in person; not because I thought her finals were easy but because Winter quarter of 2020 is pretty much messed up by the coronavirus. For my finals, we were allowed to collaborate with other classmates, and it is even highly encouraged by the professor. I would say, if the coronavirus didn't happen and I took the finals like normal, I would probably consider the final as difficult. It is really different from her midterms but not CRAZY hard either. Anyways, Sherry is great. Go to her office hours because now I regret not getting to know Sherry more."
Sherry Gong,Math 32A,Calculus of Several Variables,Summer 2017,Pre COVID-19,"Submitted Jan. 20, 2020",A+,"Hey,I’m selling Rogawski calculus *4th edition* [PDF copy] for $15!If interested, text me @ (858)286-7245Accepting payment by Venmo"
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2019,Pre COVID-19,"Submitted June 13, 2019",A-,"This class...was very interesting. I took it Winter Quarter and for the most part it was okay until the final. Homework isn't due every week, but there are weekly quizzes in discussion, so no skipping discussion and no going to other discussion sections. For the most part, if you did homework problems, you would do well on the quizzes since the the quiz consisted of two questions and they were very much like the homework. As for Sherry, she is a great professor. Her lectures are concise and she does not focus too much on the proofs. This was good at first, because her midterms were just computation. I ended up getting 100 on the first and a high A on the second one. Not to mention that you also got a full sheet of paper for a cheat sheet. Depending on how much work you want to put into the class, you will be fine when it comes to the midterms. The final, however, that is another story. It's level of difficult was like two times that of the midterms. You could survive both midterms just knowing when to use what formula, but for the final you actually had to understand what was going on in order to apply it to some of the questions. I ended up getting a C on it. So study harder than just memorizing formulas and being a human calculator and you should be good. Hopefully. But overall as a professor, Sherry was very nice. She was easy to approach after class and during office hours, usually hosting extra office hours before an exam. I have also been told that she sometimes had brownies at her office hours."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2019,Pre COVID-19,"Submitted June 12, 2019",A,"1. [Difficulty]: ★★★☆(FAIRLY EASY. Just as most reviews say, the two midterms are easy with an average score above 90 percent. The final is, indeed, much harder than the midterms but still reasonable. If you study hard enough and do enough practice problems, the final should be moderate. In conclusion, even if you do not perform well in the final, you can still get an ideal score with the easy midterms and some extra credits Dr.Gong provides. PS: she allows cheatsheets.)
2.[Workload]:★★★★(The workload is LIGHT, homework is little with no more than ten questions, all of which come from the textbook, so you can easily find answers to them from the internet. Also, the homework will not be collected, but similar problems may appear on weekly quizzes, so do them for practice.)
3.[Lecture]:★★★☆(The lecture is OK. Be sure to go to the lectures and review with the textbook at the same time.)
4.[Conclusion]: Do take her classes, if you attend lectures, do the homework and practice problems on the textbook, getting an A should be fairly easy. Definitely, recommend taking her for any lower-division math classes."
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2019,Pre COVID-19,"Submitted March 30, 2019",A,"I really enjoyed taking 32A with professor Gong - not only did she do a good job of generally explaining the course material, but she really put in the extra effort to make sure the class ran well, and to make sure that we understood the material! She held extra office hours, responded to emails, and in-class would often re-explain previous concepts if the class seemed unclear on them - a really good skill! In my one-on-one interactions with her, she's been very helpful, even answering general questions I had about math; and my other friends in the class have found her office hours really helpful. In addition, the homework she gave was very pointed and relevant - if you did the homework every week, the midterms would be simple to do - no curveballs there! I will say, I did find the final to be quite challenging, and barely ended up getting an A overall - my only criticism of this class was that we didn't get a practice final, which made some of the questions a bit surprising. Overall though, Sherry is a great professor - she really puts in the extra mile to make sure her students understand her material, and I'd love to have her again!"
Sherry Gong,Math 32A,Calculus of Several Variables,Winter 2019,Pre COVID-19,"Submitted March 29, 2019",A,"I honestly feel that Sherry's dedication to this class is very underrated. Although she's not required to, she holds office hours 3 hours per week, and whenever she thinks we haven't fully understood a concept, she would explain it more in-depth during the next lecture. She constantly tries to make sure we're following her train of logic, answers all of our questions, and gives multiple interpretations of concepts/figures to help us visualize. In class and in her e-mails, she tells us very clearly what we have/don't have to know for an exam, and does her best to be fair on tests. On the second midterm, she allowed us to submit corrections for 2 questions for a regrade just because she thought that they were worth more points than necessary compared to other questions. Sherry clearly cares about her students and thinks it matters that they're learning. Maybe she tries hard to do the right thing because she's new, but I think she's a genuinely nice person at heart.
 However, I agree with the other reviewers that the final was significantly harder than the (very easy) midterms and that she might not have given us enough ""warnings"" to help us prepare for it. But I have taken other classes in the 30 series and it was definitely not unreasonable compared to other math finals."
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Spring 2020,Pre COVID-19,"Submitted July 4, 2020",A,"super easy A. took this spring 2020, so all of this was online. basically you have to do quizzes each week on tuesday and thursday that had queastjons based on the lecture and the film that we were supposed to watch. i got an A in the class by basically googling the synopsis of the movie and didn’t watch any of the movies and averaged 9/10 on the quizzes. you also have to buy a textbook that have some of the info on the quizzes. you also need to do discussion questions once a week, which are about 250 words and you need to reply to 2 other people to get full question. depends on your TA, because some TA’s will grade discussion questions harder while others will basically give you full points if you meet the word count and do the assignment on time. if you notice your getting points taken off bc of no reason, GET ON YOUR TA’S ASS. when i took it, my TA was randomly taking off points for no reason that numerous students basically called her out to the prof, who told the TA in question to chill with her grading. you also need to do a two projects (one project anytime from weeks 1-5 and another project that was due anytime from weeks 5-10. that were incredicinlu easy and took me less than 1 hour each. there wasn’t a midterm and there wasn’t a final. bottom line, this is one of the easiest GE’s i’ve taken. highly recommend."
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Fall 2019,Pre COVID-19,"Submitted Dec. 24, 2019",A,"Professor Trice is incredible. She is devoted, respected, smart, knowledged. Her organization is on-point and the amount of detail and attention she puts into every single assignment instruction, rubric, syllabus, etc is second to none. I am a STEM person so I really didn't find the content all that interesting, but I could tell that she was engaging. She really cares about what the students have to say and takes a good amount of class to have several students give their insight. The class is very manageable. Her lectures give you everything you need to know from the readings, so you don't have to do those. The films are not the best, but they're interesting enough to pay attention to. You don't have to take notes during the screenings. Just bring a jacket because Melnitz is freezing!! The creative exercises are self-explanatory (she lays out the instructions so nicely for you), and you get to choose 2 of 5 assignments, so you really get to do projects that work better for you. The take home exams are kinda overwhelming at first glance, but they're really not that bad. The questions are easy to answer and they're obviously all open book, which is nice. We also got like practically a week with both exams, so there was enough time if you didn't leave it to the last minute. I don't know what I got on the final project, but it wasn't too bad if you manage your time well and choose an option that you know you can do well on. My TA was Brittany Murphy and I absolutely loved her. She's hilarious, smart, and genuinely cares for the well-being of her students. Easy A, but meh course content."
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Fall 2020,Pre COVID-19,"Submitted Dec. 23, 2020",A+,"This class was pretty easy. The structure is each week you need to watch lectures, skim the reading, and watch a film or two to answer the questions on the quizzes, which are pretty straightforward. You also have to write short responses to questions on the discussion forums. Grades are 50% discussion forums/ replies, 15% for two projects, and 35% for the quizzes. It's kind of a lot of work but if you do it all you should get an A :). I enjoyed the lectures and I thought the subject material was pretty interesting."
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Summer 2019,Pre COVID-19,"Submitted Oct. 17, 2019",A+,"I took this class in the summer, as an online course.
I've taken so many online classes, and barely do the professors care if they haven't seen you in person, but Professor Trice is a HUGE exception. She responds to. every. single. student. within a day or two, and is very concerned about our learning. She explains her content well, and the quizzes and discussion essays are straightforward if you have listened to her lectures well. The class requires effort, but you're guaranteed an A as long as you do all the work and submit things on time. Professor Trice, with all her devotion and care, is the best it can get for this course!"
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Fall 2018,Pre COVID-19,"Submitted June 26, 2019",A-,"You show up to lecture and learn about how movies are made and different types of critical lenses to apply to watching movies. You write an essay or two, watch a movie or two every week, and skim through a very simple textbook. Occasionally, you're hit with some odd texts, but Professor Trice's lectures are the most helpful and comprehensive I think I will ever encounter at this school. Her slides are digestible, her engagement is impeccable, and she frequently gets students to participate just to clarify that we're all on the same page. The subject matter is fairly easy and fun, and if movies and art interest you at all, I think you're in for a treat. It's UCLA after all -- as a film major, I can attest to the quality of the program, and this intro class is just a tiny peak into what the rest of us are going to be spending our time grinding out. I hope I don't sound pretentious calling it all ""easy,"" as there was a very very large amount of shit that I learned about for the first time in this class. Lots of techniques, terms, and movies I'd never even heard about came from here, and many of those movies or styles are now some I can call my favorites. Take this class for the GE if it interests you, and film majors, don't worry too much about it! It's not hard nor boring."
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Spring 2021,Pre COVID-19,"Submitted June 8, 2021",A,"Lectures: pretty fun to watch; usually start by going over some concepts or vocabulary and then shows us some clips; nice quality lectures too
Assigned readings: the textbook is pretty interesting. Supplemental readings are fun too, but they can be a bit long and difficult to read
Assigned films: tends to be older films but they're all quite enjoyable. 
Quizzes: tests whether you watched the film and the lectures. Doesn't really go into readings too much. 
Discussion forums: Required to post a 200-400 word response each week and comment on 2 classmates' responses. Overall pretty enjoyable process and I enjoyed it. 
Creative exercises: required to do 2 of these out of 5 choices. They are pretty fun, but I would recommend looking at the prompts early because some are definitely more challenging than others. 
Overall: pretty fair class that widened my perspective on film. I would say it does take a bit of time to watch the films and do the readings to actually enjoy the class, but it's well worth it."
Jasmine Trice,Film Tv 4,Introduction to Art and Technique of Filmmaking,Fall 2019,Pre COVID-19,"Submitted Dec. 24, 2019",A,"Though I took this as a GE class, I genuinely enjoyed many of the concepts taught. The course work is light with a few creative exercises, but the end of the quarter with the 2 take-home finals and the final project was highly writing-intensive and took a decent amount of time to complete. The professor is very clear and has engaging lectures, and I actually enjoyed critically thinking about films and being exposed to new ways of thinking.tldr: The professor is well-spoken and lectures well, the course work is easy, and the finals are lots of writing but not too bad."
Peiyun Lee,Mcd Bio 50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",Fall 2020,Pre COVID-19,"Submitted Dec. 8, 2020",NR,"Strengths: Dr. Lee seems very knowledgeable and the lectures and discussions are very interesting conversations.
Weaknesses: during discussions, it would be helpful for Dr. Lee to respond with positive affirmation after a student shares because it is really nerve wracking to speak in front of other students and it's hard to read other people's body language over zoom. In addition, I would advise Dr. Lee to be careful with her choice of words. During one particular discussion where we discussing an ethical situation that involved saving lives, I wanted to share my opinion and was sort of put on the spot by Dr. Lee. I don't usually mind being grilled but I was arguing for the unpopular opinion and Dr. Lee said ""I understand what you're trying to say but you're not putting it in a very elegant way"". I felt that comment was a little insensitive because it is hard to think on the spot and be grilled in front of the other students about a stance that most of them don't support. Therefore, she could have worded that better. Additionally, I feel that Dr. Lee could be more lenient with grading especially during this pandemic and MCDB 50 being a General Education class and not a Biology major class. It is pretty heavy on biology knowledge and the midterm free responses were graded pretty harshly.
If you are interested in stem cells and need to satisfy a GE requirement, it would be okay to take this class. Just make sure to double and triple check your midterm exam because they are very harsh with grading. Your responses need to match everything that was said in lectures and they take off big chunks of points very freely. My TA was Natalie G. and she was a really friendly and nice TA but I'm not sure about the other TA (Salena)."
Peiyun Lee,Mcd Bio 50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",Fall 2019,Pre COVID-19,"Submitted Feb. 26, 2020",A+,"Midterm 20%Final 30%Midterm paper 15%Group presentation 10%Discussion participation 10%Skies participation 10% (basically asking questions online)Clicker questions 5%
Pros: Easy A, great professor, good lectures. Bruincasted, slides posted on CCLE, study guides given, exams are STRAIGHT from the slides. HELLA extra credit on the exams.
Cons: Lectures can be irrelevant at times, a lot of bio and less politics so beware. IMP: the study guides are only questions (like 70) but no answers! I have answers to all the study guide questions and I got an A+, text me at 424-440-9353, you basically just need to memorize these and you'll get an A."
Peiyun Lee,Mcd Bio 50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",Spring 2017,Pre COVID-19,"Submitted June 19, 2017",A+,"MCDB 50 was a very interesting class. I genuinely enjoyed the material and learned a ton about these issues. I felt, however, that Professor Lee was one of the worst professors that I've had at UCLA. This is not me being biased against her because of a bad grade in the class––I received an A+. What I felt was the problem was this: with the amount of money that each of us pays to attend UCLA, I felt that very little time or effort was put in by Dr. Lee to make sure we succeeded. To start, for the midterm and final, you will not be given any practice exams, any study guide, or any other direction other than ""study the lecture slides."" I felt that this was very inappropriate considering the amount of detailed information we covered. I understand that it should be independent studying, but a general outline of the issues that she felt were important to look at would've been more helpful. On top of that, she instructs the entire class to create a 30 minute movie at the end of the quarter (in the weeks leading up to finals week, might I add) which I thought was a complete waste of time. With a class that large, a handful of students are bound to take on the vast majority of the workload, and I was unfortunately one of those students. It did not enhance my learning or understanding of the class in any way, shape, or form, and nearly every other member the class who I talked to felt this way. It really did feel like one of those high school projects that is just assigned as busy work, and especially during finals week it became very stressful. Imagine trying to coordinate filming schedules with 70 students in your class, and you can understand why this would be problematic, If you're very interested in MCDB, then take the class. The lectures are very well put together. If you're on the fence, or this class is not a major requirement, don't waste your time."
Peiyun Lee,Mcd Bio 50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",Winter 2021,Pre COVID-19,"Submitted March 25, 2021",A,"WINTER 2021 GRADE BREAKDOWN:note: this will most likely not be the same if you are taking this class in person, as we had no exams 
Slack Participation: 10%Peer Reviews: 10%Homework: 20%Midterm Essay: 30%Final Project: 30%
As you can see, this quarter we had no exams. Thus, this class was honestly pretty light and stress free. The lectures were almost all asynchronous (only four were live). The essay was a five page paper and wasn't too difficult. It was also graded very kindly. The project was a group project and also wasn't too difficult. You could honestly get away without even watching lectures in this class since there were no tests, but I still watched them anyway because they were actually really interesting to me. The lectures also helped out on the homework assignments (which weren't too long). Professor Lee was also very kind and responded very quickly on slack. She even raffled us $25 Amazon gift cards for anyone who turned their cameras on in discussion. Definitely take this class!"
Peiyun Lee,Mcd Bio 50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",Fall 2017,Pre COVID-19,"Submitted Jan. 9, 2018",A-,"This class was extremely difficult for a GE. Do not take it if you don't have a strong biology foundation. Not just high school biology, a really strong understanding of biology. The class material itself is extremely interesting, but you can't succeed if you don't have prior knowledge and understanding of complex biological concepts. Dr. Lee does not give any study guides or direction for the midterm and final, making it very difficult to succeed. When you reach out you are simply told to study the course material, but if you don't have the biological foundation this is extremely difficult. 
There is also one group project that the entire class participates in, making it really difficult to accomplish. With a group project in such a large class it's inevitable that the majority of the work is going to fall on a small group of people. 
Overall I enjoyed the material but it always felt like the class was working against me."
Peiyun Lee,Mcd Bio 50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",Winter 2017,Pre COVID-19,"Submitted Feb. 25, 2017",NR,"I enrolled in the class in week 2, as I needed a science GE that seemed interesting enough, this was one of the few that were still open, and your grade isn't entirely exam based. The class I was in before had a sort of questionable grading scale, it bored me, and it reminded me too much of the GE cluster I was in fall quarter that I ultimately didn't stick with. I didn't last the whole quarter, and dropped the class after doing poorly on the midterm.
I stayed for as long as I did because I thought the material was interesting. You learn about the science behind the stem cell research controversy. It deals with the anatomy of stem cells and how they naturally , different ways to engineer them, and their ethical implications. While I can't say the lectures are the most engaging ones I've been in at this school, they got the job done and explained the concepts well. You do actually have to go to them, though, because there are iClicker questions. Professor Lee is pretty friendly if you actually go talk to her and go to her office hours, and willing to help. But her office hours weren't at a very convenient time for me, so I didn't find that out before it was far too late.
As friendly and helpful as she appears in lecture, though, the class is not easy work wise, and I didn't know until after I was about to drop that it has a reputation for being one of the more difficult science GEs. There are group projects involved, though I didn't stay in the class long enough to comment on their difficulty or how they're graded, just that you work with the people in your discussion section. There are weekly homework assignments that involve designing an experiment, and they're graded on accuracy, but you don't get feedback on them generally early enough for you to learn from your mistakes and improve on them. You also have to write a paper, where you answer very specific questions about a book that you have to read on your own. All these things added together make up 55% of your grade, where the midterm is 20% and the final is 25%.
The exams are straightforward but rather difficult. They are similar to the free response questions on AP exams, only requiring a greater amount of detail and nowhere near as much practice material given out leading up to it. And as a north campus major who hasn't taken a real science class since high school, I was completely out of it. Neither she nor the TAs ever really went into detail on what to expect from the questions. But essentially each of them are based around one of the main ideas.
Bottom line: While I enjoyed my time in the class, I wouldn't take it again even if you paid me. Peace out, MCDB 50."
