latitude,logitude,altitude,geometry,CODE,TYPE,ADDRESS,DESCRIPTION,LOCATION
34.07050356,-118.4501947,,Point,C2,,"370 De Neve Dr, Los Angeles, CA 90024",,DeNeve Commons
34.06972498,-118.4491717,,Point,C3,,"Gayley Ave, Los Angeles, CA 90095",,Tom Bradley International Hall
34.07234397,-118.4519774,,Point,C4,Rack,"270 De Neve Dr, Los Angeles, CA 90024","South side elevators, rack (2 shelves)",Rieber
34.0737016,-118.4526451,,Point,C5,Box,"250 De Neve Dr, Los Angeles, CA 90024",Outside on top of LA Times kiosk,Hedrick
34.07300647,-118.4499672,,Point,C7,,"330 De Neve Dr, Los Angeles, CA 90095",,Covel Commons
34.07198645,-118.4496857,,Point,C8,,"350 De Neve Dr, Los Angeles, CA 90024",,Sproul Hall
34.07174892,-118.4504756,,Point,C9,,"360 De Neve Dr, Los Angeles, CA 90095",Housing Office in dorms,UCLA Housing Services
34.07393731,-118.4437823,,Point,C10,Shelf,"Parking Structure 5, 110 Westwood Plaza, Los Angeles, CA 90077",Empty Wooden Shelf in left corner where other newspapers are held,Anderson Cafe
34.07435727,-118.4422721,,Point,C11,Rack,"Royce Dr, Los Angeles, CA 90095","Main Entrance, metal rack on the left",Northern Lights Cafe
34.07436549,-118.4412621,,Point,C12,Kiosk,"Charles E. Young Research Library, 21536, Los Angeles, CA 90095",In front of Charles E. Young Research Library,North Campus
34.07411152,-118.4412842,,Point,C13,Kiosk,"335 Portola Plaza, Los Angeles, CA 90095",,Campbell Hall (North)
34.07413767,-118.4400779,,Point,C14,Kiosk,"11282 Portola Plaza, Los Angeles, CA 90095",,Bunche Hall
34.07642825,-118.440009,,Point,C15,Kiosk,"235 Charles E Young Dr E, Los Angeles, CA 90024",,Melnitz Hall
34.07450437,-118.4385019,,Point,C16,,"330 Charles E Young Dr E, Los Angeles, CA 90024",,UCLA Guest House
34.07299453,-118.4384671,,Point,C17,Kiosk,"385 Charles E Young Dr E, Los Angeles, CA 90095",,UCLA School of Law
34.07286716,-118.4411126,,Point,C18,Kiosk,"Portola Plaza, Los Angeles, CA 90095",,Haines Hall
34.07367091,-118.441139,,Point,C19,Kiosk,"335 Portola Plaza, Los Angeles, CA 90095",,Campbell Hall (East)
34.07361336,-118.4393858,,Point,C20,Kiosk,"Lu Valle Commons, 398 Portola Plaza, Los Angeles, CA 90095",,Lu Valle Commons
34.07255958,-118.439319,,Point,C21,Kiosk,"315 Portola Plaza, Los Angeles, CA 90095",,Dodd Hall
34.06926547,-118.44576,,Point,,Front Desk,"425 Westwood Plaza, Los Angeles, CA 90095",,UCLA Meyer and Renee Luskin Conference Center
