"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"ASIA AM 10 - DEGUZMAN, J.",0.782,0.091,NA,0.018,NA,0.036,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 130A - KAO, J.",0.776,0.082,0.041,NA,NA,NA,0.02,NA,0.02,NA,NA,NA,0.02
"ASIA AM 30W - WELTY, L.",0.667,0.111,NA,0.056,0.056,0.056,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 50W - NUBLA, G.M.",0.471,0.118,0.176,0.176,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M129 - DO, A.H.",0.033,NA,0.933,NA,NA,0.017,NA,NA,0.017,NA,NA,NA,NA
"ASIAN 30 - CHAN, A.",0.348,NA,0.174,0.174,0.043,0.087,NA,NA,0.043,NA,NA,NA,NA
"ASIAN M60W - HAYES, M.R.",0.614,0.186,NA,0.057,NA,0.043,NA,NA,0.014,NA,NA,NA,0.029
"ASIAN M60W - YUN, S.H.",0.475,0.1,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASL 8 - CLAY, L.J.",0.5,0.062,0.062,0.062,NA,0.062,0.062,0.062,NA,NA,NA,NA,NA
"ASL 8 - LEWIS, B.J.",0.286,0.143,0.357,0.071,NA,NA,NA,NA,0.071,NA,NA,NA,NA
"ASL 8 - LEWIS, B.J. LEC 2",0.3,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ASTR 5 - MASHIAN, N.",0.286,0.107,0.036,0.036,0.071,0.107,NA,NA,0.036,NA,NA,NA,0.036
"ASTR 5 - MASHIAN, N. LEC 2",0.061,0.212,0.091,0.061,0.03,0.091,0.061,0.03,0.061,NA,NA,NA,0.091
"BIOENGR 596 - LI, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100A - LEE, M.L.",0.759,0.015,0.023,0.098,0.008,0.03,0.015,NA,NA,NA,NA,NA,NA
"BMD RES 5HA - CLARK, I.E.",0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 103 - RUTER, M.",0.632,0.026,0.132,0.026,0.026,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 148 - AHLBERG, E.",0.2,0.1,0.2,0.1,0.2,0.1,NA,NA,NA,NA,NA,NA,NA
"C&EE M20 - GAO, E.X.",0.351,0.099,0.45,0.015,0.015,0.038,0.008,0.008,NA,NA,NA,NA,0.008
"CHEM 101 - BOIT, T.B.",0.157,0.078,0.412,0.039,0.02,0.137,0.039,NA,NA,NA,NA,NA,NA
"CHEM 14A - OW, F.P.",0.317,0.175,0.159,0.127,0.048,0.032,0.016,0.016,0.032,0.016,0.016,0.016,NA
"CHEM 14A - OW, F.P. LEC 2",0.422,0.193,0.325,NA,NA,0.036,NA,NA,0.012,NA,NA,NA,0.012
"CHEM 14A - PRADO, J.R.",0.45,0.2,0.2,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"CHEM 14B - COUREY, A.J.",0.395,0.132,0.026,0.105,0.026,0.079,0.105,0.026,0.053,NA,NA,NA,NA
"CHEM 14B - OW, F.P.",0.388,0.155,0.175,0.049,0.049,0.058,0.01,0.019,0.039,0.039,0.01,NA,NA
"CHEM 14BL - HENARY, M.M.",0.838,0.021,NA,0.042,0.014,0.049,NA,NA,0.007,NA,NA,NA,NA
"CHEM 14BL - PANG, J.W.",0.899,0.008,NA,0.043,0.004,NA,0.019,0.004,NA,NA,NA,NA,0.008
"CHEM 14C - PHAM, H.V.",0.569,0.123,0.115,0.015,0.015,0.092,0.031,0.008,0.008,NA,NA,NA,0.008
"CHEM 14C - PHAM, H.V. LEC 2",0.511,0.156,0.133,0.111,NA,0.044,NA,NA,0.022,NA,NA,NA,NA
"CHEM 14CL - HENARY, M.M.",0.887,0.03,NA,0.015,0.008,0.015,0.008,0.023,NA,NA,NA,NA,NA
"CHEM 14CL - PANG, J.W.",0.949,0.006,NA,0.013,NA,NA,0.025,NA,0.006,NA,NA,NA,NA
"CHEM 153A - GOBER, J.W.",0.737,0.105,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 153A - GOBER, J.W. LEC 4",0.529,0.118,0.088,0.029,0.029,0.059,0.029,0.029,0.088,NA,NA,NA,NA
"CHEM 153A - JARRETT, D.A.",0.299,0.094,0.453,0.026,0.017,0.034,NA,0.017,NA,NA,0.009,NA,NA
"CHEM 153A - PATANANAN, A.",0.408,0.134,0.308,0.01,0.01,0.104,NA,NA,NA,NA,NA,NA,0.015
"CHEM 153B - CHANFREAU, G.",0.375,0.25,0.188,NA,0.062,0.125,NA,NA,NA,NA,NA,NA,NA
"CHEM 153B - HE, C.",0.487,0.077,0.077,0.026,0.051,0.103,NA,NA,NA,NA,NA,NA,NA
"CHEM 153C - GOBER, J.W.",0.238,0.048,NA,0.095,0.048,0.095,NA,NA,0.19,NA,NA,NA,0.048
"CHEM 153L - JARRETT, D.A.",0.222,0.286,0.016,0.063,0.048,0.111,0.016,0.048,0.032,NA,NA,NA,0.016
"CHEM 17 - JARRETT, D.A.",0.276,0.207,0.138,0.103,NA,0.069,0.069,NA,NA,NA,NA,NA,0.034
"CHEM 20A - WINCHELL, K.A.",0.53,0.152,0.015,0.182,0.03,0.015,0.015,NA,NA,NA,NA,NA,0.015
"CHEM 30A - HARRAN, P.G.",0.231,0.154,0.231,NA,0.077,0.154,0.077,NA,0.077,NA,NA,NA,NA
"CHEM 30A - REILLY, A.J.",0.156,0.188,0.031,0.062,0.062,0.25,NA,NA,0.094,0.031,0.031,NA,0.062
"CHEM 30B - REILLY, A.J.",0.296,0.204,0.082,0.061,0.031,0.092,0.061,0.031,0.031,0.01,NA,0.031,NA
"CHEM 30B - ZINKE, P.W.",NA,NA,0.304,0.217,0.043,NA,0.261,NA,NA,NA,NA,0.043,0.043
"CHEM 8 - TOLBERT, S.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 88A - CORBIN, B.",0.419,0.032,NA,0.355,0.065,0.065,NA,NA,0.065,NA,NA,NA,NA
"CHEM 96 - CORBIN, B.",0.406,0.062,NA,0.344,0.062,0.062,NA,NA,0.062,NA,NA,NA,NA
"CHICANO 100SL - GONZALEZ, O.O.",0.826,0.087,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 10A - BLACK, C.V.",0.314,0.314,0.114,0.057,NA,0.171,NA,NA,NA,NA,NA,NA,NA
"CHICANO 10A - GASPAR DE ALBA, A.",0.441,0.412,NA,NA,NA,0.059,NA,0.029,NA,NA,NA,NA,0.029
"CHICANO 10B - BARRETO, M.A.",0.545,0.091,0.03,0.061,0.03,0.091,NA,NA,0.03,0.03,NA,NA,NA
"CHICANO 151 - VERCHES, R.L.",0.387,0.29,0.065,0.065,0.032,0.161,NA,NA,NA,NA,NA,NA,NA
"CHICANO 166 - VERBERA, G.",0.12,0.04,0.52,0.08,NA,0.24,NA,NA,NA,NA,NA,NA,NA
"CHICANO 188 - CARPIO, G.G.",0.273,0.091,0.545,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 191 - VALENZUELA, A.",0.907,0.056,0.019,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 193 - VALENZUELA, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO C107 - ABREGO, L.J.",0.294,0.235,0.059,0.147,0.059,0.059,NA,0.029,0.059,NA,NA,NA,NA
"CHICANO CM106 - CASAS, R.P.",0.533,NA,0.3,0.067,NA,0.033,NA,NA,NA,NA,NA,NA,0.033
"CHICANO M102 - DEL REAL VIRAMONTE",0.725,0.175,0.025,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO M108A - FRANCISCO CRISTOBA",0.368,NA,0.579,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"CHICANO M114 - BLACKWELL, M.S.",0.273,0.227,NA,0.045,NA,0.318,NA,NA,0.045,NA,NA,NA,0.091
"CHICANO M126 - ROMERO, R.C.",0.5,0.25,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,0.167
"CHICANO M155A - ORTIZ, V.",0.583,0.042,0.333,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 1 - WANG, Y.",0.094,NA,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 10 - ZHOU, Y.",0.273,0.364,0.182,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"CHIN 180 - LI, W.",0.548,0.065,0.129,0.129,0.065,NA,NA,0.032,NA,NA,NA,NA,NA
"CHIN 2 - WANG, Y.",0.226,0.032,0.516,0.032,0.032,0.032,NA,NA,0.032,NA,NA,NA,NA
"CHIN 3 - WANG, Y.",0.297,0.054,0.432,NA,0.027,0.027,NA,NA,0.027,NA,0.027,NA,NA
"CHIN C120 - CARTER, E.B.",0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN M60 - HSU, P.W.",0.462,0.308,NA,0.077,NA,NA,NA,NA,0.077,NA,NA,NA,0.077
"CLASSIC 10 - BECKELHYMER, S.D.",0.435,0.174,NA,0.043,0.043,0.087,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 185 - BECKELHYMER, S.D.",0.389,0.111,0.111,NA,NA,0.056,NA,0.056,0.056,NA,NA,0.056,NA
"CLASSIC 30 - BECKELHYMER, S.D.",0.462,0.256,0.077,0.051,NA,0.077,NA,NA,NA,NA,NA,NA,0.026
"COM HLT 48 - HERMAN, D.R.",0.48,0.16,0.12,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"COM HLT 48 - MUTH, N.D.",0.412,0.059,0.314,NA,0.039,0.078,NA,NA,NA,0.02,NA,0.02,NA
"COM LIT 4CW - KING, K.C.",0.571,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071
"COM LIT 4DW - KING, K.C.",0.211,0.316,NA,0.105,0.053,0.263,NA,NA,0.053,NA,NA,NA,NA
"COM SCI 111 - REIHER, P.L.",0.069,0.111,NA,0.097,0.069,0.083,NA,0.014,0.028,NA,NA,0.014,0.125
"COM SCI 180 - BURGIN, M.",0.397,NA,NA,0.274,NA,NA,0.192,NA,NA,NA,NA,NA,0.014
"COM SCI 181 - BURGIN, M.",0.339,NA,NA,0.248,NA,NA,0.073,NA,NA,NA,NA,NA,0.018
"COM SCI 31 - STAHL, H.A.",0.329,0.05,0.229,0.05,0.021,0.093,0.014,0.021,0.014,0.021,0.007,NA,0.064
"COM SCI 32 - AMBROSIO, E.O.",0.223,0.101,0.043,0.101,0.079,0.058,0.029,0.007,NA,NA,0.014,NA,0.036
"COM SCI 33 - GHAFORYFARD, P.",0.245,0.186,0.108,0.059,0.078,0.059,0.01,0.02,0.02,0.029,0.01,NA,0.029
"COM SCI M51A - GHAFORYFARD, P.",0.33,0.264,0.154,0.066,0.011,0.022,NA,NA,0.022,0.011,NA,NA,0.011
"COMM 1 - MILLER, T.E.",0.524,0.238,0.143,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"COMM 10 - SUMAN, M.W.",0.024,0.073,NA,0.171,0.073,0.146,0.098,0.049,0.024,NA,0.024,0.024,0.024
"COMM 10 - SUMAN, M.W. LEC 2",0.133,0.267,NA,0.222,0.133,0.156,0.022,NA,NA,NA,NA,NA,NA
"COMM 100 - BRYANT, G.A.",0.209,NA,0.744,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 105 - ARBABZADAH, N.",0.4,0.067,0.067,0.067,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"COMM 109 - PETERSON, S.M.",0.12,0.2,0.12,0.08,0.04,0.32,NA,NA,NA,NA,NA,NA,NA
"COMM 110 - KICENSKI, K.K.",0.167,0.167,NA,0.389,0.056,0.056,NA,0.056,NA,NA,NA,NA,NA
"COMM 114 - SUMAN, M.W.",0.091,0.182,0.091,0.091,0.136,0.182,NA,NA,0.091,NA,NA,NA,NA
"COMM 120 - BATES, C.G.",0.386,0.14,0.316,0.035,0.035,0.035,0.035,NA,0.018,NA,NA,NA,NA
"COMM 140 - SUMAN, M.W.",0.053,0.158,0.053,0.053,0.158,0.053,NA,NA,0.211,NA,NA,NA,NA
"COMM 148 - FERAMISCO, C.",0.231,0.385,NA,0.115,NA,0.115,NA,NA,0.077,NA,NA,NA,NA
"COMM 148 - FERAMISCO, C. LEC 3",0.471,0.206,0.059,0.029,0.029,0.118,NA,NA,NA,NA,NA,NA,NA
"COMM 156 - PETERSON, S.M.",0.242,0.152,0.03,0.091,0.061,0.091,NA,0.061,0.03,NA,NA,0.03,NA
"COMM 157 - PETERSON, S.M.",0.286,0.036,0.107,0.143,0.071,0.071,NA,NA,NA,NA,NA,NA,0.036
"COMM 166 - PETERSON, S.M.",0.182,0.182,0.091,0.273,NA,0.091,NA,NA,NA,NA,NA,NA,0.091
"COMM 195 - JOHNSON, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 195 - JOHNSON, K. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM M113 - JOHNSON, K.",0.4,NA,0.4,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"COMPTNG 10A - ANDREWS, M.J.",0.523,0.169,0.046,0.031,0.015,0.031,0.015,0.015,0.015,NA,NA,NA,0.015
"DANCE 11 - FROOT, D.",0.783,0.043,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANCE 11 - FROOT, D. LEC 2",0.684,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 10 - MOORE, J.F.",0.143,0.029,0.771,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 160 - LERCHIN, B.W.",0.444,0.222,0.167,NA,0.056,0.111,NA,NA,NA,NA,NA,NA,NA
"DESMA 161 - O'NEILL, B.D.",0.462,0.231,0.154,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"DESMA 21 - JIANG, Y.",0.474,0.158,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 24 - SABAGHIAN, H.",0.067,NA,0.867,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
"DESMA 25 - COONEY, E.J.",0.75,NA,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 3 - STEFANICH, T.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 3 - STEFANICH, T.J. LEC 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESMA 6 - VESNA, V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 101 - SANDERS, A.",0.867,NA,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGT HUM 150 - CHO, S.",0.417,0.167,0.167,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"DIS STD 101W - MEITZENHEIMER, B.A",0.9,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,0.05
"DIS STD 101W - SOLONE, C.J.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD 101W - SOLONE, C.J. LEC 4",0.333,NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD 101W - THORNTON, B.E.",0.1,NA,0.8,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD 101W - THORNTON, B.E. LEC 5",0.3,NA,0.65,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD M121 - MEITZENHEIMER, B.A",0.182,0.091,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD M139 - TARLETON, C.E.",0.923,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIS STD M148 - SCHOTTMILLER, C.D.",0.615,NA,NA,0.154,0.077,NA,NA,NA,NA,NA,NA,NA,0.154
"EC ENGR 100 - DARABI, H.",0.186,0.14,0.186,0.07,0.07,0.233,NA,NA,0.047,NA,NA,NA,0.023
"EC ENGR 102 - SHOARINEJAD, K.",0.1,0.2,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA
"EC ENGR 205A - LAUB, A.J.",0.462,NA,NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 232E - ROYCHOWDHURY, V.P.",0.81,NA,0.143,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 235A - DOLECEK, L.",0.471,0.118,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 297 - JARRAHI, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 3 - BRIGGS, D.M.",0.357,0.107,0.286,0.107,NA,0.036,NA,NA,NA,NA,NA,NA,0.036
"ECON 1 - BATISTA, J.A.",0.115,0.198,0.061,0.099,0.069,0.176,0.023,0.015,0.031,0.023,NA,NA,0.008
"ECON 1 - EUN, D.",0.17,0.189,0.057,0.094,NA,0.189,0.057,NA,0.094,0.038,NA,NA,0.057
"ECON 1 - ROJAS, R.R.",0.298,0.135,0.231,0.048,0.038,0.106,0.01,0.029,0.019,NA,NA,NA,0.01
"ECON 101 - GUANZIROLI, T.",0.132,0.094,0.094,0.17,0.132,0.17,0.057,0.038,0.094,0.019,NA,NA,NA
"ECON 101 - YASUI, Y.",0.119,0.149,0.104,0.149,0.149,0.194,0.045,NA,0.045,NA,NA,NA,0.03
"ECON 102 - ATKESON, A.G.",0.172,0.284,0.069,0.121,NA,0.241,0.112,NA,NA,NA,NA,NA,NA
"ECON 102 - SHINDE, S.",0.115,0.115,0.094,0.177,0.031,0.229,0.094,0.042,0.062,NA,NA,0.01,0.031
"ECON 103 - ROJAS, F.",0.117,0.1,0.05,0.183,0.15,0.183,NA,NA,0.15,NA,NA,NA,0.017
"ECON 103 - ZHANG, L.",0.22,0.13,0.19,0.1,0.1,0.15,0.03,0.03,0.03,NA,NA,NA,0.01
"ECON 103L - ROJAS, F.",0.117,0.1,0.05,0.183,0.15,0.183,NA,NA,0.15,NA,NA,NA,0.017
"ECON 103L - ZHANG, L.",0.22,0.13,0.19,0.1,0.1,0.15,0.03,0.03,0.03,NA,NA,NA,0.01
"ECON 106F - LINDSAY, D.C.",0.306,0.111,NA,0.139,0.028,0.139,0.028,0.028,0.028,NA,NA,NA,NA
"ECON 106F - MCDEVITT, E.P.",0.375,NA,0.167,0.167,0.083,0.042,0.042,NA,0.042,NA,NA,NA,NA
"ECON 106G - ZUNIGA SEMINARIO,",0.381,0.143,0.381,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ECON 11 - BARONE, V.",0.235,0.174,0.034,0.188,0.101,0.201,NA,NA,0.047,NA,NA,NA,NA
"ECON 11 - IKUDO, A.",0.197,0.085,0.051,0.248,0.094,0.06,0.103,0.068,0.077,NA,NA,NA,0.009
"ECON 111 - OSEI TWUMASI, O.I.",0.227,0.136,0.136,0.182,NA,0.091,NA,NA,0.045,NA,NA,NA,NA
"ECON 122 - MCDEVITT, E.P.",0.063,0.159,0.079,0.063,0.095,0.127,0.079,0.032,0.063,0.016,NA,NA,0.032
"ECON 134 - MCDEVITT, E.P.",0.208,0.089,0.129,0.218,0.05,0.079,0.03,0.01,0.05,NA,NA,NA,NA
"ECON 160 - MCDEVITT, E.P.",0.208,0.083,0.125,0.167,0.062,0.125,0.042,NA,0.125,NA,NA,NA,NA
"ECON 165 - SURRO, C.J.",0.581,0.047,0.186,0.023,NA,0.023,NA,NA,0.023,NA,NA,NA,NA
"ECON 2 - PAPAC, A.J.",0.154,0.154,0.103,0.154,0.077,0.205,NA,NA,0.103,NA,NA,NA,NA
"ECON 2 - SURRO, C.J.",0.144,0.062,0.093,0.175,0.093,0.237,0.031,0.01,0.082,NA,NA,0.021,NA
"ECON 3A - CONVERY, P.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
