"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"AF AMER 270A - JOHNSON, G.",0.952,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 6 - STREETER, C.A.",0.205,0.111,0.308,0.094,0.043,0.103,0.034,0.026,0.068,0.009,NA,NA,NA
"AF AMER C191 - MCMILLAN, U.G.",0.059,0.235,NA,0.471,0.118,0.059,NA,NA,0.059,NA,NA,NA,NA
"AF AMER M104B - YARBOROUGH, R.A.",0.312,0.125,NA,0.25,0.062,0.188,NA,NA,0.062,NA,NA,NA,NA
"AF AMER M104E - UNDERWOOD, B.E.",0.231,0.538,NA,0.154,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"AF AMER M10A - LYDON, G.E.",0.259,0.185,NA,0.185,0.111,0.222,NA,0.037,NA,NA,NA,NA,NA
"AF AMER M118 - AVILA, E.R.",0.273,0.273,NA,0.364,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"AF AMER M12A - KEYES, C.L.",0.143,0.143,0.071,0.214,0.143,0.214,NA,NA,NA,NA,NA,NA,0.071
"AF AMER M18 - AVILA, E.R.",0.917,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM IND M10 - NABOKOV, P.",0.307,0.036,0.613,0.015,NA,0.022,0.007,NA,NA,NA,NA,NA,NA
"AN N EA 12W - SMOAK, J.D.",0.5,0.2,NA,0.1,0.05,0.1,0.05,NA,NA,NA,NA,NA,NA
"AN N EA 14W - BONESHO, C.E.",0.451,0.221,0.062,0.106,0.044,0.08,0.009,NA,0.018,NA,NA,0.009,NA
"AN N EA 15 - COONEY, K.M.",0.327,0.181,0.092,0.1,0.05,0.096,0.058,0.019,0.042,0.004,0.004,0.004,0.023
"AN N EA 162 - BURKE, A.A.",0.475,0.102,0.322,0.034,NA,0.051,0.017,NA,NA,NA,NA,NA,NA
"AN N EA 175 - WINNERMAN, J.P.",0.15,0.35,0.05,0.05,0.05,0.35,NA,NA,NA,NA,NA,NA,NA
"AN N EA 220 - WENDRICH, W.Z.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M104A - CIFOLA, B.",0.25,0.25,0.125,0.125,0.062,0.188,NA,NA,NA,NA,NA,NA,NA
"AN N EA M110B - MOUSAVI, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M50B - BAKHOS, C.A.",0.328,0.328,NA,0.103,0.034,0.19,NA,NA,0.017,NA,NA,NA,NA
"ANTHRO 1 - FESSLER, D.",0.159,0.102,NA,0.199,0.088,0.146,0.181,0.049,0.053,NA,0.004,0.009,0.009
"ANTHRO 100 - STEWART, C.W.",0.226,0.245,0.057,0.189,0.075,0.151,NA,0.019,0.019,0.019,NA,NA,NA
"ANTHRO 111 - LESURE, R.G.",0.185,0.074,0.037,0.296,0.074,0.13,0.13,NA,0.056,NA,NA,NA,0.019
"ANTHRO 113Q - CHEETHAM, D.T.",0.186,0.357,0.029,0.171,0.071,0.114,0.029,NA,0.043,NA,NA,NA,NA
"ANTHRO 119 - WAKE, T.A.",0.354,0.208,NA,0.083,0.042,0.125,0.062,0.021,0.062,0.021,NA,NA,0.021
"ANTHRO 126P - RASHIDI, J.S.",0.391,0.152,0.043,0.087,0.109,0.087,0.022,NA,0.065,0.022,NA,NA,0.022
"ANTHRO 129 - BIGHAM, A.W.",0.396,0.114,0.181,0.107,0.047,0.121,0.013,0.007,0.007,NA,NA,0.007,NA
"ANTHRO 129 - HAUSER, B.A.",0.421,0.216,0.205,0.058,0.035,0.041,0.006,0.006,0.006,NA,NA,0.006,NA
"ANTHRO 135 - SLYOMOVICS, S.",0.355,0.258,0.161,0.065,0.032,0.129,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 136B - HOLLAN, D.W.",0.409,0.161,NA,0.215,0.054,0.097,0.043,0.011,0.011,NA,NA,NA,NA
"ANTHRO 139 - CLARKE, M.",0.438,NA,0.5,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 139 - DE LEON, J.P.",0.476,0.072,0.223,0.072,0.018,0.102,0.018,NA,0.006,NA,0.012,NA,NA
"ANTHRO 140 - FISKE, A.P.",0.275,0.162,0.038,0.188,0.05,0.225,0.013,NA,0.025,NA,0.013,NA,0.013
"ANTHRO 141 - LOYD, H.M.",0.578,0.156,0.234,0.016,0.016,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 149 - DORCHIN, U.",0.782,0.109,NA,0.055,NA,0.055,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 152Q - EDMONDS, R.B.",0.317,0.444,0.016,0.095,0.048,0.063,NA,NA,0.016,NA,NA,NA,NA
"ANTHRO 154Q - MITSUHARA, T.",0.356,0.22,0.305,0.034,NA,0.085,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 155 - KROSKRITY, P.V.",0.345,0.103,NA,0.172,0.069,0.207,0.103,NA,NA,NA,NA,NA,NA
"ANTHRO 163P - YAN, Y.",0.255,0.149,0.085,0.106,0.106,0.149,0.085,0.021,0.043,NA,NA,NA,NA
"ANTHRO 191 - FISKE, A.P.",0.125,0.375,0.188,NA,NA,0.25,NA,NA,NA,NA,NA,NA,0.062
"ANTHRO 191HA - GARRO, L.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 191HD - LESURE, R.G.",0.917,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 195CE - BOUM, A.",0.923,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 197 - ACABADO, S.B.",NA,0.053,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 203B - CLARKE, M.",0.095,NA,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 249 - THROOP, C.J.",0.929,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 299 - WOOD, B.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - ACIKSOZ, S.C.",0.416,0.186,0.251,0.058,0.01,0.058,0.003,0.007,0.003,0.003,0.003,NA,NA
"ANTHRO 4 - DURANTI, A.",0.389,0.159,0.268,0.038,0.029,0.059,0.021,NA,0.017,0.008,0.008,NA,0.004
"ANTHRO C117 - ACABADO, S.B.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M116R - LI, M.",0.979,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M128R - RENSEL, M.A.",0.35,0.2,0.25,NA,0.05,0.05,0.05,NA,0.05,NA,NA,NA,NA
"ANTHRO M145P - LEVINE, N.",0.289,0.158,0.026,0.263,0.053,0.158,NA,NA,0.053,NA,NA,NA,NA
"ANTHRO M148 - DIAMOND, J.M.",0.824,NA,0.118,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"APPLING 101W - BAHTINA, D.",0.476,0.143,0.095,0.048,NA,0.095,0.048,0.095,NA,NA,NA,NA,NA
"APPLING 40W - BAHTINA, D.",0.286,0.238,0.333,0.095,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102B - HAMZA, A.T.",0.5,0.192,0.154,0.077,NA,0.038,NA,NA,0.038,NA,NA,NA,NA
"ARABIC 103B - HAMZA, A.T.",0.583,0.25,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 181 - COOPERSON, M.D.",0.533,0.133,0.2,0.067,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1B - AHMAD, A.M.",0.086,0.057,0.771,0.029,NA,0.057,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 10A - OSMAN, M.",0.543,0.242,NA,0.059,0.027,0.086,0.011,NA,0.022,0.005,NA,NA,0.005
"ARCH&UD 121 - LAI, Y.",0.308,0.346,0.038,0.077,0.038,0.192,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 132 - BARKAN, K.R.",0.421,0.263,0.105,0.105,NA,0.053,NA,NA,0.053,NA,NA,NA,NA
"ARCH&UD 142 - SHARIF, M.",0.368,NA,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D.",0.652,0.043,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - DE BOEVER, A.",0.636,0.136,NA,NA,0.045,0.182,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - ENNEMOSER, B.",0.214,0.429,NA,NA,NA,0.357,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - JIMENEZ INIESTA, D",0.4,0.4,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - MAXIM, J.",0.455,0.182,0.091,NA,0.091,0.182,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - NOWAK, M.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - OSMAN, M.",0.312,0.25,NA,0.175,0.038,0.225,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SU, N.",0.421,0.211,0.053,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 290 - AMUNATEGUI, J.C.",0.714,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 291 - CUFF, D.",0.235,0.373,0.039,0.059,0.098,0.118,NA,NA,0.078,NA,NA,NA,NA
"ARCH&UD 401 - DENARI, N.M.",0.25,0.667,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - ENNEMOSER, B.",0.2,0.4,NA,0.133,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - FREYINGER, C.P.",0.4,0.3,0.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - INABA, J.N.",0.333,0.556,NA,NA,0.056,0.056,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - KONGSGAARD, H.",0.091,0.455,NA,0.182,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - LYNN, G.S.",0.25,0.333,0.25,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SANDMEIER, N.S.",0.353,0.353,NA,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SHERMAN, R.",0.2,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - HULJICH, G.",0.25,0.25,0.083,NA,NA,0.417,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - MIRZAEIAN, N.",0.333,0.333,0.083,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - RICCIARDI, G.",0.333,0.333,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 415 - SHARIF, M.",0.769,NA,0.154,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 432 - PAULL, M.",0.29,0.516,0.097,NA,NA,0.065,0.032,NA,NA,NA,NA,NA,NA
"ARCH&UD 436 - LYNCH, T.M.",0.222,0.37,0.222,0.111,NA,0.074,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 441 - LOCKE, A.",0.429,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD CM153 - BARDACKE, T.M.",0.846,0.077,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD CM247A - BARDACKE, T.M.",0.909,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCHEOL M205A - ZARRILLO, S.",0.571,0.143,0.143,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 102B - KOULOUJIAN, H.",0.571,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 104B - MARTIROSYAN, H.K.",0.684,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 100 - KAWASAKI, A.H.",0.633,0.133,0.067,0.067,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ART 11A - ESTRADA, V.R.",0.706,NA,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ART 11B - MORRIS, J.",0.579,0.053,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11D - RIOS, M.T.",0.462,NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11E - SEISLER, N.Y.",0.333,0.222,NA,0.111,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"ART 130 - FISHER, K.A.",0.389,0.056,0.222,0.111,NA,0.111,0.111,NA,NA,NA,NA,NA,NA
"ART 133 - BAER, M.E.",0.133,0.333,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - MULLEADY VULLIETY,",0.333,0.133,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 137 - JUGDEO, V.",0.875,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 140 - SAMUEL, J.M.",0.636,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 145 - MCMILLIAN, R.T.",0.533,0.2,NA,0.067,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ART 147 - VALENZUELA, R.A.",0.25,0.375,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 148 - SEW HOY, A.M.",0.786,0.143,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ART 150 - BOLANDE, J.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 150 - OPIE, C.S.",0.308,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 1A - WICKMAN, P.A.",0.579,0.053,0.105,0.158,NA,NA,NA,0.053,0.053,NA,NA,NA,NA
"ART 1B - LUPO, N.M.",0.947,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 21B - KYDD, O.A.",0.667,NA,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ART 271 - MORRIS, R.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - OTTO-KNAPP, S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - MCMILLIAN, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - PERLMAN, H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - OPIE, C.S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 275 - JUGDEO, V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 276 - KRUGER, B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 277 - SEW HOY, A.M.",0.9,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 278 - FRASER, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - LIN, C.C.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 31B - VIKRAM, A.",0.26,0.06,0.1,0.14,0.06,0.24,0.02,0.04,NA,NA,0.04,NA,0.04
"ART C280 - VALENZUELA, R.A.",0.071,0.071,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 121D - WILSON, B.",0.178,0.289,0.111,0.178,0.044,0.156,NA,0.022,0.022,NA,NA,NA,NA
"ART HIS 133E - UPTON, D.",0.163,0.388,NA,0.143,NA,0.306,NA,NA,NA,NA,NA,NA,NA
"ART HIS 144 - ROSENBLUM, B.T.",0.18,0.22,NA,0.16,0.14,0.2,0.02,0.02,0.04,NA,NA,NA,0.02
"ART HIS 185 - HARWELL, G.T.",0.667,0.2,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - LEE, H.",0.364,0.273,0.273,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - NAIR, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 25 - MATHUR, S.",0.48,0.1,0.07,0.09,0.07,0.11,0.04,NA,0.04,NA,NA,NA,NA
"ART HIS 30 - KERSEY, K.W.",0.349,0.187,0.265,0.042,0.012,0.06,0.018,0.018,0.042,0.006,NA,NA,NA
"ART HIS C115B - GERSTEL, S.E.",0.577,0.154,0.231,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"ART HIS C126 - HARWELL, G.T.",0.164,0.236,0.073,0.218,0.109,0.127,0.036,NA,0.036,NA,NA,NA,NA
"ART HIS C148G - LEE, H.",0.258,0.065,NA,0.258,0.032,0.226,0.065,NA,0.097,NA,NA,NA,NA
"ART HIS C151 - SASAKI, K.",0.375,0.188,0.25,0.062,0.031,0.062,NA,NA,0.031,NA,NA,NA,NA
"ART HIS M114C - PAPADOPOULOS, J.K.",0.167,0.167,0.125,0.083,0.042,0.375,NA,NA,0.042,NA,NA,NA,NA
"ART HIS M119C - BURKE, K.S.",0.176,0.118,0.353,0.059,0.118,0.059,0.118,NA,NA,NA,NA,NA,NA
"ARTS ED 105 - WILLIAMS, S.M.",0.35,0.1,0.25,0.15,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA
"ARTS ED M192 - SYKES, M.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 103 - FONG, K.N.",0.875,NA,NA,0.062,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 109 - WANG, L.S.",0.15,0.15,0.65,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA
"ASIA AM 122B - DAVIS, M.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 132A - PARK, K.R.",0.276,0.155,NA,0.034,0.224,0.052,0.052,NA,0.086,0.034,NA,0.069,0.017
"ASIA AM 140SL - CHENG, S.",0.875,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 170 - WELTY, L.",0.286,0.186,NA,0.171,0.057,0.2,0.043,0.014,0.029,0.014,NA,NA,NA
"ASIA AM 178 - GANDHI, E.C.",0.591,0.045,0.273,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 185 - BURNS, L.M.",0.786,0.071,NA,0.071,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 191C - MASUOKA, N.R.",0.943,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029
"ASIA AM 195 - NGUYEN-VO, T.",0.625,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 200B - PARK, K.R.",0.545,0.273,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"ASIA AM 30W - BURNS, L.M.",0.75,0.115,NA,0.021,0.031,0.042,NA,NA,0.01,0.01,NA,NA,0.021
"ASIA AM 40 - TRAN, K.N.",0.24,0.339,0.017,0.116,0.017,0.223,NA,0.017,0.017,NA,NA,0.008,0.008
"ASIA AM 50 - MANKEKAR, P.",0.298,0.246,0.211,0.053,0.053,0.088,0.009,NA,0.044,NA,NA,NA,NA
"ASIA AM C142B - CHEN, J.T.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M112B - CHEUNG, K.",0.5,0.3,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M168 - AVILA, E.R.",0.182,0.545,NA,NA,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M18 - AVILA, E.R.",0.966,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIAN 100 - TAO, H.",0.213,0.234,0.149,0.106,0.043,0.17,NA,0.021,0.043,NA,NA,NA,0.021
"ASIAN 135 - JUNG-KIM, J.J.",0.167,0.361,NA,0.194,0.056,0.222,NA,NA,NA,NA,NA,NA,NA
"ASIAN M60W - HAYES, M.R.",0.606,0.106,0.015,0.091,0.03,0.091,NA,NA,0.03,NA,NA,NA,0.03
"ASL 2 - LEWIS, B.J.",0.537,0.268,0.098,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA
"ASL 5 - LEWIS, B.J.",0.562,0.188,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,0.062,NA
"ASL M115 - LEWIS, B.J.",0.7,0.2,0.067,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 115 - TURNER, J.L.",0.222,0.178,0.178,0.089,0.067,0.244,0.022,NA,NA,NA,NA,NA,NA
"ASTR 127 - MORRIS, M.R.",0.171,0.171,0.057,0.171,0.2,0.143,NA,NA,0.086,NA,NA,NA,NA
"ASTR 272 - HANSEN, B.M.",0.462,0.308,0.077,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"ASTR 3 - LARKIN, J.E.",0.282,0.19,0.035,0.141,0.07,0.169,0.035,0.014,0.049,NA,0.007,NA,0.007
"ASTR 3 - TREU, T.L.",0.215,0.222,0.296,0.089,NA,0.148,NA,NA,0.007,0.007,NA,NA,0.015
"ASTR 5 - MALKAN, M.A.",0.071,0.143,0.036,0.143,0.089,0.071,0.071,0.089,0.018,0.089,0.018,0.089,0.071
"ASTR 6 - FURLANETTO, S.R.",0.542,0.167,NA,0.083,NA,0.083,0.083,0.042,NA,NA,NA,NA,NA
"ASTR 81 - GHEZ, A.M.",0.17,0.106,0.021,0.213,0.128,0.128,0.043,NA,0.17,NA,NA,NA,0.021
"BIOENGR 120 - SCHMIDT, J.J.",0.2,0.075,0.013,0.15,0.15,0.238,0.125,0.038,NA,NA,NA,0.013,NA
"BIOENGR 177B - SEIDLITS, S.K.",0.656,0.172,0.156,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 180 - LINSLEY, C.",0.361,0.246,NA,0.18,0.033,0.148,0.033,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - GU, Z.",0.357,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - JOHANSEN, W.E.",0.5,NA,0.071,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 298 - CHEN, J.",0.625,0.208,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C101 - KAMEI, D.T.",0.5,0.176,0.059,0.118,NA,0.088,NA,NA,0.029,NA,NA,NA,0.029
"BIOENGR C139A - WONG, G.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C155 - DI CARLO, D.",0.182,0.364,0.091,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C175 - MEYER, A.S.",0.6,0.2,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C185 - KASKO, A.M.",0.3,0.3,NA,0.3,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C275 - MEYER, A.S.",0.417,0.5,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C285 - KASKO, A.M.",0.5,0.1,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M233A - LIU, W.",0.684,0.158,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 201 - PING, P.",0.722,0.111,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO M225 - ERNST, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOL CH M140 - COLICELLI, J.J.",0.5,NA,0.4,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"BIOMATH M203 - LANGE, K.L.",0.667,0.25,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100B - GJERTSON, D.W.",0.702,0.048,0.238,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100B - LEE, M.L.",0.905,NA,NA,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 200B - CRESPI-CHUN, C.",0.708,0.208,0.042,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
