"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"ARCH&UD 401 - SHARIF, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 411 - FREYINGER, C.P.",0.2,0.6,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - DENARI, N.M.",0.167,0.5,NA,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - FEGHALI, Y.",0.5,0.167,0.25,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - MIRZAEIAN, N.",0.308,0.308,0.077,0.077,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - RICCIARDI, G.",0.667,0.083,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 431 - PAULL, M.",0.351,0.378,0.054,NA,NA,0.189,NA,NA,NA,NA,NA,NA,0.027
"ARCH&UD 461 - LYNCH, T.M.",0.277,0.213,0.191,0.106,0.043,0.17,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD M201 - OSMAN, M.",0.244,0.22,0.049,0.122,0.024,0.341,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 101A - KOULOUJIAN, H.",0.5,0.1,0.25,NA,0.05,0.05,NA,NA,0.05,NA,NA,NA,NA
"ARMENIA 104A - MARTIROSYAN, H.K.",0.571,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 171 - KOULOUJIAN, H.",0.895,0.053,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11A - ESTRADA, V.R.",0.529,NA,0.294,0.059,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"ART 11D - GARNETT, M.J.",0.176,0.529,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ART 11D - PALAIMA, M.A.",0.133,0.133,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11E - BATURA, T.M.",0.053,0.211,0.211,0.105,0.053,0.316,NA,0.053,NA,NA,NA,NA,NA
"ART 130 - WEISSMAN, B.",0.667,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - MORRIS, R.J.",NA,NA,0.929,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ART 133 - OLSON, A.K.",0.786,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 140 - SAMUEL, J.M.",0.167,0.5,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 145 - MCMILLIAN, R.T.",0.267,0.333,NA,0.2,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ART 147 - OPIE, C.S.",0.267,NA,0.667,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 147 - WOODS, S.A.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 148 - LIN, C.C.",0.529,0.176,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ART 150 - PERLMAN, H.",0.688,0.062,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ART 1A - WILLIAMS, J.S.",0.278,0.222,0.167,0.222,NA,0.056,NA,NA,NA,NA,0.056,NA,NA
"ART 1B - GREELY, H.M.",0.368,NA,0.579,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 21A - JUN, D.H.",0.727,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"ART 271 - ENGLISH, D.E.",0.2,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - OTTO-KNAPP, S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - MCMILLIAN, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - VALENZUELA, R.A.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 275 - JUGDEO, V.",0.917,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 276 - FERGUSON, R.",0.615,0.154,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - KRUGER, B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - LIN, C.C.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 31A - VIKRAM, A.",0.128,0.106,0.021,0.234,0.191,0.149,0.043,NA,0.106,0.021,NA,NA,NA
"ART C180 - FERGUSON, R.",0.818,NA,0.091,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ART C280 - FORBES BLACK, H.E.",0.438,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 100 - NAIR, S.E.",0.917,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 124 - HARWELL, G.T.",0.304,0.304,0.043,0.109,NA,0.239,NA,NA,NA,NA,NA,NA,NA
"ART HIS 127A - CHOWDHURY, Z.",0.211,0.158,NA,0.237,0.053,0.132,0.053,0.026,0.053,0.079,NA,NA,NA
"ART HIS 132 - METCALF, M.G.",0.132,0.316,NA,0.105,0.079,0.132,0.053,NA,0.105,NA,NA,0.053,0.026
"ART HIS 143 - ROSENBLUM, B.T.",0.214,0.214,NA,0.179,0.089,0.25,0.036,NA,NA,NA,NA,NA,0.018
"ART HIS 185 - BAKER, G.T.",0.417,0.25,0.167,NA,NA,0.083,0.083,NA,NA,NA,NA,NA,NA
"ART HIS 185 - HARWELL, G.T.",0.267,0.133,0.4,NA,NA,0.067,NA,NA,0.067,NA,NA,NA,0.067
"ART HIS 202 - UPTON, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 22 - WILSON, B.",0.077,0.248,0.013,0.171,0.064,0.372,0.009,0.004,0.03,NA,NA,NA,0.013
"ART HIS 228D - BAKER, G.T.",0.3,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 260B - MATHUR, S.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 28 - TAYLOR, L.E.",0.49,0.137,0.157,0.06,0.016,0.092,0.004,0.016,0.004,0.012,NA,0.004,0.008
"ART HIS C145A - TAYLOR, L.E.",0.5,0.125,0.15,0.125,0.025,0.05,NA,0.025,NA,NA,NA,NA,NA
"ART HIS C155 - KUMAR, A.M.",0.262,0.381,0.048,0.119,NA,0.119,NA,0.024,0.048,NA,NA,NA,NA
"ART HIS C160 - MATHUR, S.",0.447,0.303,0.053,0.053,0.053,0.039,0.013,0.013,0.013,NA,NA,NA,0.013
"ART&ARC 10 - FRIEDMAN, M.L.",0.552,0.08,0.299,0.025,0.015,0.025,NA,NA,NA,NA,NA,NA,0.005
"ART&ARC 100 - MARKS, V.E.",0.463,0.111,0.259,0.037,0.056,0.056,NA,0.019,NA,NA,NA,NA,NA
"ARTS ED 101 - CAMERON, D.P.",0.591,0.227,0.091,NA,0.045,NA,NA,NA,0.045,NA,NA,NA,NA
"ARTS ED 101 - ELIZABETH, C.F.",0.467,0.333,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ARTS ED M102 - SYKES, M.M.",0.778,0.148,NA,0.037,NA,0.037,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 107 - HONG, K.",0.5,0.167,NA,0.042,0.083,0.167,NA,NA,0.042,NA,NA,NA,NA
"ASIA AM 10W - FONG, K.N.",0.475,0.339,0.008,0.051,0.017,0.085,0.008,NA,NA,NA,NA,0.008,0.008
"ASIA AM 112C - LIU, K.",0.773,0.136,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 113 - WANG, L.S.",0.229,0.171,0.5,0.014,0.014,0.029,0.029,NA,0.014,NA,NA,NA,NA
"ASIA AM 115 - WELTY, L.",0.247,0.356,NA,0.137,0.014,0.247,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 133 - NADURATA, E.",0.271,0.186,0.475,0.017,0.051,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 140SL - CHENG, S.",0.812,0.125,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 171E - TRAN, K.N.",0.366,0.183,0.296,0.085,0.014,0.042,NA,NA,0.014,NA,NA,NA,NA
"ASIA AM 187C - KULKARNI, M.P.",0.094,0.25,NA,0.312,NA,0.188,0.031,NA,0.031,0.062,NA,NA,0.031
"ASIA AM 195 - NGUYEN-VO, T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 20 - WELTY, L.",0.776,0.116,NA,0.041,0.007,0.061,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 200A - MATSUMOTO, V.J.",0.667,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 30 - ALVES, A.M.",0.256,0.098,0.524,0.037,0.037,0.012,NA,0.012,0.012,NA,NA,NA,0.012
"ASIA AM C142A - CHEN, J.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M161 - SANGALANG, C.C.",0.206,0.147,0.324,0.088,NA,0.176,NA,NA,0.029,0.029,NA,NA,NA
"ASIAN 104 - SOHN, S.S.",0.452,0.167,0.143,0.071,NA,0.119,NA,0.024,NA,NA,NA,0.024,NA
"ASIAN 30 - IWASAKI, S.",0.474,0.084,0.137,0.095,0.021,0.116,0.011,0.011,0.021,0.011,NA,NA,0.021
"ASIAN M60W - BODIFORD, W.M.",0.569,NA,NA,0.108,0.031,0.2,0.015,NA,0.046,0.015,NA,NA,0.015
"ASL 1 - LEWIS, B.J.",0.585,0.098,0.049,0.073,0.024,0.122,NA,0.024,0.024,NA,NA,NA,NA
"ASL 4 - LEWIS, B.J.",0.529,0.235,NA,0.059,NA,0.118,NA,0.059,NA,NA,NA,NA,NA
"ASTR 180 - FITZGERALD, M.P.",0.261,0.087,0.174,0.174,0.087,0.087,NA,NA,0.13,NA,NA,NA,NA
"ASTR 273 - NAOZ, S.",0.083,NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 284 - HANSEN, B.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 3 - CONSIGLIO, S.M.",0.25,0.213,NA,0.14,0.066,0.162,0.044,0.029,0.051,0.015,NA,0.022,0.007
"ASTR 3 - RICH, M.",0.229,0.242,0.059,0.098,0.033,0.288,0.013,0.013,0.026,NA,NA,NA,NA
"ASTR 4 - MALKAN, M.A.",0.086,0.086,0.086,0.114,0.029,0.257,0.057,0.086,0.143,0.029,NA,0.029,NA
"ASTR 5 - TREU, T.L.",0.195,0.149,0.333,0.057,0.046,0.092,0.023,0.023,0.046,0.011,NA,0.011,0.011
"BIOENGR 10 - LINSLEY, C.",0.947,0.011,0.032,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA
"BIOENGR 100 - KAMEI, D.T.",0.211,0.333,0.011,0.078,0.033,0.089,0.033,0.056,0.011,0.011,0.033,0.056,0.044
"BIOENGR 167L - MEYER, A.S.",0.2,0.3,0.067,0.067,0.133,0.167,NA,NA,0.033,NA,NA,NA,0.033
"BIOENGR 177A - SEIDLITS, S.K.",0.422,0.484,0.078,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - BARBARIE, S.N.",0.553,0.237,0.026,0.053,NA,0.132,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C104 - WONG, G.C.",0.441,0.235,NA,0.176,NA,0.147,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C105 - DEMING, T.J.",0.042,0.125,0.167,0.125,0.208,0.167,0.083,0.083,NA,NA,NA,NA,NA
"BIOENGR C204 - WONG, G.C.",0.533,0.2,NA,0.133,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C205 - DEMING, T.J.",0.333,0.167,0.167,0.056,NA,0.222,NA,NA,0.056,NA,NA,NA,NA
"BIOENGR CM178 - KASKO, A.M.",0.294,0.059,NA,0.176,0.176,0.176,NA,NA,0.118,NA,NA,NA,NA
"BIOENGR CM278 - KASKO, A.M.",0.25,0.083,NA,0.417,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M182 - DISTEFANO, J.",0.533,NA,0.267,0.067,0.133,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M227 - BUI, A.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M260 - LIU, W.",0.5,0.25,0.083,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 201 - LI, J.",0.833,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 202 - XIAO, X.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOMATH 205 - LANGE, K.L.",0.75,0.167,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOMATH M261 - DETELS, R.",0.706,0.176,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100A - GJERTSON, D.W.",0.789,NA,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100A - LEE, M.L.",0.553,0.053,0.021,0.17,0.032,0.117,0.032,0.021,NA,NA,NA,NA,NA
"BIOSTAT 200A - ARALIS, H.J.",0.375,0.333,0.042,0.083,0.042,0.125,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 201A - BELIN, T.R.",0.5,0.182,0.205,0.045,NA,0.068,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 202A - SENTURK, D.",0.238,0.143,0.286,0.048,0.19,0.048,NA,NA,0.048,NA,NA,NA,NA
"BIOSTAT 203A - ARALIS, H.J.",0.482,0.196,0.107,0.125,0.018,0.071,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 216 - ZHOU, H.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 273 - RAMIREZ, C.M.",0.929,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT M215 - LI, G.",0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT M236 - WEISS, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 193H - CLARK, I.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 194H - CLARK, I.E.",0.933,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 5HA - CLARK, I.E.",0.5,0.167,0.095,0.083,NA,0.107,NA,0.024,NA,0.012,0.012,NA,NA
"BMD RES 5HB - CLARK, I.E.",0.769,NA,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 120 - BRANDENBERG, S.J.",0.11,0.137,0.041,0.178,0.137,0.164,0.11,0.027,0.082,NA,NA,NA,0.014
"C&EE 135A - JU, J.",0.242,0.288,0.045,0.076,0.106,0.182,NA,NA,0.061,NA,NA,NA,NA
"C&EE 135L - AHLBERG, E.",0.85,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 141 - PITHEY, K.C.",0.167,0.143,0.048,0.262,0.048,0.119,0.095,0.048,0.048,NA,NA,0.024,NA
"C&EE 150 - MARGULIS, S.A.",0.112,0.1,0.05,0.25,0.125,0.062,0.1,0.062,0.062,0.025,NA,0.038,0.013
"C&EE 153 - MOHANTY, S.K.",0.264,0.155,0.24,0.047,0.031,0.171,0.039,NA,0.054,NA,NA,NA,NA
"C&EE 155 - JASSBY, D.",0.25,0.214,0.143,0.107,0.143,0.143,NA,NA,NA,NA,NA,NA,NA
