"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"EDUC 409 - MITCHELL, K.",0.733,0,0.267,0,0,0,0,0,0,0,0,0,0
"EDUC 412 - SAX, L.J.",0.867,0,0.133,0,0,0,0,0,0,0,0,0,0
"EDUC 413A - 0VARRO, B.A.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 413B - CHEN, M.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 413C - ISKEN, J.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 414A - HARRIS, J.C.",0,0,1,0,0,0,0,0,0,0,0,0,0
"EDUC 414E - SEPLOW, S.L.",0,0,1,0,0,0,0,0,0,0,0,0,0
"EDUC 425 - RAFI, F.H.",0.933,0.067,0,0,0,0,0,0,0,0,0,0,0
"EDUC 443 - COOPER, R.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 448A - FRANKE, M.L.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 448A - ROGERS, J.S.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 470A - LONON, E.",0.933,0.067,0,0,0,0,0,0,0,0,0,0,0
"EDUC 596 - HIPOLITO, E.D.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 92F - AMAH, I.A.",0.954,0.021,0,0,0,0.015,0.01,0,0,0,0,0,0
"EDUC 98 - TUNSTALL, J.D.",0.229,0.257,0.2,0.114,0,0.171,0,0,0.029,0,0,0,0
"EDUC M102 - DEL REAL VIRAMONTE",0.75,0.071,0.107,0.036,0,0,0,0,0,0,0,0,0.036
"EDUC M103 - HUH, C.R.",0.556,0.278,0,0,0,0.167,0,0,0,0,0,0,0
"EE BIOL 109 - KANE, T.L.",0.638,0.086,0.057,0.076,0.029,0.067,0,0,0.048,0,0,0,0
"EE BIOL 109L - KANE, T.L.",0.797,0.047,0.094,0.016,0.016,0.031,0,0,0,0,0,0,0
"EE BIOL 111 - GORLITSKY, L.E.",0.154,0.205,0.026,0.205,0.103,0.205,0.077,0,0,0,0.026,0,0
"EE BIOL 115 - DINES, J.P.",0.55,0.075,0.2,0.075,0,0.025,0.05,0,0.025,0,0,0,0
"EE BIOL 116 - GORLITSKY, L.E.",0.379,0.424,0.03,0.015,0,0.152,0,0,0,0,0,0,0
"EE BIOL 120 - GORLITSKY, L.E.",0.225,0.5,0.05,0,0.025,0.15,0.025,0,0.025,0,0,0,0
"EE BIOL 144 - MARCOT, J.D.",0.818,0.068,0,0.068,0,0.023,0,0,0,0.023,0,0,0
"EE BIOL 156 - ALFARO, M.E.",0.222,0.139,0.361,0.028,0,0.139,0.056,0,0.028,0.028,0,0,0
"EE BIOL 162 - SACK, L.",0.175,0.035,0.737,0.035,0,0,0.018,0,0,0,0,0,0
"EE BIOL 162L - SACK, L.",0.216,0.054,0.622,0.027,0,0.081,0,0,0,0,0,0,0
"ENGCOMP 1 - DICKEY, D.",0.067,0.267,0,0.133,0,0.533,0,0,0,0,0,0,0
"ENGCOMP 100W - AVILES, G.G.",0.421,0.053,0.474,0,0,0.053,0,0,0,0,0,0,0
"ENGCOMP 100W - BALL, J.G.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 100W - BOYD, H.R.",0.611,0.389,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 100W - LIVESCU, S.L.",0.45,0.15,0,0.1,0,0.3,0,0,0,0,0,0,0
"ENGCOMP 100W - LOPEZ, E.M.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 100W - RODRIGUEZ DRISSI,",0.474,0.158,0.316,0,0,0,0,0,0,0.053,0,0,0
"ENGCOMP 100W - SANCHEZ LOPEZ, L.E",0.944,0.056,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 100W - SHAW, C.D.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 100W - TERRANCE, L.",0.476,0.143,0.381,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 100W - VINCENT, D.O.",0.632,0.158,0.211,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 131B - HITCHNER, T.A.",0.688,0.25,0,0,0,0.062,0,0,0,0,0,0,0
"ENGCOMP 131B - JULIANO, L.M.",0.267,0.067,0.467,0.133,0,0.067,0,0,0,0,0,0,0
"ENGCOMP 180 - NEWBY, A.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 2 - MARTINEZ, A.M.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 2 - POSTON, L.D.",0.231,0.154,0,0.308,0.154,0.154,0,0,0,0,0,0,0
"ENGCOMP 2 - SAMUELSON, M.G.",0.3,0.2,0,0.05,0.05,0.3,0,0,0.05,0,0,0,0.05
"ENGCOMP 3 - DICKEY, D.",0.133,0.467,0,0.067,0,0.267,0,0,0,0,0.067,0,0
"ENGCOMP 3 - ENCI0S, A.",0.105,0.158,0,0.263,0,0.474,0,0,0,0,0,0,0
