"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"AERO ST 140C - PLASCENCIA, K.",0.462,0.154,0.231,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"AERO ST 1C - LISCOMBE, J.R.",0.947,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 20C - LISCOMBE, J.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 176 - VON BLUM, P.",0.877,0.066,NA,NA,0.009,0.019,NA,NA,0.009,NA,NA,NA,0.019
"AF AMER 188A - BONNER, L.D.",0.538,0.154,0.269,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - DUE, T.P.",0.074,0.088,0.706,0.044,NA,0.074,0.015,NA,NA,NA,NA,NA,NA
"AF AMER 188A - EDU, U.F.",0.552,NA,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - KEEL, T.D.",0.571,0.143,0.238,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - ODINGA, S.O.",0.613,NA,0.323,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 241 - HALEY, S.",0.733,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 241 - MCMILLAN, U.G.",0.933,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - ALEXANDER, C.J.",0.583,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - EDU, U.F.",0.071,NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - ODINGA, S.O.",0.4,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M104B - STREETER, C.A.",0.1,0.4,NA,0.1,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"AF AMER M104E - MCMILLAN, U.G.",0.167,0.083,NA,0.083,0.417,0.167,0.083,NA,NA,NA,NA,NA,NA
"AF AMER M148 - JOHNSON, G.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M159P - PARK, K.R.",0.444,0.333,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA,0.111
"AF AMER M173 - WONG, K.",0.543,0.239,0.152,NA,NA,0.065,NA,NA,NA,NA,NA,NA,NA
"AF AMER M18 - AVILA, E.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA 10W - SCHNIEDEWIND,",0.566,0.195,0.115,0.035,0.035,0.035,0.018,NA,NA,NA,NA,NA,NA
"AN N EA 220 - COONEY, K.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA 98T - CANDELORA, D.M.",0.267,0.2,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067
"AN N EA CM163 - MOUSAVI, S.",0.765,NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M110C - MOUSAVI, S.",0.95,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M130 - COONEY, K.M.",0.44,0.209,0.198,0.044,0.011,0.088,NA,NA,NA,NA,NA,NA,0.011
"ANTHRO 1 - WOOD, B.M.",0.625,0.057,0.136,0.05,0.029,0.05,0.021,0.004,0.014,NA,NA,NA,0.014
"ANTHRO 114P - LESURE, R.G.",0.51,0.184,NA,0.163,0.082,0.041,NA,NA,0.02,NA,NA,NA,NA
"ANTHRO 118Q - ACABADO, S.B.",0.13,0.045,0.753,0.013,0.019,0.013,NA,0.006,0.013,NA,NA,NA,0.006
"ANTHRO 118R - SMITH, M.L.",0.343,0.057,0.029,0.257,NA,0.114,0.114,0.029,NA,0.029,NA,NA,0.029
"ANTHRO 126Q - RASHIDI, J.S.",0.238,0.381,0.286,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 128P - PERRY, S.E.",0.485,0.129,0.008,0.106,0.076,0.076,0.068,NA,0.038,0.015,NA,NA,NA
"ANTHRO 136A - MCCOY, M.R.",0.885,0.053,0.035,NA,0.009,0.009,0.009,NA,NA,NA,NA,NA,NA
"ANTHRO 139 - GARRO, L.C.",0.667,0.111,0.111,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 144R - THORNTON, R.",0.44,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 153 - EDMONDS, R.B.",0.309,0.145,0.436,0.018,NA,0.055,0.018,0.018,NA,NA,NA,NA,NA
"ANTHRO 159 - ALIM, H.",0.429,0.046,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 163Q - LEVINE, N.",0.351,0.338,0.014,0.081,0.014,0.149,0.054,NA,NA,NA,NA,NA,NA
"ANTHRO 191HB - HOLLAN, D.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 191HE - LOYD, H.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 195CE - BOUM, A.",0.938,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 197 - ACABADO, S.B.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 2 - SCHACHNER, G.T.",0.64,0.106,NA,0.076,0.027,0.087,0.011,0.004,0.038,0.004,0.004,0.004,NA
"ANTHRO 203C - HART, L.",0.938,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 204B - DEBENPORT, E.K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 239 - HOLLAN, D.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 249 - CATTELINO, J.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 283 - GUPTA, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO C117 - WAKE, T.A.",0.769,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO C144M - LEVINE, N.",0.615,0.308,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M144P - PARK, K.R.",0.618,0.164,0.018,0.018,0.018,0.109,0.018,NA,NA,NA,NA,0.018,0.018
"ANTHRO M150 - MITSUHARA, T.",0.872,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M152P - CARTMILL, E.A.",0.479,0.215,0.017,0.074,0.033,0.091,0.033,0.025,0.033,NA,NA,NA,NA
"ANTHRO M156 - DEBENPORT, E.K.",0.645,NA,0.29,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APPLING 101W - BAHTINA, D.",0.447,0.079,0.421,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102C - HAMZA, A.T.",0.455,NA,0.455,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102C - HAMZA, A.T. LEC 2",0.357,0.071,0.429,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"ARABIC 103C - HAMZA, A.T.",0.5,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1C - COOPERSON, M.D.",0.278,NA,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1C - COOPERSON, M.D. LEC 3",0.611,0.111,0.222,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"ARABIC M106 - SAYEED, A.",0.364,0.364,NA,0.091,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"ARABIC M110 - SLYOMOVICS, S.",0.412,0.235,0.235,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 10B - OSMAN, M.",0.495,0.068,0.405,0.005,0.016,0.011,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 123 - DIAZ GRANADOS, R.A",0.158,0.053,0.684,NA,0.053,0.053,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 133 - STARKEY, S.",0.652,0.043,0.174,0.087,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 143 - HULJICH, G.",0.346,0.192,0.385,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - AMUNATEGUI, J.C.",0.714,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - AMUNATEGUI, J.C. LEC 7",0.492,0.311,0.066,0.049,NA,0.033,0.016,0.016,0.016,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D. LEC 13",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - FEGHALI, Y.",0.52,0.12,0.24,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - JIMENEZ INIESTA, D",0.455,0.227,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - OSMAN, M.",0.524,0.286,NA,0.143,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - REFUERZO, B.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - RICCIARDI, G.",0.667,0.167,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SEGRAVES, D.C.",0.414,0.379,0.103,0.034,NA,0.069,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 290 - CUFF, D.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - ABE, H.",0.25,0.333,0.167,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - DENARI, N.M.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - ENNEMOSER, B.",0.533,0.267,NA,0.067,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - FEGHALI, Y.",0.3,0.1,0.5,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - INABA, J.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - LYNN, G.S.",0.583,0.25,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403C - SANDMEIER, N.S.",0.176,0.176,0.353,0.118,NA,0.176,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 414 - HULJICH, G.",0.167,0.167,0.5,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 414 - LAI, Y.",0.5,0.167,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 414 - MIRZAEIAN, N.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 414 - SHARIF, M.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 433 - PAULL, M.",0.531,0.312,0.125,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 437 - KOERNER, J.",0.479,0.208,0.146,0.062,NA,0.104,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 442 - LOCKE, A.",0.697,NA,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 98T - OSMAN, M.",0.417,0.333,NA,0.167,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 102C - KOULOUJIAN, H.",0.4,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 104C - MARTIROSYAN, H.K.",0.35,0.05,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA C153 - COWE, P.S.",0.75,0.062,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11A - ESTRADA, V.R.",0.5,0.167,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11B - MOSHER, C.M.",0.533,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11D - JUGDEO, V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 130 - QUEENLAND, M.D.",0.375,0.062,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - MORRIS, R.J.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - OLSON, A.K.",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 137 - RUPERTO, M.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 140 - SAMUEL, J.M.",0.364,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 145 - PERLMAN, H.",0.727,0.091,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 147 - WOODS, S.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 148 - LIN, C.C.",0.583,0.083,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 150 - VALENZUELA, R.A.",0.2,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 150 - WEISSMAN, B.",0.917,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 1A - LOWE, N.R.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - MORRIS, R.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - OTTO-KNAPP, S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - MCMILLIAN, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - PERLMAN, H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - VALENZUELA, R.A.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 276 - JUGDEO, V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - LIN, C.C.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - WOODS, S.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 31C - VIKRAM, A.",0.265,0.02,0.673,0.02,NA,NA,0.02,NA,NA,NA,NA,NA,NA
"ART C280 - FRASER, A.",0.385,0.231,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 115C - COHEN, M.M.",0.5,0.318,0.023,NA,NA,0.159,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - KWON, M.",0.818,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - MATHUR, S.",0.85,0.1,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - WHARTON, G.",0.7,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 232 - KWON, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 29 - LEE, H.",0.562,0.164,0.041,0.041,0.014,0.055,0.027,0.014,0.027,NA,NA,0.014,0.041
"ART HIS 31 - KUMAR, A.M.",0.231,0.005,0.702,0.014,0.01,0.024,0.01,NA,0.005,NA,NA,NA,NA
"ART HIS C120 - BALAFREJ, L.",0.241,0.034,0.69,0.017,NA,0.017,NA,NA,NA,NA,NA,NA,NA
"ART HIS C139C - NAIR, S.E.",0.829,NA,0.029,0.029,0.029,0.029,0.029,NA,NA,0.029,NA,NA,NA
"ART HIS C146A - TAYLOR, L.E.",0.531,0.102,0.347,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA
"ART HIS C151 - KERSEY, K.W.",0.429,0.25,0.036,0.125,NA,0.143,NA,NA,0.018,NA,NA,NA,NA
"ART HIS CM141 - BLACK, C.V.",0.593,0.074,0.259,0.037,0.037,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS M114B - MORRIS, S.P.",0.421,0.211,0.263,0.053,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS M119D - BURKE, K.S.",0.273,0.273,0.273,NA,NA,0.091,0.091,NA,NA,NA,NA,NA,NA
"ART HIS M127C - SILVERMAN, D.L.",0.308,0.308,0.231,0.077,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ARTS ED 101 - YANK, S.B.",0.556,0.056,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTS ED 20 - KANE, K.M.",0.6,0.133,0.156,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"ARTS ED M102 - PHO, N.P.",0.706,0.176,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTS ED M192SL - SYKES, M.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 10 - FONG, K.N.",0.601,0.101,0.203,0.036,0.007,0.014,NA,0.007,0.022,0.007,NA,NA,NA
"ASIA AM 104B - BANERJEE, N.",0.786,NA,NA,0.143,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 107 - BASCARA, V.",0.759,0.034,0.172,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 120 - CHEN, J.T.",0.77,0.148,NA,NA,0.016,0.033,NA,NA,0.016,NA,NA,NA,0.016
"ASIA AM 121 - BURNS, L.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 134 - NGUYEN-VO, T.",0.979,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 140SL - CHENG, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 141B - CHUN, J.J.",0.938,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 167 - ZHOU, M.",0.273,0.242,NA,0.152,0.061,0.242,0.03,NA,NA,NA,NA,NA,NA
"ASIA AM 176 - BURNS, L.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 186 - HONG, K.",0.231,NA,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 187B - TRAN, K.N.",0.867,0.067,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 195 - NGUYEN-VO, T.",0.733,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 200D - MIYAKE, L.R.",0.875,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 20W - WELTY, L.",0.858,0.085,NA,0.038,NA,0.009,NA,NA,0.009,NA,NA,NA,NA
"ASIA AM M169 - PARK, K.R.",0.444,0.111,0.056,0.056,NA,0.056,0.056,0.111,0.056,NA,NA,NA,0.056
"ASIA AM M173 - NGUYEN-VO, T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M18 - AVILA, E.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIAN M20 - SMOAK, J.D.",0.875,0.031,0.062,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"ASIAN M60W - HAYES, M.R.",0.738,0.066,0.016,0.082,NA,0.049,0.016,NA,NA,NA,NA,NA,0.033
"ASL 3 - LEWIS, B.J.",0.526,0.026,0.421,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASL 6 - LEWIS, B.J.",0.308,0.077,0.462,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"ASTR 117 - FURLANETTO, S.R.",0.513,0.128,0.154,0.026,0.026,0.077,NA,0.026,NA,NA,NA,NA,0.051
"ASTR 140 - MALKAN, M.A.",0.368,0.132,0.026,0.132,0.079,0.184,NA,NA,0.053,NA,NA,NA,0.026
"ASTR 271B - TURNER, J.L.",0.833,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 3 - PETIGURA, E.A.",0.278,0.25,0.139,0.083,0.056,0.139,0.028,NA,NA,0.028,NA,NA,NA
"ASTR 3 - RICH, M.",0.528,0.011,0.213,0.045,0.011,0.135,0.045,NA,NA,NA,NA,NA,0.011
"ASTR 4 - SHAPLEY, A.E.",0.459,0.213,NA,0.18,0.066,0.033,0.016,NA,NA,NA,NA,NA,0.033
"ASTR 5 - MORRIS, M.R.",0.315,0.225,0.135,0.054,0.063,0.081,0.045,NA,0.054,0.009,NA,NA,0.018
"ASTR 82 - LARKIN, J.E.",0.391,0.217,0.065,0.087,0.087,0.087,0.022,NA,0.043,NA,NA,NA,NA
"BIOENGR 110 - KAMEI, D.T.",0.459,0.23,0.016,0.049,NA,0.049,0.016,0.049,0.049,NA,0.033,0.049,NA
"BIOENGR 121 - SCHMIDT, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 167L - MEYER, A.S.",0.571,0.143,0.19,0.024,NA,0.048,NA,NA,NA,NA,NA,NA,0.024
"BIOENGR 176 - WU, B.M.",0.192,0.115,NA,0.231,0.115,0.327,NA,NA,0.019,NA,NA,NA,NA
"BIOENGR 180L - HSIAI, T.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - CHEN, J.",0.667,0.167,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - LI, S.",0.385,0.538,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 199 - KAMEI, D.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 256 - GU, Z.",0.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 298 - DI CARLO, D.",0.571,NA,0.286,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C102 - SEIDLITS, S.K.",0.286,0.229,0.343,0.057,NA,0.086,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C139B - WONG, G.C.",0.444,0.361,0.028,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C147 - TAWIL, N.J.",0.207,0.621,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M226 - TAIRA, R.K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M233B - LIU, W.",0.786,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 201 - LI, J.",0.562,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 202 - ARBOLEDA, V.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 275A - PELLEGRINI, M.",0.652,NA,0.217,0.043,NA,0.087,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 275B - PELLEGRINI, M.",0.769,NA,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO M222 - ESKIN, E.",0.769,0.154,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"BIOMATH 204 - GORNBEIN, J.A.",0.857,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"BIOMATH 206 - SEHL, M.E.",0.727,NA,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100A - LEE, M.L.",0.871,0.005,0.005,0.062,NA,0.029,0.019,NA,0.005,NA,0.005,NA,NA
"BIOSTAT 200C - ZHOU, H.",0.708,0.083,0.167,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 231 - CRESPI-CHUN, C.",0.87,0.043,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 244 - RAMIREZ, C.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 250C - BANERJEE, S.",0.182,0.273,NA,0.273,NA,0.182,NA,NA,NA,NA,NA,NA,0.091
"BIOSTAT 257 - ZHOU, H.",0.333,0.167,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 285 - FEI, Z.",0.526,0.421,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 402A - GJERTSON, D.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 406 - TELESCA, D.",0.355,0.161,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT M232 - BELIN, T.R.",0.4,0.5,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"BMD RES 10H - CLARK, I.E.",0.714,NA,0.238,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 193H - CLARK, I.E.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 194H - CLARK, I.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 194H - CLARK, I.E. LEC 2",0.688,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 199 - CLARK, I.E.",0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 5HA - CLARK, I.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
