"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"AF AMER 188A - BONNER, L.D.",0.189,0.405,0.216,0.108,0.027,NA,NA,NA,0.027,NA,NA,0.027,NA
"AF AMER 188A - DUE, T.P.",0.569,0.169,0.123,0.092,0.031,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - EDU, U.F.",0.613,0.161,0.129,NA,0.032,NA,NA,0.065,NA,NA,NA,NA,NA
"AF AMER 188A - LYTLE HERNANDEZ, K",0.444,0.444,NA,0.056,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"AF AMER 19 - ALEXANDER, C.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 19 - TURNER, P.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - EDU, U.F.",0.857,0.071,NA,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA
"AF AMER C291 - BROWN, S.D.",0.333,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER C291 - LACAYO, C.O.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M104A - YARBOROUGH, R.A.",NA,0.13,0.261,0.174,0.087,0.087,NA,0.174,0.043,NA,0.043,NA,NA
"AF AMER M120 - ALLEN, W.R.",0.086,0.257,0.2,0.171,0.143,0.029,NA,NA,NA,NA,NA,NA,NA
"AF AMER M200B - HUDSON, P.J.",NA,0.875,0.062,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M5 - HUNTER, M.",0.37,0.391,0.166,0.026,0.021,NA,0.013,0.004,0.004,NA,NA,NA,NA
"AM IND 202 - MITHLO, N.M.",0.071,0.571,0.071,0.071,NA,NA,0.071,NA,NA,NA,NA,NA,NA
"AM IND M10 - ERNEST, M.A.",0.224,0.708,0.006,0.019,0.012,0.006,0.006,0.006,NA,NA,NA,NA,0.006
"AN N EA 10W - SMOAK, J.D.",NA,0.295,0.295,0.179,0.158,0.011,0.011,0.042,NA,NA,NA,NA,0.011
"AN N EA 15W - COONEY, K.M.",0.154,0.379,0.174,0.072,0.103,0.031,0.01,0.021,NA,NA,NA,NA,0.026
"AN N EA 15W - COONEY, K.M. LEC 3",0.05,0.525,0.175,0.025,0.025,0.05,0.025,NA,NA,NA,NA,NA,NA
"AN N EA C177 - WINNERMAN, J.P.",0.091,0.182,0.273,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M50A - BURKE, A.A.",0.355,0.177,0.129,0.065,0.097,0.065,0.032,NA,0.032,NA,0.032,NA,0.016
"AN N EA M60 - SHAYEGAN, M.R.",0.172,0.31,0.138,NA,0.103,0.069,NA,NA,0.069,NA,0.034,0.034,0.034
"ANTHRO 110 - GUPTA-AGARWAL, S.",0.062,0.25,0.188,0.167,0.125,0.062,0.021,NA,NA,NA,NA,NA,0.083
"ANTHRO 116S - ACABADO, S.B.",0.667,0.267,0.022,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 119 - LI, M.",0.027,0.865,0.027,0.027,0.027,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 124S - SNYDER, J.K.",0.103,0.121,0.129,0.121,0.172,0.103,0.009,0.086,0.026,0.009,0.034,NA,0.078
"ANTHRO 124T - MANSON, J.H.",0.018,0.268,0.071,0.089,0.125,0.089,0.089,0.071,0.089,NA,0.018,NA,0.036
"ANTHRO 129 - BIGHAM, A.W.",0.293,0.341,0.073,0.146,NA,0.073,0.024,0.049,NA,NA,NA,NA,NA
"ANTHRO 130 - BOUM, A.",0.138,0.609,0.19,0.023,0.006,0.006,NA,NA,NA,0.011,NA,0.006,0.011
"ANTHRO 138P - FISKE, A.P.",0.027,0.721,0.108,0.045,0.054,0.018,0.009,NA,NA,NA,NA,0.009,0.009
"ANTHRO 139 - ANTOINE, K.E.",0.224,0.429,0.122,0.102,0.041,0.02,0.041,NA,NA,0.02,NA,NA,NA
"ANTHRO 139 - GARRO, L.C.",0.036,0.125,0.071,0.089,0.161,0.036,0.089,0.161,0.054,NA,0.089,NA,0.071
"ANTHRO 139 - SPEED, S.E.",0.169,0.408,0.211,0.07,0.042,0.014,NA,0.014,NA,0.014,NA,NA,0.028
"ANTHRO 141 - LOYD, H.M.",0.267,0.6,0.05,0.017,0.017,0.033,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 151 - MITSUHARA, T.",0.136,0.318,0.409,0.023,0.114,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 154P - EDMONDS, R.B.",0.047,0.256,0.256,0.14,0.093,0.047,0.047,0.023,0.023,NA,NA,0.047,0.023
"ANTHRO 159 - DEBENPORT, E.K.",0.25,0.65,NA,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 169 - BRANTINGHAM, P.J.",0.05,0.075,0.149,0.174,0.162,0.116,0.12,0.046,0.025,0.029,0.008,NA,0.017
"ANTHRO 19 - ACABADO, S.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 19 - FESSLER, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 19 - FISKE, A.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 19 - GARRO, L.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 19 - KROSKRITY, P.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 19 - PERRY, S.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 191HC - MIYAKE, L.R.",NA,0.538,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 194 - FESSLER, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 194 - FOX, M.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 197 - ACABADO, S.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 2 - SMITH, M.L.",0.194,0.2,0.111,0.13,0.086,0.073,0.029,0.022,0.035,0.006,0.013,0.006,0.013
"ANTHRO 200 - BARRETT, H.C.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 202A - WOOD, B.M.",0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 203A - LEVINE, N.",NA,0.882,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 204A - DEBENPORT, E.K.",0.154,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 221 - CARTMILL, E.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 234 - HOLLAN, D.W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 241 - HART, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 253 - KROSKRITY, P.V.",0.273,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - YAN, Y.",0.02,0.195,0.221,0.255,0.131,0.064,0.06,0.027,0.01,NA,NA,NA,0.003
"ANTHRO 4 - MENDOZA-DENTON, N",0.505,0.292,0.138,0.03,0.016,0.003,0.01,NA,NA,NA,0.003,NA,0.003
"ANTHRO 495 - HAUSER, B.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO C117 - WAKE, T.A.",NA,0.615,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M166Q - BOUM, A.",0.079,0.316,0.395,0.132,0.026,0.026,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M67W - YARBROUGH, L.B.",0.1,0.34,0.1,0.08,0.14,0.06,0.06,NA,0.04,NA,NA,0.02,0.04
"ARABIC 102A - HAMZA, A.T.",0.333,0.167,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102A - HAMZA, A.T. LEC 2",0.312,0.375,0.062,NA,0.125,NA,0.125,NA,NA,NA,NA,NA,NA
"ARABIC 103A - HAMZA, A.T.",0.25,0.333,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083
"ARABIC 1A - AHMAD, A.M.",0.375,0.312,NA,0.062,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1A - AHMAD, A.M. LEC 2",0.261,0.435,0.087,0.043,0.087,NA,0.043,NA,NA,NA,0.043,NA,NA
"ARABIC 1A - AHMAD, A.M. LEC 4",0.591,0.227,0.045,NA,0.091,NA,0.045,NA,NA,NA,NA,NA,NA
"ARABIC M171 - BOUM, A.",0.133,0.4,0.2,0.067,0.067,0.067,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 122 - BARKAN, K.R.",NA,0.368,0.368,0.158,0.105,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 131 - OSMAN, M.",NA,0.105,0.368,0.316,0.105,0.105,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 141 - JIMENEZ INIESTA, D",0.148,0.333,0.111,0.296,0.111,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 220 - KOERNER, J.",0.053,0.921,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - AMUNATEGUI, J.C.",NA,0.574,0.204,0.093,0.093,NA,NA,NA,NA,NA,NA,NA,0.019
"ARCH&UD 289 - BILSEL, C.",0.053,0.632,0.105,0.158,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CONWAY, M.J.",NA,0.25,0.333,0.25,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D.",NA,0.652,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D. LEC 10",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - ENNEMOSER, B.",NA,0.294,0.471,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - FRANKEL, R.E.",0.278,0.5,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SHAFFER, G.",NA,0.211,0.421,0.263,0.105,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SU, N.",NA,0.4,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 290 - OSMAN, M.",NA,0.364,0.273,0.182,0.091,0.091,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 30 - OSMAN, M.",0.011,0.215,0.304,0.083,0.149,0.083,0.028,0.017,0.011,NA,NA,NA,NA
"ARCH&UD 375 - OSMAN, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - ENNEMOSER, B.",NA,0.267,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - HULJICH, G.",NA,0.273,0.273,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - INABA, J.N.",NA,NA,0.5,0.389,0.111,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - LAI, Y.",0.1,0.7,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - LYNN, G.S.",NA,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - REFUERZO, B.J.",NA,0.917,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SANDMEIER, N.",0.176,NA,0.235,0.353,0.235,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SHARIF, M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - ABE, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - DENARI, N.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - FEGHALI, Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - INABA, J.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - LYNN, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - OZEL, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 403A - SANDMEIER, N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 411 - FREYINGER, C.P.",0.1,0.2,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - DENARI, N.M.",NA,0.167,0.5,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - FEGHALI, Y.",0.25,0.5,0.167,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - MIRZAEIAN, N.",0.077,0.308,0.308,0.231,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 413 - RICCIARDI, G.",0.25,0.667,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 431 - PAULL, M.",0.054,0.351,0.378,0.189,NA,NA,NA,NA,NA,NA,NA,NA,0.027
"ARCH&UD 461 - LYNCH, T.M.",0.188,0.271,0.208,0.167,0.104,0.042,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD M201 - OSMAN, M.",0.049,0.244,0.22,0.341,0.122,0.024,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 101A - KOULOUJIAN, H.",0.25,0.5,0.1,0.05,NA,0.05,0.05,NA,NA,NA,NA,NA,NA
"ARMENIA 104A - MARTIROSYAN, H.K.",0.429,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 171 - KOULOUJIAN, H.",0.053,0.895,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11A - ESTRADA, V.R.",0.294,0.529,NA,0.118,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11D - GARNETT, M.J.",0.235,0.176,0.529,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11D - PALAIMA, M.A.",0.733,0.133,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11E - BATURA, T.M.",0.211,0.053,0.211,0.316,0.105,0.053,NA,NA,0.053,NA,NA,NA,NA
"ART 130 - WEISSMAN, B.",NA,0.667,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - MORRIS, R.J.",0.929,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - OLSON, A.K.",0.214,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 140 - SAMUEL, J.M.",0.333,0.167,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 145 - MCMILLIAN, R.T.",NA,0.267,0.333,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"ART 147 - OPIE, C.S.",0.667,0.267,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"ART 147 - WOODS, S.A.",0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 148 - LIN, C.C.",0.235,0.529,0.176,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 150 - PERLMAN, H.",NA,0.688,0.062,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 193 - JUGDEO, V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 1A - WILLIAMS, J.S.",0.167,0.278,0.222,0.056,0.222,NA,NA,NA,NA,NA,NA,0.056,NA
"ART 1B - GREELY, H.M.",0.579,0.368,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"ART 21A - JUN, D.H.",0.182,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"ART 271 - ENGLISH, D.E.",0.7,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - OTTO-KNAPP, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - MCMILLIAN, R.T.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - VALENZUELA, R.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 275 - JUGDEO, V.",0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 276 - FERGUSON, R.",0.231,0.615,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - KRUGER, B.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - LIN, C.C.",NA,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 31A - VIKRAM, A.",0.021,0.125,0.104,0.146,0.229,0.188,0.104,0.042,NA,NA,0.021,NA,NA
"ART 495 - WICKMAN, P.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART C180 - FERGUSON, R.",0.091,0.818,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART C280 - FORBES BLACK, H.E.",0.562,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 100 - NAIR, S.E.",0.077,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 124 - HARWELL, G.T.",0.043,0.298,0.298,0.234,0.106,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 127A - CHOWDHURY, Z.",NA,0.211,0.158,0.132,0.237,0.053,0.053,0.053,0.026,NA,0.079,NA,NA
"ART HIS 132 - METCALF, M.G.",NA,0.132,0.316,0.132,0.105,0.079,0.105,0.053,NA,0.053,NA,NA,0.026
"ART HIS 143 - ROSENBLUM, B.T.",NA,0.207,0.207,0.241,0.172,0.086,NA,0.034,NA,NA,NA,NA,0.017
"ART HIS 185 - BAKER, G.T.",0.154,0.385,0.231,0.077,NA,NA,NA,0.077,NA,NA,NA,NA,NA
"ART HIS 185 - HARWELL, G.T.",0.375,0.25,0.125,0.062,NA,NA,0.062,NA,NA,NA,NA,NA,0.062
"ART HIS 19 - MATHUR, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 202 - UPTON, D.",NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 22 - WILSON, B.",0.011,0.069,0.221,0.332,0.153,0.057,0.027,0.008,0.004,NA,NA,NA,0.011
"ART HIS 228D - BAKER, G.T.",0.167,0.25,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 260B - MATHUR, S.",NA,0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 28 - TAYLOR, L.E.",0.152,0.475,0.132,0.089,0.058,0.016,0.004,0.004,0.016,0.004,0.012,NA,0.008
"ART HIS C145A - TAYLOR, L.E.",0.146,0.488,0.122,0.049,0.122,0.024,NA,NA,0.024,NA,NA,NA,NA
"ART HIS C155 - KUMAR, A.M.",0.047,0.256,0.372,0.116,0.116,NA,0.047,NA,0.023,NA,NA,NA,NA
"ART HIS C160 - MATHUR, S.",0.052,0.442,0.299,0.039,0.052,0.052,0.013,0.013,0.013,NA,NA,NA,0.013
"ART&ARC 10 - FRIEDMAN, M.L.",0.296,0.547,0.079,0.025,0.025,0.015,NA,NA,NA,NA,NA,NA,0.005
"ART&ARC 100 - MARKS, V.E.",0.246,0.439,0.105,0.053,0.035,0.053,NA,NA,0.018,NA,NA,NA,NA
"ARTS ED 101 - CAMERON, D.P.",0.087,0.565,0.217,NA,NA,0.043,0.043,NA,NA,NA,NA,NA,NA
"ARTS ED 101 - ELIZABETH, C.F.",NA,0.467,0.333,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTS ED M102 - SYKES, M.M.",NA,0.778,0.148,0.037,0.037,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 107 - HONG, K.",NA,0.462,0.154,0.154,0.038,0.077,0.038,NA,NA,NA,NA,NA,NA
"ASIA AM 10W - FONG, K.N.",0.008,0.471,0.336,0.084,0.05,0.017,NA,0.008,NA,0.008,NA,NA,0.008
"ASIA AM 112C - LIU, K.",NA,0.773,0.136,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 113 - WANG, L.S.",0.473,0.216,0.162,0.027,0.014,0.014,0.014,0.027,NA,NA,NA,NA,NA
"ASIA AM 115 - WELTY, L.",NA,0.237,0.342,0.237,0.132,0.013,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 133 - NADURATA, E.",0.467,0.267,0.183,NA,0.017,0.05,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 140SL - CHENG, S.",NA,0.812,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 171E - TRAN, K.N.",0.296,0.366,0.183,0.042,0.085,0.014,0.014,NA,NA,NA,NA,NA,NA
"ASIA AM 187C - KULKARNI, M.P.",NA,0.083,0.222,0.167,0.278,NA,0.028,0.028,NA,NA,0.056,NA,0.028
"ASIA AM 195 - NGUYEN-VO, T.",NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 20 - WELTY, L.",NA,0.75,0.112,0.059,0.039,0.007,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 200A - MATSUMOTO, V.J.",NA,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 30 - ALVES, A.M.",0.494,0.241,0.092,0.011,0.034,0.034,0.011,NA,0.011,NA,NA,NA,0.011
"ASIA AM C142A - CHEN, J.T.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M161 - SANGALANG, C.C.",0.314,0.2,0.143,0.171,0.086,NA,0.029,NA,NA,NA,0.029,NA,NA
"ASIAN 104 - SOHN, S.S.",0.136,0.432,0.159,0.114,0.068,NA,NA,NA,0.023,0.023,NA,NA,NA
"ASIAN 30 - IWASAKI, S.",0.131,0.455,0.081,0.111,0.091,0.02,0.02,0.01,0.01,NA,0.01,NA,0.02
"ASIAN M60W - BODIFORD, W.M.",NA,0.569,NA,0.2,0.108,0.031,0.046,0.015,NA,NA,0.015,NA,0.015
"ASL 1 - LEWIS, B.J.",0.04,0.52,0.12,0.12,0.04,0.04,0.04,NA,0.04,NA,NA,NA,NA
"ASL 1 - LEWIS, B.J. LEC 2",0.059,0.647,0.059,0.118,0.118,NA,NA,NA,NA,NA,NA,NA,NA
"ASL 4 - LEWIS, B.J.",NA,0.45,0.2,0.1,0.05,NA,NA,NA,0.05,NA,NA,NA,NA
"ASTR 180 - FITZGERALD, M.P.",0.174,0.261,0.087,0.087,0.174,0.087,0.13,NA,NA,NA,NA,NA,NA
"ASTR 273 - NAOZ, S.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 279 - SHAPLEY, A.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 284 - HANSEN, B.M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 3 - CONSIGLIO, S.M.",NA,0.239,0.204,0.155,0.134,0.063,0.049,0.042,0.028,0.021,0.014,NA,0.007
"ASTR 3 - RICH, M.",0.054,0.21,0.222,0.263,0.09,0.03,0.024,0.012,0.012,NA,NA,NA,NA
"ASTR 4 - MALKAN, M.A.",0.071,0.071,0.071,0.214,0.095,0.024,0.119,0.048,0.071,0.024,0.024,NA,NA
"ASTR 5 - TREU, T.L.",0.279,0.163,0.125,0.077,0.048,0.038,0.038,0.019,0.019,0.01,0.01,NA,0.01
"ASTR M297 - FURLANETTO, S.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 10 - LINSLEY, C.",0.032,0.947,0.011,NA,NA,NA,0.011,NA,NA,NA,NA,NA,NA
"BIOENGR 100 - KAMEI, D.T.",0.011,0.211,0.333,0.089,0.078,0.033,0.011,0.033,0.056,0.056,0.011,0.033,0.044
"BIOENGR 167L - MEYER, A.S.",0.067,0.2,0.3,0.167,0.067,0.133,0.033,NA,NA,NA,NA,NA,0.033
"BIOENGR 177A - SEIDLITS, S.K.",0.078,0.422,0.484,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - BARBARIE, S.N.",0.026,0.553,0.237,0.132,0.053,NA,NA,NA,NA,NA,NA,NA,NA
