"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"ANTHRO 139 - GARRO, L.C.",0.161,0.065,0.065,0.29,0.065,0.032,0.129,NA,0.032,0.065,NA,0.032,0.065
"ANTHRO 141 - LOYD, H.M.",0.419,0.081,0.29,0.097,NA,0.048,0.016,0.032,NA,0.016,NA,NA,NA
"ANTHRO 149 - ACIKSOZ, S.C.",0.069,NA,0.879,0.017,NA,0.017,NA,NA,NA,NA,0.017,NA,NA
"ANTHRO 149 - VERNON, M.",0.346,0.077,0.5,NA,0.038,NA,NA,NA,NA,NA,NA,NA,0.038
"ANTHRO 155 - KROSKRITY, P.V.",0.348,0.217,0.13,0.174,NA,0.13,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 159 - EDMONDS, R.B.",0.226,0.283,0.151,0.057,0.057,0.113,NA,0.019,0.019,NA,NA,0.019,0.057
"ANTHRO 159 - MENDOZA-DENTON, N.",0.714,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 191HC - MIYAKE, L.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 197 - ACABADO, S.B.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 2 - LI, M.",0.755,0.15,NA,0.023,0.007,0.042,0.007,NA,0.003,NA,0.007,NA,0.007
"ANTHRO 200 - BARRETT, H.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 202A - FOX, M.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 203A - YAN, Y.",0.833,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 249 - BOUM, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 249 - MANKEKAR, P.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - CATTELINO, J.R.",0.803,0.054,NA,0.031,0.013,0.036,NA,0.004,0.022,NA,0.004,0.009,0.022
"ANTHRO 4 - ALIM, H.",0.331,0.065,0.495,0.028,0.022,0.031,0.003,0.006,0.009,0.003,0.003,0.003,NA
"ANTHRO M145P - LEVINE, N.",0.159,0.19,0.079,0.127,0.143,0.206,0.032,NA,0.032,0.016,NA,NA,0.016
"ANTHRO M166Q - BOUM, A.",0.55,0.425,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 103A - HAMZA, A.T.",0.5,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 111A - HAMZA, A.T.",0.231,0.077,0.615,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1A - AL RIFAE, K.A.",0.619,0.048,0.238,0.048,NA,0.048,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1A - COOPERSON, M.D.",0.541,0.027,0.351,0.027,NA,NA,NA,NA,NA,NA,0.027,NA,0.027
"ARABIC M171 - BOUM, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 122 - AYATA, A.",0.217,0.217,0.391,NA,0.043,0.087,NA,NA,NA,NA,NA,NA,0.043
"ARCH&UD 131 - OSMAN, M.",0.731,0.115,NA,0.115,0.038,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 141 - SHARIF, M.",0.545,0.273,0.152,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 220 - KOERNER-AL-RAWI, J",0.658,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - AMUNATEGUI, J.C.",0.764,0.073,0.109,0.018,NA,0.036,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CONWAY, M.J.",NA,0.182,0.364,0.182,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D.",0.893,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - ENNEMOSER, B.",0.308,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - FRANKEL, R.E.",0.333,0.4,0.2,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - LEVIN, A.",0.15,0.25,0.3,0.15,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - MAXIM, J.",0.429,0.5,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SU, N.",0.385,0.154,0.231,NA,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 30 - OSMAN, M.",0.533,0.267,0.067,0.03,0.006,0.055,NA,0.006,0.006,NA,NA,NA,0.03
"ARCH&UD 401 - ENNEMOSER, B.",0.692,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - FEGHALI, Y.",0.091,0.455,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - HULJICH, G.",0.714,0.143,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - LAI, Y.",0.214,0.571,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - LEE, K.",0.286,0.429,0.143,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - SANDMEIER, N.S.",0.385,0.154,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 411 - FREYINGER, C.P.",0.6,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 411 - MATATYAOU, U.J.",0.5,0.3,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 411 - TENG, R.V.",0.6,0.2,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 431 - PAULL, M.",0.611,0.222,0.083,NA,NA,0.056,0.028,NA,NA,NA,NA,NA,NA
"ARCH&UD 461 - LYNCH, T.M.",0.375,0.094,0.344,0.062,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD M201 - OSMAN, M.",0.625,0.175,NA,0.075,0.025,0.075,NA,NA,0.025,NA,NA,NA,NA
"ARMENIA 101A - KOULOUJIAN, H.",0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"ARMENIA 102A - KOULOUJIAN, H.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA 104A - MARTIROSYAN, H.K.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMENIA C152 - COWE, P.S.",0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056
"ART 11A - ESTRADA, V.R.",0.556,NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11B - LIPPS, M.D.",0.889,NA,NA,0.056,NA,NA,0.056,NA,NA,NA,NA,NA,NA
"ART 11D - RIOS, M.T.",0.45,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 11E - SEW HOY, A.M.",0.571,0.071,0.286,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ART 130 - QUEENLAND, M.D.",0.467,0.2,0.267,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
"ART 133 - OLSON, A.K.",0.533,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - OTTO-KNAPP, S.",0.067,NA,0.867,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ART 137 - JUGDEO, V.",0.5,NA,0.429,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA
"ART 140 - SAMUEL, J.M.",0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 145 - ROY, D.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 147 - WOODS, S.A.",0.286,NA,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 148 - LIN, C.C.",0.231,0.154,0.462,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"ART 150 - PERLMAN, H.",0.455,0.091,0.182,0.182,NA,NA,0.091,NA,NA,NA,NA,NA,NA
"ART 1A - WILLIAMS, J.S.",0.529,0.294,0.118,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 1B - ROY, D.A.",0.938,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - MORRIS, R.J.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 271 - OTTO-KNAPP, S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 273 - PERLMAN, H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - VALENZUELA, R.A.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 274 - WOODS, S.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 275 - JUGDEO, V.",0.818,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 275 - ROSALES, G.E.",0.4,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 276 - MCMILLIAN, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 277 - LIN, C.C.",0.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 278 - FRASER, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 279 - KRUGER, B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 31A - VIKRAM, A.",0.31,0.207,0.276,0.034,0.034,0.103,NA,0.017,0.017,NA,NA,NA,NA
"ART C280 - CIVIL, G.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 119A - BALAFREJ, L.",0.492,0.222,0.19,0.032,NA,0.063,NA,NA,NA,NA,NA,NA,NA
"ART HIS 124 - HARWELL, G.T.",0.279,0.186,0.093,0.116,0.093,0.093,0.093,NA,0.047,NA,NA,NA,NA
"ART HIS 185 - BALAFREJ, L.",0.273,0.545,0.091,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 185 - HARWELL, G.T.",0.2,0.1,0.5,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ART HIS 22 - WILSON, B.",0.116,0.382,0.017,0.127,0.052,0.225,0.012,0.012,0.04,NA,NA,NA,0.017
"ART HIS 230D - BAKER, G.T.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 25 - MATHUR, S.",0.536,0.155,0.155,0.028,0.012,0.079,0.016,0.004,0.004,0.004,NA,0.004,0.004
"ART HIS 272B - WHARTON, G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS C115D - COHEN, M.M.",0.306,0.429,NA,0.102,0.02,0.102,0.02,NA,0.02,NA,NA,NA,NA
"ART HIS C128B - BAKER, G.T.",0.24,0.32,0.093,0.107,0.04,0.12,0.04,NA,0.013,0.013,NA,0.013,NA
"ART HIS C131B - ROTTMAN, Z.D.",0.574,0.23,0.049,0.066,NA,0.066,NA,NA,0.016,NA,NA,NA,NA
"ART HIS CM141 - BLACK, C.V.",0.522,0.217,NA,0.043,NA,0.174,NA,NA,NA,NA,NA,NA,0.043
"ART&ARC 100 - MARKS, V.E.",0.388,0.204,0.286,NA,0.02,0.102,NA,NA,NA,NA,NA,NA,NA
"ARTS ED 101 - CAMERON, D.P.",0.724,0.172,NA,NA,NA,0.034,0.069,NA,NA,NA,NA,NA,NA
"ARTS ED M102 - CHRISTIAN, J.J.",0.667,0.111,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTS ED M192 - SYKES, M.M.",0.545,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 10W - FONG, K.N.",0.717,0.058,0.175,0.008,NA,0.008,0.017,NA,0.008,NA,NA,0.008,NA
"ASIA AM 112C - BANERJEE, N.",0.76,0.08,NA,0.08,NA,0.08,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 120 - CHEN, J.T.",0.72,0.16,NA,0.02,0.02,0.06,NA,NA,NA,0.02,NA,NA,NA
"ASIA AM 126 - GANDHI, E.C.",0.585,0.049,0.293,NA,NA,0.024,0.024,0.024,NA,NA,NA,NA,NA
"ASIA AM 133 - LIBUNAO, M.",0.151,0.113,0.566,0.075,NA,0.038,NA,0.057,NA,NA,NA,NA,NA
"ASIA AM 140SL - CHENG, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 175B - QUTAMI, L.N.",0.158,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 178 - GANDHI, E.C.",0.679,0.071,0.143,0.036,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 188 - ZHOU, M.",0.5,0.143,NA,0.214,0.071,0.071,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 20 - TAMAI, L.Y.",0.829,0.121,0.014,0.014,NA,0.014,NA,NA,NA,0.007,NA,NA,NA
"ASIA AM 200A - CAMACHO, K.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM C142A - CHEN, J.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIAN 100 - TAO, H.",0.368,0.132,0.184,0.132,0.026,0.158,NA,NA,NA,NA,NA,NA,NA
"ASIAN 135 - JUNG-KIM, J.J.",0.349,0.419,0.023,NA,0.023,0.186,NA,NA,NA,NA,NA,NA,NA
"ASIAN 161 - HAYES, M.R.",0.714,0.107,NA,0.143,NA,0.036,NA,NA,NA,NA,NA,NA,NA
"ASIAN 30 - IWASAKI, S.",0.51,0.184,0.143,0.051,0.041,0.02,0.02,NA,0.01,NA,NA,NA,0.02
"ASIAN M60W - LIPPIT, S.M.",0.804,0.109,NA,0.043,NA,0.022,NA,NA,NA,NA,NA,NA,0.022
"ASL 1 - LEWIS, B.J.",0.543,0.114,0.171,0.057,0.029,0.086,NA,NA,NA,NA,NA,NA,NA
"ASL 4 - LEWIS, B.J.",0.792,NA,0.167,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"ASTR 270 - NAOZ, S.",0.067,NA,0.867,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ASTR 284 - HANSEN, B.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASTR 3 - DO, T.H.",0.162,0.229,0.057,0.152,0.095,0.162,0.048,0.01,0.076,NA,NA,NA,0.01
"ASTR 3 - RICH, M.",0.5,0.188,0.062,0.104,NA,0.118,0.021,NA,NA,NA,NA,NA,0.007
"ASTR 4 - MALKAN, M.A.",0.217,0.261,0.043,0.087,0.087,0.261,NA,NA,0.043,NA,NA,NA,NA
"ASTR 5 - TREU, T.L.",0.225,0.188,0.297,0.043,0.029,0.123,0.014,NA,0.014,0.007,0.007,NA,0.051
"BIOENGR 10 - LINSLEY, C.",0.908,0.046,0.023,NA,NA,0.011,NA,NA,0.011,NA,NA,NA,NA
"BIOENGR 100 - KAMEI, D.T.",0.225,0.282,0.028,0.056,0.113,0.085,0.056,0.028,0.028,0.028,0.014,0.014,0.042
"BIOENGR 167L - LINSLEY, C.",0.955,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 177A - SEIDLITS, S.K.",0.564,0.103,0.308,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 188 - BARBARIE, S.N.",0.5,0.214,NA,0.107,0.036,0.143,NA,NA,NA,NA,NA,NA,NA
"BIOENGR 298 - CHEN, J.",0.588,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C104 - WONG, G.C.",0.234,0.362,NA,0.128,0.085,0.191,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C105 - DEMING, T.J.",0.28,0.12,0.24,0.12,NA,0.2,NA,NA,NA,0.04,NA,NA,NA
"BIOENGR C183 - KASKO, A.M.",0.588,0.294,NA,NA,NA,0.059,NA,NA,NA,NA,0.059,NA,NA
"BIOENGR C205 - DEMING, T.J.",0.188,0.312,0.25,0.062,NA,0.188,NA,NA,NA,NA,NA,NA,NA
"BIOENGR C283 - KASKO, A.M.",0.333,0.4,NA,0.067,NA,0.133,NA,NA,NA,NA,NA,NA,0.067
"BIOENGR CM178 - KASKO, A.M.",0.35,0.3,NA,0.3,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"BIOENGR CM245 - PARK, J.",0.5,0.083,0.083,0.083,0.083,0.083,NA,NA,0.083,NA,NA,NA,NA
"BIOENGR CM278 - KASKO, A.M.",0.222,0.278,NA,0.056,0.056,0.389,NA,NA,NA,NA,NA,NA,NA
"BIOENGR M182 - DISTEFANO, J.",0.571,0.048,0.143,0.095,NA,0.095,0.048,NA,NA,NA,NA,NA,NA
"BIOENGR M260 - LIU, W.",0.52,0.2,0.08,NA,0.08,0.08,NA,NA,0.04,NA,NA,NA,NA
"BIOINFO 201 - LI, J.",0.903,NA,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 202 - XIAO, X.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO 275A - PELLEGRINI, M.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOINFO M221 - SUL, J.H.",0.733,0.067,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOMATH 170A - SIM, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOMATH M261 - DETELS, R.",0.464,0.107,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100A - GJERTSON, D.W.",0.857,0.095,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 100A - LEE, M.L.",0.708,0.031,0.015,0.215,NA,0.015,NA,NA,0.015,NA,NA,NA,NA
"BIOSTAT 200A - GJERTSON, D.W.",0.839,0.032,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 201A - BELIN, T.R.",0.556,0.175,0.19,NA,NA,0.079,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 203A - KIM, G.J.",0.73,NA,0.189,NA,NA,0.081,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 213 - RAMIREZ, C.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 216 - BANERJEE, S.",0.714,0.143,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 273 - RAMIREZ, C.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT M215 - LI, G.",0.556,0.111,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 10H - CLARK, I.E.",0.826,0.043,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 193H - CLARK, I.E.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 194H - CLARK, I.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 5HA - CLARK, I.E.",0.775,0.079,0.101,0.022,NA,0.022,NA,NA,NA,NA,NA,NA,NA
"BMD RES 5HB - CLARK, I.E.",0.485,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 120 - BRANDENBERG, S.J.",0.167,0.298,0.012,0.119,0.083,0.155,0.071,NA,0.071,0.024,NA,NA,NA
"C&EE 135A - JU, J.",0.356,0.161,0.241,0.138,0.011,0.092,NA,NA,NA,NA,NA,NA,NA
"C&EE 141 - PITHEY, K.C.",0.259,0.185,0.111,0.222,0.037,0.148,NA,0.037,NA,NA,NA,NA,NA
"C&EE 150 - MARGULIS, S.A.",0.301,0.204,0.01,0.204,0.049,0.117,0.039,NA,0.039,0.01,NA,0.029,NA
"C&EE 153 - MOHANTY, S.K.",0.268,0.237,0.155,0.082,0.052,0.139,0.026,NA,0.041,NA,NA,NA,NA
"C&EE 155 - JASSBY, D.",0.565,NA,NA,0.13,NA,0.261,NA,NA,0.043,NA,NA,NA,NA
"C&EE 156A - LAU, S.",0.389,0.111,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 181 - CAMPBELL, R.J.",0.342,0.237,NA,0.053,0.026,0.184,NA,0.053,0.105,NA,NA,NA,NA
"C&EE 190 - SABOL, T.A.",0.75,0.125,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 194 - BAUCHY, M.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 235A - BURTON, H.J.",0.75,0.156,0.031,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"C&EE 235A - TACIROGLU, E.",0.25,0.417,0.083,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"C&EE 243A - WALLACE, J.W.",0.556,0.407,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA
"C&EE 250A - GEBREMICHAEL, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 253 - STENSTROM, M.K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 254A - JAY, J.A.",0.294,0.147,0.353,NA,NA,0.176,NA,NA,NA,NA,NA,NA,0.029
