,CLASS,A+_x,A_x,A-_x,B+_x,B_x,B-_x,C+_x,C_x,C-_x,D+_x,D_x,D-_x,F_x,A+_y,A_y,A-_y,B+_y,B_y,B-_y,C+_y,C_y,C-_y,D+_y,D_y,D-_y,F_y
12,"A&O SCI M203A - LI, Q.",0.235,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,"A&O SCI M203A - PAULSON, S.E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.364,0.182,0.273,0.091,0,0,0,0,0,0,0,0
2391,"A&O SCI M71 - AURNOU, J.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.167,0.083,0.25,0,0,0,0.167,0,0,0,0.083,0
2392,"AERO ST 130A - JONES, T.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0.182,0,0,0,0,0,0,0,0,0,0
13,"AERO ST 140A - PLASCENCIA, K.",0.462,0.231,0.231,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"AERO ST 1A - LISCOMBE, J.R.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,"AERO ST 1A - LISCOMBE, J.R. LEC 2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"AERO ST 20A - LISCOMBE, J.R.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2393,"AERO ST 20A - LISCOMBE, J.R. LEC 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,"AF AMER 1 - HUNTER, M.",0.277,0.424,0.068,0.051,0.062,0.051,0.023,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2394,"AF AMER 1 - PIERRE, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.592,0.289,0.009,0.023,0.037,0.005,0.014,0.018,0.005,0,0,0,0.009
18,"AF AMER 105B - HUDSON, P.J.",0.273,0.212,0.182,0.121,0.03,0.061,0.121,0,0,0,0,0,0,0.452,0.355,0.129,0.065,0,0,0,0,0,0,0,0,0
19,"AF AMER 188A - BONNER, L.D.",0.189,0.405,0.216,0.108,0.027,0,0,0,0.027,0,0,0.027,0,0.444,0.519,0.037,0,0,0,0,0,0,0,0,0,0
20,"AF AMER 188A - DUE, T.P.",0.578,0.172,0.125,0.094,0.031,0,0,0,0,0,0,0,0,0.557,0.261,0.125,0.023,0,0.011,0.011,0,0,0,0,0,0.011
21,"AF AMER 188A - EDU, U.F.",0.613,0.161,0.129,0,0.032,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"AF AMER 188A - LYTLE HERNANDEZ, K",0.444,0.444,0,0.056,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"AF AMER C191 - EDU, U.F.",0.857,0.071,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AF AMER C291 - BROWN, S.D.",0.364,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,"AF AMER C291 - EDU, U.F.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,"AF AMER C291 - LACAYO, C.O.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"AF AMER M104A - YARBOROUGH, R.A.",0,0.13,0.261,0.174,0.087,0.087,0,0.174,0.043,0,0.043,0,0,0.281,0.375,0.125,0.062,0.031,0,0.094,0,0,0.031,0,0,0
27,"AF AMER M120 - ALLEN, W.R.",0.097,0.29,0.226,0.194,0.161,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2396,"AF AMER M121 - MAYS, K.T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0.13,0.022,0.022,0.043,0,0.022,0,0,0,0,0,0
2397,"AF AMER M12A - DOLEAC, B.G.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.308,0.077,0.077,0,0,0,0.077,0,0,0.077,0,0
2398,"AF AMER M172 - BAIN, B.R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.4,0.1,0.1,0.1,0.033,0,0,0,0,0,0,0
28,"AF AMER M200B - HUDSON, P.J.",0,0.875,0.062,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"AF AMER M5 - HUNTER, M.",0.372,0.393,0.167,0.026,0.021,0,0.013,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,"AF AMER M5 - LACAYO, C.O.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.156,0.274,0.215,0.177,0.093,0.025,0.008,0.008,0,0,0,0.017
30,"AM IND 202 - MITHLO, N.M.",0.083,0.667,0.083,0.083,0,0,0.083,0,0,0,0,0,0,0,0.778,0.222,0,0,0,0,0,0,0,0,0,0
31,"AM IND M10 - ERNEST, M.A.",0.225,0.713,0.006,0.019,0.013,0.006,0.006,0.006,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,"AM IND M10 - MAYS, K.T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,0.313,0.024,0.012,0,0,0,0.012,0,0,0.012,0,0
2401,"AM IND M123 - MAYS, K.T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0.2,0,0,0,0,0.067,0,0,0,0,0,0
32,"AN N EA 10W - SMOAK, J.D.",0,0.295,0.295,0.179,0.158,0.011,0.011,0.042,0,0,0,0,0.011,0,0.237,0.316,0.092,0.237,0.039,0,0.039,0.013,0,0.013,0,0.013
2402,"AN N EA 120A - WINNERMAN, J.P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.417,0.417,0,0.083,0,0,0,0,0,0,0,0
2403,"AN N EA 15 - COONEY, K.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0.237,0.164,0.096,0.011,0.006,0.006,0.006,0,0.006,0.006,0.006,0.017
2404,"AN N EA 15 - COONEY, K.M. LEC 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
33,"AN N EA 15W - COONEY, K.M.",0.159,0.392,0.18,0.074,0.106,0.032,0.011,0.021,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"AN N EA 15W - COONEY, K.M. LEC 3",0.057,0.6,0.2,0.029,0.029,0.057,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"AN N EA C177 - WINNERMAN, J.P.",0.111,0.222,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,"AN N EA M130 - WENDRICH, W.Z.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.456,0.219,0.026,0.053,0.009,0.009,0.009,0.009,0,0,0,0
2406,"AN N EA M166 - COONEY, K.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,"AN N EA M50A - BURKE, A.A.",0.355,0.177,0.129,0.065,0.097,0.065,0.032,0,0.032,0,0.032,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0
2407,"AN N EA M50A - DANIELSON, A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.463,0.122,0.024,0.049,0.024,0,0,0.024,0,0,0,0.024
37,"AN N EA M60 - SHAYEGAN, M.R.",0.179,0.321,0.143,0,0.107,0.071,0,0,0.071,0,0.036,0.036,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"ANTHRO 110 - GUPTA-AGARWAL, S.",0.065,0.261,0.196,0.174,0.13,0.065,0.022,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,"ANTHRO 112P - SMITH, M.L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0.357,0.125,0.179,0.161,0.018,0.018,0,0.036,0,0,0,0.018
2409,"ANTHRO 112S - SCHACHNER, G.T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0.333,0.048,0.048,0.048,0,0,0,0,0,0,0
39,"ANTHRO 116S - ACABADO, S.B.",0.667,0.267,0.022,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"ANTHRO 119 - LI, M.",0.028,0.889,0.028,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,"ANTHRO 119 - WAKE, T.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0.234,0.094,0.062,0,0.016,0.016,0,0,0,0,0
2411,"ANTHRO 124Q - BARRAGAN, O.R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0.276,0.224,0.069,0.121,0.121,0.017,0,0,0.017,0,0,0
2412,"ANTHRO 124S - FESSLER, D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.19,0.068,0.095,0.156,0.082,0.061,0.082,0.027,0.027,0.054,0.02,0.041
41,"ANTHRO 124S - SNYDER, J.K.",0.104,0.122,0.13,0.122,0.174,0.104,0.009,0.087,0.026,0.009,0.035,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"ANTHRO 124T - MANSON, J.H.",0.019,0.278,0.074,0.093,0.13,0.093,0.093,0.074,0.093,0,0.019,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"ANTHRO 129 - BIGHAM, A.W.",0.293,0.341,0.073,0.146,0,0.073,0.024,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2413,"ANTHRO 129 - LAZAREFF, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0.461,0,0,0,0,0,0,0,0,0,0,0
2414,"ANTHRO 130 - APPEL, H.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0.316,0.075,0.011,0.011,0.006,0.006,0,0,0,0,0,0.006
44,"ANTHRO 130 - BOUM, A.",0.138,0.609,0.19,0.023,0.006,0.006,0,0,0,0.011,0,0.006,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"ANTHRO 138P - FISKE, A.P.",0.027,0.721,0.108,0.045,0.054,0.018,0.009,0,0,0,0,0.009,0.009,0.175,0.573,0.068,0.039,0.058,0.029,0,0.01,0.01,0.01,0.01,0.01,0.01
46,"ANTHRO 139 - ANTOINE, K.E.",0.224,0.429,0.122,0.102,0.041,0.02,0.041,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"ANTHRO 139 - GARRO, L.C.",0.036,0.127,0.073,0.091,0.164,0.036,0.091,0.164,0.055,0,0.091,0,0.073,0.065,0.161,0.065,0.032,0.29,0.065,0.032,0.129,0,0.032,0.065,0,0.065
48,"ANTHRO 139 - SPEED, S.E.",0.174,0.42,0.217,0.072,0.043,0.014,0,0.014,0,0.014,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"ANTHRO 141 - LOYD, H.M.",0.271,0.61,0.051,0.017,0.017,0.034,0,0,0,0,0,0,0,0.29,0.419,0.081,0.048,0.097,0,0,0.016,0.032,0,0.016,0,0
2415,"ANTHRO 149 - ACIKSOZ, S.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.879,0.069,0,0.017,0.017,0,0,0,0,0,0,0.017,0
2416,"ANTHRO 149 - VERNON, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.346,0.077,0,0,0.038,0,0,0,0,0,0,0.038
50,"ANTHRO 151 - MITSUHARA, T.",0.136,0.318,0.409,0.023,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"ANTHRO 154P - EDMONDS, R.B.",0.047,0.256,0.256,0.14,0.093,0.047,0.047,0.023,0.023,0,0,0.047,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0
2417,"ANTHRO 155 - KROSKRITY, P.V.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.348,0.217,0.13,0.174,0,0,0,0,0,0,0,0
52,"ANTHRO 159 - DEBENPORT, E.K.",0.25,0.65,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,"ANTHRO 159 - EDMONDS, R.B.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.226,0.283,0.113,0.057,0.057,0.019,0,0.019,0.019,0,0,0.057
2419,"ANTHRO 159 - MENDOZA-DENTON, N.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.714,0,0,0,0,0,0,0,0,0,0,0
53,"ANTHRO 169 - BRANTINGHAM, P.J.",0.051,0.077,0.154,0.179,0.167,0.12,0.124,0.047,0.026,0.03,0.009,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"ANTHRO 191HC - MIYAKE, L.R.",0,0.538,0.462,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,"ANTHRO 197 - ACABADO, S.B.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2420,"ANTHRO 2 - LI, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0.15,0.042,0.023,0.007,0.003,0.007,0,0,0,0.007,0.007
56,"ANTHRO 2 - SMITH, M.L.",0.211,0.218,0.121,0.142,0.093,0.08,0.031,0.024,0.038,0.007,0.014,0.007,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"ANTHRO 200 - BARRETT, H.C.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2421,"ANTHRO 202A - FOX, M.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,"ANTHRO 202A - WOOD, B.M.",0.083,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"ANTHRO 203A - LEVINE, N.",0,0.882,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2422,"ANTHRO 203A - YAN, Y.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.833,0,0,0,0,0,0,0,0,0,0,0
60,"ANTHRO 204A - DEBENPORT, E.K.",0.167,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,"ANTHRO 249 - BOUM, A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2424,"ANTHRO 249 - MANKEKAR, P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.667,0,0,0,0,0,0,0,0,0,0,0
61,"ANTHRO 253 - KROSKRITY, P.V.",0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,"ANTHRO 3 - CATTELINO, J.R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803,0.054,0.036,0.031,0.013,0.022,0,0.004,0.009,0,0.004,0.022
62,"ANTHRO 3 - YAN, Y.",0.02,0.197,0.224,0.259,0.133,0.065,0.061,0.027,0.01,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
2426,"ANTHRO 4 - ALIM, H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0.331,0.065,0.031,0.028,0.022,0.009,0.003,0.006,0.003,0.003,0.003,0
63,"ANTHRO 4 - MENDOZA-DENTON, N",0.505,0.292,0.138,0.03,0.016,0.003,0.01,0,0,0,0.003,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"ANTHRO C117 - WAKE, T.A.",0,0.615,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2427,"ANTHRO M145P - LEVINE, N.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0.159,0.19,0.206,0.127,0.143,0.032,0.032,0,0,0.016,0,0.016
65,"ANTHRO M166Q - BOUM, A.",0.081,0.324,0.405,0.135,0.027,0.027,0,0,0,0,0,0,0,0,0.55,0.425,0,0,0.025,0,0,0,0,0,0,0
66,"ANTHRO M67W - YARBROUGH, L.B.",0.102,0.347,0.102,0.082,0.143,0.061,0.061,0,0.041,0,0,0.02,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"ARABIC 102A - HAMZA, A.T.",0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"ARABIC 102A - HAMZA, A.T. LEC 2",0.312,0.375,0.062,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"ARABIC 103A - HAMZA, A.T.",0.25,0.333,0.333,0,0,0,0,0,0,0,0,0,0.083,0.4,0.5,0.1,0,0,0,0,0,0,0,0,0,0
2428,"ARABIC 111A - HAMZA, A.T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,0.231,0.077,0.077,0,0,0,0,0,0,0,0,0
70,"ARABIC 1A - AHMAD, A.M.",0.462,0.385,0,0.077,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"ARABIC 1A - AHMAD, A.M. LEC 2",0.261,0.435,0.087,0.043,0.087,0,0.043,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"ARABIC 1A - AHMAD, A.M. LEC 4",0.591,0.227,0.045,0,0.091,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,"ARABIC 1A - AL RIFAE, K.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.619,0.048,0.048,0.048,0,0,0,0,0,0,0,0
2430,"ARABIC 1A - COOPERSON, M.D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0.263,0.053,0,0.053,0,0,0,0,0,0,0.053,0.053
2431,"ARABIC 1A - COOPERSON, M.D. LEC 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.833,0,0,0,0,0,0,0,0,0,0,0
73,"ARABIC M171 - BOUM, A.",0.143,0.429,0.214,0.071,0.071,0.071,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2432,"ARCH&UD 122 - AYATA, A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.391,0.217,0.217,0.087,0,0.043,0,0,0,0,0,0,0.043
74,"ARCH&UD 122 - BARKAN, K.R.",0,0.368,0.368,0.158,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"ARCH&UD 131 - OSMAN, M.",0,0.105,0.368,0.316,0.105,0.105,0,0,0,0,0,0,0,0,0.731,0.115,0,0.115,0.038,0,0,0,0,0,0,0
76,"ARCH&UD 141 - JIMENEZ INIESTA, D",0.148,0.333,0.111,0.296,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,"ARCH&UD 141 - SHARIF, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.545,0.273,0,0,0.03,0,0,0,0,0,0,0
77,"ARCH&UD 220 - KOERNER, J.",0.053,0.921,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2434,"ARCH&UD 220 - KOERNER-AL-RAWI, J",0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.658,0,0,0,0,0,0,0,0,0,0,0
78,"ARCH&UD 289 - AMUNATEGUI, J.C.",0,0.585,0.208,0.094,0.094,0,0,0,0,0,0,0,0.019,0.182,0.682,0.045,0.045,0.045,0,0,0,0,0,0,0,0
2435,"ARCH&UD 289 - AMUNATEGUI, J.C. LEC 80",0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.818,0.091,0.03,0,0,0,0,0,0,0,0,0
79,"ARCH&UD 289 - BILSEL, C.",0.053,0.632,0.105,0.158,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"ARCH&UD 289 - CONWAY, M.J.",0,0.25,0.333,0.25,0,0.167,0,0,0,0,0,0,0,0.364,0,0.182,0.273,0.182,0,0,0,0,0,0,0,0
81,"ARCH&UD 289 - CUFF, D.",0,0.652,0.348,0,0,0,0,0,0,0,0,0,0,0,0.786,0.214,0,0,0,0,0,0,0,0,0,0
82,"ARCH&UD 289 - CUFF, D. LEC 10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,"ARCH&UD 289 - ENNEMOSER, B.",0,0.312,0.5,0.188,0,0,0,0,0,0,0,0,0,0,0.308,0.692,0,0,0,0,0,0,0,0,0,0
84,"ARCH&UD 289 - FRANKEL, R.E.",0.278,0.5,0.222,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.4,0,0.067,0,0,0,0,0,0,0,0
2436,"ARCH&UD 289 - LEVIN, A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.15,0.25,0.15,0.15,0,0,0,0,0,0,0,0
2437,"ARCH&UD 289 - MAXIM, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.5,0.071,0,0,0,0,0,0,0,0,0
85,"ARCH&UD 289 - SHAFFER, G.",0,0.211,0.421,0.263,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"ARCH&UD 289 - SU, N.",0,0.4,0,0.4,0.2,0,0,0,0,0,0,0,0,0.231,0.385,0.154,0.231,0,0,0,0,0,0,0,0,0
87,"ARCH&UD 290 - OSMAN, M.",0,0.364,0.273,0.182,0.091,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"ARCH&UD 30 - OSMAN, M.",0.012,0.239,0.337,0.092,0.166,0.092,0.031,0.018,0.012,0,0,0,0,0.067,0.533,0.267,0.055,0.03,0.006,0.006,0,0.006,0,0,0,0.03
89,"ARCH&UD 401 - ENNEMOSER, B.",0,0.267,0.733,0,0,0,0,0,0,0,0,0,0,0,0.692,0.308,0,0,0,0,0,0,0,0,0,0
2438,"ARCH&UD 401 - FEGHALI, Y.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.455,0.455,0,0,0,0,0,0,0,0,0
90,"ARCH&UD 401 - HULJICH, G.",0,0.3,0.3,0.4,0,0,0,0,0,0,0,0,0,0.143,0.714,0.143,0,0,0,0,0,0,0,0,0,0
91,"ARCH&UD 401 - INABA, J.N.",0,0,0.5,0.389,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"ARCH&UD 401 - LAI, Y.",0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0,0.214,0.214,0.571,0,0,0,0,0,0,0,0,0,0
2439,"ARCH&UD 401 - LEE, K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.286,0.429,0.143,0,0,0,0,0,0,0,0,0
93,"ARCH&UD 401 - LYNN, G.S.",0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"ARCH&UD 401 - REFUERZO, B.J.",0,0.917,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
