class,difference,department,Class_Cap
"JAPAN 100A - NOGAMI, Y.",0.287786687,,"JAPAN 100A - NOGAMI, Y."
"SOC WLF 241J - MOIO, J.A.",0.287512488,,"SOC WLF 241J - MOIO, J.A."
"I A STD 1 - MOORE, A.D.",0.285607908,,"I A STD 1 - MOORE, A.D."
"COM SCI M146 - CHANG, K.",0.284412212,,"COM SCI M146 - CHANG, K."
"SPAN 150 - DE LA TORRE, L.",0.284275075,,"SPAN 150 - DE LA TORRE, L."
PUB PLC 203 - STEINERT-THRELKELD,0.283574609,,PUB PLC 203 - STEINERT-THRELKELD
"CHEM 236 - RUBIN, Y.F.",0.2825,,"CHEM 236 - RUBIN, Y.F."
"CH ENGR 109 - CHRISTOFIDES, P.D.",0.28106993,,"CH ENGR 109 - CHRISTOFIDES, P.D."
"CHIN 1 - CHIEF, L.",0.280228571,,"CHIN 1 - CHIEF, L."
"ENGCOMP 3D - WESTRUP, L.A.",0.278559159,,"ENGCOMP 3D - WESTRUP, L.A."
"ENGL 195CE - DIMURO, J.A.",0.2785,,"ENGL 195CE - DIMURO, J.A."
"COM SCI 118 - VARGHESE, G.",0.278496897,,"COM SCI 118 - VARGHESE, G."
"BMD RES 5HA - CLARK, I.E.",0.277638839,,"BMD RES 5HA - CLARK, I.E."
"ARABIC M171 - BOUM, A.",0.277477477,,"ARABIC M171 - BOUM, A."
"PHILOS 177B - JOHNSON, M.C.",0.277118277,,"PHILOS 177B - JOHNSON, M.C."
"PHILOS 130 - SMITH, S.R.",0.274367535,,"PHILOS 130 - SMITH, S.R."
"SPAN 119 - RODRIGUEZ, J.N.",0.274322969,,"SPAN 119 - RODRIGUEZ, J.N."
"COMM 171 - HUPPIN, M.A.",0.274180719,,"COMM 171 - HUPPIN, M.A."
"MECH&AE 169A - CHANG, S.",0.2735,,"MECH&AE 169A - CHANG, S."
"MATH 178A - OZEL, E.",0.273162338,,"MATH 178A - OZEL, E."
"ARCH&UD 289 - SU, N.",0.272307692,,"ARCH&UD 289 - SU, N."
"COM SCI 174A - LAW, A.",0.269797598,,"COM SCI 174A - LAW, A."
"MUSC 116 - YI, M.H.",0.268669469,,"MUSC 116 - YI, M.H."
"ART HIS 185 - HARWELL, G.T.",0.268231768,,"ART HIS 185 - HARWELL, G.T."
"SPAN M165SL - SUHR, C.",0.267832168,,"SPAN M165SL - SUHR, C."
"ARCH&UD 30 - OSMAN, M.",0.267567968,,"ARCH&UD 30 - OSMAN, M."
"C&EE 135A - JU, J.",0.266034735,,"C&EE 135A - JU, J."
"COM SCI 161 - VAN DEN BROECK, G.",0.264836993,,"COM SCI 161 - VAN DEN BROECK, G."
"DESMA 10 - HUHTAMO, E.I.",0.26347926,,"DESMA 10 - HUHTAMO, E.I."
"FRNCH 5 - DUVAL, E.",0.2619,,"FRNCH 5 - DUVAL, E."
"COM SCI 132 - PALSBERG, J.",0.2619,,"COM SCI 132 - PALSBERG, J."
"MECH&AE M183B - CHIOU, P.",0.258378378,,"MECH&AE M183B - CHIOU, P."
"DESMA 156 - STEINKAMP, J.J.",0.2572,,"DESMA 156 - STEINKAMP, J.J."
"STATS 201A - XU, H.",0.25646967,,"STATS 201A - XU, H."
"URBN PL 222A - ROY, A.",0.2563,,"URBN PL 222A - ROY, A."
"MECH&AE C137 - GADH, R.",0.256,,"MECH&AE C137 - GADH, R."
"CH ENGR 106 - LU, Y.",0.255225755,,"CH ENGR 106 - LU, Y."
"RELIGN 55 - GILLESPIE, R.T.",0.255140941,,"RELIGN 55 - GILLESPIE, R.T."
"EC ENGR 114 - LORENZELLI, F.",0.2542,,"EC ENGR 114 - LORENZELLI, F."
"ENGCOMP 3D - RODRIGUEZ DRISSI,",0.252567532,,"ENGCOMP 3D - RODRIGUEZ DRISSI,"
"A&O SCI 200B - CHEN, G.",0.2502,,"A&O SCI 200B - CHEN, G."
"COMM 152 - SUMAN, M.W.",0.24947117,,"COMM 152 - SUMAN, M.W."
"HIST 1A - PHILLIPS, D.D.",0.248471471,,"HIST 1A - PHILLIPS, D.D."
"ENGL 4W - GOYAL, Y.",0.248236837,,"ENGL 4W - GOYAL, Y."
"THEATER 118A - DANIEL, P.M.",0.2475,,"THEATER 118A - DANIEL, P.M."
"ENVIRON 163 - DELMAS, M.A.",0.247039039,,"ENVIRON 163 - DELMAS, M.A."
"PSYCH 100A - DU, H.",0.247,,"PSYCH 100A - DU, H."
"URBN PL 249 - FRANCE, R.A.",0.246956256,,"URBN PL 249 - FRANCE, R.A."
"PSYCH 119Y - WONG, J.",0.246724476,,"PSYCH 119Y - WONG, J."
"EPS SCI 103B - DAY, M.D.",0.2456,,"EPS SCI 103B - DAY, M.D."
"HIST M182A - SMOAK, J.D.",0.24462963,,"HIST M182A - SMOAK, J.D."
"C&EE 235A - BURTON, H.J.",0.24410971,,"C&EE 235A - BURTON, H.J."
"CH ENGR C115 - AN0BI, N.",0.242742743,,"CH ENGR C115 - AN0BI, N."
"HIST M108C - BOUM, A.",0.2419,,"HIST M108C - BOUM, A."
"COM HLT 400 - BLENNER, S.",0.241341341,,"COM HLT 400 - BLENNER, S."
"GLBL ST 194 - THIES, M.F.",0.239223023,,"GLBL ST 194 - THIES, M.F."
"FILM TV 298A - ROSMAN, M.E.",0.237524975,,"FILM TV 298A - ROSMAN, M.E."
"LIFESCI 7C - ESDIN, J.",0.236314815,,"LIFESCI 7C - ESDIN, J."
"LAW 763 - KOROBKIN, S.A.",0.233733734,,"LAW 763 - KOROBKIN, S.A."
"HIST 8A - TERRACIANO, K.B.",0.23338032,,"HIST 8A - TERRACIANO, K.B."
"ARCH&UD 289 - AMU0TEGUI, J.C.",0.2331,,"ARCH&UD 289 - AMU0TEGUI, J.C."
"MGMT 250D - FIRSTENBERG, I.",0.231636364,,"MGMT 250D - FIRSTENBERG, I."
"COMM 108 - KICENSKI, K.K.",0.231497902,,"COMM 108 - KICENSKI, K.K."
"ECON 106ML - WILLIAMS, T.J.",0.230186913,,"ECON 106ML - WILLIAMS, T.J."
"KOREA 172 - OAK, S.",0.23003003,,"KOREA 172 - OAK, S."
"C&EE 120 - BRANDENBERG, S.J.",0.23,,"C&EE 120 - BRANDENBERG, S.J."
"HIST 9D - GELVIN, J.L.",0.2289,,"HIST 9D - GELVIN, J.L."
"SOC WLF M290J - COOPER, K.",0.228656344,,"SOC WLF M290J - COOPER, K."
"COMM 160 - GROELING, T.J.",0.2247,,"COMM 160 - GROELING, T.J."
"LATIN 1 - BECKELHYMER, S.D.",0.2224,,"LATIN 1 - BECKELHYMER, S.D."
"NEUROSC M101A - CHANDLER, S.H.",0.222121121,,"NEUROSC M101A - CHANDLER, S.H."
"LAW 399 - MULLER, F.T.",0.218444444,,"LAW 399 - MULLER, F.T."
"MCD BIO 50 - LEE, P.",0.216553247,,"MCD BIO 50 - LEE, P."
"POL SCI 111C - BARKER, K.",0.216237938,,"POL SCI 111C - BARKER, K."
"DANCE C115 - COAD, G.W.",0.216016616,,"DANCE C115 - COAD, G.W."
"CHEM 14A - LAVELLE, L.",0.215467532,,"CHEM 14A - LAVELLE, L."
"POL SCI 10 - PA0GIA, D.",0.215184116,,"POL SCI 10 - PA0GIA, D."
"MAT SCI 104 - POZUELO, M.",0.213226453,,"MAT SCI 104 - POZUELO, M."
"EC ENGR 2 - SOKOLICH, M.",0.2131,,"EC ENGR 2 - SOKOLICH, M."
"NURSING 231 - AN, D.",0.212331532,,"NURSING 231 - AN, D."
"MECH&AE C250P - SPEARRIN, R.M.",0.211399711,,"MECH&AE C250P - SPEARRIN, R.M."
"MAT SCI 243C - MARIAN, J.",0.211164471,,"MAT SCI 243C - MARIAN, J."
"PHYSICS 5A - SAKAI, S.",0.207519559,,"PHYSICS 5A - SAKAI, S."
"MECH&AE 107 - TSAO, T.",0.207353407,,"MECH&AE 107 - TSAO, T."
"JAPAN 1 - TAKAKURA, A.H.",0.207257349,,"JAPAN 1 - TAKAKURA, A.H."
"POL SCI 140B - JAMES, S.C.",0.204918482,,"POL SCI 140B - JAMES, S.C."
"C&EE 250A - GEBREMICHAEL, M.",0.2044,,"C&EE 250A - GEBREMICHAEL, M."
"FRNCH 1 - JANSMA, K.",0.204304304,,"FRNCH 1 - JANSMA, K."
"ASIA AM 10W - FONG, K.N.",0.203903904,,"ASIA AM 10W - FONG, K.N."
"ARCH&UD M201 - OSMAN, M.",0.2029,,"ARCH&UD M201 - OSMAN, M."
"ASTR 3 - RICH, M.",0.201685315,,"ASTR 3 - RICH, M."
"PSYCH 220A - KARNEY, B.R.",0.201604795,,"PSYCH 220A - KARNEY, B.R."
"GERMAN 1 - TAR0WSKA SENEL, M",0.201098901,,"GERMAN 1 - TAR0WSKA SENEL, M"
"STATS 401 - CHEN, M.S.",0.200817383,,"STATS 401 - CHEN, M.S."
"ANTHRO 139 - GARRO, L.C.",0.2001998,,"ANTHRO 139 - GARRO, L.C."
"MGMTFT 402 - SIDDIQ, A.A.",0.1994,,"MGMTFT 402 - SIDDIQ, A.A."
"MATH 255A - AUSTIN, T.D.",0.1994,,"MATH 255A - AUSTIN, T.D."
"ETHNMUS M50A - DE CASTRO, P.J.",0.199233934,,"ETHNMUS M50A - DE CASTRO, P.J."
"COM SCI 30 - MILLSTEIN, T.D.",0.198961862,,"COM SCI 30 - MILLSTEIN, T.D."
"EPS SCI 150 - PELTZER, G.F.",0.198136663,,"EPS SCI 150 - PELTZER, G.F."
"NURSING 200 - CARPENTER, C.L.",0.198028372,,"NURSING 200 - CARPENTER, C.L."
"SCAND 1 - KARLSSON, E.J.",0.196364501,,"SCAND 1 - KARLSSON, E.J."
"MUSC 110B - CHEN-HAFTECK, L.",0.196,,"MUSC 110B - CHEN-HAFTECK, L."
"MECH&AE 157 - JU, S.",0.195204795,,"MECH&AE 157 - JU, S."
"EC ENGR 209AS - MEHTA, A.M.",0.194491892,,"EC ENGR 209AS - MEHTA, A.M."
"RELIGN 11 - JOSEPH, S.J.",0.194030094,,"RELIGN 11 - JOSEPH, S.J."
"EC ENGR M116C - GUPTA, P.",0.19269499,,"EC ENGR M116C - GUPTA, P."
"SOC WLF 260A - LEVY-STORMS, L.F.",0.1925,,"SOC WLF 260A - LEVY-STORMS, L.F."
"ARCH&UD 431 - PAULL, M.",0.192254054,,"ARCH&UD 431 - PAULL, M."
"MGMT 298D - SANDERS, B.J.",0.191017169,,"MGMT 298D - SANDERS, B.J."
"ECON 402A - OHANIAN, L.",0.18840981,,"ECON 402A - OHANIAN, L."
"STATS 10 - WU, G.",0.188373726,,"STATS 10 - WU, G."
"STATS 20 - TSIANG, M.",0.188216088,,"STATS 20 - TSIANG, M."
"EPIDEM 200A - CHEN, L.",0.187784088,,"EPIDEM 200A - CHEN, L."
"LAW 220 - BANK, S.",0.187007587,,"LAW 220 - BANK, S."
"KOREA 4 - JU, H.",0.1865,,"KOREA 4 - JU, H."
"EDUC M102 - GARCIA, D.G.",0.185230869,,"EDUC M102 - GARCIA, D.G."
"PSYCH 130 - GOFF, B.S.",0.1851,,"PSYCH 130 - GOFF, B.S."
"MGMTFE 409 - WU, J.",0.184452284,,"MGMTFE 409 - WU, J."
"ENGR 201 - KUNG, K.C.",0.1843,,"ENGR 201 - KUNG, K.C."
"PSYCH 116 - GRISHAM, W.E.",0.184263184,,"PSYCH 116 - GRISHAM, W.E."
"MSC IND 107A - BEARD, J.R.",0.184045013,,"MSC IND 107A - BEARD, J.R."
"INF STD 260 - LEAZER, G.H.",0.1832,,"INF STD 260 - LEAZER, G.H."
"ENGL M104A - YARBOROUGH, R.A.",0.182828128,,"ENGL M104A - YARBOROUGH, R.A."
"ENGL 175 - SOLOMON, J.H.",0.181796296,,"ENGL 175 - SOLOMON, J.H."
"ENGCOMP 130C - RUBINSON, G.J.",0.179254079,,"ENGCOMP 130C - RUBINSON, G.J."
"EE BIOL 120 - BUCCIARELLI, G.",0.179079079,,"EE BIOL 120 - BUCCIARELLI, G."
"ENGL 110A - STEPHAN, M.",0.178261738,,"ENGL 110A - STEPHAN, M."
"POL SCI 200E - BLAIR, G.D.",0.1782,,"POL SCI 200E - BLAIR, G.D."
"MGMT 121 - WILLIAMS, M.G.",0.1781,,"MGMT 121 - WILLIAMS, M.G."
"PUB AFF 10 - STOLL, M.A.",0.1779,,"PUB AFF 10 - STOLL, M.A."
"ENGR 110 - BULU-TACIROGLU, M.",0.1773,,"ENGR 110 - BULU-TACIROGLU, M."
"MGMTFE 402 - MISIC, V.",0.176182883,,"MGMTFE 402 - MISIC, V."
"EE BIOL 122 - BUCCIARELLI, G.",0.175712813,,"EE BIOL 122 - BUCCIARELLI, G."
"C&EE ST 130 - LEJKO-LACAN, V.",0.1751,,"C&EE ST 130 - LEJKO-LACAN, V."
"PHYSCI 111L - COOPER, R.H.",0.174941317,,"PHYSCI 111L - COOPER, R.H."
"SOC GEN 195CE - KELTY, C.M.",0.174803303,,"SOC GEN 195CE - KELTY, C.M."
"MIMG 103AL - FREISE, A.C.",0.174131174,,"MIMG 103AL - FREISE, A.C."
"COM SCI M226 - SANKARARAMAN, S.",0.172027972,,"COM SCI M226 - SANKARARAMAN, S."
"STATS 100B - CHRISTOU, N.",0.17014397,,"STATS 100B - CHRISTOU, N."
"LAW 331 - MOTOMURA, H.",0.169815684,,"LAW 331 - MOTOMURA, H."
"PSYCH M117A - CHANDLER, S.H.",0.169577617,,"PSYCH M117A - CHANDLER, S.H."
"EDUC 250A - MCDONOUGH, P.M.",0.169230769,,"EDUC 250A - MCDONOUGH, P.M."
"NURSING 216C - GAWLINSKI, A.F.",0.1691,,"NURSING 216C - GAWLINSKI, A.F."
"FRNCH 3 - JANSMA, K.",0.168745255,,"FRNCH 3 - JANSMA, K."
"MATH 245A - GANGBO, W.D.",0.168451548,,"MATH 245A - GANGBO, W.D."
"PSYCH M257 - BENTLER, P.M.",0.167832168,,"PSYCH M257 - BENTLER, P.M."
"PHYSCI M135 - BABIEC, W.E.",0.167297595,,"PHYSCI M135 - BABIEC, W.E."
"ARCH&UD 461 - LYNCH, T.M.",0.1671,,"ARCH&UD 461 - LYNCH, T.M."
"ECON 143 - MATZKIN, R.L.",0.165813686,,"ECON 143 - MATZKIN, R.L."
"PSYCH 121 - CHENG, P.",0.165777778,,"PSYCH 121 - CHENG, P."
"EC ENGR 113 - CABRIC, D.",0.165365365,,"EC ENGR 113 - CABRIC, D."
"ECON 431 - CONVERY, P.D.",0.164877707,,"ECON 431 - CONVERY, P.D."
"PSYCTRY 79 - KORB, A.",0.163732032,,"PSYCTRY 79 - KORB, A."
"CHEM 144 - NELSON, H.M.",0.1627,,"CHEM 144 - NELSON, H.M."
