"name","address","start","end","gcode","lat","long","status","contains"
"AROUND ROBIN LLC","655  MIDVALE AVENUE,LOS ANGELES,CA,90024","06/21/2017","07/03/2019","655-667, Midvale Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0646285,-118.452158690558,"closed",1
"VNU HOLDINGS, LLC","10900 WILSHIRE BLVD,LOS ANGELES,CA,90024","06/01/2015","12/31/2019","Murdock Plaza, 10900, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05833715,-118.444065347594,"closed",1
"Home Business","10552 LINDBROOK DRIVE,LOS ANGELES,CA,90024","01/01/2013","12/31/2019","10552, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0636124,-118.433508782096,"closed",0
"Home Business","10850 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2018","09/30/2019","English Language Center - ELC Los Angeles, 10850, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05913165,-118.44120737686,"closed",0
"Home Business","10620 WILKINS AVENUE,LOS ANGELES,CA,90024","05/15/2001","12/31/2019","10620, Wilkins Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0567466465393,-118.432170473047,"closed",0
"EMPORIUM RETAIL GROUP, LLC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","02/01/2014","12/31/2019","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"HIGHLINE CAR RENTAL LLC","10940 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/15/2015","12/31/2019","The Tower, 10940, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05804765,-118.445077273047,"closed",1
"SUNLIGHT HEALTH AND NUTRITION INC","10938 WEYBURN AVENUE,LOS ANGELES,CA,90024","06/15/2011","12/29/2019","10938, Weyburn Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0626207083333,-118.446586166667,"closed",1
"DOLPHIN DIGITAL MEDIA","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","06/01/2014","12/31/2019","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","1450 VETERAN AVENUE,LOS ANGELES,CA,90024","08/15/2007","12/31/2019","1450, Veteran Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.053148,-118.4436512,"closed",0
"ROAD CASE LLC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/02/2017","06/30/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"BOSSHOUSE MUSIC LLC","10486 KINNARD AVENUE,LOS ANGELES,CA,90024","07/12/2000","12/31/2019","10486, Kinnard Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0584339183673,-118.427797285714,"closed",1
"Home Business","10909 KINROSS AVENUE,LOS ANGELES,CA,90024","01/01/2014","12/31/2019","10909, Kinross Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0606588421053,-118.445916842105,"closed",0
"SLATE STREET PRODUCTIONS LLC","10850 WILSHIRE BLVD,LOS ANGELES,CA,90024","06/30/2017","12/31/2019","English Language Center - ELC Los Angeles, 10850, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05913165,-118.44120737686,"closed",1
"MODLOOK 29","10909 KINROSS AVENUE,LOS ANGELES,CA,90024","01/29/2014","12/31/2019","10909, Kinross Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0606588421053,-118.445916842105,"closed",1
"FORTHWRITE FILMS INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/25/2011","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"KATHERINE S BALLINGER TRUST","1301 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/01/1970","04/17/2019","Papa John's, 1301, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024-3990, United States",34.0568397,-118.4429448,"closed",1
"THE CHOSEN CLUB US INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/30/2016","01/01/2019","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"VLAD LLC","10490 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2010","11/13/2019","Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0611221,-118.4346192,"closed",1
"GRIFFYN HOLDING CORPORATION","1622 HILTS AVENUE,LOS ANGELES,CA,90024","02/14/2014","12/31/2019","1622, Hilts Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0556191562588,-118.431982021971,"closed",1
"Home Business","1524 CLUB VIEW DRIVE,LOS ANGELES,CA,90024","06/01/1975","12/31/2019","1524, Club View Drive, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0634512040816,-118.421516102041,"closed",0
"TRAUMA 2 RECORDS LLC","10900 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/26/2012","12/31/2019","Murdock Plaza, 10900, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05833715,-118.444065347594,"closed",1
"SUN CALI INC","1377 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","06/27/2014","12/31/2019","1377, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062679162774,-118.426425118461,"closed",1
"Home Business","900 WESTWOOD BLVD,LOS ANGELES,CA,90024","05/06/2013","03/31/2019","Chick-fil-A, 900, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0635256,-118.4451155,"closed",0
"THREE POINT MEDIA LLC","1100 GLENDON AVENUE,LOS ANGELES,CA,90024","09/01/2011","07/01/2019","Westwood Center, 1100, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0605418,-118.443495411629,"closed",1
"Home Business","1676 MANNING AVENUE,LOS ANGELES,CA,90024","01/01/2015","11/13/2019","1676, Manning Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0537745714286,-118.432479285714,"closed",0
"JON SAUNDERS LLC","10880 WILSHIRE BLVD,LOS ANGELES,CA,90024","12/23/2015","11/13/2019","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,"closed",1
"BLUEOCEAN INTERNATIONAL INC","907 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/01/2016","10/01/2019","907, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0631104949684,-118.445181502484,"closed",1
"CARTER COVINGTON","10990 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2002","01/01/2019","KB Home, 10990, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0575914,-118.447167857437,"closed",1
"Home Business","1550 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/01/1970","06/04/2019","1550, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.053521244898,-118.440068653061,"closed",0
"BRINGOOD INVESTMENT INC","907 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/01/2017","10/01/2019","907, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0631104949684,-118.445181502484,"closed",1
"NEWAER, INC.","10990 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/01/2010","04/01/2019","KB Home, 10990, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0575914,-118.447167857437,"closed",1
"Home Business","10966 LE CONTE AVENUE,LOS ANGELES,CA,90024","01/01/2019","06/01/2019","10966, Le Conte Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.063564,-118.447635,"closed",0
"THE ESTHER GROUP INTERNATIONAL INC","871 WARNER AVENUE,LOS ANGELES,CA,90024","02/22/2011","11/13/2019","871, Warner Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0668161233974,-118.433553304001,"closed",1
"JUNK FOOD INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/08/2018","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"HUMAN BY DEFAULT LLC","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/23/2019","10/30/2019","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
"STAN LATHAN PRODUCTIONS, INC.","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/15/2011","06/24/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"DEVELUP INC.","10940 WILSHIRE BLVD,LOS ANGELES,CA,90024","05/07/2018","12/31/2019","The Tower, 10940, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05804765,-118.445077273047,"closed",1
"Home Business","606 LEVERING AVENUE,LOS ANGELES,CA,90024","08/10/2010","12/31/2019","606, Levering Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0665318300629,-118.453081895409,"closed",0
"JIMMY JOHN'S ENTERPRISES LLC","1134 WESTWOOD BLVD,LOS ANGELES,CA,90024","11/01/2015","12/31/2019","1134, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0602604313731,-118.445426361808,"closed",1
"KHOSROW TABADDOR MD INC","10590 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/01/2008","10/31/2019","10590, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0616399893014,-118.433301114191,"closed",1
"1043 WESTWOOD BLVD LLC","1043 WESTWOOD BLVD,LOS ANGELES,CA,90024","10/29/1998","12/31/2019","Tanino Ristorante Bar, 1043, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0616881,-118.445714826372,"closed",1
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2018","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"BLEA USA INC","10880 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/01/2015","10/04/2019","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,"closed",1
"SPECIAL MARKETING STRATEGIES LLC","10580 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2015","12/31/2019","10580, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0618006617716,-118.433048683728,"closed",1
"1100 EDGEWATER INC","1281 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/02/2004","12/31/2019","1281, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0571821020408,-118.442971755102,"closed",1
"Home Business","10600 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/01/2013","12/31/2019","10600, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.061396,-118.433775,"closed",0
"RENTECH INC","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/01/2006","12/31/2019","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
"KENDALL FROZEN FRUITS INC","10800 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2019","05/01/2019","10800, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.059764,-118.439838,"closed",1
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2011","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"Home Business","1414 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","05/01/2007","12/31/2019","1414, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0620344285714,-118.42579,"closed",0
"RADAR PICTURES INC","10900 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/02/1999","12/31/2019","Murdock Plaza, 10900, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05833715,-118.444065347594,"closed",1
"RESERVE ROOM PRODUCTIONS INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/04/1985","12/31/2019","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","1015 GAYLEY AVENUE,LOS ANGELES,CA,90024","12/01/2009","01/01/2019","Postal spot, 1015, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.061433,-118.4480497,"closed",0
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/01/2012","06/30/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"Home Business","1093 GAYLEY AVENUE,LOS ANGELES,CA,90024","08/01/1977","12/31/2019","1093, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0603691632653,-118.446726183673,"closed",0
"VNU RETAIL GROUP LLC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/05/2010","12/31/2019","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"CREEK ROAD INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/16/2010","01/30/2019","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","1413 WESTWOOD BLVD,LOS ANGELES,CA,90024","09/15/2018","12/31/2019","1413, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0550498979592,-118.441626897959,"closed",0
"124 UDINE PROPERTY LLC","10880 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/19/2010","12/31/2019","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,"closed",1
"LEONARD I GOLDSTEIN MD FACP INC","100 UCLA MEDICAL PLAZA,LOS ANGELES,CA,90024","09/01/1981","12/31/2019","",34.06558,-118.44576,"closed",1
"Home Business","1377 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","01/02/2017","05/30/2019","1377, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062679162774,-118.426425118461,"closed",0
"PHORA LLC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/22/2014","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"Home Business","1315 WESTWOOD BLVD,LOS ANGELES,CA,90024","10/15/2008","12/31/2019","1315, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.056679625,-118.442669166667,"closed",0
"Home Business","914 WESTWOOD BLVD,LOS ANGELES,CA,90024","04/06/2015","12/31/2019","914, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0630783030478,-118.445182617677,"closed",0
"363 COPA DE ORO PROP LLC","10880 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/01/2010","12/31/2019","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,"closed",1
"CV KETTNER DEVELOPMENT SERVICES LLC","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/07/2014","12/31/2019","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
"WHEEL C, INC.","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2007","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"HEE-SANG LYU, MD, PC","907 WESTWOOD BLVD,LOS ANGELES,CA,90024","07/01/2018","12/31/2019","907, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0631104949684,-118.445181502484,"closed",1
"AURORA RESURGENCE MANAGEMENT PARTNERS LLC","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","09/07/2007","12/30/2019","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
"Home Business","875 COMSTOCK AVENUE,LOS ANGELES,CA,90024","01/01/2001","01/01/2019","875, Comstock Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0685223601628,-118.425996711645,"closed",0
