LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000886600-0001-6,BERNICE COHN,,1520 GLENDON AVENUE,LOS ANGELES,90024-,1520 GLENDON 90024,,,,,,0,01/01/1970,12/31/1998,
0000252416-0001-0,ABLE MANAGEMENT SYSTEMS INC,,10535 WILSHIRE BLVD #1712,LOS ANGELES,90024-,10535 WILSHIRE 90024,,,,,,0,05/01/1995,12/23/2003,
0000845442-0001-1,LEATHER BOUND LTD /C,,1009 BROXTON AVENUE,LOS ANGELES,90024-,1009 BROXTON 90024,,,,,,0,07/01/1969,10/30/1998,
0000016389-0001-3,RICHARD USTINICH,,1526 1/4 VETERAN AVENUE,LOS ANGELES,90024-,1526 VETERAN 90024,,,,,,0,10/01/1992,12/31/2000,
0000860202-0001-6,JUDITH WOLFE,,1100 GLENDON AVENUE #1510,LOS ANGELES,90024-,1100 GLENDON 90024,,,,,,0,01/01/1991,10/30/1998,
0000051718-0001-5,CAROL BELLAMY PHD,,1145 GAYLEY AVENUE #311,LOS ANGELES,90024-,1145 GAYLEY 90024,,,,,,0,01/01/1990,05/22/1997,
0000069339-0001-9,EVERETT W MAGUIRE LAW CORPORATION,,10866 WILSHIRE BLVD #300,LOS ANGELES,90024-,10866 WILSHIRE 90024,,,,,,0,07/01/1993,08/31/2001,
0000108353-0001-9,CLARICE B ELLIS,,10380 WILSHIRE BLVD #1202,LOS ANGELES,90024-,10380 WILSHIRE 90024,,,,,,0,10/01/1976,12/31/1999,
0000047486-0001-4,CHEMTECH PRODUCTS INC,,10751 WILSHIRE BLVD #1409,LOS ANGELES,90024-,10751 WILSHIRE 90024,,,,,,0,02/27/1993,03/01/2000,
0000153348-0001-3,ACTIONTRAC INC,,10900 WILSHIRE BLVD,LOS ANGELES,90024-,10900 WILSHIRE 90024,,,,,,0,04/22/1992,12/31/1995,
0000395063-0001-4,DOUGLAS S BELL MD,,10724 WILSHIRE BLVD #403,LOS ANGELES,90024-,10724 WILSHIRE 90024,,,,,,0,03/01/2000,12/31/2001,
0000985663-0001-0,GILBERT ANDREW GANDARA,,532 MIDVALE AVENUE,LOS ANGELES,90024-,532 MIDVALE 90024,,,,,,0,01/15/2000,12/31/2001,
0000413093-0001-5,WESTERN REGION MORTGAGE CORP,,10850 WILSHIRE BLVD #800,LOS ANGELES,90024-,10850 WILSHIRE 90024,,,,,,0,10/01/1995,01/15/1997,
0000070961-0001-3,BOBBI MILLER,,1508 VETERAN AVENUE #404,LOS ANGELES,90024-,1508 VETERAN 90024,,,,,,0,06/01/1993,12/31/1995,
0000839824-0001-8,KAVEH TORKAN,,1518 WESTWOOD BLVD,LOS ANGELES,90024-,1518 WESTWOOD 90024,,,,,,0,01/01/1998,08/01/1998,
0000232295-0001-5,MHB & ASSOCIATES INC,,10940 WILSHIRE BLVD #1600,LOS ANGELES,90024-,10940 WILSHIRE 90024,,,,,,0,01/01/1998,12/31/2003,
0000258388-0001-0,SEPIS INCORPORATED,,10968 LE CONTE AVENUE,LOS ANGELES,90024-,10968 LE CONTE 90024,,,,,,0,08/01/1985,02/18/2003,
0000413999-0001-6,PAMELA J MAXWELL PHD,,1314 WESTWOOD BLVD #201,LOS ANGELES,90024-,1314 WESTWOOD 90024,,,,,,0,10/07/1996,12/31/1996,
0000292121-0001-1,BREGER MANAGEMENT GROUP INC,,10501 WILSHIRE BLVD #1803,LOS ANGELES,90024-,10501 WILSHIRE 90024,,,,,,0,02/01/1996,12/06/2001,
0000584360-0001-2,NATALYA ILYAYEVA,,1126 WESTWOOD BLVD,LOS ANGELES,90024-,1126 WESTWOOD 90024,,,,,,0,04/17/2001,04/01/2002,
0000689564-0001-9,KATSU FINE CUTLERY LLC,,10880 WILSHIRE BLVD #1850,LOS ANGELES,90024-,10880 WILSHIRE 90024,,,,,,0,03/27/2002,12/08/2003,
0000074034-0001-1,TULIP ENTERPRISES INC,,1090 WESTWOOD BLVD,LOS ANGELES,90024-,1090 WESTWOOD 90024,,,,,,0,02/06/1986,12/31/1995,
0000982832-0001-9,MOHSEN NADJI,,10776 WILSHIRE BLVD #102,LOS ANGELES,90024-,10776 WILSHIRE 90024,,,,,,0,11/01/1999,01/15/2001,
0000184365-0001-3,RRG PRODUCTIONS INC,,10960 WILSHIRE BLVD,LOS ANGELES,90024-,10960 WILSHIRE 90024,,,,,,0,02/28/2000,12/31/2002,
0000625701-0001-2,IBRAHIM GUNAY MD,,914 WESTWOOD BLVD #308,LOS ANGELES,90024-,914 WESTWOOD 90024,,,,,,0,01/01/1994,12/31/1998,
0000309740-0001-2,CALL ME ANNA COMPANY INC,,10933 WELLWORTH AVENUE #5,LOS ANGELES,90024-,10933 WELLWORTH 90024,,,,,,0,06/08/1990,09/30/2001,
0000026829-0001-9,THE BUTTERFLY BAKERY INC,,1269 WESTWOOD BLVD,LOS ANGELES,90024-,1269 WESTWOOD 90024,,,,,,0,02/01/1975,12/01/2003,
0000276753-0001-7,BARBARA LINTON,,10801 WILKINS AVENUE,LOS ANGELES,90024-,10801 WILKINS 90024,,,,,,0,01/06/2011,12/31/2016,
0000183387-0001-2,ERIK PRODUCTIONS INC,,10960 WILSHIRE BLVD #23FL,LOS ANGELES,90024-,10960 WILSHIRE 90024,,,,,,0,06/12/1993,05/16/2001,
0000227561-0001-1,PUNKIN PRODUCTIONS INC,,1642 WESTWOOD BLVD,LOS ANGELES,90024-,1642 WESTWOOD 90024,,,,,,0,10/05/1991,07/31/2003,
0000399558-0001-3,MANOUCHER SAKHAI,,1779 WESTWOOD BLVD #B,LOS ANGELES,90024-,1779 WESTWOOD 90024,,,,,,0,03/01/1997,12/31/1997,
0000993786-0001-1,BRIAZZ INC,,10877 WILSHIRE BLVD,LOS ANGELES,90024-,10877 WILSHIRE 90024,,,,,,0,06/05/2000,04/01/2003,
0000156592-0001-2,ELIZABETH ARDEN SALON INC,,10861 WEYBURN AVENUE,LOS ANGELES,90024-,10861 WEYBURN 90024,,,,,,0,02/01/1994,01/09/1999,
0000183641-0001-5,IRVING L KORY AN ACCOUNTANCY CORP,,10990 WILSHIRE BLVD #1600,LOS ANGELES,90024-,10990 WILSHIRE 90024,,,,,,0,07/01/1992,05/31/2001,
0000241542-0001-7,ERIN NAPOLITANO,,555 KELTON AVENUE #206,LOS ANGELES,90024-,555 KELTON 90024,,,,,,0,06/01/2002,12/31/2003,
0000436616-0001-3,"S OLIVER BLETZ 1989,TRUSTS",,10408 WELLWORTH AVENUE,LOS ANGELES,90024-,10408 WELLWORTH 90024,,,,,,0,09/01/1955,12/03/2002,
0000863495-0001-1,STEPHEN NEMETH,,10501 WILSHIRE BLVD #814,LOS ANGELES,90024-,10501 WILSHIRE 90024,,,,,,0,01/01/2000,12/31/2002,
0000083322-0001-2,STEVEN H RADILOFF,,1372 S BEVERLY GLEN BLVD,LOS ANGELES,90024-,1372 BEVERLY GLEN 90024,,,,,,0,04/10/2000,12/31/2002,
0000272967-0001-6,LIBERTY DIGITAL INC,,1100 GLENDON AVENUE #2000,LOS ANGELES,90024-,1100 GLENDON 90024,,,,,,0,07/01/2000,12/31/2000,
0000001968-0001-8,RITA G/DAVID OKRENT,,439 VETERAN AVENUE,LOS ANGELES,90024-,439 VETERAN 90024,,,,,,0,04/01/1974,12/31/1999,
0000145995-0001-5,INTERFIRST CAPITAL CORPORATION,,10866 WILSHIRE BLVD #4FL,LOS ANGELES,90024-,10866 WILSHIRE 90024,,,,,,0,03/07/1994,12/31/2001,
0000840540-0001-3,MOSTAFA MAHDIEH,,1143 WESTWOOD BLVD,LOS ANGELES,90024-,1143 WESTWOOD 90024,,,,,,0,01/14/1992,12/30/1998,
0000388082-0001-2,ELLIOT B LEWIS,,10956 WEYBURN AVENUE #224,LOS ANGELES,90024-,10956 WEYBURN 90024,,,,,,0,06/01/1984,12/31/2002,
0000275062-0001-1,BABAK BARAVARIAN,,100 UCLA MEDICAL PLAZA #460,LOS ANGELES,90024-,100 UCLA MEDICAL 90024,,,,,,0,07/01/1999,12/31/2002,
0000402797-0001-7,YUMIKO OKAMOTO,,631 KELTON AVENUE #203,LOS ANGELES,90024-,631 KELTON 90024,,,,,,0,09/15/1997,12/15/1997,
0000443448-0001-1,DIGITAL DVELOPMENT COR,,425 COMSTOCK AVENUE,LOS ANGELES,90024-,425 COMSTOCK 90024,,,,,,0,01/01/1993,10/12/2000,
0000991945-0001-3,RECP WESTWOOD III,,1000 WESTWOOD BLVD,LOS ANGELES,90024-,1000 WESTWOOD 90024,,,,,,0,03/09/2000,12/31/2001,
0000005363-0001-5,WESTWOOD HEALTHY CUISINE INC,,1442 WESTWOOD BLVD,LOS ANGELES,90024-,1442 WESTWOOD 90024,,,,,,0,05/01/2000,06/30/2001,
0000398422-0001-0,VPS MANAGEMENT INC ET AL,,10740 WILSHIRE BLVD,LOS ANGELES,90024-,10740 WILSHIRE 90024,,,,,,0,10/01/1996,05/31/1997,
0000780882-0001-1,LINDA JO OSHER,,10608 WILKINS AVENUE,LOS ANGELES,90024-,10608 WILKINS 90024,,,,,,0,01/01/2003,12/31/2003,
0000883868-0001-9,HINES HOLDINGS INC ET AL,,10880 WILSHIRE BLVD #880,LOS ANGELES,90024-,10880 WILSHIRE 90024,,,,,,0,04/01/1992,12/19/1997,
0000388222-0001-7,EDWARD HARRISON/A S GLIKBARG/WILLIAM P JOHNSTON,,1100 GLENDON AVENUE #1406,LOS ANGELES,90024-,1100 GLENDON 90024,,,,,,0,06/01/1980,12/31/1994,
0000286610-0001-7,ROBIN CAROL DUNN,,11070 STRATHMORE DRIVE #22,LOS ANGELES,90024-,11070 STRATHMORE 90024,,,,,,0,12/01/1995,12/31/1995,
0000717027-0001-3,PATRICIA L BRANDT,,10920 WILSHIRE BLVD #9238,LOS ANGELES,90024-,10920 WILSHIRE 90024,,,,,,0,09/10/2002,12/01/2003,
0000904427-0001-9,SARAH GLOVER,,1345 S BEVERLY GLEN BLVD #303,LOS ANGELES,90024-,1345 BEVERLY GLEN 90024,,,,,,0,11/01/1998,12/31/2002,
0000155774-0001-3,SIDNEY I KALCHEIM,,1100 GLENDON AVENUE #1719,LOS ANGELES,90024-,1100 GLENDON 90024,,,,,,0,01/01/1994,12/31/1998,
0000944688-0001-7,HEATHER L WILSON,,1680 MANNING AVENUE,LOS ANGELES,90024-,1680 MANNING 90024,,,,,,0,05/10/1999,12/31/1999,
0000890848-0001-6,RALPH E WINTERS,,10450 WILSHIRE BLVD #11A,LOS ANGELES,90024-,10450 WILSHIRE 90024,,,,,,0,10/01/2001,12/31/2001,
0000957386-0001-1,KIE H CHOO,,502 VETERAN AVENUE,LOS ANGELES,90024-,502 VETERAN 90024,,,,,,0,05/01/1999,12/31/1999,
0000688661-0001-6,W CINEMAS INC/FESTIVAL INC ET AL,,1045 BROXTON AVENUE,LOS ANGELES,90024-,1045 BROXTON 90024,,,,,,0,01/15/1988,12/25/1997,
0000300168-0001-1,SHARON SANTA ANA,,1440 VETERAN AVENUE #558,LOS ANGELES,90024-,1440 VETERAN 90024,,,,,,0,02/04/2004,08/31/2004,
0000775775-0001-3,THE BEVERAGE SOURCE INC,,10990 WILSHIRE BLVD #1800,LOS ANGELES,90024-,10990 WILSHIRE 90024,,,,,,0,01/01/1992,09/28/1998,
0000255387-0001-3,PAMELA EISEN,,10551 WILSHIRE BLVD #1603,LOS ANGELES,90024-,10551 WILSHIRE 90024,,,,,,0,06/12/1996,11/01/1996,
0000494825-0001-2,ESSEX MARKETING GROUP INC,,1460 WESTWOOD BLVD #200,LOS ANGELES,90024-,1460 WESTWOOD 90024,,,,,,0,04/15/1997,12/31/1997,
0000117150-0001-8,DALE LAWRENCE BUEHLER,,1794 KELTON AVENUE,LOS ANGELES,90024-,1794 KELTON 90024,,,,,,0,03/01/1997,12/31/2002,
0000314528-0001-5,WALTON ADVISORY GROUP INC,,10501 WILSHIRE BLVD,LOS ANGELES,90024-,10501 WILSHIRE 90024,,,,,,0,11/16/1987,12/31/1998,
0000695074-0001-9,ERIC K HYON,,935 BROXTON AVENUE,LOS ANGELES,90024-,935 BROXTON 90024,,,,,,0,12/10/2001,09/10/2003,
0000161222-0001-2,MOHAMMAD NAZIR-NASSERI,,1093 BROXTON AVENUE #200,LOS ANGELES,90024-,1093 BROXTON 90024,,,,,,0,02/21/1995,12/31/1995,
0000688441-0001-2,JANEEN ARMM,,10921 WILSHIRE BLVD #510,LOS ANGELES,90024-,10921 WILSHIRE 90024,,,,,,0,08/01/2002,12/31/2003,
0000119006-0001-3,PETER ASCO,,1414 WESTWOOD BLVD #F,LOS ANGELES,90024-,1414 WESTWOOD 90024,,,,,,0,04/01/1994,01/23/1999,
0000952830-0001-1,GARY PARO,,1260 WARNER AVENUE,LOS ANGELES,90024-,1260 WARNER 90024,,,,,,0,05/01/1999,12/31/1999,
0000909238-0001-7,ALLYSON M SEAL,,10969 WELLWORTH AVENUE #323,LOS ANGELES,90024-,10969 WELLWORTH 90024,,,,,,0,08/27/1998,12/31/2000,
0000895640-0001-0,ALISON BARNEY,,1390 KELTON AVENUE #205,LOS ANGELES,90024-,1390 KELTON 90024,,,,,,0,09/11/1998,12/31/1999,
0000187791-0001-1,PETRICOR/C,,10490 WILSHIRE BLVD,LOS ANGELES,90024-,10490 WILSHIRE 90024,,,,,,0,03/15/1992,12/31/1999,
0000999222-0001-3,THE BERKELEY REVIEW /C,,10972 LE CONTE AVENUE,LOS ANGELES,90024-,10972 LE CONTE 90024,,,,,,0,06/01/1993,12/31/2001,
0000437706-0001-5,STEVEN B KATZ/DIANE A GOLDEN & MARY SULLIVAN LLP,,10850 WILSHIRE BLVD #600,LOS ANGELES,90024-,10850 WILSHIRE 90024,,,,,,0,06/01/1996,10/12/2001,
0000968604-0001-1,MARGUERTIE CRAVATT,,10777 WILSHIRE BLVD #6,LOS ANGELES,90024-,10777 WILSHIRE 90024,,,,,,0,08/23/1999,12/30/2000,
0000174961-0001-8,CBS INC,,10877 WILSHIRE BLVD #9FL,LOS ANGELES,90024-,10877 WILSHIRE 90024,,,,,,0,01/01/1988,12/31/2002,
0000310531-0001-8,HABIBOLLAH/NILOUFAR M OMRANI,,1391 WESTWOOD BLVD,LOS ANGELES,90024-,1391 WESTWOOD 90024,,,,,,0,02/07/1996,12/31/1997,
0000025843-0001-1,LEGO CALIFORNIA INC,,1100 GLENDON AVENUE #17FL,LOS ANGELES,90024-,1100 GLENDON 90024,,,,,,0,12/15/2000,12/31/2003,
0000042651-0001-1,10660 WILSHIRE ASSOCIATES LP,,10660 WILSHIRE BLVD #108,LOS ANGELES,90024-,10660 WILSHIRE 90024,,,,,,0,01/28/2000,06/01/2002,
0000387136-0001-3,NEW YORK GOURMENT RESTAURANTS CORP,,1084 GLENDON AVENUE,LOS ANGELES,90024-,1084 GLENDON 90024,,,,,,0,08/01/1996,12/31/1996,
0000003521-0001-3,RATED RT PRODUCTIONS INC,,10960 WILSHIRE BLVD #938,LOS ANGELES,90024-,10960 WILSHIRE 90024,,,,,,0,05/08/1991,12/31/1996,
0000286912-0001-1,VLADISLAV MAILYAN,,1073 BROXTON AVENUE,LOS ANGELES,90024-,1073 BROXTON 90024,,,,,,0,10/01/1995,12/31/2003,
0000844181-0001-9,JOHN/ADRIANA BOND,,10669 KINNARD AVENUE,LOS ANGELES,90024-,10669 KINNARD 90024,,,,,,0,01/01/1992,04/08/1997,
0000360558-0001-9,FARZAD FARHANI,,1762 WESTWOOD BLVD #450,LOS ANGELES,90024-,1762 WESTWOOD 90024,,,,,,0,06/01/1995,12/30/1996,
0000483747-0001-7,ENTERPRISES CONNECTIVITY SOLUTIONS INC,,10850 WILSHIRE BLVD #435,LOS ANGELES,90024-,10850 WILSHIRE 90024,,,,,,0,11/17/1995,12/30/2000,
0000462015-0001-0,EXECUTIVE PARKING INDUSTRIES LLC,,10877 WILSHIRE BLVD,LOS ANGELES,90024-,10877 WILSHIRE 90024,,,,,,0,02/01/1997,11/30/1998,
0000563412-0001-1,ANN E WALTS MD INC,,10787 WILSHIRE BLVD #1201,LOS ANGELES,90024-,10787 WILSHIRE 90024,,,,,,0,04/11/1978,12/31/1998,
0000401956-0001-7,APCOA/STANDARD PARKING INC,,10960 WILSHIRE BLVD #B 10,LOS ANGELES,90024-,10960 WILSHIRE 90024,,,,,,0,06/15/1997,03/31/2002,
0000486796-0001-2,DOROTHY CLYMAN/FLORENCE MILLER/NINA DIXON,,1751 MIDVALE AVENUE,LOS ANGELES,90024-,1751 MIDVALE 90024,,,,,,0,02/01/1984,01/22/1996,
0000808801-0001-1,10530-40 WILSHIRE BLVD LLC,,10530 WILSHIRE BLVD,LOS ANGELES,90024-,10530 WILSHIRE 90024,,,,,,0,09/16/1997,05/21/2002,
0000197113-0001-8,KINKOS OF WESTWOOD INC,,1520 WESTWOOD BLVD,LOS ANGELES,90024-,1520 WESTWOOD 90024,,,,,,0,11/02/1979,12/31/1996,
0000472737-0001-0,TWO S COMPANY PRODUCTIONS INC,,10960 WILSHIRE BLVD #1100,LOS ANGELES,90024-,10960 WILSHIRE 90024,,,,,,0,01/21/1984,12/31/1997,
0000401714-0001-7,B LEE BRANDON,,10921 WILSHIRE BLVD,LOS ANGELES,90024-,10921 WILSHIRE 90024,,,,,,0,07/01/1997,12/31/1998,
0000962786-0001-4,MITCHELL/CHRISTINA STIPP,,10966 ROCHESTER AVENUE #1 D,LOS ANGELES,90024-,10966 ROCHESTER 90024,,,,,,0,05/26/1999,06/02/2000,
0000170917-0001-8,JAMES KELLAHIN INC,,1249 DEVON AVENUE,LOS ANGELES,90024-,1249 DEVON 90024,,,,,,0,05/17/2000,12/31/2000,
0000168890-0001-9,PHINA R MCBRIDE,,1328 WESTWOOD BLVD #9,LOS ANGELES,90024-,1328 WESTWOOD 90024,,,,,,0,08/01/1995,05/31/1999,
0000317209-0001-0,MAHIN AFSHARNIA,,11079 OPHIR DRIVE #402,LOS ANGELES,90024-,11079 OPHIR 90024,,,,,,0,03/01/1996,12/31/2000,
0000273346-0001-2,"INTERNATIONAL ARTS ENT PRODS INC/ EREBUS, INC",,10866 WILSHIRE BLVD #1100,LOS ANGELES,90024-,10866 WILSHIRE 90024,,,,,,0,12/26/1994,10/31/2000,
0000200344-0001-7,NAHID COHAN SADIGH,,1267 WESTWOOD BLVD,LOS ANGELES,90024-,1267 WESTWOOD 90024,,,,,,0,01/14/1985,12/30/1999,
0000617850-0001-2,RONALD STEIN,,10937 WILKINS AVENUE,LOS ANGELES,90024-,10937 WILKINS 90024,,,,,,0,10/01/1999,11/30/2002,
0000538336-0001-6,JASON J PERLMAN,,1085 GAYLEY AVENUE #2FL,LOS ANGELES,90024-,1085 GAYLEY 90024,,,,,,0,03/05/1998,04/09/1998,
0000679477-0001-1,FERNANDO PONCE DE LEON,,10776 WILSHIRE BLVD #122,LOS ANGELES,90024-,10776 WILSHIRE 90024,,,,,,0,06/04/2002,12/31/2002,
0000303326-0001-6,ALAN RUBINSTEIN ALC,,1575 WESTWOOD BLVD #200,LOS ANGELES,90024-,1575 WESTWOOD 90024,,,,,,0,06/01/1980,09/01/1998,
0000043779-0001-0,SEAN RAHBAR,,10850 WILSHIRE BLVD #400,LOS ANGELES,90024-,10850 WILSHIRE 90024,,,,,,0,01/01/2000,12/31/2001,
0000113604-0001-0,ETHAN SISCHO,,1514 COMSTOCK AVENUE,LOS ANGELES,90024-,1514 COMSTOCK 90024,,,,,,0,08/14/2001,12/31/2001,
0000689863-0001-9,LAURA FLYNN,,1334 WESTWOOD BLVD #2B,LOS ANGELES,90024-,1334 WESTWOOD 90024,,,,,,0,01/04/2000,12/23/2003,
0000750884-0001-1,SPANDA BHAVANI,,1015 GAYLEY AVENUE #255,LOS ANGELES,90024-,1015 GAYLEY 90024,,,,,,0,11/27/1989,08/22/1999,
0000160134-0001-0,JEANINE HOROWITZ SHORT,,10445 EASTBORNE AVENUE #202,LOS ANGELES,90024-,10445 EASTBORNE 90024,,,,,,0,03/01/1995,12/31/1995,
0000149849-0001-6,ANN TRAN TUDO,,10918 KINROSS AVENUE,LOS ANGELES,90024-,10918 KINROSS 90024,,,,,,0,09/29/1993,04/01/1996,
