Year,F,M,AI,A,B,L,TW,U,W,T
2018,22.9,93.10,,15.2,1.1,9.8,,1.5,88.50,116.00
ANTHROPOLOGY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,14.5,17.40,1,3.8,0,2,,1,24.10,31.90
2011,17.5,18.30,1,4.3,1.5,2,,1,26.00,35.80
2012,16.5,15.80,1,3.3,1,2,,,25.00,32.30
2013,16.5,16.30,1,4.3,,2,,,25.50,32.80
2014,17,16.80,1,3.8,,2,,0.5,25.50,33.80
2015,17.5,16.30,2,3.8,2,2,,,24.00,33.80
2016,18.5,16.30,2.5,3.8,2.5,2.5,,,23.50,34.80
2017,21.5,18.30,2.5,5.3,2,2,,3,25.50,39.80
2018,19,18.80,2,4.8,2,2,,3.5,24.00,37.80
ARCHITECTURE & URBAN DESIGN,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.3,14.30,,1,,1,,,18.70,20.70
2011,6.8,15.50,,2,,1.4,,,18.90,22.30
2012,6.3,17.00,,1.6,0.3,1,,,20.40,23.40
2013,6.7,15.10,,1.9,,1,,0,18.90,21.80
2014,8.3,17.20,,3.4,,1.5,,1,19.60,25.50
2015,9.8,19.30,,4.5,,1,,1,22.60,29.10
2016,11.7,20.40,,3.5,,1,,3.2,24.40,32.10
2017,10.1,20.70,,4.4,,2,,1,23.30,30.70
2018,8.7,22.20,,4.3,,2,,1,23.60,30.90
ARCHAEOLOGY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,0,0.00,,,,,,0,0.00,0.00
2014,,0.00,,,,0,,,,0.00
2015,,0.00,,,,0,,,,0.00
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
ART,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.3,9.40,,0.3,1,1,,,13.40,15.70
2011,7.3,9.80,,,1,1.3,,,14.80,17.10
2012,7.3,9.50,,1,1,1,,,13.80,16.80
2013,7,11.00,,0.7,1,1,,0,15.30,18.90
2014,9.6,10.00,,0.3,1,1.7,,,16.60,19.60
2015,11,10.60,,0.3,1.7,1.3,,,18.30,21.60
2016,10.3,11.00,,0.7,1,1,,,18.60,21.30
2017,8,9.00,,1.3,1,1.3,,,13.30,17.00
2018,8,10.50,,,1,1.3,0.7,,14.10,18.50
ART HISTORY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,10.7,6.80,0.3,3,1,1,,0,12.20,17.50
2011,10.7,6.80,,3.3,1,1,,0,12.20,17.50
2012,11,6.80,,3.3,1,1.3,,0,12.20,17.80
2013,10.2,6.50,,3.3,1,1,,0.8,10.50,16.70
2014,10,5.80,,3.7,1,1,,0.9,9.20,15.70
2015,9.2,6.10,,3,1,1,,0.6,9.70,15.30
2016,9.8,5.20,,3,0.7,0.8,,1,9.50,15.00
2017,9.8,6.30,,3.3,0.8,0.5,,1,10.50,16.20
2018,8.8,7.20,,3.3,0.8,0.5,,1,10.30,16.00
ASIAN AMERICAN STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.5,7.30,,12.8,,,,,,12.80
2011,6,7.80,,13.8,,,,,,13.80
2012,6.5,7.50,,14,,0,,,,14.00
2013,5.5,6.50,,12,,0,,,,12.00
2014,8.4,7.50,,15.9,,0,,,,15.90
2015,6.5,5.50,,11.5,,0,,,0.50,12.00
2016,5,6.00,,11,,0,,,,11.00
2017,7.5,5.50,,12.5,,0,,0.5,0.00,13.00
2018,9,3.00,,12,,0,,,0.00,12.00
ASIAN LANGUAGES AND CULTURES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,20.8,21.10,,23.8,,,,,18.10,41.90
2011,21.4,21.00,,24.6,,,,,17.70,42.30
2012,23.1,18.90,,26,,,,0.5,15.50,42.00
2013,23.1,19.30,,27.1,,,,0.5,14.80,42.40
2014,22,19.20,,24.1,,,,0.5,16.60,41.20
2015,22.2,19.20,,24.8,,,,,16.60,41.40
2016,23.5,18.40,,25,,,,,16.90,41.90
2017,23.6,20.40,,26.2,,,,1,16.80,44.00
2018,27,19.80,,30.3,,,,,16.60,46.90
ATMOSPHERIC AND OCEANIC SCIENCES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.7,14.70,,3,,1,,0,13.30,17.30
2011,2.7,14.70,,3,,1,,0,13.30,17.30
2012,3,13.50,,3,,1,,0,12.50,16.50
2013,2,13.70,,3,,1,,0,11.70,15.70
2014,2.5,12.50,,3,,1,,0,11.00,15.00
2015,2.3,13.50,,3,,1,,0,11.80,15.80
2016,2.3,15.50,,4,,1,,1,11.80,17.80
2017,3.3,15.00,,4,,,,2.5,11.80,18.30
2018,3.3,14.50,,4,,0.5,,2.5,10.80,17.80
BIOENGINEERING,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,7.00,,3,,,,,5.00,8.00
2011,1,7.00,,3,,,,,5.00,8.00
2012,1.4,8.00,,4.4,,,,,5.00,9.40
2013,1,8.00,,4,,,,,5.00,9.00
2014,1,8.40,,4,,,,,5.40,9.40
2015,2,7.00,,3,,,,,6.00,9.00
2016,2,8.90,,4.5,,,,0.4,6.00,10.90
2017,2,8.90,,4.5,,0,,0.4,6.00,10.90
2018,2,10.70,,4.5,,0,,1.4,6.80,12.70
BIOENGINEERING,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5,7.00,,2,,1,,,9.00,12.00
2011,4,7.00,,3,,1,,,7.00,11.00
2012,4,7.00,,2,,1,,,8.00,11.00
2013,4,7.00,,2,,1,,,8.00,11.00
2014,4,7.50,,2.5,,1,,,8.00,11.50
2015,4,8.00,,3,,1,,,8.00,12.00
2016,4,9.00,,4,,1,,,8.00,13.00
2017,4,9.00,,4,,1,,,8.00,13.00
2018,5,8.00,,4,,1,,,8.00,13.00
BIOSTATISTICS,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5,7.00,,2,,1,,,9.00,12.00
2011,4,7.00,,3,,1,,,7.00,11.00
2012,4,7.00,,2,,1,,,8.00,11.00
2013,4,7.00,,2,,1,,,8.00,11.00
2014,4,7.50,,2.5,,1,,,8.00,11.50
2015,4,8.00,,3,,1,,,8.00,12.00
2016,4,9.00,,4,,1,,,8.00,13.00
2017,4,9.00,,4,,1,,,8.00,13.00
2018,5,8.00,,4,,1,,,8.00,13.00
CA CENTER FOR POPULATION RESEARCH,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,0.00
2011,0.5,,,,,,,,0.50,0.50
2012,,,,,,,,,,0.00
2013,,,,,,,,,,0.00
2014,,,,,,,,,,0.00
2015,,,,,,,,,,0.00
2016,,,,,,,,,,0.00
2017,,,,,,,,,,0.00
2018,,,,,,,,,,0.00
CANCER PREVENTION & CONTROL RES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4,0.70,,,,,,,4.70,4.70
2011,2,2.00,,1,,,,,3.00,4.00
2012,3,2.00,,1,0,,,,4.00,5.00
2013,2,1.00,,,0,,,,3.00,3.00
2014,3,1.00,,,,,,,4.00,4.00
2015,2,0.50,,,,,,,2.50,2.50
2016,2,1.50,,,,,,,3.50,3.50
2017,3,1.50,,,,1,,,3.50,4.50
2018,2,1.00,,,,1,,,2.00,3.00
CANCER PREVENTION & CONTROL RES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,0.00
2011,,,,,,,,,,0.00
2012,,,,,,,,,,0.00
2013,,,,,,,,,,0.00
2014,,,,,,,,,,0.00
2015,,,,,,,,,,0.00
2016,,,,,,,,,,0.00
2017,,,,,,,,,,0.00
2018,,0.50,,,,,,,0.50,0.50
CHEMICAL AND BIOMOLECULAR ENGINEERING,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1.5,12.40,,3.5,,1,,,9.40,13.90
2011,1.5,12.40,,3.5,,1,,,9.40,13.90
2012,2.9,12.00,,4.5,,1,,,9.40,14.90
2013,2.9,11.80,,4.5,,1,,,9.20,14.70
2014,2.5,11.10,,4.9,,1,,,7.80,13.70
2015,2.9,10.80,,4.5,,1,,,8.20,13.70
2016,2.5,12.20,,4.5,,2.4,,,7.80,14.70
2017,3,10.00,,5,,1,,,7.00,13.00
2018,3,9.70,,5.4,,1,,,6.30,12.70
CHEMISTRY AND BIOCHEMISTRY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,15.5,41.20,,6.5,1,2,,0,47.20,56.70
2011,14,43.00,,7.4,1,2,,,46.70,57.10
2012,12.5,41.70,,8,1,2,,,43.20,54.20
2013,12,41.30,,7,1,2,,1,42.30,53.30
2014,12.5,42.30,,7.5,1,2.5,,1,42.80,54.80
2015,12.4,41.80,,6.5,1,2,,1,43.70,54.20
2016,15,46.30,,8.5,2,3,,1.5,46.30,61.30
2017,15,41.70,,8.8,2,1,,2.5,42.30,56.60
2018,16.8,43.80,,9.5,2,1,,2.5,45.30,60.30
CHICANA/O STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.5,6.80,,,0.2,10.2,,1,,11.40
2011,6.2,7.20,,,0.2,12.2,,1,,13.40
2012,5.2,6.80,,,0.2,11.8,,,,12.00
2013,5.5,7.20,,,0.2,12.2,,0.3,,12.70
2014,6.5,6.20,,,0.2,11.5,,,1.00,12.70
2015,7.2,6.70,,,0.2,12.7,,,1.00,13.90
2016,8.3,6.30,,,0.2,13.4,,,1.00,14.60
2017,9.4,6.00,,,0.5,13.9,0,,1.00,15.40
2018,9.8,6.30,0.3,,0.7,14.8,0,,0.30,16.10
CHICANO STUDIES RESEARCH CENTER,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,0.00
2011,,,,,,,,,,0.00
2012,,,,,,,,,,0.00
2013,,,,,,,,,,0.00
2014,,,,,,,,,,0.00
2015,,,,,,,,,,0.00
2016,,,,,,,,,,0.00
2017,,,,,,,,,,0.00
2018,1,,,,,1,,,,1.00
Civil & Enviornmental Engr,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.8,12.8,na,6.1,na,na,na,na,11.4,17.5
2011,4.8,13.8,na,6.8,na,na,na,0,11.8,18.5
2012,4.6,14.7,na,7.3,na,na,na,0,12,19.3
2013,3.4,16.2,na,7.7,na,na,na,0.4,11.5,19.6
2014,3.4,18.1,na,6.3,1,na,na,0,14.2,21.5
2015,3.5,18.5,na,5.9,2,0.3,na,0,13.9,22
2016,3.4,17.1,na,5.4,2,na,na,0,13.1,20.5
2017,6,21.3,na,7.6,2,0.4,na,3.4,13.9,27.3
2018,4.8,19.1,na,7,2,0,na,3.8,11.1,23.8
Classics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.3,8,na,na,na,na,na,na,14.3,14.3
2011,6.5,9,na,na,na,na,na,na,15.5,15.5
2012,6.5,9,na,na,na,na,na,na,15.5,15.5
2013,5.5,10,na,na,na,na,na,na,15.5,15.5
2014,5.5,8.8,na,na,na,na,na,1,13.3,14.3
2015,6.5,8.4,na,na,na,na,na,1.7,13.3,14.9
2016,6.5,8.8,na,na,na,na,na,1,14.3,15.3
2017,5.5,7.3,na,na,na,na,na,0.6,12.3,12.8
2018,7.5,8.4,na,na,na,1,na,0.7,14.3,15.9
Communication Studies,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.8,11.7,na,1,na,na,na,na,13.5,14.5
2011,2.2,8.7,na,na,na,na,na,na,10.8,10/8
2012,2.7,9.7,na,na,1.5,na,na,na,10.8,12/3
2013,3.2,9.7,na,0.5,1.5,na,na,na,10.8,12/8
2014,3.2,9.2,na,0.5,1.5,na,na,na,10.3,12.3
2015,4.4,9.9,na,1,na,na,na,na,13.3,14.3
2016,5.1,10.6,na,0.5,na,na,na,0.4,14.9,15.8
2017,5.2,13.4,na,1.5,na,na,na,1.2,15.9,18.6
2018,5.6,14,na,2.5,na,na,na,1.3,15.8,19.6
Community Health Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,15.1,7,na,3.5,1,1,na,0,16.6,22.1
2011,14.4,6,na,2.5,1,1,na,n1,15.9,20.4
2012,14.6,4,na,2.5,1,0,na,0,15.1,18.6
2013,14.5,3,na,2.5,1,0,na,0,14,17.5
2014,14.3,4,na,2.5,1,0,na,0,14.8,18.3
2015,11.9,3.5,na,2.5,1,0,na,0,11.9,15.4
2016,10.2,4.7,na,2,1.3,1,na,na,10.7,15
2017,12.4,5.5,na,3,2,1,na,0,11.9,17.9
2018,10.8,5.8,na,3,2.3,1.3,na,0.3,9.7,16.7
Comparative Literature,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.2,5.3,na,1.5,0,1.3,na,na,7.7,10.5
2011,6.2,5.8,na,1.5,na,1.3,na,na,9.2,12
2012,6.7,5.3,na,1.5,na,0.8,na,na,9.7,12
2013,4,5.8,na,2.3,na,0.8,na,na,6.7,9.7
2014,6.5,6.8,na,2.8,0.5,1.3,na,na,8.7,13.2
2015,7,5.8,na,2.3,0.5,1.3,na,0.5,8.2,12.7
2016,5,6.3,na,1.8,na,0.8,na,1.5,7.2,11.2
2017,6.5,7.8,na,1.3,na,0.8,na,1,11.2,14.2
2018,5.9,5.5,na,1.3,na,0.8,na,na,,11.4
Computer Science,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.4,31.8,na,6,na,1,na,na,29.1,36.1
2011,3,30.4,na,6.4,na,1,na,na,26.1,33.4
2012,3,28.4,na,6.4,na,1,na,na,24.1,31.4
2013,4,28.8,na,6.4,na,na,na,na,26.4,32.8
2014,3.8,27.8,na,6,na,na,na,na,25.5,31.5
2015,3.4,29.6,na,9.4,na,na,na,na,23.6,33
2016,3.8,33.5,na,11,na,0,na,na,26.3,37.3
2017,4.4,34.1,na,11.8,na,0,na,1.1,25.6,38.5
2018,4.4,33.2,na,12,na,0,na,0.4,25.2,37.6
"Dean, Div of Humanities",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,na,0,na,na,na,na,na,na,0,0
2011,na,0,na,na,na,na,na,na,0,0
2012,na,0,na,na,na,na,na,na,0,0
2013,na,0,na,na,na,na,na,na,0,0
2014,na,0,na,na,na,na,na,na,0,0
2015,1,0,na,1,na,na,na,na,0,1
2016,1,0,na,1,na,na,na,na,0,1
2017,1,0,na,1,na,na,na,na,0,1
2018,1,0,na,1,na,na,na,na,0,1
"Dean, GSE&IS",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,na,0,na,0,na,na,0,0
2011,0,0,na,0,na,0,na,na,0,0
2012,na,na,na,na,na,na,na,na,na,na
2013,na,na,na,na,na,na,na,na,na,na
2014,na,na,na,na,na,na,na,na,na,na
2015,0.6,na,na,na,na,na,na,na,0.6,0.6
2016,1.1,na,na,na,na,na,na,na,1.1,1.1
2017,0.8,na,na,na,na,na,na,na,0.8,0.8
2018,1,,na,na,na,na,na,na,1,1
"Dean, HSSEAS",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0.2,na,0,na,na,na,na,0.2,0.2
2011,0,0,na,0,na,na,na,na,0,0
2012,0,0,na,0,na,na,na,na,0,0
2013,0,1.1,0,1,na,na,na,na,0,1.1
2014,0.4,1.9,na,1,na,na,na,na,1.1,2.3
2015,0.4,1.5,na,1,na,na,na,na,0.8,1.9
2016,0.8,2.5,na,0.3,na,0.2,na,na,2.8,3.3
2017,0.8,1.8,na,0.6,na,na,na,na,2,2.6
2018,0.5,2.9,na,1.5,na,na,na,na,1.8,3.4
"Dean, LSPA",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,na,na,na,na,na,na,na,na,na,na
2011,na,na,na,na,na,na,na,na,na,na
2012,0,na,na,na,na,na,na,0,na,0
2013,0,0,0,0,na,na,na,na,na,0
2014,na,0.3,na,na,na,na,na,na,0.3,0.3
2015,0.5,na,na,na,na,na,na,na,0.5,0.5
2016,na,na,na,na,na,na,na,na,na,na
2017,1,1.7,na,1,na,na,na,na,1.7,2.7
2018,na,1.7,na,na,na,na,na,na,1.7,1.7
"Dean, STFT",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,na,na,na,0,na,0,na,0
2011,0,0,na,0,na,0,na,0,na,0
2012,0.4,0,na,0,na,na,na,0,0.4,0.4
2013,0,0,na,0,na,na,na,0,0,0
2014,0,0,na,0,na,na,na,0,0,0
2015,0,0,na,0,na,na,na,0,0,0
2016,0,0,na,0,na,na,na,0,0,0
2017,0,0,na,0,na,0,na,0,0,0
2018,0,1,na,0,0,0,na,0,1,1
Dental Clinic,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,na,0,na,0,na,na,na,na,na,0
2011,na,0,na,0,na,na,na,na,na,0
2012,na,0,na,0,na,na,na,na,na,0
2013,na,0,na,0,na,na,na,na,na,0
2014,0.2,0.8,na,0.7,na,na,na,na,0.3,1
2015,0.3,1.3,na,1.2,na,na,na,na,0.4,1.6
2016,0.3,0.3,na,0.2,na,na,na,na,0.4,0.6
2017,0.3,1.3,na,1.2,na,na,na,na,0.4,1.6
2018,0.4,1.3,na,1.3,na,na,na,na,0.4,1.7
Dental Clinic-Off Campus,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0.1,0.3,na,0.2,na,0.1,na,na,0.1,0.4
2011,0.3,0.4,na,0.2,na,0.1,na,na,0.4,0.6
2012,0.4,0.3,na,0.3,na,na,na,na,0.4,0.7
2013,0.5,0.2,na,0.2,na,na,na,na,0.5,0.7
2014,0.5,1.2,na,0.2,na,na,na,na,1.5,1.7
2015,0.5,1.3,na,0.4,na,na,na,na,1.4,1.8
2016,1.4,1.3,na,1.2,na,na,na,na,1.4,2.6
2017,1.4,1.2,na,1.2,na,na,na,na,1.4,2.6
2018,1.4,1.2,na,1.2,na,na,na,na,1.4,2.6
Dental Research Inst,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,na,1,na,1,na,na,na,na,na,1
2011,na,1,na,1,na,na,na,na,na,1
2012,1,2,na,3,na,na,na,na,na,3
2013,1,1,na,2,na,na,na,na,na,2
2014,1,1,na,2,na,na,na,na,na,2
2015,1,na,na,1,na,na,na,na,na,1
2016,1,1,na,2,na,na,na,na,na,2
2017,1,1,na,2,na,na,na,na,na,2
2018,na,1,na,1,na,na,na,na,na,1
Dentistry,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,29.8,70.1,1,37.2,1.1,5.1,na,na,55.5,99.9
2011,28.2,71.7,1,38.8,1.1,4.7,na,0,54.3,99.9
2012,32.4,68.2,1,40.6,2.1,6,na,0.4,50.5,100.6
2013,29.2,73.2,1,44.1,2.1,5.7,na,0.1,49.5,102.4
2014,29.7,73.1,1,46.4,2.4,5.5,na,0.1,47.3,102.8
2015,30.3,70.1,1,44.7,1.9,6.6,na,0.3,45.9,100.4
2016,31.6,704,1,47,1.1,8.2,na,0.3,44.4,102
2017,34,73.1,1,49.7,1.2,7.9,na,0.8,46.7,107.2
2018,35.3,68.8,0,48.5,1.2,8.1,na,0.8,45.6,104.1
Design | Media Arts,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.7,8.3,na,1,na,1,na,na,11,13
2011,5.3,9,na,1.3,na,1,na,na,12,14.3
2012,4,10,na,1,na,1,na,0.3,11.7,14
2013,4.7,8.7,na,1,na,1,na,na,11.3,13.3
2014,5,8.3,na,1,na,1,na,na,11.3,13.3
2015,4.3,9.7,na,1.3,na,1,na,na,10.7,13
2016,5.3,9,na,1.7,0.3,1,na,na,11.3,14.3
2017,6,8,na,1.3,na,1,1,na,10.7,14
2018,6,8,na,1,na,1,1,na,11,14
Duchenne Musc Dyst Research Cntr (DMD Center),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,na,0,na,na,na,na,na,na,0,0
2011,na,na,na,na,na,na,na,na,,na
2012,na,1,na,na,na,na,na,na,1,1
2013,na,na,na,na,na,na,na,na,na,na
2014,na,na,na,na,na,na,na,na,na,na
2015,na,0,na,na,na,na,na,na,0,0
2016,na,0,na,na,na,na,na,na,0,0
2017,na,na,na,na,na,na,na,na,na,na
2018,na,na,na,na,na,na,na,na,na,na
"Earth, Planetary & Space Sciences (EPSS)",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.3,18.5,na,0.7,na,na,na,0.7,19.5,20.9
2011,2.3,16.1,na,1.3,na,na,na,na,17.1,18.5
2012,3,21.3,na,2,na,na,na,na,22.3,24.3
2013,3,19.3,na,2,na,na,na,na,20.3,22.3
2014,3,24.5,na,3,na,na,na,1,23.5,27.5
2015,3.7,23.5,na,3,na,na,na,0.5,23.7,27.2
2016,5.7,22,na,4,na,na,na,1.5,22.2,27.7
2017,5.7,19.5,na,4,na,na,na,1,20.2,25.2
2018,5.2,19,na,3.5,na,na,na,1,19.7,24.2
Ecology & Evol Biology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.5,19.3,na,1,na,3,na,0.5,21.3,25.8
2011,6.5,18,na,1,na,3,na,na,20.5,24.5
2012,6.5,18,na,1,na,3,na,0.5,20,24.5
2013,8,18.5,na,2,na,3,na,0.5,21,26.5
2014,7,17.5,na,2,na,2,na,0.5,20,24.5
2015,8.5,18.5,na,2,na,2,na,0.5,22.5,27
2016,7.8,20,na,2,na,2,na,0.5,23.3,27.8
2017,10.9,19.5,na,2,na,3,na,0.5,24.9,30.4
2018,11.7,21.5,na,2.5,na,3,na,0.5,27.2,33.2
Economics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,9.8,29.1,na,4,na,4,na,na,30.9,38.9
2011,9,26.4,na,3,na,4,na,1.3,27.1,35.4
2012,9,30.2,na,4,na,5,na,1.7,28.6,39.2
2013,7,31.4,na,5,na,5,na,1,27.4,38.4
2014,8,32.4,na,6,na,5,na,1,28.4,40.4
2015,8,34,na,5,na,4,na,1,32,42
2016,7.3,34.3,na,6,na,4,na,2.3,29.3,41.6
2017,8.3,36.8,na,6,na,5,na,2,32.1,45.1
2018,8.1,36.1,na,6.5,na,5,na,4,28.7,44.2
Education,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,33.6,34,na,8.3,7.9,11.8,na,0.5,39.1,67.7
2011,35.5,34.6,na,9.5,8.1,11.3,na,1,40.2,70.1
2012,37.6,32.9,na,8.8,10.6,11.9,na,1,38.3,70.5
2013,37.5,29.3,na,8.9,9.5,11.2,na,1,36.1,66.8
2014,37.5,30.4,na,9.9,9.5,11,na,1.6,35.9,67.9
2015,35.8,28.7,0,9.2,8.4,10.9,na,1.9,34,64.4
2016,37,29.2,0,10.2,8.6,12,1.3,1,33.3,66.2
2017,39.5,29,0,10,10.1,12.2,2.3,1,33,68.5
2018,41.2,29.1,0,11,10.2,12.3,2.3,1,33.6,70.3
Educational Initiatives,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,1,0.5,0,0.5,0,0,0,0,1,1.5,
2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2012,1.5,0,0,0.5,0,0,0,0,1,1.5,
2013,1.5,1,0,0,0,0,0,0,2.5,2.5,
2014,1,1,0,0,0,0.5,0,0,1.5,2,
2015,2.3,1,0,0,0,0,0,0,3.3,3.3,
2016,2.6,1.5,0,0,0,0,0,0,4.1,4.1,
2017,2,1.6,0,0.5,0,0.5,0,0,2.6,3.6,
2018,2.5,0.6,0,0.5,0,0,0,0,2.6,3.1,
Electrical and Computer Engineering,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,6.4,43.3,0,20.3,0,0,0,0,29.3,46.9,
2011,6.4,42.5,0,20.7,0,0,0,0,28.2,48.9,
2012,6.4,42.8,0,20.7,0,0,0,0,28.4,49.2,
2013,6.4,42.5,0.4,19.3,0,0,0,0,29.2,48.9,
2014,7.4,41.6,0.4,18.7,0,0,0,0,29.9,49,
2015,7.4,40.9,0.4,18.8,0,0,0,1,28,48.3,
2016,7.4,42.8,0.4,19.2,0,0,0,1,29.6,50.2,
2017,7.4,43.4,0.4,19.8,0,0,0,1,29.6,50.8,
