ALL,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2015,28.5,50.10,1,8,5,3,0,1,60.60,78.60
2016,34.6,54.50,1,8.3,5.7,4.6,0,1.1,68.50,89.10
2017,31.8,49.90,1,7.6,4.5,3.4,1,1.5,62.70,81.70
2018,38.1,56.10,1,8.9,5.6,4.3,1,1.4,72.00,94.20
School of Nursing,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,52.7,2.2,1.2,6.7,4,3.1,0,1,38.8,54.8
2011,58.8,4.1,1.2,9.5,5,2.3,0,0.2,44.7,62.9
2012,56.7,2,1.2,9.4,4,2.3,0,0.2,41.6,58.7
2013,49.7,1.5,1.2,7.2,2,1.7,0,0.3,38.8,51.2
2014,52.5,1.5,1.1,7.4,2,2.4,0,0.3,40.9,54
2015,50,1.8,1.2,8.9,2,1.7,0,0.3,37.7,51.8
2016,45.2,5.3,1.2,8.4,2,2.2,0,1.4,35.2,50.5
2017,50.7,5.6,1.2,11.1,3,3.1,0,1.5,36.4,56.3
2018,53.7,6.4,2,12.2,3.9,5,0,1.6,35.4,60.1
"School of Theater, FIlm & Television (STFT)",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,21.4,20.40,1,1.4,2,7,0,0,50.40,61.80
2011,21.3,35.50,1,1.4,0.9,6.5,0,0,47.10,56.8
2012,18.5,31.10,1,2.1,0,6,0,1.2,39.30,49.60
2013,18.8,30.60,1,2.1,0,5.2,0,0.6,40.60,49.40
2014,24.6,40.40,1,1.8,0.7,6.1,0,0.7,54.70,64.90
2015,25.5,41.70,1,3.1,1.5,6.2,0,1,54.50,67.20
2016,24.6,39.30,1,3.5,2.4,7.1,0,1,52.80,67.90
2017,28.4,40.60,1,5.1,2.8,7.4,0,1.7,51.10,69.00
2018,33.5,42.10,1,6.5,5,6.3,0,1.2,55.60,75.60
