Year,F,M,AI,A,B,L,TW,U,W,T
2010,20.8,21.1,0,23.8,0,0,0,0,18.1,41.9
2011,21.4,21,0,24.6,0,0,0,0,17.7,42.3
2012,23.1,18.9,0,26,0,0,0,0.5,15.5,42
2013,23.1,19.3,0,27.1,0,0,0,0.5,14.8,42.4
2014,22,19.2,0,24.1,0,0,0,0.5,16.6,41.2
2015,22.2,19.2,0,24.8,0,0,0,0,16.6,41.4
2016,23.5,18.4,0,25,0,0,0,0,16.9,41.9
2017,23.6,20.4,0,26.2,0,0,0,1,16.8,44
2018,27,19.8,0,30.3,0,0,0,0,16.6,46.9
ATMOSPHERIC AND OCEANIC SCIENCES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.7,14.7,0,3,0,1,0,0,13.3,17.3
2011,2.7,14.7,0,3,0,1,0,0,13.3,17.3
2012,3,13.5,0,3,0,1,0,0,12.5,16.5
2013,2,13.7,0,3,0,1,0,0,11.7,15.7
2014,2.5,12.5,0,3,0,1,0,0,11,15
2015,2.3,13.5,0,3,0,1,0,0,11.8,15.8
2016,2.3,15.5,0,4,0,1,0,1,11.8,17.8
2017,3.3,15,0,4,0,,0,2.5,11.8,18.3
2018,3.3,14.5,0,4,0,0.5,0,2.5,10.8,17.8
BIOENGINEERING,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,7,0,3,0,0,0,0,5,8
2011,1,7,0,3,0,0,0,0,5,8
2012,1.4,8,0,4.4,0,0,0,0,5,9.4
2013,1,8,0,4,0,0,0,0,5,9
2014,1,8.4,0,4,0,0,0,0,5.4,9.4
2015,2,7,0,3,0,0,0,0,6,9
2016,2,8.9,0,4.5,0,0,0,0.4,6,10.9
2017,2,8.9,0,4.5,0,0,0,0.4,6,10.9
2018,2,10.7,0,4.5,0,0,0,1.4,6.8,12.7
BIOENGINEERING,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5,7,0,2,0,1,0,0,9,12
2011,4,7,0,3,0,1,0,0,7,11
2012,4,7,0,2,0,1,0,0,8,11
2013,4,7,0,2,0,1,0,0,8,11
2014,4,7.5,0,2.5,0,1,0,0,8,11.5
2015,4,8,0,3,0,1,0,0,8,12
2016,4,9,0,4,0,1,0,0,8,13
2017,4,9,0,4,0,1,0,0,8,13
2018,5,8,0,4,0,1,0,0,8,13
BIOSTATISTICS,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5,7,0,2,0,1,0,0,9,12
2011,4,7,0,3,0,1,0,0,7,11
2012,4,7,0,2,0,1,0,0,8,11
2013,4,7,0,2,0,1,0,0,8,11
2014,4,7.5,0,2.5,0,1,0,0,8,11.5
2015,4,8,0,3,0,1,0,0,8,12
2016,4,9,0,4,0,1,0,0,8,13
2017,4,9,0,4,0,1,0,0,8,13
2018,5,8,0,4,0,1,0,0,8,13
CA CENTER FOR POPULATION RESEARCH,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,0.5,0,0,0,0,0,0,0,0.5,0.5
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
CANCER PREVENTION & CONTROL RES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4,0.7,0,0,0,0,0,0,4.7,4.7
2011,2,2,0,1,0,0,0,0,3,4
2012,3,2,0,1,0,0,0,0,4,5
2013,2,1,0,0,0,0,0,0,3,3
2014,3,1,0,0,0,0,0,0,4,4
2015,2,0.5,0,0,0,0,0,0,2.5,2.5
2016,2,1.5,0,0,0,0,0,0,3.5,3.5
2017,3,1.5,0,0,0,1,0,0,3.5,4.5
2018,2,1,0,0,0,1,0,0,2,3
CANCER PREVENTION & CONTROL RES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,0,0.5,0,0,0,0,0,0,0.5,0.5
CHEMICAL AND BIOMOLECULAR ENGINEERING,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1.5,12.4,0,3.5,0,1,0,0,9.4,13.9
2011,1.5,12.4,0,3.5,0,1,0,0,9.4,13.9
2012,2.9,12,0,4.5,0,1,0,0,9.4,14.9
2013,2.9,11.8,0,4.5,0,1,0,0,9.2,14.7
2014,2.5,11.1,0,4.9,0,1,0,0,7.8,13.7
2015,2.9,10.8,0,4.5,0,1,0,0,8.2,13.7
2016,2.5,12.2,0,4.5,0,2.4,0,0,7.8,14.7
2017,3,10,0,5,0,1,0,0,7,13
2018,3,9.7,0,5.4,0,1,0,0,6.3,12.7
CHEMISTRY AND BIOCHEMISTRY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,15.5,41.2,0,6.5,1,2,0,0,47.2,56.7
2011,14,43,0,7.4,1,2,0,0,46.7,57.1
2012,12.5,41.7,0,8,1,2,0,0,43.2,54.2
2013,12,41.3,0,7,1,2,0,1,42.3,53.3
2014,12.5,42.3,0,7.5,1,2.5,0,1,42.8,54.8
2015,12.4,41.8,0,6.5,1,2,0,1,43.7,54.2
2016,15,46.3,0,8.5,2,3,0,1.5,46.3,61.3
2017,15,41.7,0,8.8,2,1,0,2.5,42.3,56.6
2018,16.8,43.8,0,9.5,2,1,0,2.5,45.3,60.3
CHICANA/O STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.5,6.8,0,0,0.2,10.2,0,1,0,11.4
2011,6.2,7.2,0,0,0.2,12.2,0,1,0,13.4
2012,5.2,6.8,0,0,0.2,11.8,0,0,0,12
2013,5.5,7.2,0,0,0.2,12.2,0,0.3,0,12.7
2014,6.5,6.2,0,0,0.2,11.5,0,0,1,12.7
2015,7.2,6.7,0,0,0.2,12.7,0,0,1,13.9
2016,8.3,6.3,0,0,0.2,13.4,0,0,1,14.6
2017,9.4,6,0,0,0.5,13.9,0,0,1,15.4
2018,9.8,6.3,0.3,0,0.7,14.8,0,0,0.3,16.1
CHICANO STUDIES RESEARCH CENTER,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,1,0,0,0,0,1,0,0,0,1
Civil & Enviornmental Engr,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.8,12.8,0,6.1,0,0,0,0,11.4,17.5
2011,4.8,13.8,0,6.8,0,0,0,0,11.8,18.5
2012,4.6,14.7,0,7.3,0,0,0,0,12,19.3
2013,3.4,16.2,0,7.7,0,0,0,0.4,11.5,19.6
2014,3.4,18.1,0,6.3,1,0,0,0,14.2,21.5
2015,3.5,18.5,0,5.9,2,0.3,0,0,13.9,22
2016,3.4,17.1,0,5.4,2,0,0,0,13.1,20.5
2017,6,21.3,0,7.6,2,0.4,0,3.4,13.9,27.3
2018,4.8,19.1,0,7,2,0,0,3.8,11.1,23.8
Classics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.3,8,0,0,0,0,0,0,14.3,14.3
2011,6.5,9,0,0,0,0,0,0,15.5,15.5
2012,6.5,9,0,0,0,0,0,0,15.5,15.5
2013,5.5,10,0,0,0,0,0,0,15.5,15.5
2014,5.5,8.8,0,0,0,0,0,1,13.3,14.3
2015,6.5,8.4,0,0,0,0,0,1.7,13.3,14.9
2016,6.5,8.8,0,0,0,0,0,1,14.3,15.3
2017,5.5,7.3,0,0,0,0,0,0.6,12.3,12.8
2018,7.5,8.4,0,0,0,1,0,0.7,14.3,15.9
Communication Studies,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.8,11.7,0,1,0,0,0,0,13.5,14.5
2011,2.2,8.7,0,0,0,0,0,0,10.8,10.8
2012,2.7,9.7,0,0,1.5,0,0,0,10.8,12.3
2013,3.2,9.7,0,0.5,1.5,0,0,0,10.8,12.8
2014,3.2,9.2,0,0.5,1.5,0,0,0,10.3,12.3
2015,4.4,9.9,0,1,0,0,0,0,13.3,14.3
2016,5.1,10.6,0,0.5,0,0,0,0.4,14.9,15.8
2017,5.2,13.4,0,1.5,0,0,0,1.2,15.9,18.6
2018,5.6,14,0,2.5,0,0,0,1.3,15.8,19.6
Community Health Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,15.1,7,0,3.5,1,1,0,0,16.6,22.1
2011,14.4,6,0,2.5,1,1,0,1,15.9,20.4
2012,14.6,4,0,2.5,1,0,0,0,15.1,18.6
2013,14.5,3,0,2.5,1,0,0,0,14,17.5
2014,14.3,4,0,2.5,1,0,0,0,14.8,18.3
2015,11.9,3.5,0,2.5,1,0,0,0,11.9,15.4
2016,10.2,4.7,0,2,1.3,1,0,0,10.7,15
2017,12.4,5.5,0,3,2,1,0,0,11.9,17.9
2018,10.8,5.8,0,3,2.3,1.3,0,0.3,9.7,16.7
Comparative Literature,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.2,5.3,0,1.5,0,1.3,0,0,7.7,10.5
2011,6.2,5.8,0,1.5,0,1.3,0,0,9.2,12
2012,6.7,5.3,0,1.5,0,0.8,0,0,9.7,12
2013,4,5.8,0,2.3,0,0.8,0,0,6.7,9.7
2014,6.5,6.8,0,2.8,0.5,1.3,0,0,8.7,13.2
2015,7,5.8,0,2.3,0.5,1.3,0,0.5,8.2,12.7
2016,5,6.3,0,1.8,0,0.8,0,1.5,7.2,11.2
2017,6.5,7.8,0,1.3,0,0.8,0,1,11.2,14.2
2018,5.9,5.5,0,1.3,0,0.8,0,0,,11.4
Computer Science,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.4,31.8,0,6,0,1,0,0,29.1,36.1
2011,3,30.4,0,6.4,0,1,0,0,26.1,33.4
2012,3,28.4,0,6.4,0,1,0,0,24.1,31.4
2013,4,28.8,0,6.4,0,0,0,0,26.4,32.8
2014,3.8,27.8,0,6,0,0,0,0,25.5,31.5
2015,3.4,29.6,0,9.4,0,0,0,0,23.6,33
2016,3.8,33.5,0,11,0,0,0,0,26.3,37.3
2017,4.4,34.1,0,11.8,0,0,0,1.1,25.6,38.5
2018,4.4,33.2,0,12,0,0,0,0.4,25.2,37.6
"Dean, Div of Humanities",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,1,0,0,1,0,0,0,0,0,1
2016,1,0,0,1,0,0,0,0,0,1
2017,1,0,0,1,0,0,0,0,0,1
2018,1,0,0,1,0,0,0,0,0,1
"Dean, GSE&IS",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0.6,0,0,0,0,0,0,0,0.6,0.6
2016,1.1,0,0,0,0,0,0,0,1.1,1.1
2017,0.8,0,0,0,0,0,0,0,0.8,0.8
2018,1,,0,0,0,0,0,0,1,1
"Dean, HSSEAS",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0.2,0,0,0,0,0,0,0.2,0.2
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,1.1,0,1,0,0,0,0,0,1.1
2014,0.4,1.9,0,1,0,0,0,0,1.1,2.3
2015,0.4,1.5,0,1,0,0,0,0,0.8,1.9
2016,0.8,2.5,0,0.3,0,0.2,0,0,2.8,3.3
2017,0.8,1.8,0,0.6,0,0,0,0,2,2.6
2018,0.5,2.9,0,1.5,0,0,0,0,1.8,3.4
"Dean, LSPA",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0.3,0,0,0,0,0,0,0.3,0.3
2015,0.5,0,0,0,0,0,0,0,0.5,0.5
2016,0,0,0,0,0,0,0,0,0,0
2017,1,1.7,0,1,0,0,0,0,1.7,2.7
2018,0,1.7,0,0,0,0,0,0,1.7,1.7
"Dean, STFT",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0.4,0,0,0,0,0,0,0,0.4,0.4
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,1,0,0,0,0,0,0,1,1
Dental Clinic,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0.2,0.8,0,0.7,0,0,0,0,0.3,1
2015,0.3,1.3,0,1.2,0,0,0,0,0.4,1.6
2016,0.3,0.3,0,0.2,0,0,0,0,0.4,0.6
2017,0.3,1.3,0,1.2,0,0,0,0,0.4,1.6
2018,0.4,1.3,0,1.3,0,0,0,0,0.4,1.7
Dental Clinic-Off Campus,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0.1,0.3,0,0.2,0,0.1,0,0,0.1,0.4
2011,0.3,0.4,0,0.2,0,0.1,0,0,0.4,0.6
2012,0.4,0.3,0,0.3,0,0,0,0,0.4,0.7
2013,0.5,0.2,0,0.2,0,0,0,0,0.5,0.7
2014,0.5,1.2,0,0.2,0,0,0,0,1.5,1.7
2015,0.5,1.3,0,0.4,0,0,0,0,1.4,1.8
2016,1.4,1.3,0,1.2,0,0,0,0,1.4,2.6
2017,1.4,1.2,0,1.2,0,0,0,0,1.4,2.6
2018,1.4,1.2,0,1.2,0,0,0,0,1.4,2.6
Dental Research Inst,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,1,0,1,0,0,0,0,0,1
2011,0,1,0,1,0,0,0,0,0,1
2012,1,2,0,3,0,0,0,0,0,3
2013,1,1,0,2,0,0,0,0,0,2
2014,1,1,0,2,0,0,0,0,0,2
2015,1,0,0,1,0,0,0,0,0,1
2016,1,1,0,2,0,0,0,0,0,2
2017,1,1,0,2,0,0,0,0,0,2
2018,0,1,0,1,0,0,0,0,0,1
Dentistry,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,29.8,70.1,1,37.2,1.1,5.1,0,0,55.5,99.9
2011,28.2,71.7,1,38.8,1.1,4.7,0,0,54.3,99.9
2012,32.4,68.2,1,40.6,2.1,6,0,0.4,50.5,100.6
2013,29.2,73.2,1,44.1,2.1,5.7,0,0.1,49.5,102.4
2014,29.7,73.1,1,46.4,2.4,5.5,0,0.1,47.3,102.8
2015,30.3,70.1,1,44.7,1.9,6.6,0,0.3,45.9,100.4
2016,31.6,704,1,47,1.1,8.2,0,0.3,44.4,102
2017,34,73.1,1,49.7,1.2,7.9,0,0.8,46.7,107.2
2018,35.3,68.8,0,48.5,1.2,8.1,0,0.8,45.6,104.1
Design | Media Arts,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4.7,8.3,0,1,0,1,0,0,11,13
2011,5.3,9,0,1.3,0,1,0,0,12,14.3
2012,4,10,0,1,0,1,0,0.3,11.7,14
2013,4.7,8.7,0,1,0,1,0,0,11.3,13.3
2014,5,8.3,0,1,0,1,0,0,11.3,13.3
2015,4.3,9.7,0,1.3,0,1,0,0,10.7,13
2016,5.3,9,0,1.7,0.3,1,0,0,11.3,14.3
2017,6,8,0,1.3,0,1,1,0,10.7,14
2018,6,8,0,1,0,1,1,0,11,14
Duchenne Musc Dyst Research Cntr (DMD Center),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,,0
2012,0,1,0,0,0,0,0,0,1,1
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0
"Earth, Planetary & Space Sciences (EPSS)",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.3,18.5,0,0.7,0,0,0,0.7,19.5,20.9
2011,2.3,16.1,0,1.3,0,0,0,0,17.1,18.5
2012,3,21.3,0,2,0,0,0,0,22.3,24.3
2013,3,19.3,0,2,0,0,0,0,20.3,22.3
2014,3,24.5,0,3,0,0,0,1,23.5,27.5
2015,3.7,23.5,0,3,0,0,0,0.5,23.7,27.2
2016,5.7,22,0,4,0,0,0,1.5,22.2,27.7
2017,5.7,19.5,0,4,0,0,0,1,20.2,25.2
2018,5.2,19,0,3.5,0,0,0,1,19.7,24.2
Ecology & Evol Biology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.5,19.3,0,1,0,3,0,0.5,21.3,25.8
2011,6.5,18,0,1,0,3,0,0,20.5,24.5
2012,6.5,18,0,1,0,3,0,0.5,20,24.5
2013,8,18.5,0,2,0,3,0,0.5,21,26.5
2014,7,17.5,0,2,0,2,0,0.5,20,24.5
2015,8.5,18.5,0,2,0,2,0,0.5,22.5,27
2016,7.8,20,0,2,0,2,0,0.5,23.3,27.8
2017,10.9,19.5,0,2,0,3,0,0.5,24.9,30.4
2018,11.7,21.5,0,2.5,0,3,0,0.5,27.2,33.2
Economics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,9.8,29.1,0,4,0,4,0,0,30.9,38.9
2011,9,26.4,0,3,0,4,0,1.3,27.1,35.4
2012,9,30.2,0,4,0,5,0,1.7,28.6,39.2
2013,7,31.4,0,5,0,5,0,1,27.4,38.4
2014,8,32.4,0,6,0,5,0,1,28.4,40.4
2015,8,34,0,5,0,4,0,1,32,42
2016,7.3,34.3,0,6,0,4,0,2.3,29.3,41.6
2017,8.3,36.8,0,6,0,5,0,2,32.1,45.1
2018,8.1,36.1,0,6.5,0,5,0,4,28.7,44.2
Education,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,33.6,34,0,8.3,7.9,11.8,0,0.5,39.1,67.7
2011,35.5,34.6,0,9.5,8.1,11.3,0,1,40.2,70.1
2012,37.6,32.9,0,8.8,10.6,11.9,0,1,38.3,70.5
2013,37.5,29.3,0,8.9,9.5,11.2,0,1,36.1,66.8
2014,37.5,30.4,0,9.9,9.5,11,0,1.6,35.9,67.9
2015,35.8,28.7,0,9.2,8.4,10.9,0,1.9,34,64.4
2016,37,29.2,0,10.2,8.6,12,1.3,1,33.3,66.2
2017,39.5,29,0,10,10.1,12.2,2.3,1,33,68.5
2018,41.2,29.1,0,11,10.2,12.3,2.3,1,33.6,70.3
Educational Initiatives,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,1,0.5,0,0.5,0,0,0,0,1,1.5,
2011,,,,,,,,,,,
2012,1.5,0,0,0.5,0,0,0,0,1,1.5,
2013,1.5,1,0,0,0,0,0,0,2.5,2.5,
2014,1,1,0,0,0,0.5,0,0,1.5,2,
2015,2.3,1,0,0,0,0,0,0,3.3,3.3,
2016,2.6,1.5,0,0,0,0,0,0,4.1,4.1,
2017,2,1.6,0,0.5,0,0.5,0,0,2.6,3.6,
2018,2.5,0.6,0,0.5,0,0,0,0,2.6,3.1,
