FACID,FACNAME,FAC_FDR,ICU_BEDS,COUNTY_NAME,GAC_BEDS,NPI,FAC_TYPE_CODE,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,STREETNUM,STREETNAME,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL
930000022,CENTINELA HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,19.0,LOS ANGELES,273,1336328244,GACH,NON-LTC,362,555 E HARDY ST,INGLEWOOD,90301,4011.0,"BRADLEY, LINDA",MARGARET.PFEIFFER@CENTINELAFREEMAN.COM,(310) 677-0535,(310) 673-4660,200,93,LA ACUTE/ANCILLARY,Y,930000027.0,"PRIME HEALTHCARE CENTINELA, LLC",1946-01-01,2020-02-01,2021-01-31,LIMITED LIABILITY COMPANY,33.9504,-118.348291,"(-118.348291,33.9504)",106190148.0,555,E HARDY ST,19,LOS ANGELES,6037,YES,,,,
930000026,HUNTINGTON MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,38.0,LOS ANGELES,372,1407828429,GACH,NON-LTC,578,100 W CALIFORNIA BLVD,PASADENA,91105,3010.0,"MORGAN, LORI J",RITA.SCHMAELER@HUNTINGTONHOSPITAL.COM,(626) 397-2995,(626) 397-5555,200,93,LA ACUTE/ANCILLARY,Y,930000372.0,"PASADENA HOSPITAL ASSOCIATION, LTD",1946-01-01,2020-03-01,2021-02-28,NONPROFIT CORP,34.13443,-118.152931,"(-118.152931,34.13443)",106190400.0,100,W CALIFORNIA BLVD,19,LOS ANGELES,6037,YES,,LEVEL II,,
930000027,MISSION COMMUNITY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,5.0,LOS ANGELES,75,1750365375,GACH,NON-LTC,85,14850 ROSCOE BLVD,PANORAMA CITY,91402,4618.0,"THEIRING, JAMES",JTHEIRING@MCHONLINE.COM,(818) 904-3529,(818) 787-2222,200,93,LA ACUTE/ANCILLARY,Y,930000101.0,"DEANCO HEALTHCARE, LLC",1965-08-13,2019-10-24,2020-07-11,LIMITED LIABILITY COMPANY,34.22031,-118.456481,"(-118.456481,34.22031)",106190524.0,14850,ROSCOE BLVD,19,LOS ANGELES,6037,,,,,
930000028,WEST HILLS HOSPITAL & MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,25.0,LOS ANGELES,192,1023065729,GACH,NON-LTC,260,7300 MEDICAL CENTER DR,WEST HILLS,91307,1902.0,"LONG, DOUGLAS",OMAR.CHUGTAI@HCAHEALTHCARE.COM,(818) 704-3880,(818) 676-4110,200,93,LA ACUTE/ANCILLARY,Y,930000189.0,WEST HILLS HOSPITAL,1962-11-07,2020-02-24,2021-02-23,PROFIT CORP,34.20266,-118.628601,"(-118.628601,34.20266)",106190859.0,7300,MEDICAL CENTER DR,19,LOS ANGELES,6037,YES,,,,
930000033,KINDRED HOSPITAL PARAMOUNT,GENERAL ACUTE CARE HOSPITAL,7.0,LOS ANGELES,165,1093275786,GACH,NON-LTC,177,16453 COLORADO AVE,PARAMOUNT,90723,5011.0,"APODACA, MARK",MARK.APODACA@KINDRED.COM,(562) 531-4699,(562) 531-3110,200,93,LA ACUTE/ANCILLARY,Y,930000088.0,"KND REAL ESTATE 40, LLC",2004-06-30,2019-06-30,2020-06-29,LIMITED LIABILITY COMPANY,33.88433,-118.162151,"(-118.162151,33.88433)",106190599.0,16453,COLORADO AVE,19,LOS ANGELES,6037,,,,,
930000034,CHILDREN'S HOSPITAL LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,73.0,LOS ANGELES,16,1124073366,GACH,NON-LTC,495,4650 W SUNSET BLVD,LOS ANGELES,90027,6062.0,"VIVIANO, PAUL  S",JSTEINE@CHLA.USC.EDU,(323) 361-2828,(323) 660-2450,200,93,LA ACUTE/ANCILLARY,Y,930000032.0,CHILDREN'S HOSPITAL LOS ANGELES,1946-01-01,2020-01-01,2020-12-31,NONPROFIT CORP,34.09751,-118.291051,"(-118.291051,34.09751)",106190170.0,4650,W SUNSET BLVD,19,LOS ANGELES,6037,,LEVEL I PED,,,
930000035,L.A. DOWNTOWN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,12.0,LOS ANGELES,75,1780183335,GACH,NON-LTC,87,1711 W TEMPLE ST,LOS ANGELES,90026,5421.0,"OJEDA, GUADALUPE",MAZEN.ALHOMADY@LADOWNTOWNMC.COM,(213) 484-3593,(213) 989-6100,200,93,LA ACUTE/ANCILLARY,Y,930000137.0,"L.A. DOWNTOWN MEDICAL CENTER, LLC",1974-10-21,2019-11-18,2020-11-17,LIMITED LIABILITY COMPANY,34.06979,-118.263281,"(-118.263281,34.06979)",106190661.0,1711,W TEMPLE ST,19,LOS ANGELES,6037,,,,,
930000036,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,GENERAL ACUTE CARE HOSPITAL,18.0,LOS ANGELES,181,1750358297,GACH,NON-LTC,217,1500 DUARTE RD,DUARTE,91010,3012.0,"SARGEANT, MARTY",TSETO@COH.ORG,(626) 301-8889,(626) 359-8111,200,93,LA ACUTE/ANCILLARY,Y,930000033.0,CITY OF HOPE NATIONAL MEDICAL CENTER,1946-03-08,2019-11-01,2020-10-31,NONPROFIT CORP,34.12958,-117.970911,"(-117.970911,34.12958)",106190176.0,1500,DUARTE RD,19,LOS ANGELES,6037,,,,,
930000038,COAST PLAZA HOSPITAL,GENERAL ACUTE CARE HOSPITAL,4.0,LOS ANGELES,110,1194016923,GACH,NON-LTC,117,13100 STUDEBAKER RD,NORWALK,90650,2531.0,"RAFFERTY, PATRICK",KMETCALFE@AVANTIHOSPITALS.COM,(562) 868-3198,(562) 868-3311,200,93,LA ACUTE/ANCILLARY,Y,930000162.0,"CPH HOSPITAL MANAGEMENT, LLC",1958-04-10,2019-12-05,2020-11-25,LIMITED LIABILITY COMPANY,33.91258,-118.098571,"(-118.098571,33.91258)",106190766.0,13100,STUDEBAKER RD,19,LOS ANGELES,6037,,,,,
930000039,KINDRED HOSPITAL SOUTH BAY,GENERAL ACUTE CARE HOSPITAL,4.0,LOS ANGELES,50,,GACH,NON-LTC,54,1246 W 155TH ST,GARDENA,90247,4011.0,"KERR, MICHAEL",MICHAEL.KERR@KINDRED.COM,(310) 768-2265,(310) 323-5330,200,93,LA ACUTE/ANCILLARY,Y,930000037.0,"KND DEVELOPMENT 53, L.L.C.",1957-07-17,2019-11-01,2020-10-31,LIMITED LIABILITY COMPANY,33.89011,-118.297421,"(-118.297421,33.89011)",106190196.0,1246,W 155TH ST,19,LOS ANGELES,6037,,,,,
930000040,COMMUNITY HOSPITAL OF HUNTINGTON PARK,GENERAL ACUTE CARE HOSPITAL,4.0,LOS ANGELES,77,1891059127,GACH,NON-LTC,81,2623 E SLAUSON AVE,HUNTINGTON PARK,90255,2926.0,"RIVES, PATRICIA",YVASQUEZ@AVANTIHOSPITALS.COM,(323) 582-8179,(323) 583-1931,200,93,LA ACUTE/ANCILLARY,Y,930000038.0,"CHHP HOLDINGS II, LLC",1957-12-31,2019-12-19,2020-12-18,LIMITED LIABILITY COMPANY,33.98943,-118.224261,"(-118.224261,33.98943)",106190197.0,2623,E SLAUSON AVE,19,LOS ANGELES,6037,,,,,
930000041,SAN GABRIEL VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,19.0,LOS ANGELES,127,1275720377,GACH,NON-LTC,187,438 W LAS TUNAS DR,SAN GABRIEL,91776,1216.0,"AQUINO, JONATHAN F",MAKOTO.NAKAYAMA@AHMCHELTH.COM,(626) 570-6555,(626) 289-5454,200,93,LA ACUTE/ANCILLARY,Y,930000041.0,AHMC SAN GABRIEL VALLEY MEDICAL CENTER LP,1960-08-17,2019-12-22,2020-12-21,PARTNERSHIP,34.10109,-118.106261,"(-118.106261,34.10109)",106190200.0,438,W LAS TUNAS DR,19,LOS ANGELES,6037,YES,,,,
930000042,KINDRED HOSPITAL - SAN GABRIEL VALLEY,GENERAL ACUTE CARE HOSPITAL,6.0,LOS ANGELES,70,,GACH,NON-LTC,76,845 N LARK ELLEN AVE,WEST COVINA,91791,1069.0,"MCCARTHY, RICHARD",NORMAN.ANDREWS@KINDREDHEALTHCARE.COM,(626) 967-3809,(626) 339-5451,200,93,LA ACUTE/ANCILLARY,Y,930000084.0,"SOUTHERN CALIFORNIA SPECIALTY CARE, LLC",1961-07-27,2019-11-01,2020-10-31,LIMITED LIABILITY COMPANY,34.08733,-117.917171,"(-117.917171,34.08733)",106190458.0,845,N LARK ELLEN AVE,19,LOS ANGELES,6037,,,,,
930000044,CEDARS-SINAI MARINA DEL REY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,12.0,LOS ANGELES,91,1942269725,GACH,NON-LTC,103,4650 LINCOLN BLVD,MARINA DEL REY,90292,6306.0,"LAGUNA-KENNEDY, JOANNE",JENNINGSRICH@CENTINELAFREEMAN.COM,(310) 574-7854,(310) 823-8911,200,93,LA ACUTE/ANCILLARY,Y,930000096.0,"CFHS HOLDINGS, INC.",1970-04-17,2019-11-19,2020-11-18,NONPROFIT CORP,33.98234,-118.439191,"(-118.439191,33.98234)",106190500.0,4650,LINCOLN BLVD,19,LOS ANGELES,6037,,,,,
930000047,LAKEWOOD REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,8.0,LOS ANGELES,141,1184655581,GACH,NON-LTC,172,3700 SOUTH ST,LAKEWOOD,90712,1419.0,"GRAH, JOHN",JOSHUA.DANIELS@TENETHEALTH.COM,(562) 602-0083,(562) 531-2550,200,93,LA ACUTE/ANCILLARY,Y,930000046.0,"LAKEWOOD REGIONAL MEDICAL CENTER, INC.",1972-05-17,2019-05-31,2020-05-30,PROFIT CORP,33.8597,-118.148421,"(-118.148421,33.8597)",106190240.0,3700,SOUTH ST,19,LOS ANGELES,6037,,,,,
930000049,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,GENERAL ACUTE CARE HOSPITAL,22.0,LOS ANGELES,192,1427055839,GACH,NON-LTC,281,1250 16TH ST,SANTA MONICA,90404,1249.0,"SPISSO, JOHNESE",PWATKINS@MEDNET.UCLA.EDU,(424) 259-6626,(310) 319-4000,200,93,LA ACUTE/ANCILLARY,Y,930000146.0,REGENTS UNIVERSITY OF CALIFORNIA HEALTH SCIENCES & SERVICES,1946-01-01,2020-01-28,2020-11-08,UC REGENT,34.02735,-118.486581,"(-118.486581,34.02735)",106190687.0,1250,16TH ST,19,LOS ANGELES,6037,YES,,,,
930000050,KAISER FOUNDATION HOSPITAL,GENERAL ACUTE CARE HOSPITAL,24.0,LOS ANGELES,128,1558418863,GACH,NON-LTC,218,13652 CANTARA ST,PANORAMA CITY,91402,5423.0,"ROSHAN, PAYMAN",JACQUELYNN.COLLINS@KP.ORG,(626) 405-6281,(818) 375-2000,200,93,LA ACUTE/ANCILLARY,Y,930000080.0,KAISER FOUNDATION HOSPITALS,1963-06-21,2020-01-23,2020-05-31,NONPROFIT CORP,34.219822,-118.430189,"(-118.430189,34.219822)",106190432.0,13652,CANTARA ST,19,LOS ANGELES,6037,YES,,,,
930000052,PIH HEALTH HOSPITAL - DOWNEY,GENERAL ACUTE CARE HOSPITAL,8.0,LOS ANGELES,147,1265433551,GACH,NON-LTC,199,11500 BROOKSHIRE AVE,DOWNEY,90241,4917.0,"TROGMAN, RICHARD",KEN.STROPLE@DRMCI.ORG,(562) 904-5309,(562) 904-5000,200,93,LA ACUTE/ANCILLARY,Y,930000048.0,PIH HEALTH HOSPITAL-DOWNEY,1969-09-18,2020-01-16,2020-09-30,NONPROFIT CORP,33.93454,-118.131521,"(-118.131521,33.93454)",106190243.0,11500,BROOKSHIRE AVE,19,LOS ANGELES,6037,YES,,,,
930000053,EAST LOS ANGELES DOCTORS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,4.0,LOS ANGELES,71,1417957473,GACH,NON-LTC,102,4060 E WHITTIER BLVD,LOS ANGELES,90023,2526.0,"CLUTE, GERALD",VARRASO@AVANTIHOSPITAL.COM,(323) 260-4274,(323) 260-4126,200,93,LA ACUTE/ANCILLARY,Y,930000049.0,"ELADH, L.P.",1949-08-15,2019-11-01,2020-10-31,PARTNERSHIP,34.023909,-118.184004,"(-118.184004,34.023909)",106190256.0,4060,E WHITTIER BLVD,19,LOS ANGELES,6037,YES,,,,
930000054,ENCINO HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,22.0,LOS ANGELES,60,1437322377,GACH,NON-LTC,107,16237 VENTURA BLVD,ENCINO,91436,2201.0,"PARK, BOCKHI",MPAGUIO@PRIMEHEALTHCARE.COM,(818) 907-8630,(818) 995-5000,200,93,LA ACUTE/ANCILLARY,Y,930000051.0,"PRIME HEALTHCARE SERVICES-ENCINO, LLC",1954-11-08,2019-06-01,2020-05-31,LIMITED LIABILITY COMPANY,34.1574,-118.486851,"(-118.486851,34.1574)",106190280.0,16237,VENTURA BLVD,19,LOS ANGELES,6037,,,,,
930000056,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,9.0,LOS ANGELES,74,1992733513,GACH,NON-LTC,105,250 S GRAND AVE,GLENDORA,91741,4218.0,"CURRY, ROBERT H",RCURRY@EMANATEHEALTH.ORG,(626) 859-5865,(626) 858-8536,200,93,LA ACUTE/ANCILLARY,Y,930000052.0,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,1973-03-26,2019-11-01,2020-10-31,NONPROFIT CORP,34.13294,-117.871171,"(-117.871171,34.13294)",106190298.0,250,S GRAND AVE,19,LOS ANGELES,6037,YES,,,,
930000058,GARFIELD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,14.0,LOS ANGELES,106,1730171265,GACH,NON-LTC,210,525 N GARFIELD AVE,MONTEREY PARK,91754,1202.0,"PETRE, PATRICK",PATRICK.PETRE@AHMCHEALTH.COM,(626) 571-8972,(626) 573-2222,200,93,LA ACUTE/ANCILLARY,Y,930000057.0,AHMC GARFIELD MEDICAL CENTER LP,1946-01-01,2019-12-01,2020-11-30,PARTNERSHIP,34.06776,-118.123891,"(-118.123891,34.06776)",106190315.0,525,N GARFIELD AVE,19,LOS ANGELES,6037,YES,,,,
930000059,ADVENTIST HEALTH GLENDALE,GENERAL ACUTE CARE HOSPITAL,42.0,LOS ANGELES,291,1831188275,GACH,NON-LTC,415,1509 WILSON TER,GLENDALE,91206,4007.0,"ISSAI, ALICE H",ISSAIAH@AH.ORG,(818) 863-4996,(818) 409-8000,200,93,LA ACUTE/ANCILLARY,Y,930000059.0,GLENDALE ADVENTIST MEDICAL CENTER,1946-01-01,2019-06-01,2020-05-31,NONPROFIT CORP,34.15112,-118.230061,"(-118.230061,34.15112)",106190323.0,1509,WILSON TER,19,LOS ANGELES,6037,YES,,,,
930000062,GREATER EL MONTE COMMUNITY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,5.0,LOS ANGELES,59,1346232881,GACH,NON-LTC,104,1701 SANTA ANITA AVE,SOUTH EL MONTE,91733,3411.0,"TOY, STANLEY",INEZ.ENGUIEADANOS@AHMCHEALTH.COM,(626) 246-1664,(626) 579-7777,200,93,LA ACUTE/ANCILLARY,Y,930000063.0,AHMC GREATER EL MONTE COMMUNITY HOSPITAL L.P.,1974-07-01,2019-12-01,2020-11-30,PARTNERSHIP,34.04819,-118.043401,"(-118.043401,34.04819)",106190352.0,1701,SANTA ANITA AVE,19,LOS ANGELES,6037,YES,,,,
930000063,HENRY MAYO NEWHALL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,12.0,LOS ANGELES,242,1780668434,GACH,NON-LTC,334,23845 MCBEAN PKWY,VALENCIA,91355,2001.0,"SEAVER, ROGER",MILLERJS@HENRYMAYO.COM,(661) 200-1033,(661) 200-2000,200,93,LA ACUTE/ANCILLARY,Y,930000206.0,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,1975-07-30,2019-11-30,2020-11-29,NONPROFIT CORP,34.3977,-118.554131,"(-118.554131,34.3977)",106190949.0,23845,MCBEAN PKWY,19,LOS ANGELES,6037,YES,,LEVEL II,,
930000064,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,GENERAL ACUTE CARE HOSPITAL,5.0,LOS ANGELES,92,1245224732,GACH,NON-LTC,100,6245 DE LONGPRE AVE,LOS ANGELES,90028,8253.0,"GRIMSHAW, BRUCE",,(323) 261-0809,(323) 462-2271,200,93,LA ACUTE/ANCILLARY,Y,930000066.0,"SOUTHERN CALIFORNIA HEALTHCARE SYSTEM, INC.",1963-02-08,2020-02-25,2021-02-24,PROFIT CORP,34.09648,-118.325331,"(-118.325331,34.09648)",106190380.0,6245,DE LONGPRE AVE,19,LOS ANGELES,6037,,,,,
930000065,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,28.0,LOS ANGELES,221,1922033547,GACH,NON-LTC,345,1300 N VERMONT AVE,LOS ANGELES,90027,6005.0,"ALLEN, ROBERT",ROBERT.ALLEN@HPMEDCENTER.COM,(323) 667-0354,(213) 413-3000,200,93,LA ACUTE/ANCILLARY,Y,930000067.0,"CHA HOLLYWOOD MEDICAL CENTER, L.P.",1946-01-01,2020-01-01,2020-12-31,PARTNERSHIP,34.09645,-118.290541,"(-118.290541,34.09645)",106190382.0,1300,N VERMONT AVE,19,LOS ANGELES,6037,YES,,,,
930000066,PROVIDENCE HOLY CROSS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,12.0,LOS ANGELES,245,1477587632,GACH,NON-LTC,329,15031 RINALDI ST,MISSION HILLS,91345,1207.0,"KLEIN, BERNARD",,(818) 496-4569,(818) 365-8051,200,93,LA ACUTE/ANCILLARY,Y,930000404.0,PROVIDENCE HEALTH SYSTEM - SOUTHERN CALIFORNIA,,2020-05-01,2021-04-30,NONPROFIT CORP,34.27952,-118.459781,"(-118.459781,34.27952)",106190385.0,15031,RINALDI ST,19,LOS ANGELES,6037,YES,,LEVEL II,,
