Subject,CatalogNo,Name,GE,MedianA,TotClasses,ClassSize
HIST,10B,AFRICA 1800-PRESENT,Society and Culture-Historical Analysis,0.77,3,137
HIST,11A,HIST-CHINA TO 1000,Society and Culture-Historical Analysis,0.33,4,74
HIST,11B,HIS-CHINA-1000-1950,Society and Culture-Historical Analysis,0.27,3,55
HIST,13A,US&COLONIAL ORIGINS,Society and Culture-Historical Analysis,0.36,4,124
HIST,13B,US&COLONL ORGNS-19C,Society and Culture-Historical Analysis,0.51,3,143
HIST,13C,US&COLONL ORGNS-20C,Society and Culture-Historical Analysis,0.57,6,116
HIST,20,WRLD HIST TO AD 600,Society and Culture-Historical Analysis,0.5,7,64
HIST,21,WORLD HIST 600-1760,Society and Culture-Historical Analysis,0.43,3,22
HIST,22,WRLD HIST 1760-PRES,Society and Culture-Historical Analysis,0.53,3,103
HNRS,70A,GEN ENGR-MED&AG&LAW,Scientific Inquiry-Life Sciences,0.71,3,29
I A STD,1,INTL & AREA STUDIES,Society and Culture-Social Analysis,0.29,7,73
I A STD,31,INTR-SOUTHEAST ASIA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.71,4,33
I A STD,33,INTRO TO EAST ASIA,Society and Culture-Historical Analysis,0.38,4,35
I A STD,50,INTRO-LATIN AMERICA,Society and Culture-Historical Analysis,0.52,3,39
INF STD,10,INFORMATION&POWER,Society and Culture-Social Analysis,0.72,3,25
INF STD,20,INTRO-INFO STUDIES,Society and Culture-Social Analysis,0.32,4,14
INF STD,30,INTERNET & SOCIETY,Society and Culture-Social Analysis,0.84,8,36
ITALIAN,42A,EARLY MODERN ITALY,Society and Culture-Historical Analysis,0.78,5,93
ITALIAN,42B,MODERN&CONTMP ITALY,Society and Culture-Historical Analysis,0.5,2,87
ITALIAN,42C,ITALIAN FOOD & LIT,Arts and Humanities-Literary and Cultural Analysis,0.36,3,50
ITALIAN,46,ITAL CINEMA&CULTURE,Arts and Humanities-Literary and Cultural Analysis,0.5,9,61
ITALIAN,50A,LIT-MID AGES-BAROQE,Arts and Humanities-Literary and Cultural Analysis,0.73,1,15
ITALIAN,50B,LIT-ENLGHT-MODERNTY,Arts and Humanities-Literary and Cultural Analysis,0.41,1,29
JAPAN,50,JAPANESE CIVILIZATN,Arts and Humanities-Literary and Cultural Analysis,0.58,10,126
JAPAN,70,IMAGES OF JAPAN,Arts and Humanities-Literary and Cultural Analysis,0.71,7,83
JEWISH,175,MDRN ISRL LIT-FILMS,Arts and Humanities-Literary and Cultural Analysis,0.55,3,19
KOREA,40,KOREAN POP CULTURE,Society and Culture-Social Analysis,0.73,6,30
KOREA,50,HIST KOREAN CIV,Society and Culture-Historical Analysis,0.44,1,25
KOREA,50,KOREAN CIVILIZATION,Society and Culture-Historical Analysis,0.43,5,141
LIFESCI,1,EVOLUTN&ECOL&BIODIV,Scientific Inquiry-Life Sciences,0.25,26,302
LIFESCI,2,CELLS&TISSUES&ORGNS,Scientific Inquiry-Life Sciences,0.22,28,297
LIFESCI,15,LIFE-CONCPTS&ISSUES,Scientific Inquiry-Life Sciences,0.34,10,274
LING,1,INTR-STUDY-LANGUAGE,Scientific Inquiry-Life Sciences,0.47,27,216
LING,20,INTRO LING ANALYSIS,Arts and Humanities-Philosophical and Linguistic Analysis,0.43,9,25
LING,20,INTRO TO LINGUISTCS,Arts and Humanities-Philosophical and Linguistic Analysis,0.28,12,112
M E STD,50A,FIRST CIVILIZATIONS,Society and Culture-Historical Analysis,0.5,2,167
M E STD,50C,MODERN MIDDLE EAST,Arts and Humanities-Literary and Cultural Analysis,0.73,3,35
MCD BIO,40,AIDS&SEXUAL TRANSMT,Scientific Inquiry-Life Sciences,0.5,1,94
MCD BIO,50,STEM CELL BIO&PLTCS,Scientific Inquiry-Life Sciences,0.37,13,97
MCD BIO,60,BIOMEDICAL ETHICS,Arts and Humanities-Philosophical and Linguistic Analysis,0.27,13,101
MCD BIO,70,GENETIC ENGR&SOCTY,Scientific Inquiry-Life Sciences,0.52,2,19
MCD BIO,90,HUMN STEM CELLS&MED,Scientific Inquiry-Life Sciences,0.47,1,13
MUS HST,3,INTRO-CLASSICAL MUS,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.55,1,62
MUS HST,5,HIST-ROCK AND ROLL,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.68,7,290
MUS HST,7,FILM AND MUSIC,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.61,7,51
MUS HST,8,HIST-ELEC DNCE MUSC,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.69,4,61
MUS HST,9,AMERCN POPULAR SONG,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.76,1,118
MUS HST,13,PUNK-HIST&SUBCULTUR,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.8,1,91
MUS HST,60,AMERICAN MUSICAL,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.58,4,82
MUS HST,61,MUSIC-LOS ANGELES,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.84,1,122
MUS HST,62,MOZART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.68,2,50
MUS HST,64,MOTOWN AND SOUL,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.51,3,116
MUS HST,65,BLUES,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.71,2,98
MUS HST,68,BEATLES,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.8,6,192
MUS HST,70,BEETHOVEN,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.5,2,110
MUS HST,71,LISTENING,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.69,2,46
MUS HST,72,SACRED MUSIC,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.86,2,12
MUS HST,94,MUSIC AND INTERNET,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.68,2,118
MUS HST,135A,HISTORY OF OPERA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.35,1,84
MUS HST,135B,HISTORY OF OPERA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.51,1,64
MUS HST,135C,HISTORY OF OPERA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.62,2,44
MUSIC,15,ART OF LISTENING,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.72,3,214
NURSING,3,HUMAN PHYSIOLOGY,Scientific Inquiry-Life Sciences,0.52,5,42
NURSING,13,INTRO-HUMAN ANATOMY,Scientific Inquiry-Life Sciences,0.52,5,38
PHILOS,3,HIST INTRO TO PHIL,Arts and Humanities-Philosophical and Linguistic Analysis,0.32,4,70
PHILOS,4,ANLY-CNTMP MORL ISS,Arts and Humanities-Philosophical and Linguistic Analysis,0.27,1,187
PHILOS,5,PHILOS IN LITERATRE,Arts and Humanities-Philosophical and Linguistic Analysis,0.44,4,199
PHILOS,6,INTRO-POLITICL PHIL,Arts and Humanities-Philosophical and Linguistic Analysis,0.41,6,222
PHILOS,7,INT PHILOSOPHY-MIND,Arts and Humanities-Philosophical and Linguistic Analysis,0.36,12,137
PHILOS,8,INTRO-PHILOS OF SCI,Arts and Humanities-Philosophical and Linguistic Analysis,0.29,7,150
PHILOS,21,SKEPTICSM&RATNALTY,Arts and Humanities-Philosophical and Linguistic Analysis,0.2,4,144
PHILOS,22,INTRO-ETHICAL THRY,Arts and Humanities-Philosophical and Linguistic Analysis,0.41,9,44
PHILOS,22W,INTRO-ETHICAL THRY,Arts and Humanities-Philosophical and Linguistic Analysis,0.33,3,98
PHYSCI,3,INTRO-HUMAN PHYSIOL,Scientific Inquiry-Life Sciences,0.26,3,133
PHYSCI,5,HMN PHYS-DIET&EXRCS,Scientific Inquiry-Life Sciences,0.49,13,385
PHYSCI,7,SCIENCE AND FOOD,Scientific Inquiry-Life Sciences,0.47,3,51
PHYSCI,13,INTRO-HUMAN ANATOMY,Scientific Inquiry-Life Sciences,0.66,3,147
PHYSICS,1A,MECHANICS,Scientific Inquiry-Physical Sciences,0.3,25,174
PHYSICS,1AH,MECHANICS-HONORS,Scientific Inquiry-Physical Sciences,0.92,1,25
PHYSICS,1B,OSCILTNS&WAVES&FLDS,Scientific Inquiry-Physical Sciences,0.3,25,172
PHYSICS,1C,ELECTRODYNMC&OPTICS,Scientific Inquiry-Physical Sciences,0.3,23,157
PHYSICS,6A,PHYSIC-LIFE SCI MAJ,Scientific Inquiry-Physical Sciences,0.32,34,175
PHYSICS,6B,PHYSIC-LIFE SCI MAJ,Scientific Inquiry-Physical Sciences,0.34,32,168
PHYSICS,6C,PHYSIC-LIFE SCI MAJ,Scientific Inquiry-Physical Sciences,0.36,32,170
PHYSICS,10,PHYSICS,Scientific Inquiry-Physical Sciences,0.48,10,136
PHYSICS,11,REVOLUTIONS-PHYSICS,Scientific Inquiry-Physical Sciences,0.43,2,40
POL SCI,10,INTR-POLITCL THEORY,Society and Culture-Social Analysis,0.47,11,269
POL SCI,20,WORLD POLITICS,Society and Culture-Social Analysis,0.41,15,181
POL SCI,40,INTRO-AMERICN PLTCS,Society and Culture-Social Analysis,0.59,17,224
POL SCI,50,INTRO-COMPRTV PLTCS,Society and Culture-Social Analysis,0.3,14,115
