entry_term_cd,entry_year_trailing_summer_7,admit_level,start_major,end_major,end_status,section,headcount
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,DESIGN / MEDIA ARTS                                                                                                     ,DESIGN / MEDIA ARTS                                                                                                     ,Enrolled,Fall 1 to Fall 2,24
18F,2018-19,Freshman,ECONOMICS                                                   ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,FINANCIAL ACTUARIAL MATHEMATICS                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,APPLIED MATHEMATICS                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,FINANCIAL ACTUARIAL MATHEMATICS                             ,Enrolled,Fall 1 to Fall 2,44
18F,2018-19,Freshman,GEOLOGY                                                                                                                 ,GEOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,GEOPHYSICS                                                                                                              ,GEOPHYSICS                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,AEROSPACE ENGINEERING                                                                                                   ,ELECTRICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,MATHEMATICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ART                                                                                                                     ,ART                                                                                                                     ,Enrolled,Fall 1 to Fall 2,46
18F,2018-19,Freshman,ART                                                                                                                     ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,CHICANA AND CHICANO STUDIES                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,16
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,UNDECLARED                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOPHYSICS                                                                                                              ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,PHYSICS                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMICAL ENGINEERING                                                                                                    ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHINESE                                                                                                                 ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,MATHEMATICS/ECONOMICS                                       ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,APPLIED MATHEMATICS                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,CHEMISTRY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,CHEMICAL ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,APPLIED MATHEMATICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,MATHEMATICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,65
18F,2018-19,Freshman,MATHEMATICS OF COMPUTATION                                  ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",ELECTRICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",UNDECLARED-LIFE SCIENCE                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",BIOPHYSICS                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MUSIC EDUCATION                                                                                                         ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MUSIC EDUCATION                                                                                                         ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ANTHROPOLOGY                                                                                                            ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ART                                                                                                                     ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ASIAN AMERICAN STUDIES                                                                                                  ,COMMUNICATION                                                                                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,CHEMISTRY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,BIOCHEMISTRY                                                                                                            ,Enrolled,Fall 1 to Fall 2,15
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CLASSICAL CIVILIZATION                                                                                                  ,CLASSICAL CIVILIZATION                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,FINANCIAL ACTUARIAL MATHEMATICS                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,MECHANICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,CHICANA AND CHICANO STUDIES                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,INTERNATIONAL DEVELOPMENT STUDIES                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,POLITICAL SCIENCE                                                                                                       ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,GLOBAL STUDIES                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",BIOCHEMISTRY                                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ","MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ","MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,INTERNATIONAL DEVELOPMENT STUDIES                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,AEROSPACE ENGINEERING                                                                                                   ,COMPUTER ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ARABIC                                                                                                                  ,ARABIC                                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,HUMAN BIOLOGY AND SOCIETY - BS                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,ENGLISH                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,SOCIOLOGY                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOPHYSICS                                                                                                              ,BIOPHYSICS                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMICAL ENGINEERING                                                                                                    ,CHEMICAL ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,63
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,HISTORY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,MATHEMATICS/ECONOMICS                                       ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,67
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,BIOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,JAPANESE                                                                                                                ,JAPANESE                                                                                                                ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS                                                                                                             ,CHINESE                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,COMMUNICATION                                                                                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MARINE BIOLOGY                                                                                                          ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATERIALS ENGINEERING                                                                                                   ,MATERIALS ENGINEERING                                                                                                   ,Enrolled,Fall 1 to Fall 2,39
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MUSIC EDUCATION                                                                                                         ,MUSIC EDUCATION                                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,14
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,CHICANA AND CHICANO STUDIES                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,ELECTRICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ANTHROPOLOGY-BS                                                                                                         ,MUSICOLOGY                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,SOCIOLOGY                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,LABOR STUDIES                                                                                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,BIOENGINEERING                                                                                                          ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,20
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,BIOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,SOCIOLOGY                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,ENGLISH                                                                                                                 ,Enrolled,Fall 1 to Fall 2,76
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,DATA THEORY                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,HUMAN BIOLOGY AND SOCIETY - BA                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,PHYSIOLOGICAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
