day_of_week,hour,avg_n_people,avg_n_people_rel,category,facility
6.0,22,0.0,0.0,0.0,wooden
6.0,23,0.0,0.0,0.0,wooden
7.0,0,0.0,0.0,0.0,wooden
7.0,1,0.0,0.0,0.0,wooden
7.0,2,0.0,0.0,0.0,wooden
7.0,3,0.0,0.0,0.0,wooden
7.0,4,0.0,0.0,0.0,wooden
7.0,5,0.0,0.0,0.0,wooden
7.0,6,0.0,0.0,0.0,wooden
7.0,7,0.0,0.0,0.0,wooden
7.0,8,0.0,0.0,0.0,wooden
7.0,9,72.0,0.173,1.0,wooden
7.0,10,113.0,0.272,2.0,wooden
7.0,11,98.0,0.236,2.0,wooden
7.0,12,89.0,0.214,2.0,wooden
7.0,13,85.0,0.205,2.0,wooden
7.0,14,100.0,0.241,2.0,wooden
7.0,15,125.0,0.301,2.0,wooden
7.0,16,148.0,0.357,2.0,wooden
7.0,17,136.0,0.328,2.0,wooden
7.0,18,126.0,0.304,2.0,wooden
7.0,19,115.0,0.277,2.0,wooden
7.0,20,109.0,0.263,2.0,wooden
7.0,21,112.0,0.27,2.0,wooden
7.0,22,50.0,0.12,1.0,wooden
7.0,23,0.0,0.0,0.0,wooden
