day_of_week,hour,n_people,n_people_rel,category,facility
6.0,13,51.0,0.34,2.0,bfit
6.0,14,49.0,0.327,2.0,bfit
6.0,15,59.0,0.393,2.0,bfit
6.0,16,78.0,0.52,3.0,bfit
6.0,17,98.0,0.653,4.0,bfit
6.0,18,116.0,0.773,4.0,bfit
6.0,19,103.0,0.687,4.0,bfit
6.0,20,0.0,0.0,0.0,bfit
6.0,21,0.0,0.0,0.0,bfit
6.0,22,0.0,0.0,0.0,bfit
6.0,23,0.0,0.0,0.0,bfit
7.0,0,0.0,0.0,0.0,bfit
7.0,1,0.0,0.0,0.0,bfit
7.0,2,0.0,0.0,0.0,bfit
7.0,3,0.0,0.0,0.0,bfit
7.0,4,0.0,0.0,0.0,bfit
7.0,5,0.0,0.0,0.0,bfit
7.0,6,0.0,0.0,0.0,bfit
7.0,7,0.0,0.0,0.0,bfit
7.0,8,22.0,0.147,1.0,bfit
7.0,9,43.0,0.287,2.0,bfit
7.0,10,58.0,0.387,2.0,bfit
7.0,11,58.0,0.387,2.0,bfit
7.0,12,54.0,0.36,2.0,bfit
7.0,13,45.0,0.3,2.0,bfit
7.0,14,46.0,0.307,2.0,bfit
7.0,15,56.0,0.373,2.0,bfit
7.0,16,71.0,0.473,3.0,bfit
7.0,17,85.0,0.567,3.0,bfit
7.0,18,83.0,0.553,3.0,bfit
7.0,19,68.0,0.453,3.0,bfit
7.0,20,70.0,0.467,3.0,bfit
7.0,21,80.0,0.533,3.0,bfit
7.0,22,80.0,0.533,3.0,bfit
7.0,23,55.0,0.367,2.0,bfit
1.0,0,19.0,0.043,1.0,wooden
1.0,1,0.0,0.0,0.0,wooden
1.0,2,0.0,0.0,0.0,wooden
1.0,3,0.0,0.0,0.0,wooden
1.0,4,0.0,0.0,0.0,wooden
1.0,5,22.0,0.049,1.0,wooden
1.0,6,91.0,0.204,2.0,wooden
1.0,7,127.0,0.285,2.0,wooden
1.0,8,131.0,0.294,2.0,wooden
1.0,9,136.0,0.306,2.0,wooden
1.0,10,157.0,0.353,2.0,wooden
1.0,11,189.0,0.425,3.0,wooden
1.0,12,244.0,0.548,3.0,wooden
1.0,13,192.0,0.431,3.0,wooden
1.0,14,212.0,0.476,3.0,wooden
1.0,15,237.0,0.533,3.0,wooden
1.0,16,308.0,0.692,4.0,wooden
1.0,17,373.0,0.838,4.0,wooden
1.0,18,344.0,0.773,4.0,wooden
1.0,19,304.0,0.683,4.0,wooden
1.0,20,272.0,0.611,4.0,wooden
1.0,21,221.0,0.497,3.0,wooden
1.0,22,168.0,0.378,2.0,wooden
1.0,23,103.0,0.231,2.0,wooden
5.0,0,27.0,0.061,1.0,wooden
5.0,1,0.0,0.0,0.0,wooden
5.0,2,0.0,0.0,0.0,wooden
5.0,3,0.0,0.0,0.0,wooden
5.0,4,0.0,0.0,0.0,wooden
5.0,5,17.0,0.038,1.0,wooden
5.0,6,75.0,0.169,1.0,wooden
5.0,7,104.0,0.234,2.0,wooden
5.0,8,120.0,0.27,2.0,wooden
5.0,9,124.0,0.279,2.0,wooden
5.0,10,147.0,0.33,2.0,wooden
5.0,11,183.0,0.411,3.0,wooden
5.0,12,254.0,0.571,3.0,wooden
5.0,13,252.0,0.566,3.0,wooden
5.0,14,242.0,0.544,3.0,wooden
5.0,15,261.0,0.587,3.0,wooden
5.0,16,297.0,0.667,4.0,wooden
5.0,17,290.0,0.652,4.0,wooden
5.0,18,231.0,0.519,3.0,wooden
5.0,19,183.0,0.411,3.0,wooden
5.0,20,149.0,0.335,2.0,wooden
5.0,21,67.0,0.151,1.0,wooden
5.0,22,0.0,0.0,0.0,wooden
5.0,23,0.0,0.0,0.0,wooden
6.0,0,0.0,0.0,0.0,wooden
6.0,1,0.0,0.0,0.0,wooden
6.0,2,0.0,0.0,0.0,wooden
6.0,3,0.0,0.0,0.0,wooden
6.0,4,0.0,0.0,0.0,wooden
6.0,5,0.0,0.0,0.0,wooden
6.0,6,0.0,0.0,0.0,wooden
6.0,7,0.0,0.0,0.0,wooden
6.0,8,0.0,0.0,0.0,wooden
6.0,9,108.0,0.243,2.0,wooden
6.0,10,134.0,0.301,2.0,wooden
6.0,11,123.0,0.276,2.0,wooden
6.0,12,118.0,0.265,2.0,wooden
6.0,13,111.0,0.249,2.0,wooden
6.0,14,124.0,0.279,2.0,wooden
6.0,15,131.0,0.294,2.0,wooden
6.0,16,144.0,0.324,2.0,wooden
6.0,17,162.0,0.364,2.0,wooden
6.0,18,149.0,0.335,2.0,wooden
6.0,19,61.0,0.137,1.0,wooden
6.0,20,0.0,0.0,0.0,wooden
6.0,21,0.0,0.0,0.0,wooden
6.0,22,0.0,0.0,0.0,wooden
6.0,23,0.0,0.0,0.0,wooden
7.0,0,0.0,0.0,0.0,wooden
7.0,1,0.0,0.0,0.0,wooden
7.0,2,0.0,0.0,0.0,wooden
7.0,3,0.0,0.0,0.0,wooden
7.0,4,0.0,0.0,0.0,wooden
7.0,5,0.0,0.0,0.0,wooden
7.0,6,0.0,0.0,0.0,wooden
7.0,7,0.0,0.0,0.0,wooden
7.0,8,0.0,0.0,0.0,wooden
7.0,9,83.0,0.187,1.0,wooden
7.0,10,116.0,0.261,2.0,wooden
7.0,11,100.0,0.225,2.0,wooden
7.0,12,89.0,0.2,1.0,wooden
7.0,13,87.0,0.196,1.0,wooden
7.0,14,101.0,0.227,2.0,wooden
7.0,15,126.0,0.283,2.0,wooden
7.0,16,147.0,0.33,2.0,wooden
7.0,17,135.0,0.303,2.0,wooden
7.0,18,123.0,0.276,2.0,wooden
7.0,19,113.0,0.254,2.0,wooden
7.0,20,102.0,0.229,2.0,wooden
7.0,21,107.0,0.24,2.0,wooden
7.0,22,43.0,0.097,1.0,wooden
7.0,23,0.0,0.0,0.0,wooden
