day_of_week,hour,avg_n_people,avg_n_people_rel,category,is_open,facility
1.0,23,125.0,0.2717,2.0,open,wooden
2.0,0,37.0,0.0804,1.0,open,wooden
2.0,1,0.0,0.0,0.0,closed,wooden
2.0,2,0.0,0.0,0.0,closed,wooden
2.0,3,0.0,0.0,0.0,closed,wooden
2.0,4,0.0,0.0,0.0,closed,wooden
2.0,5,57.0,0.1239,1.0,open,wooden
2.0,6,96.0,0.2087,2.0,open,wooden
2.0,7,134.0,0.2913,2.0,open,wooden
2.0,8,146.0,0.3174,3.0,open,wooden
2.0,9,155.0,0.337,3.0,open,wooden
2.0,10,168.0,0.3652,3.0,open,wooden
2.0,11,206.0,0.4478,3.0,open,wooden
2.0,12,257.0,0.5587,4.0,open,wooden
2.0,13,212.0,0.4609,4.0,open,wooden
2.0,14,227.0,0.4935,4.0,open,wooden
2.0,15,248.0,0.5391,4.0,open,wooden
2.0,16,339.0,0.737,5.0,open,wooden
2.0,17,408.0,0.887,5.0,open,wooden
2.0,18,388.0,0.8435,5.0,open,wooden
2.0,19,326.0,0.7087,5.0,open,wooden
2.0,20,305.0,0.663,5.0,open,wooden
2.0,21,264.0,0.5739,4.0,open,wooden
2.0,22,188.0,0.4087,3.0,open,wooden
2.0,23,114.0,0.2478,2.0,open,wooden
3.0,0,33.0,0.0717,1.0,open,wooden
3.0,1,0.0,0.0,0.0,closed,wooden
3.0,2,0.0,0.0,0.0,closed,wooden
3.0,3,0.0,0.0,0.0,closed,wooden
3.0,4,0.0,0.0,0.0,closed,wooden
3.0,5,54.0,0.1174,1.0,open,wooden
3.0,6,100.0,0.2174,2.0,open,wooden
3.0,7,148.0,0.3217,3.0,open,wooden
3.0,8,149.0,0.3239,3.0,open,wooden
3.0,9,150.0,0.3261,3.0,open,wooden
3.0,10,172.0,0.3739,3.0,open,wooden
3.0,11,188.0,0.4087,3.0,open,wooden
3.0,12,265.0,0.5761,4.0,open,wooden
3.0,13,200.0,0.4348,3.0,open,wooden
3.0,14,216.0,0.4696,4.0,open,wooden
3.0,15,238.0,0.5174,4.0,open,wooden
3.0,16,296.0,0.6435,5.0,open,wooden
3.0,17,401.0,0.8717,5.0,open,wooden
3.0,18,370.0,0.8043,5.0,open,wooden
3.0,19,325.0,0.7065,5.0,open,wooden
3.0,20,287.0,0.6239,5.0,open,wooden
3.0,21,231.0,0.5022,4.0,open,wooden
3.0,22,186.0,0.4043,3.0,open,wooden
3.0,23,117.0,0.2543,2.0,open,wooden
4.0,0,34.0,0.0739,1.0,open,wooden
4.0,1,0.0,0.0,0.0,closed,wooden
4.0,2,0.0,0.0,0.0,closed,wooden
4.0,3,0.0,0.0,0.0,closed,wooden
4.0,4,0.0,0.0,0.0,closed,wooden
4.0,5,50.0,0.1087,1.0,open,wooden
4.0,6,80.0,0.1739,2.0,open,wooden
4.0,7,118.0,0.2565,2.0,open,wooden
4.0,8,128.0,0.2783,2.0,open,wooden
4.0,9,135.0,0.2935,2.0,open,wooden
4.0,10,154.0,0.3348,3.0,open,wooden
4.0,11,198.0,0.4304,3.0,open,wooden
4.0,12,245.0,0.5326,4.0,open,wooden
4.0,13,205.0,0.4457,3.0,open,wooden
4.0,14,233.0,0.5065,4.0,open,wooden
4.0,15,262.0,0.5696,4.0,open,wooden
4.0,16,324.0,0.7043,5.0,open,wooden
4.0,17,350.0,0.7609,5.0,open,wooden
4.0,18,354.0,0.7696,5.0,open,wooden
4.0,19,319.0,0.6935,5.0,open,wooden
4.0,20,270.0,0.587,4.0,open,wooden
4.0,21,220.0,0.4783,4.0,open,wooden
4.0,22,160.0,0.3478,3.0,open,wooden
4.0,23,95.0,0.2065,2.0,open,wooden
5.0,0,30.0,0.0652,1.0,open,wooden
5.0,1,0.0,0.0,0.0,closed,wooden
5.0,2,0.0,0.0,0.0,closed,wooden
5.0,3,0.0,0.0,0.0,closed,wooden
5.0,4,0.0,0.0,0.0,closed,wooden
5.0,5,44.0,0.0957,1.0,open,wooden
5.0,6,78.0,0.1696,2.0,open,wooden
5.0,7,106.0,0.2304,2.0,open,wooden
5.0,8,128.0,0.2783,2.0,open,wooden
5.0,9,128.0,0.2783,2.0,open,wooden
5.0,10,156.0,0.3391,3.0,open,wooden
5.0,11,197.0,0.4283,3.0,open,wooden
5.0,12,267.0,0.5804,4.0,open,wooden
5.0,13,266.0,0.5783,4.0,open,wooden
5.0,14,259.0,0.563,4.0,open,wooden
5.0,15,280.0,0.6087,5.0,open,wooden
5.0,16,318.0,0.6913,5.0,open,wooden
5.0,17,316.0,0.687,5.0,open,wooden
5.0,18,259.0,0.563,4.0,open,wooden
5.0,19,200.0,0.4348,3.0,open,wooden
5.0,20,161.0,0.35,3.0,open,wooden
5.0,21,82.0,0.1783,2.0,open,wooden
5.0,22,0.0,0.0,0.0,closed,wooden
5.0,23,0.0,0.0,0.0,closed,wooden
6.0,0,2.0,0.0043,1.0,open,wooden
6.0,1,0.0,0.0,0.0,closed,wooden
6.0,2,0.0,0.0,0.0,closed,wooden
6.0,3,0.0,0.0,0.0,closed,wooden
6.0,4,0.0,0.0,0.0,closed,wooden
6.0,5,0.0,0.0,0.0,closed,wooden
6.0,6,0.0,0.0,0.0,closed,wooden
6.0,7,0.0,0.0,0.0,closed,wooden
6.0,8,0.0,0.0,0.0,closed,wooden
6.0,9,106.0,0.2304,2.0,open,wooden
6.0,10,139.0,0.3022,3.0,open,wooden
6.0,11,127.0,0.2761,2.0,open,wooden
6.0,12,124.0,0.2696,2.0,open,wooden
6.0,13,121.0,0.263,2.0,open,wooden
6.0,14,132.0,0.287,2.0,open,wooden
6.0,15,142.0,0.3087,3.0,open,wooden
6.0,16,156.0,0.3391,3.0,open,wooden
6.0,17,177.0,0.3848,3.0,open,wooden
6.0,18,166.0,0.3609,3.0,open,wooden
6.0,19,77.0,0.1674,2.0,open,wooden
6.0,20,0.0,0.0,0.0,closed,wooden
6.0,21,0.0,0.0,0.0,closed,wooden
6.0,22,0.0,0.0,0.0,closed,wooden
6.0,23,0.0,0.0,0.0,closed,wooden
7.0,0,0.0,0.0,0.0,closed,wooden
7.0,1,0.0,0.0,0.0,closed,wooden
7.0,2,0.0,0.0,0.0,closed,wooden
7.0,3,0.0,0.0,0.0,closed,wooden
7.0,4,0.0,0.0,0.0,closed,wooden
7.0,5,0.0,0.0,0.0,closed,wooden
7.0,6,0.0,0.0,0.0,closed,wooden
7.0,7,0.0,0.0,0.0,closed,wooden
7.0,8,0.0,0.0,0.0,closed,wooden
7.0,9,81.0,0.1761,2.0,open,wooden
7.0,10,126.0,0.2739,2.0,open,wooden
7.0,11,109.0,0.237,2.0,open,wooden
7.0,12,96.0,0.2087,2.0,open,wooden
7.0,13,93.0,0.2022,2.0,open,wooden
7.0,14,104.0,0.2261,2.0,open,wooden
7.0,15,134.0,0.2913,2.0,open,wooden
7.0,16,157.0,0.3413,3.0,open,wooden
7.0,17,147.0,0.3196,3.0,open,wooden
7.0,18,137.0,0.2978,2.0,open,wooden
7.0,19,130.0,0.2826,2.0,open,wooden
7.0,20,120.0,0.2609,2.0,open,wooden
7.0,21,118.0,0.2565,2.0,open,wooden
7.0,22,54.0,0.1174,1.0,open,wooden
7.0,23,0.0,0.0,0.0,closed,wooden
