hour,minute,n_people,week,day,facility,n_people_rel
16,40,346.0,Weeks 1 to 3,Monday to Thursday,wooden,0.778
16,50,383.0,Weeks 1 to 3,Monday to Thursday,wooden,0.861
17,0,421.0,Weeks 1 to 3,Monday to Thursday,wooden,0.946
17,10,442.0,Weeks 1 to 3,Monday to Thursday,wooden,0.993
17,20,445.0,Weeks 1 to 3,Monday to Thursday,wooden,1.0
17,30,431.0,Weeks 1 to 3,Monday to Thursday,wooden,0.969
17,40,412.0,Weeks 1 to 3,Monday to Thursday,wooden,0.926
17,50,413.0,Weeks 1 to 3,Monday to Thursday,wooden,0.928
18,0,418.0,Weeks 1 to 3,Monday to Thursday,wooden,0.939
18,10,410.0,Weeks 1 to 3,Monday to Thursday,wooden,0.921
18,20,410.0,Weeks 1 to 3,Monday to Thursday,wooden,0.921
18,30,387.0,Weeks 1 to 3,Monday to Thursday,wooden,0.87
18,40,368.0,Weeks 1 to 3,Monday to Thursday,wooden,0.827
18,50,358.0,Weeks 1 to 3,Monday to Thursday,wooden,0.804
19,0,352.0,Weeks 1 to 3,Monday to Thursday,wooden,0.791
19,10,348.0,Weeks 1 to 3,Monday to Thursday,wooden,0.782
19,20,342.0,Weeks 1 to 3,Monday to Thursday,wooden,0.769
19,30,345.0,Weeks 1 to 3,Monday to Thursday,wooden,0.775
19,40,338.0,Weeks 1 to 3,Monday to Thursday,wooden,0.76
19,50,341.0,Weeks 1 to 3,Monday to Thursday,wooden,0.766
20,0,340.0,Weeks 1 to 3,Monday to Thursday,wooden,0.764
20,10,330.0,Weeks 1 to 3,Monday to Thursday,wooden,0.742
20,20,321.0,Weeks 1 to 3,Monday to Thursday,wooden,0.721
20,30,307.0,Weeks 1 to 3,Monday to Thursday,wooden,0.69
20,40,293.0,Weeks 1 to 3,Monday to Thursday,wooden,0.658
20,50,283.0,Weeks 1 to 3,Monday to Thursday,wooden,0.636
21,0,280.0,Weeks 1 to 3,Monday to Thursday,wooden,0.629
21,10,274.0,Weeks 1 to 3,Monday to Thursday,wooden,0.616
21,20,269.0,Weeks 1 to 3,Monday to Thursday,wooden,0.604
21,30,258.0,Weeks 1 to 3,Monday to Thursday,wooden,0.58
21,40,246.0,Weeks 1 to 3,Monday to Thursday,wooden,0.553
21,50,232.0,Weeks 1 to 3,Monday to Thursday,wooden,0.521
22,0,217.0,Weeks 1 to 3,Monday to Thursday,wooden,0.488
22,10,207.0,Weeks 1 to 3,Monday to Thursday,wooden,0.465
22,20,201.0,Weeks 1 to 3,Monday to Thursday,wooden,0.452
22,30,189.0,Weeks 1 to 3,Monday to Thursday,wooden,0.425
22,40,174.0,Weeks 1 to 3,Monday to Thursday,wooden,0.391
22,50,159.0,Weeks 1 to 3,Monday to Thursday,wooden,0.357
23,0,142.0,Weeks 1 to 3,Monday to Thursday,wooden,0.319
23,10,129.0,Weeks 1 to 3,Monday to Thursday,wooden,0.29
23,20,115.0,Weeks 1 to 3,Monday to Thursday,wooden,0.258
23,30,102.0,Weeks 1 to 3,Monday to Thursday,wooden,0.229
23,40,87.0,Weeks 1 to 3,Monday to Thursday,wooden,0.196
23,50,77.0,Weeks 1 to 3,Monday to Thursday,wooden,0.173
0,0,55.0,Weeks 1 to 3,Friday,wooden,0.124
0,10,41.0,Weeks 1 to 3,Friday,wooden,0.092
0,20,30.0,Weeks 1 to 3,Friday,wooden,0.067
0,30,21.0,Weeks 1 to 3,Friday,wooden,0.047
0,40,16.0,Weeks 1 to 3,Friday,wooden,0.036
0,50,9.0,Weeks 1 to 3,Friday,wooden,0.02
1,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
1,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
1,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
1,30,0.0,Weeks 1 to 3,Friday,wooden,0.0
1,40,0.0,Weeks 1 to 3,Friday,wooden,0.0
1,50,0.0,Weeks 1 to 3,Friday,wooden,0.0
2,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
2,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
2,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
2,30,0.0,Weeks 1 to 3,Friday,wooden,0.0
2,40,0.0,Weeks 1 to 3,Friday,wooden,0.0
2,50,0.0,Weeks 1 to 3,Friday,wooden,0.0
3,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
3,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
3,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
3,30,0.0,Weeks 1 to 3,Friday,wooden,0.0
3,40,0.0,Weeks 1 to 3,Friday,wooden,0.0
3,50,0.0,Weeks 1 to 3,Friday,wooden,0.0
4,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
4,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
4,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
4,30,0.0,Weeks 1 to 3,Friday,wooden,0.0
4,40,0.0,Weeks 1 to 3,Friday,wooden,0.0
4,50,0.0,Weeks 1 to 3,Friday,wooden,0.0
5,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
5,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
5,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
5,30,33.0,Weeks 1 to 3,Friday,wooden,0.074
5,40,47.0,Weeks 1 to 3,Friday,wooden,0.106
5,50,58.0,Weeks 1 to 3,Friday,wooden,0.13
6,0,70.0,Weeks 1 to 3,Friday,wooden,0.157
6,10,82.0,Weeks 1 to 3,Friday,wooden,0.184
6,20,90.0,Weeks 1 to 3,Friday,wooden,0.202
6,30,85.0,Weeks 1 to 3,Friday,wooden,0.191
6,40,84.0,Weeks 1 to 3,Friday,wooden,0.189
6,50,84.0,Weeks 1 to 3,Friday,wooden,0.189
7,0,96.0,Weeks 1 to 3,Friday,wooden,0.216
7,10,104.0,Weeks 1 to 3,Friday,wooden,0.234
7,20,113.0,Weeks 1 to 3,Friday,wooden,0.254
7,30,119.0,Weeks 1 to 3,Friday,wooden,0.267
7,40,117.0,Weeks 1 to 3,Friday,wooden,0.263
7,50,122.0,Weeks 1 to 3,Friday,wooden,0.274
8,0,128.0,Weeks 1 to 3,Friday,wooden,0.288
8,10,129.0,Weeks 1 to 3,Friday,wooden,0.29
8,20,123.0,Weeks 1 to 3,Friday,wooden,0.276
8,30,115.0,Weeks 1 to 3,Friday,wooden,0.258
8,40,111.0,Weeks 1 to 3,Friday,wooden,0.249
8,50,122.0,Weeks 1 to 3,Friday,wooden,0.274
9,0,126.0,Weeks 1 to 3,Friday,wooden,0.283
9,10,127.0,Weeks 1 to 3,Friday,wooden,0.285
9,20,132.0,Weeks 1 to 3,Friday,wooden,0.297
9,30,133.0,Weeks 1 to 3,Friday,wooden,0.299
9,40,131.0,Weeks 1 to 3,Friday,wooden,0.294
9,50,152.0,Weeks 1 to 3,Friday,wooden,0.342
10,0,170.0,Weeks 1 to 3,Friday,wooden,0.382
10,10,171.0,Weeks 1 to 3,Friday,wooden,0.384
10,20,168.0,Weeks 1 to 3,Friday,wooden,0.378
10,30,168.0,Weeks 1 to 3,Friday,wooden,0.378
10,40,162.0,Weeks 1 to 3,Friday,wooden,0.364
10,50,177.0,Weeks 1 to 3,Friday,wooden,0.398
11,0,198.0,Weeks 1 to 3,Friday,wooden,0.445
11,10,194.0,Weeks 1 to 3,Friday,wooden,0.436
11,20,189.0,Weeks 1 to 3,Friday,wooden,0.425
11,30,194.0,Weeks 1 to 3,Friday,wooden,0.436
11,40,211.0,Weeks 1 to 3,Friday,wooden,0.474
11,50,265.0,Weeks 1 to 3,Friday,wooden,0.596
12,0,308.0,Weeks 1 to 3,Friday,wooden,0.692
12,10,311.0,Weeks 1 to 3,Friday,wooden,0.699
12,20,300.0,Weeks 1 to 3,Friday,wooden,0.674
12,30,273.0,Weeks 1 to 3,Friday,wooden,0.613
12,40,248.0,Weeks 1 to 3,Friday,wooden,0.557
12,50,246.0,Weeks 1 to 3,Friday,wooden,0.553
13,0,266.0,Weeks 1 to 3,Friday,wooden,0.598
13,10,267.0,Weeks 1 to 3,Friday,wooden,0.6
13,20,275.0,Weeks 1 to 3,Friday,wooden,0.618
13,30,275.0,Weeks 1 to 3,Friday,wooden,0.618
13,40,269.0,Weeks 1 to 3,Friday,wooden,0.604
13,50,280.0,Weeks 1 to 3,Friday,wooden,0.629
14,0,283.0,Weeks 1 to 3,Friday,wooden,0.636
14,10,267.0,Weeks 1 to 3,Friday,wooden,0.6
14,20,258.0,Weeks 1 to 3,Friday,wooden,0.58
14,30,242.0,Weeks 1 to 3,Friday,wooden,0.544
14,40,233.0,Weeks 1 to 3,Friday,wooden,0.524
14,50,252.0,Weeks 1 to 3,Friday,wooden,0.566
15,0,281.0,Weeks 1 to 3,Friday,wooden,0.631
15,10,284.0,Weeks 1 to 3,Friday,wooden,0.638
15,20,277.0,Weeks 1 to 3,Friday,wooden,0.622
15,30,282.0,Weeks 1 to 3,Friday,wooden,0.634
15,40,288.0,Weeks 1 to 3,Friday,wooden,0.647
15,50,305.0,Weeks 1 to 3,Friday,wooden,0.685
16,0,325.0,Weeks 1 to 3,Friday,wooden,0.73
16,10,334.0,Weeks 1 to 3,Friday,wooden,0.751
16,20,350.0,Weeks 1 to 3,Friday,wooden,0.787
16,30,348.0,Weeks 1 to 3,Friday,wooden,0.782
16,40,339.0,Weeks 1 to 3,Friday,wooden,0.762
16,50,339.0,Weeks 1 to 3,Friday,wooden,0.762
17,0,344.0,Weeks 1 to 3,Friday,wooden,0.773
17,10,349.0,Weeks 1 to 3,Friday,wooden,0.784
17,20,340.0,Weeks 1 to 3,Friday,wooden,0.764
17,30,329.0,Weeks 1 to 3,Friday,wooden,0.739
17,40,312.0,Weeks 1 to 3,Friday,wooden,0.701
17,50,296.0,Weeks 1 to 3,Friday,wooden,0.665
18,0,291.0,Weeks 1 to 3,Friday,wooden,0.654
18,10,273.0,Weeks 1 to 3,Friday,wooden,0.613
18,20,258.0,Weeks 1 to 3,Friday,wooden,0.58
18,30,238.0,Weeks 1 to 3,Friday,wooden,0.535
18,40,222.0,Weeks 1 to 3,Friday,wooden,0.499
18,50,214.0,Weeks 1 to 3,Friday,wooden,0.481
19,0,215.0,Weeks 1 to 3,Friday,wooden,0.483
19,10,211.0,Weeks 1 to 3,Friday,wooden,0.474
19,20,205.0,Weeks 1 to 3,Friday,wooden,0.461
19,30,197.0,Weeks 1 to 3,Friday,wooden,0.443
19,40,189.0,Weeks 1 to 3,Friday,wooden,0.425
19,50,193.0,Weeks 1 to 3,Friday,wooden,0.434
20,0,186.0,Weeks 1 to 3,Friday,wooden,0.418
20,10,170.0,Weeks 1 to 3,Friday,wooden,0.382
20,20,164.0,Weeks 1 to 3,Friday,wooden,0.369
20,30,164.0,Weeks 1 to 3,Friday,wooden,0.369
20,40,160.0,Weeks 1 to 3,Friday,wooden,0.36
20,50,162.0,Weeks 1 to 3,Friday,wooden,0.364
21,0,136.0,Weeks 1 to 3,Friday,wooden,0.306
21,10,107.0,Weeks 1 to 3,Friday,wooden,0.24
21,20,84.0,Weeks 1 to 3,Friday,wooden,0.189
21,30,62.0,Weeks 1 to 3,Friday,wooden,0.139
21,40,42.0,Weeks 1 to 3,Friday,wooden,0.094
21,50,29.0,Weeks 1 to 3,Friday,wooden,0.065
22,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
22,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
22,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
22,30,0.0,Weeks 1 to 3,Friday,wooden,0.0
22,40,0.0,Weeks 1 to 3,Friday,wooden,0.0
22,50,0.0,Weeks 1 to 3,Friday,wooden,0.0
23,0,0.0,Weeks 1 to 3,Friday,wooden,0.0
23,10,0.0,Weeks 1 to 3,Friday,wooden,0.0
23,20,0.0,Weeks 1 to 3,Friday,wooden,0.0
23,30,0.0,Weeks 1 to 3,Friday,wooden,0.0
23,40,0.0,Weeks 1 to 3,Friday,wooden,0.0
23,50,0.0,Weeks 1 to 3,Friday,wooden,0.0
0,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
0,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
0,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
0,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
0,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
0,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
1,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
1,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
1,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
1,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
1,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
1,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
2,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
2,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
2,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
2,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
2,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
2,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
3,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
3,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
3,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
3,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
3,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
3,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
4,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
4,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
4,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
4,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
4,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
4,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
5,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
5,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
5,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
5,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
5,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
5,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
6,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
6,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
6,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
6,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
6,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
6,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
7,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
7,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
7,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
7,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
7,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
7,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
8,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
8,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
8,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
8,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
8,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
8,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
9,0,68.0,Weeks 1 to 3,Saturday,wooden,0.153
9,10,92.0,Weeks 1 to 3,Saturday,wooden,0.207
9,20,116.0,Weeks 1 to 3,Saturday,wooden,0.261
9,30,135.0,Weeks 1 to 3,Saturday,wooden,0.303
9,40,148.0,Weeks 1 to 3,Saturday,wooden,0.333
9,50,158.0,Weeks 1 to 3,Saturday,wooden,0.355
10,0,156.0,Weeks 1 to 3,Saturday,wooden,0.351
10,10,152.0,Weeks 1 to 3,Saturday,wooden,0.342
10,20,150.0,Weeks 1 to 3,Saturday,wooden,0.337
10,30,142.0,Weeks 1 to 3,Saturday,wooden,0.319
10,40,135.0,Weeks 1 to 3,Saturday,wooden,0.303
10,50,133.0,Weeks 1 to 3,Saturday,wooden,0.299
11,0,137.0,Weeks 1 to 3,Saturday,wooden,0.308
11,10,140.0,Weeks 1 to 3,Saturday,wooden,0.315
11,20,144.0,Weeks 1 to 3,Saturday,wooden,0.324
11,30,137.0,Weeks 1 to 3,Saturday,wooden,0.308
11,40,137.0,Weeks 1 to 3,Saturday,wooden,0.308
11,50,140.0,Weeks 1 to 3,Saturday,wooden,0.315
12,0,136.0,Weeks 1 to 3,Saturday,wooden,0.306
12,10,136.0,Weeks 1 to 3,Saturday,wooden,0.306
12,20,131.0,Weeks 1 to 3,Saturday,wooden,0.294
12,30,125.0,Weeks 1 to 3,Saturday,wooden,0.281
12,40,117.0,Weeks 1 to 3,Saturday,wooden,0.263
12,50,113.0,Weeks 1 to 3,Saturday,wooden,0.254
13,0,111.0,Weeks 1 to 3,Saturday,wooden,0.249
13,10,113.0,Weeks 1 to 3,Saturday,wooden,0.254
13,20,113.0,Weeks 1 to 3,Saturday,wooden,0.254
13,30,117.0,Weeks 1 to 3,Saturday,wooden,0.263
13,40,120.0,Weeks 1 to 3,Saturday,wooden,0.27
13,50,129.0,Weeks 1 to 3,Saturday,wooden,0.29
14,0,135.0,Weeks 1 to 3,Saturday,wooden,0.303
14,10,139.0,Weeks 1 to 3,Saturday,wooden,0.312
14,20,139.0,Weeks 1 to 3,Saturday,wooden,0.312
14,30,140.0,Weeks 1 to 3,Saturday,wooden,0.315
14,40,137.0,Weeks 1 to 3,Saturday,wooden,0.308
14,50,137.0,Weeks 1 to 3,Saturday,wooden,0.308
15,0,143.0,Weeks 1 to 3,Saturday,wooden,0.321
15,10,146.0,Weeks 1 to 3,Saturday,wooden,0.328
15,20,146.0,Weeks 1 to 3,Saturday,wooden,0.328
15,30,143.0,Weeks 1 to 3,Saturday,wooden,0.321
15,40,142.0,Weeks 1 to 3,Saturday,wooden,0.319
15,50,148.0,Weeks 1 to 3,Saturday,wooden,0.333
16,0,152.0,Weeks 1 to 3,Saturday,wooden,0.342
16,10,154.0,Weeks 1 to 3,Saturday,wooden,0.346
16,20,163.0,Weeks 1 to 3,Saturday,wooden,0.366
16,30,160.0,Weeks 1 to 3,Saturday,wooden,0.36
16,40,166.0,Weeks 1 to 3,Saturday,wooden,0.373
16,50,172.0,Weeks 1 to 3,Saturday,wooden,0.387
17,0,180.0,Weeks 1 to 3,Saturday,wooden,0.404
17,10,191.0,Weeks 1 to 3,Saturday,wooden,0.429
17,20,197.0,Weeks 1 to 3,Saturday,wooden,0.443
17,30,190.0,Weeks 1 to 3,Saturday,wooden,0.427
17,40,183.0,Weeks 1 to 3,Saturday,wooden,0.411
17,50,173.0,Weeks 1 to 3,Saturday,wooden,0.389
18,0,167.0,Weeks 1 to 3,Saturday,wooden,0.375
18,10,161.0,Weeks 1 to 3,Saturday,wooden,0.362
18,20,160.0,Weeks 1 to 3,Saturday,wooden,0.36
18,30,155.0,Weeks 1 to 3,Saturday,wooden,0.348
18,40,151.0,Weeks 1 to 3,Saturday,wooden,0.339
18,50,157.0,Weeks 1 to 3,Saturday,wooden,0.353
19,0,133.0,Weeks 1 to 3,Saturday,wooden,0.299
19,10,107.0,Weeks 1 to 3,Saturday,wooden,0.24
19,20,83.0,Weeks 1 to 3,Saturday,wooden,0.187
19,30,58.0,Weeks 1 to 3,Saturday,wooden,0.13
19,40,41.0,Weeks 1 to 3,Saturday,wooden,0.092
19,50,28.0,Weeks 1 to 3,Saturday,wooden,0.063
20,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
20,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
20,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
20,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
20,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
20,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
21,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
21,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
21,20,0.0,Weeks 1 to 3,Saturday,wooden,0.0
21,30,0.0,Weeks 1 to 3,Saturday,wooden,0.0
21,40,0.0,Weeks 1 to 3,Saturday,wooden,0.0
21,50,0.0,Weeks 1 to 3,Saturday,wooden,0.0
22,0,0.0,Weeks 1 to 3,Saturday,wooden,0.0
22,10,0.0,Weeks 1 to 3,Saturday,wooden,0.0
