"","committee_name","contribution_receipt_amount"
"258","JEFF MERKLEY FOR OREGON",270
"259","COMMITTEE TO ELECT JARED GOLDEN",266.67
"260","JACKIE GORDON FOR CONGRESS",266.67
"261","NEVADANS FOR STEVEN HORSFORD",266.67
"262","SRI FOR CONGRESS",266.67
"263","SUSIE LEE FOR CONGRESS",266.67
"264","ONWARD TOGETHER COMMITTEE",260
"265","FORWARD MAJORITY ACTION",259.6
"266","ARBALLO FOR CONGRESS",252.5
"267","ALYSE FOR ALASKA",250
"268","AMERICAN COLLEGE OF RHEUMATOLOGY (RHEUMPAC)",250
"269","AMY FOR THE PEOPLE",250
"270","BARBARA LEE FOR CONGRESS",250
"271","BERA FOR CONGRESS",250
"272","BOB CASEY FOR SENATE INC",250
"273","BOLD DEMOCRATIC 2020",250
"274","BREDESEN VICTORY FUND",250
"275","COONS GROSS VICTORY FUND",250
"276","CORY GARDNER FOR SENATE",250
"277","DEB HAALAND FOR CONGRESS",250
"278","ELISE FOR CONGRESS",250
"279","ELIZABETH HENG FOR CONGRESS",250
"280","FAIR GAME PAC",250
"281","FRIENDS OF CHERI BUSTOS",250
"282","FRIENDS OF DANA BALTER",250
"283","FRIENDS OF STEVE BACHER",250
"284","GIDEON GREENFIELD 2020 VICTORY",250
"285","JOHN JAMES FOR SENATE, INC.",250
"286","KEVIN DE LEON FOR SENATE",250
"287","KIER FOR CONGRESS",250
"288","MAGGIE TOULOUSE OLIVER FOR SENATE",250
"289","MARK KELLY VICTORY FUND",250
"290","MCCASKILL 2018 VICTORY",250
"291","MIJENTE PAC",250
"292","MONDAIRE FOR CONGRESS",250
"293","NEW AMERICAN VOICES",250
"294","PAC FOR A CHANGE",250
"295","PROGRESSIVE VOTE AKA PROGRESSIVE DEMOCRATS OF AMERICA",250
"296","SEDINAM2020",250
"297","TEAM SCALISE",250
"298","TERESA FOR ALL",250
"299","THE US CAMPAIGN FUND",250
"300","TULSI ALOHA",250
"301","WYDEN FOR SENATE",250
"302","LOS ANGELES COUNTY DEMOCRATIC CENTRAL COMMITTEE",230
"303","PATRICIA TIMMONS-GOODSON FOR CONGRESS",209.82
"304","TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE",205
"305","BATESON FOR CONGRESS",200
"306","COLLINS FOR SENATE, INC.",200
"307","DEMOCRATS WORK FOR AMERICA, INC",200
"308","GEORGETTE GOMEZ FOR CONGRESS",200
"309","VALADAO FOR CONGRESS",200
"310","THE COMMITTEE TO ELECT AYANNA PRESSLEY",191.38
"311","ELECT DEMOCRATIC WOMEN",190
"312","MARIE NEWMAN FOR CONGRESS",154
"313","MCCREADY FOR CONGRESS",150
"314","LOPEZ FOR THE PEOPLE",133.84
"315","DAVE MIN FOR CONGRESS",130.37
"316","BOWMAN FOR CONGRESS",127
"317","VOTER PROTECTION PROJECT",125
"318","BLUE SENATE CANDIDATE FUND",100
"319","BRIAN FITZPATRICK FOR CONGRESS",100
"320","CODE BLUE",100
"321","DAVID RICHTER FOR CONGRESS INC.",100
"322","EVERYDAY PEOPLE",100
"323","HANDEL FOR CONGRESS, INC.",100
"324","JUSTIN AMASH FOR CONGRESS",100
"325","REBELLION PAC",100
"326","TIFFANY SHEDD FOR CONGRESS COMMITTEE",100
"327","YOUNG FOR IOWA, INC.",100
"328","BYRON DONALDS FOR CONGRESS",90
"329","KEN HARBAUGH FOR CONGRESS",83.33
"330","JUSTICE DEMOCRATS PAC",75
"331","SHAHEEN FOR SENATE",75
"332","GILLIBRAND FOR SENATE",60
"333","SUNRISE PAC",54
"334","BIGGINS FOR VIRGINIA",50
"335","LEAHY FOR U.S. SENATOR COMMITTEE",50
"336","VAN DREW FOR CONGRESS",50
"337","TEXAS DEMOCRATIC PARTY",38
"338","BEND THE ARC JEWISH ACTION INC. PAC",36
"339","TORRES FOR CONGRESS",12.5
"340","WELCH FOR CONGRESS",11.53
"341","CONGRESSIONAL PROGRESSIVE CAUCUS PAC",10
"342","TOM O'HALLERAN FOR CONGRESS",3.56
"343","SAAD FOR CONGRESS",2.5
"344","FRIENDS OF RANDY WADKINS",2.21
"345","IAN TODD FOR CONGRESS",0.06
"346","DEMOCRACY FOR AMERICA",-50
