Instructor,Subject,title,TotClasses,TotStudents,AvgPercentile
"WITHERS, M.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,62,55
"THROOP, C.J.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,16,45
"YAMASHITA, S.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,39,39
"CONRAD, H.K.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,3,45,38
"BRANTINGHAM, P.J.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,2,406,35
"CATTELINO, J.R.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,59,25
"FISKE, A.P.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,20,15
"MALEK, A.P.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,41,11
BARCHAS LICHTENSTE,ANTHRO,ANTHRO 33 CULTURE&COMMUNICATN,1,306,55
"MENDOZA-DENTON, N.",ANTHRO,ANTHRO 33 CULTURE&COMMUNICATN,2,536,55
"JACKSON, J.L.",ANTHRO,ANTHRO 33 CULTURE&COMMUNICATN,2,613,48
"THROOP, C.J.",ANTHRO,ANTHRO 33 CULTURE&COMMUNICATN,4,536,33
"MARTI, F.A.",ANTHRO,ANTHRO 33 CULTURE&COMMUNICATN,2,623,32
"SNYDER, J.K.",ANTHRO,ANTHRO 7 HUMAN EVOLUTION,5,1172,16
"THROOP, C.J.",ANTHRO,ANTHRO 7 HUMAN EVOLUTION,2,80,10
"MANSON, J.H.",ANTHRO,ANTHRO 7 HUMAN EVOLUTION,3,775,5
"ACABADO, S.B.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,2,528,44
"SCHACHNER, G.T.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,2,570,18
"THROOP, C.J.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,2,79,16
"STANISH, C.S.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,1,255,12
"KELLY, G.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,1,38,9
"SMITH, M.L.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,2,563,5
"LEVINE, A.R.",ANTHRO,ANTHRO 8 ARCHAEOLOGY-INTRO,1,222,3
"TAMANOI, M.",ANTHRO,ANTHRO 9 CULTURE AND SOCIETY,2,436,33
"THROOP, C.J.",ANTHRO,ANTHRO 9 CULTURE AND SOCIETY,6,1070,32
"CATTELINO, J.R.",ANTHRO,ANTHRO 9 CULTURE AND SOCIETY,2,704,22
"UPTON, D.",ART HIS,ART HIS 24 ARCHITCTR-MDRN WRLD,1,249,18
"NELSON, S.D.",ART HIS,ART HIS 28 ARTS OF AFRICA,1,232,39
"KENNEDY-QUIGLEY, S",ART HIS,ART HIS 50 ANCIENT ART,1,213,38
"SONIK, K.",ART HIS,ART HIS 50 ANCIENT ART,1,188,23
"COHEN, M.M.",ART HIS,ART HIS 51 MEDIEVAL ART,2,186,57
"GERSTEL, S.E.",ART HIS,ART HIS 51 MEDIEVAL ART,2,483,40
"HARREN, N.O.",ART HIS,ART HIS 54 MODERN ART,1,304,46
"BAKER, G.T.",ART HIS,ART HIS 54 MODERN ART,1,262,26
"NELSON, S.D.",ART HIS,ART HIS 55A INTRO-AFRICAN ARTS,2,402,54
"KENNEDY-QUIGLEY, S",ART HIS,ART HIS 55A INTRO-AFRICAN ARTS,1,144,20
"NAIR, S.E.",ART HIS,ART HIS 55B INTR-PRE-COLUMB ART,2,289,48
"BROWN, R.L.",ART HIS,ART HIS 56A ARTS-INDIA&SE ASIA,2,568,68
"LEE, H.",ART HIS,ART HIS 56B CHINESE ART,1,214,45
"VON FALKENHAUSEN,",ART HIS,ART HIS 56B CHINESE ART,1,214,45
"WOODS-MARSDEN, J.C",ART HIS,ART HIS 57 RENSSNC&BAROQUE ART,1,286,42
"BLACK, C.V.",ART HIS,ART HIS 57 RENSSNC&BAROQUE ART,1,209,21
"OW, F.P.",CHEM,CHEM 14A EQUILBR&ACIDS&BASES,7,800,23
"LAVELLE, L.",CHEM,CHEM 14A EQUILBR&ACIDS&BASES,12,4108,13
"SCERRI, E.R.",CHEM,CHEM 14A EQUILBR&ACIDS&BASES,9,2840,7
"LAVELLE, L.",CHEM,CHEM 14B THRMDN&ELCTCHM&KNTC,9,3314,11
THE STAFF,CHEM,CHEM 14B THRMDN&ELCTCHM&KNTC,1,69,11
"MASON, T.G.",CHEM,CHEM 14B THRMDN&ELCTCHM&KNTC,2,174,8
"SCERRI, E.R.",CHEM,CHEM 14B THRMDN&ELCTCHM&KNTC,6,1799,7
"MAYORAL, K.",CHEM,CHEM 14BL GEN&ORGN CHEM LAB 1,2,421,56
"RUSSELL, A.A.",CHEM,CHEM 14BL GEN&ORGN CHEM LAB 1,4,1130,45
"HENARY, M.M.",CHEM,CHEM 14BL GEN&ORGN CHEM LAB 1,5,1315,44
"WILSON, K.C.",CHEM,CHEM 14BL GEN&ORGN CHEM LAB 1,2,386,32
"PANG, J.W.",CHEM,CHEM 14BL GEN&ORGN CHEM LAB 1,6,1378,18
"BARNESE, K.W.",CHEM,CHEM 14BL GEN&ORGN CHEM LAB 1,1,295,15
"HARDINGER, S.A.",CHEM,CHEM 14C STRCTR-ORGANC MLCLS,13,3737,19
"CHANG, J.J.",CHEM,CHEM 14C STRCTR-ORGANC MLCLS,1,243,12
"LAM, Y.H.",CHEM,CHEM 14C STRCTR-ORGANC MLCLS,1,347,7
"OW, F.P.",CHEM,CHEM 14C STRCTR-ORGANC MLCLS,1,286,5
"NGUYEN, T.H.",CHEM,CHEM 14CL GEN&ORGN CHEM LAB 2,1,116,62
"RUSSELL, A.A.",CHEM,CHEM 14CL GEN&ORGN CHEM LAB 2,2,472,49
"PANG, J.W.",CHEM,CHEM 14CL GEN&ORGN CHEM LAB 2,3,403,38
"HENARY, M.M.",CHEM,CHEM 14CL GEN&ORGN CHEM LAB 2,8,1729,36
"CHANG, J.J.",CHEM,CHEM 14CL GEN&ORGN CHEM LAB 2,2,284,31
"BACHER, A.D.",CHEM,CHEM 14CL GEN&ORGN CHEM LAB 2,3,513,13
"GARG, N.K.",CHEM,CHEM 14D ORGN REACT&PHRMCTCL,3,1112,28
"NEUFELDT, S.R.",CHEM,CHEM 14D ORGN REACT&PHRMCTCL,1,223,17
"HARDINGER, S.A.",CHEM,CHEM 14D ORGN REACT&PHRMCTCL,10,2675,14
"NGUYEN, T.H.",CHEM,CHEM 14D ORGN REACT&PHRMCTCL,1,211,14
"GOBER, J.W.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,1,135,25
"MORIN-LEISK, J.B.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,1,747,24
"TIENSON, H.L.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,19,4404,22
"DZIALO, M.C.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,1,185,21
"MORIN-LEISK, J.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,1,144,18
"CLUBB, R.T.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,2,264,16
"NAKAMOTO, S.S.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,3,265,6
"WEISS, R.L.",CHEM,CHEM 153A STRCTR&ENZMS&MTBLSM,2,349,6
"GOBER, J.W.",CHEM,CHEM 153L BIOCHMICAL MTHDS I,2,294,34
"HONG-HERMESDORF, A",CHEM,CHEM 153L BIOCHMICAL MTHDS I,4,977,31
"KIM, S.J.",CHEM,CHEM 153L BIOCHMICAL MTHDS I,7,1348,24
"LI, Z.",CHEM,CHEM 20A CHEMICAL STRUCTURE,2,379,76
"LIN, Y.",CHEM,CHEM 20A CHEMICAL STRUCTURE,1,340,69
"LEVINE, A.J.",CHEM,CHEM 20A CHEMICAL STRUCTURE,4,341,38
"FELKER, P.M.",CHEM,CHEM 20A CHEMICAL STRUCTURE,5,1127,15
"GELBART, W.M.",CHEM,CHEM 20A CHEMICAL STRUCTURE,1,354,15
"ALEXANDROVA, A.N.",CHEM,CHEM 20A CHEMICAL STRUCTURE,1,233,13
"BAUGH, D.A.",CHEM,CHEM 20A CHEMICAL STRUCTURE,2,178,9
"SCERRI, E.R.",CHEM,CHEM 20A CHEMICAL STRUCTURE,5,1687,9
"SENTER, R.A.",CHEM,CHEM 20B ENERGETICS&CHANGE,1,230,21
"ZHANG, G.",CHEM,CHEM 20B ENERGETICS&CHANGE,1,180,19
"NEUHAUSER, D.",CHEM,CHEM 20B ENERGETICS&CHANGE,1,115,13
"BOUCHARD, L.",CHEM,CHEM 20B ENERGETICS&CHANGE,1,153,11
"MASON, T.G.",CHEM,CHEM 20B ENERGETICS&CHANGE,2,604,10
"FELKER, P.M.",CHEM,CHEM 20B ENERGETICS&CHANGE,5,1138,9
"BAUGH, D.A.",CHEM,CHEM 20B ENERGETICS&CHANGE,1,158,3
"MACIAS, R.F.",CHICANO,CHICANO 101 THEORETICL CONCEPTS,1,177,83
"GASPAR DE ALBA, A.",CHICANO,CHICANO 101 THEORETICL CONCEPTS,1,190,57
"HINOJOSA-OJEDA, R.",CHICANO,CHICANO 101 THEORETICL CONCEPTS,1,89,51
"HAYES-BAUTISTA, D.",CHICANO,CHICANO 106  CM HLTH-CHICANO/LATINO,2,140,61
"AGUILAR, J.M.",CHICANO,CHICANO 10A CHICANO HIST&CULTUR,1,62,81
"ROMERO, R.C.",CHICANO,CHICANO 10A CHICANO HIST&CULTUR,5,1678,79
"VALENZUELA, A.",CHICANO,CHICANO 10A CHICANO HIST&CULTUR,1,60,69
"AVILA, E.R.",CHICANO,CHICANO 10A CHICANO HIST&CULTUR,1,393,47
"VALENZUELA, A.",CHICANO,CHICANO 10B SOC STRUC&CONT COND,1,19,87
"HINOJOSA-OJEDA, R.",CHICANO,CHICANO 10B SOC STRUC&CONT COND,1,164,83
"ABREGO, L.J.",CHICANO,CHICANO 10B SOC STRUC&CONT COND,1,326,59
"BLACKWELL, M.S.",CHICANO,CHICANO 10B SOC STRUC&CONT COND,1,181,57
"ROMERO, R.C.",CHICANO,CHICANO 10B SOC STRUC&CONT COND,1,38,55
"RUIZ, S.",CHICANO,CHICANO 10B SOC STRUC&CONT COND,1,40,42
"RAMIREZ-OROPEZA, M",CHICANO,CHICANO 113 DAY OF DEAD RITUAL,2,206,94
"ROMERO, R.C.",CHICANO,CHICANO 143 DIVERSE ROOTS-MEXCO,2,180,60
"ROMERO, R.C.",CHICANO,CHICANO 150 AFFIRMATIVE ACTION,3,235,67
"MAGANA, M.R.",CHICANO,CHICANO 172 CHICANA/O ETHNGRPHY,2,134,31
"LAWSON, J.M.",CHICANO,CHICANO 173  M NONVIOL&SOC MOVMNTS,3,76,42
"WONG, K.",CHICANO,CHICANO 173  M NONVIOL&SOC MOVMNTS,3,76,42
"GONZALEZ, A.L.",CHICANO,CHICANO 173  M NONVIOL&SOC MOVMNTS,1,21,32
"ROMERO, R.C.",CHICANO,CHICANO 178 LATINOS AND THE LAW,2,152,68
"CHIEF, L.",CHIN,CHIN 1 ELEM MODERN CHINESE,12,743,71
"CHEN, J.W.",CHIN,CHIN 110A INTR-CLASCL CHINESE,4,186,70
"SUN, X.",CHIN,CHIN 1A ADV ELEM MOD CHINES,9,208,65
"CHIEF, L.",CHIN,CHIN 2 ELEM MODERN CHINESE,9,536,58
"SUN, X.",CHIN,CHIN 2A ADV ELEM MOD CHINES,9,186,52
"CHIEF, L.",CHIN,CHIN 3 ELEM MODERN CHINESE,4,336,68
"CHEN, S.",CHIN,CHIN 3 ELEM MODERN CHINESE,2,167,43
"SUN, X.",CHIN,CHIN 3A ADV ELEM MOD CHINES,9,200,34
"SMITH, M.M.",CHIN,CHIN 4 INTRMED MOD CHINESE,11,188,57
"ZHANG, H.",CHIN,CHIN 50 CHINESE CIVILIZATN,1,85,45
"HULL, D.N.",CHIN,CHIN 50 CHINESE CIVILIZATN,1,149,37
"CHEN, J.W.",CHIN,CHIN 50 CHINESE CIVILIZATN,4,619,21
"LI, M.",CHIN,CHIN 50 CHINESE CIVILIZATN,2,339,20
"HELLER, N.L.",CHIN,CHIN 50 CHINESE CIVILIZATN,1,138,19
"DUTHIE, N.N.",CHIN,CHIN 50 CHINESE CIVILIZATN,1,94,17
"HELLER, N.L.",CHIN,CHIN 60  M CHINESE RELIGIONS,4,486,28
"EGGERT, P.R.",COM SCI,COM SCI 111 OPERATNG SSTMS PRIN,6,686,21
"REIHER, P.L.",COM SCI,COM SCI 111 OPERATNG SSTMS PRIN,7,436,17
"GERLA, M.",COM SCI,COM SCI 118 CMPTR NTWRK FNDMNTL,5,251,55
"LU, S.",COM SCI,COM SCI 118 CMPTR NTWRK FNDMNTL,4,447,49
"SANADIDI, M.Y.",COM SCI,COM SCI 118 CMPTR NTWRK FNDMNTL,1,71,36
"MC GOLDRICK, C.",COM SCI,COM SCI 118 CMPTR NTWRK FNDMNTL,1,98,32
"ZHANG, L.",COM SCI,COM SCI 118 CMPTR NTWRK FNDMNTL,3,211,28
"EGGERT, P.R.",COM SCI,COM SCI 131 PROGRAMMING LANGS,7,467,18
"MILLSTEIN, T.D.",COM SCI,COM SCI 131 PROGRAMMING LANGS,3,351,17
"CHO, J.",COM SCI,COM SCI 143 DATABASE SYSTEMS,4,614,46
"ZANIOLO, C.",COM SCI,COM SCI 143 DATABASE SYSTEMS,2,167,37
"CONDIE, T.",COM SCI,COM SCI 143 DATABASE SYSTEMS,2,176,10
"REINMAN, G.D.",COM SCI,COM SCI 151B M COMPUTR SYSTMS ARCH,3,530,21
"TAMIR, Y.",COM SCI,COM SCI 151B M COMPUTR SYSTMS ARCH,6,238,18
"PARKER, D.S.",COM SCI,COM SCI 180 ALGORITHMS&COMPLXTY,2,258,32
"SARRAFZADEH, M.",COM SCI,COM SCI 180 ALGORITHMS&COMPLXTY,4,411,30
"GAFNI, E.M.",COM SCI,COM SCI 180 ALGORITHMS&COMPLXTY,3,229,27
"SHINDLER, M.",COM SCI,COM SCI 180 ALGORITHMS&COMPLXTY,2,189,27
"MEKA, R.",COM SCI,COM SCI 180 ALGORITHMS&COMPLXTY,1,129,13
"HE, Y.",COM SCI,COM SCI 31 INTRO TO COM SCI 1,1,267,33
"POUCHET, L.",COM SCI,COM SCI 31 INTRO TO COM SCI 1,1,158,31
"SMALLBERG, D.A.",COM SCI,COM SCI 31 INTRO TO COM SCI 1,12,2536,22
"SHINDLER, M.",COM SCI,COM SCI 31 INTRO TO COM SCI 1,1,181,17
"POURNAGHSHBAND, V.",COM SCI,COM SCI 31 INTRO TO COM SCI 1,1,84,7
"RUSSELL, S.L.",COM SCI,COM SCI 31 INTRO TO COM SCI 1,1,68,6
"SHINDLER, M.",COM SCI,COM SCI 32 INTRO TO COM SCI 2,1,63,35
"NACHENBERG, C.S.",COM SCI,COM SCI 32 INTRO TO COM SCI 2,3,408,33
"SMALLBERG, D.A.",COM SCI,COM SCI 32 INTRO TO COM SCI 2,9,1241,15
"CHANG, K.",COM SCI,COM SCI 32 INTRO TO COM SCI 2,1,73,13
"REINMAN, G.D.",COM SCI,COM SCI 33 COMPUTER ORGANIZATN,2,465,60
"POUCHET, L.",COM SCI,COM SCI 33 COMPUTER ORGANIZATN,1,99,14
"EGGERT, P.R.",COM SCI,COM SCI 33 COMPUTER ORGANIZATN,2,378,11
"HABER, J.",COM SCI,COM SCI 33 COMPUTER ORGANIZATN,2,271,10
"HE, Y.",COM SCI,COM SCI 51A M LOGC DSGN-DGTL SSTM,4,292,45
"ERCEGOVAC, M.D.",COM SCI,COM SCI 51A M LOGC DSGN-DGTL SSTM,3,288,26
"MORTAZAVI, J.B.",COM SCI,COM SCI 51A M LOGC DSGN-DGTL SSTM,1,30,21
"POTKONJAK, M.",COM SCI,COM SCI 51A M LOGC DSGN-DGTL SSTM,4,257,20
"KOCHIAN, J.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,17,598,87
"MACK, K.S.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,2,53,69
"MILLER, T.E.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,16,443,66
"GREGORY, M.S.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,7,226,63
"BRIDGEWATER, D.A.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,16,553,62
"FERAMISCO, C.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,1,25,51
"KICENSKI, K.K.",COMM ST,COMM ST 1 PRINC ORAL COMMNCTN,4,119,41
"SUMAN, M.W.",COMM ST,COMM ST 10 INTRO-COMMCTN STDS,13,1983,18
"DIXON, T.L.",COMM ST,COMM ST 10 INTRO-COMMCTN STDS,3,296,13
"BRYANT, G.A.",COMM ST,COMM ST 100 COMMUNICATION THRY,1,243,75
"KELLY, W.",COMM ST,COMM ST 100 COMMUNICATION THRY,4,495,43
"BRYANT, G.A.",COMM ST,COMM ST 126 INTRPRSNL COMMUNCTN,4,481,57
"LAMBERSON, P.J.",COMM ST,COMM ST 150 COMMUNICATION RSRCH,1,66,59
"PETERSON, S.M.",COMM ST,COMM ST 150 COMMUNICATION RSRCH,9,581,47
"DIXON, T.L.",COMM ST,COMM ST 152 ANLYS-COMM EFFECTS,2,132,31
"SUMAN, M.W.",COMM ST,COMM ST 152 ANLYS-COMM EFFECTS,4,355,17
"PETERSON, S.M.",COMM ST,COMM ST 156 SOCIAL NETWORKING,6,436,32
"LAMBERSON, P.J.",COMM ST,COMM ST 156 SOCIAL NETWORKING,1,97,25
"FINK, K.A.",COMM ST,COMM ST 167 FREE SPEECH-CAMPUS,3,450,85
"FINK, K.A.",COMM ST,COMM ST 172  M FREE SPEECH-WORKPLC,3,472,77
"MERSCHEL, S.",COMM ST,COMM ST 1A PBLC SPKNG NONNATIV,10,469,93
"JENKINS, B.C.",ECON,ECON 1 PRIN OF ECONOMICS,1,153,29
"CONVERY, P.D.",ECON,ECON 1 PRIN OF ECONOMICS,1,111,27
"KUEHN, J.S.",ECON,ECON 1 PRIN OF ECONOMICS,1,127,24
"ROJAS, R.",ECON,ECON 1 PRIN OF ECONOMICS,16,4582,12
"SPROUL, M.F.",ECON,ECON 1 PRIN OF ECONOMICS,2,617,12
"OLSON, E.D.",ECON,ECON 1 PRIN OF ECONOMICS,1,253,4
"COPIC, J.",ECON,ECON 101 MICROECONOMC THEORY,3,840,44
"CANTU GARCIA, C.A.",ECON,ECON 101 MICROECONOMC THEORY,2,123,23
"ZAME, W.R.",ECON,ECON 101 MICROECONOMC THEORY,1,185,18
"CARUSO, T.",ECON,ECON 101 MICROECONOMC THEORY,1,110,17
"ALI, O.",ECON,ECON 101 MICROECONOMC THEORY,1,51,10
"KUNG, E.C.",ECON,ECON 101 MICROECONOMC THEORY,3,900,10
"KWOK, S.",ECON,ECON 101 MICROECONOMC THEORY,1,84,10
"SPROUL, M.F.",ECON,ECON 101 MICROECONOMC THEORY,4,1022,10
"SADZIK, T.M.",ECON,ECON 101 MICROECONOMC THEORY,3,741,8
"CANTU GARCIA, C.A.",ECON,ECON 102 MACRO ECON THEORY,2,167,37
"ORAK, M.",ECON,ECON 102 MACRO ECON THEORY,4,315,28
"FARMER, R.E.",ECON,ECON 102 MACRO ECON THEORY,2,550,25
"JENKINS, B.C.",ECON,ECON 102 MACRO ECON THEORY,2,507,24
"GEEROLF, F.",ECON,ECON 102 MACRO ECON THEORY,1,210,20
"OLSON, E.D.",ECON,ECON 102 MACRO ECON THEORY,1,217,14
"MCDEVITT, E.P.",ECON,ECON 102 MACRO ECON THEORY,1,229,12
"KESKINEL, M.",ECON,ECON 102 MACRO ECON THEORY,5,1192,11
"BAIRD, M.D.",ECON,ECON 102 MACRO ECON THEORY,1,172,6
"BUCHINSKY, M.",ECON,ECON 103 INTRO-ECONOMETRICS,3,766,49
"MILLER, M.",ECON,ECON 103 INTRO-ECONOMETRICS,1,100,33
"ROJAS, R.",ECON,ECON 103 INTRO-ECONOMETRICS,3,801,24
"NGUYEN, A.",ECON,ECON 103 INTRO-ECONOMETRICS,2,203,21
"VON WACHTER, T.",ECON,ECON 103 INTRO-ECONOMETRICS,1,342,19
"CASANOVA RIVAS, M.",ECON,ECON 103 INTRO-ECONOMETRICS,2,559,16
"ATKIN, D.",ECON,ECON 103 INTRO-ECONOMETRICS,1,336,10
"BUCHINSKY, M.",ECON,ECON 103L ECONOMETRICS LAB,3,764,50
"MILLER, M.",ECON,ECON 103L ECONOMETRICS LAB,1,100,33
"ROJAS, R.",ECON,ECON 103L ECONOMETRICS LAB,3,800,24
"NGUYEN, A.",ECON,ECON 103L ECONOMETRICS LAB,2,201,23
"VON WACHTER, T.",ECON,ECON 103L ECONOMETRICS LAB,1,342,19
"CASANOVA RIVAS, M.",ECON,ECON 103L ECONOMETRICS LAB,2,559,16
"ATKIN, D.",ECON,ECON 103L ECONOMETRICS LAB,1,336,12
"MAZZOCCO, M.",ECON,ECON 11 MICROECONOMC THEORY,4,1473,21
"SPROUL, M.F.",ECON,ECON 11 MICROECONOMC THEORY,4,1069,17
"MCDEVITT, E.P.",ECON,ECON 11 MICROECONOMC THEORY,9,2263,14
"KAVALAR, A.",ECON,ECON 11 MICROECONOMC THEORY,1,299,13
"GUO, W.",ECON,ECON 11 MICROECONOMC THEORY,1,97,11
"KOSPENTARIS, I.",ECON,ECON 11 MICROECONOMC THEORY,1,49,6
"BURKOVSKAYA, A.",ECON,ECON 11 MICROECONOMC THEORY,1,79,5
"MCDEVITT, E.P.",ECON,ECON 121 INTERNTL TRADE THRY,6,1121,13
"OZLER, S.",ECON,ECON 121 INTERNTL TRADE THRY,4,509,10
"PINTUS, P.",ECON,ECON 160 MONEY AND BANKING,1,54,56
"JI, T.",ECON,ECON 160 MONEY AND BANKING,1,108,25
"KESKINEL, M.",ECON,ECON 160 MONEY AND BANKING,1,158,18
"MILLER, S.A.",ECON,ECON 160 MONEY AND BANKING,4,755,12
"BAIM, D.",ECON,ECON 160 MONEY AND BANKING,4,726,11
"MCDEVITT, E.P.",ECON,ECON 160 MONEY AND BANKING,1,139,7
"OHANIAN, L.",ECON,ECON 2 PRIN OF ECONOMICS,2,636,48
"CAKIR, N.",ECON,ECON 2 PRIN OF ECONOMICS,1,407,32
"HUR, J.",ECON,ECON 2 PRIN OF ECONOMICS,2,181,23
"ROJAS, R.",ECON,ECON 2 PRIN OF ECONOMICS,1,293,22
"GIULIANO, F.M.",ECON,ECON 2 PRIN OF ECONOMICS,1,72,20
"MCDEVITT, E.P.",ECON,ECON 2 PRIN OF ECONOMICS,5,1072,13
"KESKINEL, M.",ECON,ECON 2 PRIN OF ECONOMICS,3,655,12
"CHOI, S.",ECON,ECON 2 PRIN OF ECONOMICS,1,65,9
"CHETVERIKOV, D.N.",ECON,ECON 41 STATS-ECONOMISTS,2,254,19
"SHENG, S.",ECON,ECON 41 STATS-ECONOMISTS,3,378,15
"KANG, J.",ECON,ECON 41 STATS-ECONOMISTS,1,98,14
HERNANDEZ CASTILLO,ECON,ECON 41 STATS-ECONOMISTS,2,201,12
"HAHN, J.",ECON,ECON 41 STATS-ECONOMISTS,5,524,11
"LIAO, Z.",ECON,ECON 41 STATS-ECONOMISTS,5,704,9
"MATZKIN, R.L.",ECON,ECON 41 STATS-ECONOMISTS,1,257,9
"ROJAS, R.",ECON,ECON 41 STATS-ECONOMISTS,4,1323,8
"KANE, T.L.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,1,71,59
"HALPIN, P.M.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,2,511,36
"FONG, P.M.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,1,250,33
"GRETHER, G.F.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,2,513,28
"BLUMSTEIN, D.T.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,3,640,16
"JOHNS, P.M.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,2,673,14
"GORLITSKY, L.E.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,1,255,13
"NONACS, P.N.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,2,266,13
"NARRAWAY, C.L.",EE BIOL,EE BIOL 100 INTRO-ECOL&BEHAVIOR,1,53,5
"BLUMSTEIN, D.T.",EE BIOL,EE BIOL 109 INTRO TO MARINE SCI,1,55,40
"CHABOT, C.",EE BIOL,EE BIOL 109 INTRO TO MARINE SCI,2,115,39
"WILLETTE, D.A.",EE BIOL,EE BIOL 109 INTRO TO MARINE SCI,2,260,26
"BARBER, P.H.",EE BIOL,EE BIOL 109 INTRO TO MARINE SCI,3,475,16
