"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"AF AMER C291 - EDU, U.F.",1,0,0,0,0,0,0,0,0,0,0,0,0
"AF AMER M104A - YARBOROUGH, R.A.",0.281,0.375,0.125,0.062,0.031,0,0.094,0,0,0.031,0,0,0
"AF AMER M121 - MAYS, K.T.",0.761,0.13,0.022,0.022,0.043,0,0.022,0,0,0,0,0,0
"AF AMER M12A - DOLEAC, B.G.",0.385,0.308,0.077,0.077,0,0,0,0.077,0,0,0.077,0,0
"AF AMER M172 - BAIN, B.R.",0.267,0.4,0.1,0.1,0.1,0.033,0,0,0,0,0,0,0
"AF AMER M5 - LACAYO, C.O.",0.025,0.156,0.274,0.215,0.177,0.093,0.025,0.008,0.008,0,0,0,0.017
"AM IND 202 - MITHLO, N.M.",0,0.778,0.222,0,0,0,0,0,0,0,0,0,0
"AM IND M10 - MAYS, K.T.",0.627,0.313,0.024,0.012,0,0,0,0.012,0,0,0.012,0,0
"AM IND M123 - MAYS, K.T.",0.733,0.2,0,0,0,0,0.067,0,0,0,0,0,0
"AN N EA 10W - SMOAK, J.D.",0,0.237,0.316,0.092,0.237,0.039,0,0.039,0.013,0,0.013,0,0.013
"AN N EA 120A - WINNERMAN, J.P.",0.083,0.417,0.417,0,0.083,0,0,0,0,0,0,0,0
"AN N EA 15 - COONEY, K.M.",0.441,0.237,0.164,0.096,0.011,0.006,0.006,0.006,0,0.006,0.006,0.006,0.017
"AN N EA 15 - COONEY, K.M. LEC 2",0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"AN N EA M130 - WENDRICH, W.Z.",0.211,0.456,0.219,0.026,0.053,0.009,0.009,0.009,0.009,0,0,0,0
"AN N EA M166 - COONEY, K.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"AN N EA M50A - DANIELSON, A.",0.268,0.463,0.122,0.024,0.049,0.024,0,0,0.024,0,0,0,0.024
"ANTHRO 112P - SMITH, M.L.",0.089,0.357,0.125,0.179,0.161,0.018,0.018,0,0.036,0,0,0,0.018
"ANTHRO 112S - SCHACHNER, G.T.",0,0.524,0.333,0.048,0.048,0.048,0,0,0,0,0,0,0
"ANTHRO 119 - WAKE, T.A.",0,0.578,0.234,0.094,0.062,0,0.016,0.016,0,0,0,0,0
"ANTHRO 124Q - BARRAGAN, O.R.",0.155,0.276,0.224,0.069,0.121,0.121,0.017,0,0,0.017,0,0,0
"ANTHRO 124S - FESSLER, D.",0.095,0.19,0.068,0.095,0.156,0.082,0.061,0.082,0.027,0.027,0.054,0.02,0.041
"ANTHRO 129 - LAZAREFF, J.",0.539,0.461,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 130 - APPEL, H.C.",0.569,0.316,0.075,0.011,0.011,0.006,0.006,0,0,0,0,0,0.006
"ANTHRO 138P - FISKE, A.P.",0.175,0.573,0.068,0.039,0.058,0.029,0,0.01,0.01,0.01,0.01,0.01,0.01
"ANTHRO 139 - GARRO, L.C.",0.065,0.161,0.065,0.032,0.29,0.065,0.032,0.129,0,0.032,0.065,0,0.065
"ANTHRO 141 - LOYD, H.M.",0.29,0.419,0.081,0.048,0.097,0,0,0.016,0.032,0,0.016,0,0
"ANTHRO 149 - ACIKSOZ, S.C.",0.879,0.069,0,0.017,0.017,0,0,0,0,0,0,0.017,0
"ANTHRO 149 - VERNON, M.",0.5,0.346,0.077,0,0,0.038,0,0,0,0,0,0,0.038
"ANTHRO 155 - KROSKRITY, P.V.",0.13,0.348,0.217,0.13,0.174,0,0,0,0,0,0,0,0
"ANTHRO 159 - EDMONDS, R.B.",0.151,0.226,0.283,0.113,0.057,0.057,0.019,0,0.019,0.019,0,0,0.057
"ANTHRO 159 - MENDOZA-DENTON, N.",0.286,0.714,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 191HC - MIYAKE, L.R.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 197 - ACABADO, S.B.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 2 - LI, M.",0,0.755,0.15,0.042,0.023,0.007,0.003,0.007,0,0,0,0.007,0.007
"ANTHRO 200 - BARRETT, H.C.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 202A - FOX, M.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 203A - YAN, Y.",0.167,0.833,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 249 - BOUM, A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 249 - MANKEKAR, P.",0.333,0.667,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 3 - CATTELINO, J.R.",0,0.803,0.054,0.036,0.031,0.013,0.022,0,0.004,0.009,0,0.004,0.022
"ANTHRO 4 - ALIM, H.",0.495,0.331,0.065,0.031,0.028,0.022,0.009,0.003,0.006,0.003,0.003,0.003,0
"ANTHRO M145P - LEVINE, N.",0.079,0.159,0.19,0.206,0.127,0.143,0.032,0.032,0,0,0.016,0,0.016
"ANTHRO M166Q - BOUM, A.",0,0.55,0.425,0,0,0.025,0,0,0,0,0,0,0
"ARABIC 103A - HAMZA, A.T.",0.4,0.5,0.1,0,0,0,0,0,0,0,0,0,0
"ARABIC 111A - HAMZA, A.T.",0.615,0.231,0.077,0.077,0,0,0,0,0,0,0,0,0
"ARABIC 1A - AL RIFAE, K.A.",0.238,0.619,0.048,0.048,0.048,0,0,0,0,0,0,0,0
"ARABIC 1A - COOPERSON, M.D.",0.526,0.263,0.053,0,0.053,0,0,0,0,0,0,0.053,0.053
"ARABIC 1A - COOPERSON, M.D. LEC 3",0.167,0.833,0,0,0,0,0,0,0,0,0,0,0
"ARABIC M171 - BOUM, A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 122 - AYATA, A.",0.391,0.217,0.217,0.087,0,0.043,0,0,0,0,0,0,0.043
"ARCH&UD 131 - OSMAN, M.",0,0.731,0.115,0,0.115,0.038,0,0,0,0,0,0,0
"ARCH&UD 141 - SHARIF, M.",0.152,0.545,0.273,0,0,0.03,0,0,0,0,0,0,0
"ARCH&UD 220 - KOERNER-AL-RAWI, J",0.342,0.658,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - AMU0TEGUI, J.C.",0.182,0.682,0.045,0.045,0.045,0,0,0,0,0,0,0,0
"ARCH&UD 289 - AMU0TEGUI, J.C. LEC 80",0.061,0.818,0.091,0.03,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - CONWAY, M.J.",0.364,0,0.182,0.273,0.182,0,0,0,0,0,0,0,0
"ARCH&UD 289 - CUFF, D.",0,0.786,0.214,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - CUFF, D. LEC 10",0,1,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - ENNEMOSER, B.",0,0.308,0.692,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - FRANKEL, R.E.",0.2,0.333,0.4,0,0.067,0,0,0,0,0,0,0,0
"ARCH&UD 289 - LEVIN, A.",0.3,0.15,0.25,0.15,0.15,0,0,0,0,0,0,0,0
"ARCH&UD 289 - MAXIM, J.",0,0.429,0.5,0.071,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - SU, N.",0.231,0.385,0.154,0.231,0,0,0,0,0,0,0,0,0
"ARCH&UD 30 - OSMAN, M.",0.067,0.533,0.267,0.055,0.03,0.006,0.006,0,0.006,0,0,0,0.03
"ARCH&UD 401 - ENNEMOSER, B.",0,0.692,0.308,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - FEGHALI, Y.",0,0.091,0.455,0.455,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - HULJICH, G.",0.143,0.714,0.143,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - LAI, Y.",0.214,0.214,0.571,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - LEE, K.",0.143,0.286,0.429,0.143,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - SANDMEIER, N.S.",0.462,0.385,0.154,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 411 - FREYINGER, C.P.",0.1,0.6,0.3,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 411 - MATATYAOU, U.J.",0.1,0.5,0.3,0,0,0.1,0,0,0,0,0,0,0
"ARCH&UD 411 - TENG, R.V.",0.1,0.6,0.2,0.1,0,0,0,0,0,0,0,0,0
"ARCH&UD 431 - PAULL, M.",0.083,0.611,0.222,0.056,0,0,0,0.028,0,0,0,0,0
"ARCH&UD 461 - LYNCH, T.M.",0.344,0.375,0.094,0.125,0.062,0,0,0,0,0,0,0,0
"ARCH&UD M201 - OSMAN, M.",0,0.625,0.175,0.075,0.075,0.025,0.025,0,0,0,0,0,0
"ARMENIA 101A - KOULOUJIAN, H.",0,0.909,0,0,0,0,0,0,0,0,0,0,0.091
"ARMENIA 102A - KOULOUJIAN, H.",0.2,0.8,0,0,0,0,0,0,0,0,0,0,0
"ARMENIA 104A - MARTIROSYAN, H.K.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ARMENIA C152 - COWE, P.S.",0,0.944,0,0,0,0,0,0,0,0,0,0,0.056
"ART 11A - ESTRADA, V.R.",0.444,0.556,0,0,0,0,0,0,0,0,0,0,0
"ART 11B - LIPPS, M.D.",0,0.889,0,0,0.056,0,0,0.056,0,0,0,0,0
"ART 11D - RIOS, M.T.",0.55,0.45,0,0,0,0,0,0,0,0,0,0,0
"ART 11E - SEW HOY, A.M.",0.286,0.571,0.071,0.071,0,0,0,0,0,0,0,0,0
"ART 130 - QUEENLAND, M.D.",0.267,0.467,0.2,0,0,0,0,0.067,0,0,0,0,0
"ART 133 - OLSON, A.K.",0.467,0.533,0,0,0,0,0,0,0,0,0,0,0
"ART 133 - OTTO-K0PP, S.",0.867,0.067,0,0.067,0,0,0,0,0,0,0,0,0
"ART 137 - JUGDEO, V.",0.429,0.5,0,0,0,0.071,0,0,0,0,0,0,0
"ART 140 - SAMUEL, J.M.",0.3,0.7,0,0,0,0,0,0,0,0,0,0,0
"ART 145 - ROY, D.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 147 - WOODS, S.A.",0.714,0.286,0,0,0,0,0,0,0,0,0,0,0
"ART 148 - LIN, C.C.",0.462,0.231,0.154,0.154,0,0,0,0,0,0,0,0,0
"ART 150 - PERLMAN, H.",0.182,0.455,0.091,0,0.182,0,0,0.091,0,0,0,0,0
"ART 1A - WILLIAMS, J.S.",0.118,0.529,0.294,0,0.059,0,0,0,0,0,0,0,0
"ART 1B - ROY, D.A.",0.062,0.938,0,0,0,0,0,0,0,0,0,0,0
"ART 271 - MORRIS, R.J.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ART 271 - OTTO-K0PP, S.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ART 273 - PERLMAN, H.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 274 - VALENZUELA, R.A.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ART 274 - WOODS, S.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 275 - JUGDEO, V.",0.182,0.818,0,0,0,0,0,0,0,0,0,0,0
"ART 275 - ROSALES, G.E.",0.6,0.4,0,0,0,0,0,0,0,0,0,0,0
"ART 276 - MCMILLIAN, R.T.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 277 - LIN, C.C.",0.4,0.6,0,0,0,0,0,0,0,0,0,0,0
"ART 278 - FRASER, A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 279 - KRUGER, B.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 31A - VIKRAM, A.",0.276,0.31,0.207,0.103,0.034,0.034,0.017,0,0.017,0,0,0,0
"ART C280 - CIVIL, G.F.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART HIS 119A - BALAFREJ, L.",0.19,0.492,0.222,0.063,0.032,0,0,0,0,0,0,0,0
"ART HIS 124 - HARWELL, G.T.",0.093,0.279,0.186,0.093,0.116,0.093,0.047,0.093,0,0,0,0,0
"ART HIS 185 - BALAFREJ, L.",0.091,0.273,0.545,0,0,0.091,0,0,0,0,0,0,0
"ART HIS 185 - HARWELL, G.T.",0.5,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0
"ART HIS 22 - WILSON, B.",0.017,0.116,0.382,0.225,0.127,0.052,0.04,0.012,0.012,0,0,0,0.017
"ART HIS 230D - BAKER, G.T.",0.25,0.75,0,0,0,0,0,0,0,0,0,0,0
"ART HIS 25 - MATHUR, S.",0.155,0.536,0.155,0.079,0.028,0.012,0.004,0.016,0.004,0.004,0.004,0,0.004
"ART HIS 272B - WHARTON, G.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART HIS C115D - COHEN, M.M.",0,0.306,0.429,0.102,0.102,0.02,0.02,0.02,0,0,0,0,0
"ART HIS C128B - BAKER, G.T.",0.093,0.24,0.32,0.12,0.107,0.04,0.013,0.04,0,0.013,0.013,0,0
"ART HIS C131B - ROTTMAN, Z.D.",0.049,0.574,0.23,0.066,0.066,0,0.016,0,0,0,0,0,0
"ART HIS CM141 - BLACK, C.V.",0,0.522,0.217,0.174,0.043,0,0,0,0,0,0,0,0.043
"ART&ARC 100 - MARKS, V.E.",0.286,0.388,0.204,0.102,0,0.02,0,0,0,0,0,0,0
"ARTS ED 101 - CAMERON, D.P.",0,0.724,0.172,0.034,0,0,0,0.069,0,0,0,0,0
"ARTS ED M102 - CHRISTIAN, J.J.",0.222,0.667,0.111,0,0,0,0,0,0,0,0,0,0
"ARTS ED M192 - SYKES, M.M.",0.455,0.545,0,0,0,0,0,0,0,0,0,0,0
"ASIA AM 10W - FONG, K.N.",0.175,0.717,0.058,0.008,0.008,0,0.008,0.017,0,0.008,0,0,0
"ASIA AM 112C - BANERJEE, N.",0,0.76,0.08,0.08,0.08,0,0,0,0,0,0,0,0
"ASIA AM 120 - CHEN, J.T.",0,0.72,0.16,0.06,0.02,0.02,0,0,0,0,0.02,0,0
"ASIA AM 126 - GANDHI, E.C.",0.293,0.585,0.049,0.024,0,0,0,0.024,0.024,0,0,0,0
"ASIA AM 133 - LIBU0O, M.",0.566,0.151,0.113,0.038,0.075,0,0,0,0.057,0,0,0,0
"ASIA AM 140SL - CHENG, S.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASIA AM 175B - QUTAMI, L.N.",0.842,0.158,0,0,0,0,0,0,0,0,0,0,0
"ASIA AM 178 - GANDHI, E.C.",0.143,0.679,0.071,0.071,0.036,0,0,0,0,0,0,0,0
"ASIA AM 188 - ZHOU, M.",0,0.5,0.143,0.071,0.214,0.071,0,0,0,0,0,0,0
"ASIA AM 20 - TAMAI, L.Y.",0.014,0.829,0.121,0.014,0.014,0,0,0,0,0,0.007,0,0
"ASIA AM 200A - CAMACHO, K.L.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASIA AM C142A - CHEN, J.T.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASIAN 100 - TAO, H.",0.184,0.368,0.132,0.158,0.132,0.026,0,0,0,0,0,0,0
"ASIAN 135 - JUNG-KIM, J.J.",0.023,0.349,0.419,0.186,0,0.023,0,0,0,0,0,0,0
"ASIAN 161 - HAYES, M.R.",0,0.714,0.107,0.036,0.143,0,0,0,0,0,0,0,0
"ASIAN 30 - IWASAKI, S.",0.143,0.51,0.184,0.02,0.051,0.041,0.01,0.02,0,0,0,0,0.02
"ASIAN M60W - LIPPIT, S.M.",0,0.804,0.109,0.022,0.043,0,0,0,0,0,0,0,0.022
"ASL 1 - LEWIS, B.J.",0.174,0.565,0.087,0.043,0.087,0.043,0,0,0,0,0,0,0
"ASL 1 - LEWIS, B.J. LEC 2",0.167,0.5,0.167,0.167,0,0,0,0,0,0,0,0,0
"ASL 4 - LEWIS, B.J.",0.167,0.792,0,0.042,0,0,0,0,0,0,0,0,0
"ASTR 270 - 0OZ, S.",0.867,0.067,0,0.067,0,0,0,0,0,0,0,0,0
"ASTR 284 - HANSEN, B.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASTR 3 - DO, T.H.",0.057,0.162,0.229,0.162,0.152,0.095,0.076,0.048,0.01,0,0,0,0.01
"ASTR 3 - RICH, M.",0.062,0.5,0.188,0.118,0.104,0,0,0.021,0,0,0,0,0.007
"ASTR 4 - MALKAN, M.A.",0.043,0.217,0.261,0.261,0.087,0.087,0.043,0,0,0,0,0,0
"ASTR 5 - TREU, T.L.",0.297,0.225,0.188,0.123,0.043,0.029,0.014,0.014,0,0,0.007,0.007,0.051
"BIOENGR 10 - LINSLEY, C.",0.023,0.908,0.046,0.011,0,0,0.011,0,0,0,0,0,0
"BIOENGR 100 - KAMEI, D.T.",0.028,0.225,0.282,0.085,0.056,0.113,0.028,0.056,0.028,0.014,0.028,0.014,0.042
"BIOENGR 167L - LINSLEY, C.",0,0.955,0,0.045,0,0,0,0,0,0,0,0,0
"BIOENGR 177A - SEIDLITS, S.K.",0.308,0.564,0.103,0.026,0,0,0,0,0,0,0,0,0
"BIOENGR 188 - BARBARIE, S.N.",0,0.5,0.214,0.143,0.107,0.036,0,0,0,0,0,0,0
"BIOENGR 298 - CHEN, J.",0,0.588,0.412,0,0,0,0,0,0,0,0,0,0
"BIOENGR C104 - WONG, G.C.",0,0.234,0.362,0.191,0.128,0.085,0,0,0,0,0,0,0
"BIOENGR C105 - DEMING, T.J.",0.24,0.28,0.12,0.2,0.12,0,0,0,0,0,0.04,0,0
"BIOENGR C183 - KASKO, A.M.",0,0.588,0.294,0.059,0,0,0,0,0,0,0,0.059,0
"BIOENGR C205 - DEMING, T.J.",0.25,0.188,0.312,0.188,0.062,0,0,0,0,0,0,0,0
"BIOENGR C283 - KASKO, A.M.",0,0.333,0.4,0.133,0.067,0,0,0,0,0,0,0,0.067
"BIOENGR CM178 - KASKO, A.M.",0,0.35,0.3,0.05,0.3,0,0,0,0,0,0,0,0
"BIOENGR CM245 - PARK, J.",0.083,0.5,0.083,0.083,0.083,0.083,0.083,0,0,0,0,0,0
"BIOENGR CM278 - KASKO, A.M.",0,0.222,0.278,0.389,0.056,0.056,0,0,0,0,0,0,0
"BIOENGR M182 - DISTEFANO, J.",0.143,0.571,0.048,0.095,0.095,0,0,0.048,0,0,0,0,0
"BIOENGR M260 - LIU, W.",0.08,0.52,0.2,0.08,0,0.08,0.04,0,0,0,0,0,0
"BIOINFO 201 - LI, J.",0.097,0.903,0,0,0,0,0,0,0,0,0,0,0
"BIOINFO 202 - XIAO, X.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BIOINFO 275A - PELLEGRINI, M.",1,0,0,0,0,0,0,0,0,0,0,0,0
"BIOINFO M221 - SUL, J.H.",0.2,0.733,0.067,0,0,0,0,0,0,0,0,0,0
"BIOMATH 170A - SIM, M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BIOMATH M261 - DETELS, R.",0.429,0.464,0.107,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 100A - GJERTSON, D.W.",0.048,0.857,0.095,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 100A - LEE, M.L.",0.015,0.708,0.031,0.015,0.215,0,0.015,0,0,0,0,0,0
"BIOSTAT 200A - GJERTSON, D.W.",0.129,0.839,0.032,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 201A - BELIN, T.R.",0.19,0.556,0.175,0.079,0,0,0,0,0,0,0,0,0
"BIOSTAT 203A - KIM, G.J.",0.189,0.73,0,0.081,0,0,0,0,0,0,0,0,0
"BIOSTAT 213 - RAMIREZ, C.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 216 - BANERJEE, S.",0.143,0.714,0.143,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 273 - RAMIREZ, C.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BIOSTAT M215 - LI, G.",0.333,0.556,0.111,0,0,0,0,0,0,0,0,0,0
"BMD RES 10H - CLARK, I.E.",0.13,0.826,0.043,0,0,0,0,0,0,0,0,0,0
"BMD RES 193H - CLARK, I.E.",1,0,0,0,0,0,0,0,0,0,0,0,0
"BMD RES 194H - CLARK, I.E.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BMD RES 5HA - CLARK, I.E.",0.101,0.775,0.079,0.022,0.022,0,0,0,0,0,0,0,0
"BMD RES 5HB - CLARK, I.E.",0.515,0.485,0,0,0,0,0,0,0,0,0,0,0
"C&EE 120 - BRANDENBERG, S.J.",0.012,0.167,0.298,0.155,0.119,0.083,0.071,0.071,0,0,0.024,0,0
"C&EE 135A - JU, J.",0.241,0.356,0.161,0.092,0.138,0.011,0,0,0,0,0,0,0
"C&EE 141 - PITHEY, K.C.",0.111,0.259,0.185,0.148,0.222,0.037,0,0,0.037,0,0,0,0
"C&EE 150 - MARGULIS, S.A.",0.01,0.301,0.204,0.117,0.204,0.049,0.039,0.039,0,0.029,0.01,0,0
"C&EE 153 - MOHANTY, S.K.",0.155,0.268,0.237,0.139,0.082,0.052,0.041,0.026,0,0,0,0,0
"C&EE 155 - JASSBY, D.",0,0.565,0,0.261,0.13,0,0.043,0,0,0,0,0,0
"C&EE 156A - LAU, S.",0.5,0.389,0.111,0,0,0,0,0,0,0,0,0,0
"C&EE 181 - CAMPBELL, R.J.",0,0.342,0.237,0.184,0.053,0.026,0.105,0,0.053,0,0,0,0
"C&EE 190 - SABOL, T.A.",0.125,0.75,0.125,0,0,0,0,0,0,0,0,0,0
"C&EE 194 - BAUCHY, M.",1,0,0,0,0,0,0,0,0,0,0,0,0
"C&EE 235A - BURTON, H.J.",0.031,0.75,0.156,0.062,0,0,0,0,0,0,0,0,0
"C&EE 235A - TACIROGLU, E.",0.083,0.25,0.417,0.25,0,0,0,0,0,0,0,0,0
"C&EE 243A - WALLACE, J.W.",0,0.556,0.407,0.037,0,0,0,0,0,0,0,0,0
"C&EE 250A - GEBREMICHAEL, M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"C&EE 250A - GEBREMICHAEL, M. LEC 80",0,1,0,0,0,0,0,0,0,0,0,0,0
"C&EE 253 - STENSTROM, M.K.",0,1,0,0,0,0,0,0,0,0,0,0,0
"C&EE 254A - JAY, J.A.",0.353,0.294,0.147,0.176,0,0,0,0,0,0,0,0,0.029
"C&EE 266 - MAHENDRA, S.",0.087,0.652,0.261,0,0,0,0,0,0,0,0,0,0
"C&EE 298 - BAUCHY, M.",0.767,0.233,0,0,0,0,0,0,0,0,0,0,0
"C&EE 298 - ZHENG, X.",0.364,0.636,0,0,0,0,0,0,0,0,0,0,0
"C&EE 91 - SANT, G.",0.085,0.183,0.098,0.085,0.171,0.073,0.049,0.085,0.037,0.012,0.049,0,0.073
"C&EE C239 - MAZZONI, S.",0.074,0.407,0.296,0.148,0.074,0,0,0,0,0,0,0,0
"C&EE ST 130 - LEJKO-LACAN, V.",0.125,0.792,0.083,0,0,0,0,0,0,0,0,0,0
"C&EE ST 91 - GALATEANU, G.",0.441,0.324,0.118,0.059,0.029,0.029,0,0,0,0,0,0,0
"CESC 195CE - BARRERA, D.S.",0.154,0.846,0,0,0,0,0,0,0,0,0,0,0
"CESC 50XP - STAUB, S.D.",0,0.991,0,0,0,0,0,0,0,0,0,0,0.009
"CH ENGR 10 - TANG, Y.",0.01,0.928,0.01,0.021,0.021,0,0,0.01,0,0,0,0,0
"CH ENGR 100 - LI, Y.",0,0.493,0.133,0.173,0.12,0.013,0,0.04,0,0,0.013,0,0.013
"CH ENGR 101A - EISLER, C.N.",0.114,0.62,0.089,0.025,0.114,0.025,0.013,0,0,0,0,0,0
"CH ENGR 104B - SIMONETTI, D.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CH ENGR 106 - LU, Y.",0.031,0.312,0.219,0.312,0.125,0,0,0,0,0,0,0,0
"CH ENGR 109 - CHRISTOFIDES, P.D.",0,0.493,0.247,0.164,0.027,0.041,0.014,0,0,0,0,0,0.014
"CH ENGR 200 - SAUTET, P.",0.143,0.524,0.143,0.143,0,0,0.048,0,0,0,0,0,0
"CH ENGR C115 - AN0BI, N.",0,0.281,0.406,0.188,0.031,0.062,0.031,0,0,0,0,0,0
"CH ENGR C118 - COHEN, Y.",0.029,0.176,0.206,0.353,0.176,0.059,0,0,0,0,0,0,0
"CH ENGR CM145 - PARK, J.",0.083,0.333,0.083,0.042,0.333,0,0.042,0,0.042,0,0,0,0.042
"CH ENGR CM245 - PARK, J.",0,0.4,0.1,0.1,0.3,0.1,0,0,0,0,0,0,0
"CHEM 110A - HUYNH, M.T.",0.043,0.415,0.223,0.085,0.149,0.032,0.032,0.011,0,0.011,0,0,0
"CHEM 113A - LEVINE, A.J.",0.048,0.238,0.143,0.143,0.143,0.095,0.048,0.095,0,0,0.048,0,0
"CHEM 125 - KOPELEVICH, M.",0.208,0.625,0.125,0,0.042,0,0,0,0,0,0,0,0
"CHEM 144 - NELSON, H.M.",0.263,0.342,0,0.079,0.237,0,0,0.026,0,0,0.053,0,0
"CHEM 14A - LAVELLE, L.",0.218,0.144,0.185,0.101,0.07,0.07,0.067,0.067,0.067,0,0.003,0,0.007
