"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"ARCH&UD 289 - CUFF, D.",0,0.652,0.348,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - CUFF, D. LEC 10",0,1,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - ENNEMOSER, B.",0,0.312,0.5,0.188,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - FRANKEL, R.E.",0.278,0.5,0.222,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - SHAFFER, G.",0,0.211,0.421,0.263,0.105,0,0,0,0,0,0,0,0
"ARCH&UD 289 - SU, N.",0,0.4,0,0.4,0.2,0,0,0,0,0,0,0,0
"ARCH&UD 290 - OSMAN, M.",0,0.364,0.273,0.182,0.091,0.091,0,0,0,0,0,0,0
"ARCH&UD 30 - OSMAN, M.",0.012,0.239,0.337,0.092,0.166,0.092,0.031,0.018,0.012,0,0,0,0
"ARCH&UD 401 - ENNEMOSER, B.",0,0.267,0.733,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - HULJICH, G.",0,0.3,0.3,0.4,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - I0BA, J.N.",0,0,0.5,0.389,0.111,0,0,0,0,0,0,0,0
"ARCH&UD 401 - LAI, Y.",0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - LYNN, G.S.",0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - REFUERZO, B.J.",0,0.917,0,0.083,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - SANDMEIER, N.",0.176,0,0.235,0.353,0.235,0,0,0,0,0,0,0,0
"ARCH&UD 401 - SHARIF, M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 411 - FREYINGER, C.P.",0.1,0.2,0.6,0.1,0,0,0,0,0,0,0,0,0
"ARCH&UD 413 - DE0RI, N.M.",0,0.167,0.5,0.333,0,0,0,0,0,0,0,0,0
"ARCH&UD 413 - FEGHALI, Y.",0.25,0.5,0.167,0.083,0,0,0,0,0,0,0,0,0
"ARCH&UD 413 - MIRZAEIAN, N.",0.077,0.308,0.308,0.231,0.077,0,0,0,0,0,0,0,0
"ARCH&UD 413 - RICCIARDI, G.",0.25,0.667,0.083,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 431 - PAULL, M.",0.054,0.351,0.378,0.189,0,0,0,0,0,0,0,0,0.027
"ARCH&UD 461 - LYNCH, T.M.",0.191,0.277,0.213,0.17,0.106,0.043,0,0,0,0,0,0,0
"ARCH&UD M201 - OSMAN, M.",0.049,0.244,0.22,0.341,0.122,0.024,0,0,0,0,0,0,0
"ARMENIA 101A - KOULOUJIAN, H.",0.25,0.5,0.1,0.05,0,0.05,0.05,0,0,0,0,0,0
"ARMENIA 104A - MARTIROSYAN, H.K.",0.429,0.571,0,0,0,0,0,0,0,0,0,0,0
"ARMENIA 171 - KOULOUJIAN, H.",0.053,0.895,0.053,0,0,0,0,0,0,0,0,0,0
"ART 11A - ESTRADA, V.R.",0.294,0.529,0,0.118,0.059,0,0,0,0,0,0,0,0
"ART 11D - GARNETT, M.J.",0.235,0.176,0.529,0.059,0,0,0,0,0,0,0,0,0
"ART 11D - PALAIMA, M.A.",0.733,0.133,0.133,0,0,0,0,0,0,0,0,0,0
"ART 11E - BATURA, T.M.",0.211,0.053,0.211,0.316,0.105,0.053,0,0,0.053,0,0,0,0
"ART 130 - WEISSMAN, B.",0,0.667,0,0,0.333,0,0,0,0,0,0,0,0
"ART 133 - MORRIS, R.J.",0.929,0,0,0.071,0,0,0,0,0,0,0,0,0
"ART 133 - OLSON, A.K.",0.214,0.786,0,0,0,0,0,0,0,0,0,0,0
"ART 140 - SAMUEL, J.M.",0.333,0.167,0.5,0,0,0,0,0,0,0,0,0,0
"ART 145 - MCMILLIAN, R.T.",0,0.267,0.333,0.2,0.2,0,0,0,0,0,0,0,0
"ART 147 - OPIE, C.S.",0.667,0.267,0,0,0.067,0,0,0,0,0,0,0,0
"ART 147 - WOODS, S.A.",0.2,0.8,0,0,0,0,0,0,0,0,0,0,0
"ART 148 - LIN, C.C.",0.235,0.529,0.176,0.059,0,0,0,0,0,0,0,0,0
"ART 150 - PERLMAN, H.",0,0.688,0.062,0.25,0,0,0,0,0,0,0,0,0
"ART 1A - WILLIAMS, J.S.",0.167,0.278,0.222,0.056,0.222,0,0,0,0,0,0,0.056,0
"ART 1B - GREELY, H.M.",0.579,0.368,0,0,0.053,0,0,0,0,0,0,0,0
"ART 21A - JUN, D.H.",0.182,0.727,0,0,0,0,0,0,0,0,0,0,0.091
"ART 271 - ENGLISH, D.E.",0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0
"ART 271 - OTTO-K0PP, S.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ART 273 - MCMILLIAN, R.T.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 274 - VALENZUELA, R.A.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ART 275 - JUGDEO, V.",0.083,0.917,0,0,0,0,0,0,0,0,0,0,0
"ART 276 - FERGUSON, R.",0.231,0.615,0.154,0,0,0,0,0,0,0,0,0,0
"ART 279 - KRUGER, B.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART 279 - LIN, C.C.",0,0.8,0.2,0,0,0,0,0,0,0,0,0,0
"ART 31A - VIKRAM, A.",0.021,0.128,0.106,0.149,0.234,0.191,0.106,0.043,0,0,0.021,0,0
"ART C180 - FERGUSON, R.",0.091,0.818,0,0.091,0,0,0,0,0,0,0,0,0
"ART C280 - FORBES BLACK, H.E.",0.562,0.438,0,0,0,0,0,0,0,0,0,0,0
"ART HIS 100 - 0IR, S.E.",0.083,0.917,0,0,0,0,0,0,0,0,0,0,0
"ART HIS 124 - HARWELL, G.T.",0.043,0.304,0.304,0.239,0.109,0,0,0,0,0,0,0,0
"ART HIS 127A - CHOWDHURY, Z.",0,0.211,0.158,0.132,0.237,0.053,0.053,0.053,0.026,0,0.079,0,0
"ART HIS 132 - METCALF, M.G.",0,0.132,0.316,0.132,0.105,0.079,0.105,0.053,0,0.053,0,0,0.026
"ART HIS 143 - ROSENBLUM, B.T.",0,0.214,0.214,0.25,0.179,0.089,0,0.036,0,0,0,0,0.018
"ART HIS 185 - BAKER, G.T.",0.167,0.417,0.25,0.083,0,0,0,0.083,0,0,0,0,0
"ART HIS 185 - HARWELL, G.T.",0.4,0.267,0.133,0.067,0,0,0.067,0,0,0,0,0,0.067
"ART HIS 202 - UPTON, D.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ART HIS 22 - WILSON, B.",0.013,0.077,0.248,0.372,0.171,0.064,0.03,0.009,0.004,0,0,0,0.013
"ART HIS 228D - BAKER, G.T.",0.2,0.3,0.5,0,0,0,0,0,0,0,0,0,0
"ART HIS 260B - MATHUR, S.",0,0.9,0.1,0,0,0,0,0,0,0,0,0,0
"ART HIS 28 - TAYLOR, L.E.",0.157,0.49,0.137,0.092,0.06,0.016,0.004,0.004,0.016,0.004,0.012,0,0.008
"ART HIS C145A - TAYLOR, L.E.",0.15,0.5,0.125,0.05,0.125,0.025,0,0,0.025,0,0,0,0
"ART HIS C155 - KUMAR, A.M.",0.048,0.262,0.381,0.119,0.119,0,0.048,0,0.024,0,0,0,0
"ART HIS C160 - MATHUR, S.",0.053,0.447,0.303,0.039,0.053,0.053,0.013,0.013,0.013,0,0,0,0.013
"ART&ARC 10 - FRIEDMAN, M.L.",0.299,0.552,0.08,0.025,0.025,0.015,0,0,0,0,0,0,0.005
"ART&ARC 100 - MARKS, V.E.",0.259,0.463,0.111,0.056,0.037,0.056,0,0,0.019,0,0,0,0
"ARTS ED 101 - CAMERON, D.P.",0.091,0.591,0.227,0,0,0.045,0.045,0,0,0,0,0,0
"ARTS ED 101 - ELIZABETH, C.F.",0,0.467,0.333,0.2,0,0,0,0,0,0,0,0,0
"ARTS ED M102 - SYKES, M.M.",0,0.778,0.148,0.037,0.037,0,0,0,0,0,0,0,0
"ASIA AM 107 - HONG, K.",0,0.5,0.167,0.167,0.042,0.083,0.042,0,0,0,0,0,0
"ASIA AM 10W - FONG, K.N.",0.008,0.475,0.339,0.085,0.051,0.017,0,0.008,0,0.008,0,0,0.008
"ASIA AM 112C - LIU, K.",0,0.773,0.136,0.091,0,0,0,0,0,0,0,0,0
"ASIA AM 113 - WANG, L.S.",0.5,0.229,0.171,0.029,0.014,0.014,0.014,0.029,0,0,0,0,0
"ASIA AM 115 - WELTY, L.",0,0.247,0.356,0.247,0.137,0.014,0,0,0,0,0,0,0
"ASIA AM 133 - 0DURATA, E.",0.475,0.271,0.186,0,0.017,0.051,0,0,0,0,0,0,0
"ASIA AM 140SL - CHENG, S.",0,0.812,0.125,0.062,0,0,0,0,0,0,0,0,0
"ASIA AM 171E - TRAN, K.N.",0.296,0.366,0.183,0.042,0.085,0.014,0.014,0,0,0,0,0,0
"ASIA AM 187C - KULKARNI, M.P.",0,0.094,0.25,0.188,0.312,0,0.031,0.031,0,0,0.062,0,0.031
"ASIA AM 195 - NGUYEN-VO, T.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASIA AM 20 - WELTY, L.",0,0.776,0.116,0.061,0.041,0.007,0,0,0,0,0,0,0
"ASIA AM 200A - MATSUMOTO, V.J.",0,0.667,0.333,0,0,0,0,0,0,0,0,0,0
"ASIA AM 30 - ALVES, A.M.",0.524,0.256,0.098,0.012,0.037,0.037,0.012,0,0.012,0,0,0,0.012
"ASIA AM C142A - CHEN, J.T.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASIA AM M161 - SANGALANG, C.C.",0.324,0.206,0.147,0.176,0.088,0,0.029,0,0,0,0.029,0,0
"ASIAN 104 - SOHN, S.S.",0.143,0.452,0.167,0.119,0.071,0,0,0,0.024,0.024,0,0,0
"ASIAN 30 - IWASAKI, S.",0.137,0.474,0.084,0.116,0.095,0.021,0.021,0.011,0.011,0,0.011,0,0.021
"ASIAN M60W - BODIFORD, W.M.",0,0.569,0,0.2,0.108,0.031,0.046,0.015,0,0,0.015,0,0.015
"ASL 1 - LEWIS, B.J.",0.042,0.542,0.125,0.125,0.042,0.042,0.042,0,0.042,0,0,0,0
"ASL 1 - LEWIS, B.J. LEC 2",0.059,0.647,0.059,0.118,0.118,0,0,0,0,0,0,0,0
"ASL 4 - LEWIS, B.J.",0,0.529,0.235,0.118,0.059,0,0,0,0.059,0,0,0,0
"ASTR 180 - FITZGERALD, M.P.",0.174,0.261,0.087,0.087,0.174,0.087,0.13,0,0,0,0,0,0
"ASTR 273 - 0OZ, S.",0.917,0.083,0,0,0,0,0,0,0,0,0,0,0
"ASTR 284 - HANSEN, B.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"ASTR 3 - CONSIGLIO, S.M.",0,0.25,0.213,0.162,0.14,0.066,0.051,0.044,0.029,0.022,0.015,0,0.007
"ASTR 3 - RICH, M.",0.059,0.229,0.242,0.288,0.098,0.033,0.026,0.013,0.013,0,0,0,0
"ASTR 4 - MALKAN, M.A.",0.086,0.086,0.086,0.257,0.114,0.029,0.143,0.057,0.086,0.029,0.029,0,0
"ASTR 5 - TREU, T.L.",0.333,0.195,0.149,0.092,0.057,0.046,0.046,0.023,0.023,0.011,0.011,0,0.011
"BIOENGR 10 - LINSLEY, C.",0.032,0.947,0.011,0,0,0,0.011,0,0,0,0,0,0
"BIOENGR 100 - KAMEI, D.T.",0.011,0.211,0.333,0.089,0.078,0.033,0.011,0.033,0.056,0.056,0.011,0.033,0.044
"BIOENGR 167L - MEYER, A.S.",0.067,0.2,0.3,0.167,0.067,0.133,0.033,0,0,0,0,0,0.033
"BIOENGR 177A - SEIDLITS, S.K.",0.078,0.422,0.484,0,0.016,0,0,0,0,0,0,0,0
"BIOENGR 188 - BARBARIE, S.N.",0.026,0.553,0.237,0.132,0.053,0,0,0,0,0,0,0,0
"BIOENGR C104 - WONG, G.C.",0,0.441,0.235,0.147,0.176,0,0,0,0,0,0,0,0
"BIOENGR C105 - DEMING, T.J.",0.167,0.042,0.125,0.167,0.125,0.208,0,0.083,0.083,0,0,0,0
"BIOENGR C204 - WONG, G.C.",0,0.533,0.2,0.133,0.133,0,0,0,0,0,0,0,0
"BIOENGR C205 - DEMING, T.J.",0.167,0.333,0.167,0.222,0.056,0,0.056,0,0,0,0,0,0
"BIOENGR CM178 - KASKO, A.M.",0,0.294,0.059,0.176,0.176,0.176,0.118,0,0,0,0,0,0
"BIOENGR CM278 - KASKO, A.M.",0,0.25,0.083,0.25,0.417,0,0,0,0,0,0,0,0
"BIOENGR M182 - DISTEFANO, J.",0.267,0.533,0,0,0.067,0.133,0,0,0,0,0,0,0
"BIOENGR M227 - BUI, A.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BIOENGR M260 - LIU, W.",0.083,0.5,0.25,0.167,0,0,0,0,0,0,0,0,0
"BIOINFO 201 - LI, J.",0.167,0.833,0,0,0,0,0,0,0,0,0,0,0
"BIOINFO 202 - XIAO, X.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BIOMATH 205 - LANGE, K.L.",0.083,0.75,0.167,0,0,0,0,0,0,0,0,0,0
"BIOMATH M261 - DETELS, R.",0.118,0.706,0.176,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 100A - GJERTSON, D.W.",0.211,0.789,0,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 100A - LEE, M.L.",0.014,0.479,0.055,0.137,0.205,0.041,0,0.041,0.027,0,0,0,0
"BIOSTAT 100A - LEE, M.L. LEC 2",0.048,0.81,0.048,0.048,0.048,0,0,0,0,0,0,0,0
"BIOSTAT 200A - ARALIS, H.J.",0.042,0.375,0.333,0.125,0.083,0.042,0,0,0,0,0,0,0
"BIOSTAT 201A - BELIN, T.R.",0.205,0.5,0.182,0.068,0.045,0,0,0,0,0,0,0,0
"BIOSTAT 202A - SENTURK, D.",0.286,0.238,0.143,0.048,0.048,0.19,0.048,0,0,0,0,0,0
"BIOSTAT 203A - ARALIS, H.J.",0.107,0.482,0.196,0.071,0.125,0.018,0,0,0,0,0,0,0
"BIOSTAT 216 - ZHOU, H.",0.25,0.75,0,0,0,0,0,0,0,0,0,0,0
"BIOSTAT 273 - RAMIREZ, C.M.",0.071,0.929,0,0,0,0,0,0,0,0,0,0,0
"BIOSTAT M215 - LI, G.",0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"BIOSTAT M236 - WEISS, R.E.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BMD RES 193H - CLARK, I.E.",0,1,0,0,0,0,0,0,0,0,0,0,0
"BMD RES 194H - CLARK, I.E.",0,0.933,0.067,0,0,0,0,0,0,0,0,0,0
"BMD RES 5HA - CLARK, I.E.",0.095,0.5,0.167,0.107,0.083,0,0,0,0.024,0,0.012,0.012,0
"BMD RES 5HB - CLARK, I.E.",0.231,0.769,0,0,0,0,0,0,0,0,0,0,0
"C&EE 120 - BRANDENBERG, S.J.",0.041,0.11,0.137,0.164,0.178,0.137,0.082,0.11,0.027,0,0,0,0.014
"C&EE 135A - JU, J.",0.045,0.242,0.288,0.182,0.076,0.106,0.061,0,0,0,0,0,0
"C&EE 135L - AHLBERG, E.",0,0.85,0.15,0,0,0,0,0,0,0,0,0,0
"C&EE 141 - PITHEY, K.C.",0.048,0.167,0.143,0.119,0.262,0.048,0.048,0.095,0.048,0.024,0,0,0
"C&EE 150 - MARGULIS, S.A.",0.05,0.112,0.1,0.062,0.25,0.125,0.062,0.1,0.062,0.038,0.025,0,0.013
"C&EE 153 - MOHANTY, S.K.",0.24,0.264,0.155,0.171,0.047,0.031,0.054,0.039,0,0,0,0,0
"C&EE 155 - JASSBY, D.",0.143,0.25,0.214,0.143,0.107,0.143,0,0,0,0,0,0,0
"C&EE 156A - LAU, S.",0.167,0.5,0.25,0.083,0,0,0,0,0,0,0,0,0
"C&EE 181 - OKITSU, W.J.",0,0.346,0.231,0.231,0.154,0,0,0.038,0,0,0,0,0
"C&EE 194 - BAUCHY, M.",0.818,0.182,0,0,0,0,0,0,0,0,0,0,0
"C&EE 220 - STEWART, J.P.",0.1,0.3,0.1,0.2,0.2,0,0.1,0,0,0,0,0,0
"C&EE 232 - ZHANG, J.",0.071,0.214,0.286,0.357,0,0.071,0,0,0,0,0,0,0
"C&EE 235A - BURTON, H.J.",0.021,0.404,0.234,0.277,0.043,0.021,0,0,0,0,0,0,0
"C&EE 243A - WALLACE, J.W.",0,0.158,0.263,0.184,0.395,0,0,0,0,0,0,0,0
"C&EE 250A - GEBREMICHAEL, M.",0,0.591,0.273,0.045,0.091,0,0,0,0,0,0,0,0
"C&EE 253 - GAO, H.",0,1,0,0,0,0,0,0,0,0,0,0,0
"C&EE 254A - JAY, J.A.",0.192,0.385,0.231,0.038,0.077,0,0.077,0,0,0,0,0,0
"C&EE 266 - MAHENDRA, S.",0.1,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0
"C&EE 91 - SANT, G.",0.084,0.072,0.084,0.241,0.108,0.205,0.06,0.024,0.036,0.012,0,0.024,0.048
"C&EE C239 - MAZZONI, S.",0.106,0.319,0,0.191,0.34,0,0.021,0,0,0,0,0,0.021
"C&EE ST 130 - LEJKO-LACAN, V.",0.1,0.55,0.15,0.15,0.05,0,0,0,0,0,0,0,0
"C&EE ST 91 - GALATEANU, G.",0.143,0.357,0.143,0.048,0.024,0.095,0.119,0.048,0,0,0,0,0.024
"CAEM 211 - FISCHER, C.J.",0.2,0.3,0.5,0,0,0,0,0,0,0,0,0,0
"CESC 100SL - BARRERA, D.S.",0,0.571,0.214,0.071,0.143,0,0,0,0,0,0,0,0
"CESC 195CE - BARRERA, D.S.",0.148,0.852,0,0,0,0,0,0,0,0,0,0,0
"CESC 50SL - RITTER, Z.S.",0,0.761,0.12,0.009,0.034,0.017,0.009,0,0.009,0,0,0,0.043
"CH ENGR 10 - TANG, Y.",0,0.853,0.11,0,0.018,0.018,0,0,0,0,0,0,0
"CH ENGR 100 - COHEN, Y.",0.088,0.132,0.11,0.11,0.143,0.11,0.132,0.11,0.022,0.011,0.022,0,0.011
