Name ,Address,Latitude,Longitude,ConstructionYear,RetrofitYear,SeismicRating,,,,,,,,,,,,,,,,,,,,,
Psychology Tower/Franz Hall,"502 Portola Plaza, Los Angeles, CA 90095",34.0696422,-118.4412792,1965,-,V,,,,,,,,,,,,,,,,,,,,,
Psychology Building/Franz Hall – 1961 Addition,"503 Portola Plaza, Los Angeles, CA 90095",34.0709666,-118.4410997,1960,-,IV,,,,,,,,,,,,,,,,,,,,,
Public Affairs Tower,"337 Charles E. Young Drive East, Los Angeles, CA 90095",34.0741192,-118.4392242,1960,1997,V,,,,,,,,,,,,,,,,,,,,,
Public Affairs – Data Processing Center,"337 Charles E. Young Drive East, Los Angeles, CA 90095",34.0741192,-118.4392242,1958,-,V,,,,,,,,,,,,,,,,,,,,,
Public Affairs – Arts Library,"337 Charles E. Young Drive East, Los Angeles, CA 90095",34.0741192,-118.4392242,1960,-,V,,,,,,,,,,,,,,,,,,,,,
Semel Institute,"760 Westwood Plaza, Los Angeles, CA 90024",34.0658571,-118.4448153,1961,-,V,,,,,,,,,,,,,,,,,,,,,
Sunset Canyon Recreation Center – Main office and conference center,"111 Easton Drive, Los Angeles, CA 90024",34.0752346,-118.4510674,1965,-,IV,,,,,,,,,,,,,,,,,,,,,
Sunset Canyon Recreation Center – Bueons Ayres Room,"111 Easton Drive, Los Angeles, CA 90024",34.0752346,-118.4510674,1965,-,IV,,,,,,,,,,,,,,,,,,,,,
Sunset Canyon Recreation Center – Santa Fe Room,"111 Easton Drive, Los Angeles, CA 90024",34.0752346,-118.4510674,1965,-,V,,,,,,,,,,,,,,,,,,,,,
Sunset Canyon Recreation Center – Family Pool Restrooms,"111 Easton Drive, Los Angeles, CA 90024",34.0752346,-118.4510674,1965,-,IV,,,,,,,,,,,,,,,,,,,,,
Sunset Canyon Recreation Center – Park Pool Locker Rooms,"111 Easton Drive, Los Angeles, CA 90024",34.0752346,-118.4510674,1965,-,IV,,,,,,,,,,,,,,,,,,,,,
Young Research Library,"280 Charles E. Young Drive North, Los Angeles, CA 90095",34.0749683,-118.4414615,1964,-,V,,,,,,,,,,,,,,,,,,,,,
Kneller House,"372 Hilgard Avenue, Los Angeles, CA 90024",34.0746304,-118.4377362,1929,-,VI,,,,,,,,,,,,,,,,,,,,,
Kinnard House,"10475 Kinnard Avenue, Los Angeles, CA 90024",34.0589192,-118.4277432,1961,-,V,,,,,,,,,,,,,,,,,,,,,
UCLA Nimoy Theater,"1262 Westwood Boulevard, Los Angeles, CA 90024",34.0577424,-118.4428241,1940,-,VI,,,,,,,,,,,,,,,,,,,,,
UCLA Health Santa Monica Wilshire Immediate Care,"2424 Wilshire Boulevard, Santa Monica, CA 90403",34.0344154,-118.4790742,1948,2015,IV,,,,,,,,,,,,,,,,,,,,,
UCLA Health Santa Monica Wilshire Immediate Care,"1821 Wilshire Boulevard, Santa Monica, CA 90403",34.0305817,-118.4847104,1948,-,IV,,,,,,,,,,,,,,,,,,,,,
UCLA Neurology Outpatient Clinic,"1801 Wilshire Boulevard, Santa Monica, CA 90403",34.0301547,-118.4850764,1978,-,IV,,,,,,,,,,,,,,,,,,,,,
UCLA Neurology Outpatient Clinic,"11075 Santa Monica Blvd, Los Angeles, CA 90025",34.0481354,-118.4438280,1980,-,IV,,,,,,,,,,,,,,,,,,,,,
UCLA Spine Center,"1131 Wilshire Boulevard, Santa Monica, CA 90403",34.0252844,-118.4911884,1981,-,IV,,,,,,,,,,,,,,,,,,,,,
UCLA Stein Eye Center,"1807 Wilshire Boulevard, Santa Monica, CA 90403",34.0303862,-118.4851658,1978,-,IV,,,,,,,,,,,,,,,,,,,,,
University Village 3171,"3171 Sepulveda Boulevard, Los Angeles, CA 90034",34.0247146,-118.4269437,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3181,"3181 Sepulveda Boulevard, Los Angeles, CA 90034",34.0242944,-118.4266699,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3191,"3191 Sepulveda Boulevard, Los Angeles, CA 90034",34.0239343,-118.4264647,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village GRG2,"3151 Sepulveda Boulevard, Los Angeles, CA 90034",34.0254318,-118.4276796,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village CCC,"3233 Sepulveda Boulevard, Los Angeles, CA 90034",34.0232291,-118.4263733,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3281,"3281 Sepulveda Boulevard, Los Angeles, CA 90034",34.0226992,-118.4251049,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3260,"3260 Sawtelle Boulevard, Los Angeles, CA 90034",34.0222721,-118.4278880,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3290,"3290 Sawtelle Boulevard, Los Angeles, CA 90066",34.0216699,-118.4276611,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3100,"3100 Sawtelle Boulevard, Los Angeles, CA 90066",34.0254804,-118.4302294,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3110,"3110 Sawtelle Boulevard, Los Angeles, CA 90066",34.0251034,-118.4301382,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3120,"3120 Sawtelle Boulevard, Los Angeles, CA 90066",34.0248900,-118.4299837,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3130,"3130 Sawtelle Boulevard, Los Angeles, CA 90066",34.0246922,-118.4298644,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3140,"3140 Sawtelle Boulevard, Los Angeles, CA 90066",34.0246742,-118.4295869,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3150,"3150 Sawtelle Boulevard, Los Angeles, CA 90066",34.0243834,-118.4296226,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3160,"3160 Sawtelle Boulevard, Los Angeles, CA 90066",34.0241594,-118.4294111,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3170,"3170 Sawtelle Boulevard, Los Angeles, CA 90066",34.0240724,-118.4291841,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3155,"3155 Sepulveda Boulevard, Los Angeles, CA 90034",34.0253474,-118.4273187,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3180,"3180 Sawtelle Boulevard, Los Angeles, CA 90066",34.0238852,-118.4293434,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3200,"3200 Sawtelle Boulevard, Los Angeles, CA 90066",34.0237236,-118.4287779,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3232,"3232 Sawtelle Boulevard, Los Angeles, CA 90066",34.0229563,-118.4284953,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3151,"3151 Sepulveda Boulevard, Los Angeles, CA 90034",34.0254318,-118.4276796,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3234,"3234 Sepulveda Boulevard, Los Angeles, CA 90034",34.0242511,-118.4258261,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3161,"3161 Sepulveda Boulevard, Los Angeles, CA 90034",34.0251027,-118.4272792,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3241,"3241 Sepulveda Boulevard, Los Angeles, CA 90034",34.0228667,-118.4256659,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3251,"3251 Sepulveda Boulevard, Los Angeles, CA 90034",34.0226508,-118.4252858,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3255,"3255 Sepulveda Boulevard, Los Angeles, CA 90034",34.0226040,-118.4251155,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3245,"3245 Sepulveda Boulevard, Los Angeles, CA 90034",34.0225580,-118.4259397,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3195,"3195 Sepulveda Boulevard, Los Angeles, CA 90034",34.0237497,-118.4269044,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3185,"3185 Sepulveda Boulevard, Los Angeles, CA 90034",34.0249808,-118.4268954,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3175,"3175 Sepulveda Boulevard, Los Angeles, CA 90034",34.0246159,-118.4267388,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3165,"3165 Sepulveda Boulevard, Los Angeles, CA 90034",34.0250338,-118.4270700,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3240,"3240 Sawtelle Boulevard, Los Angeles, CA 90066",34.0226469,-118.4282365,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3271,"3271 Sepulveda Boulevard, Los Angeles, CA 90034",34.0219324,-118.4247590,1995,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3280,"3280 Sawtelle Boulevard, Los Angeles, CA 90066",34.0219285,-118.4274913,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3270,"3270 Sawtelle Boulevard, Los Angeles, CA 90066",34.0213308,-118.4273119,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3250,"3250 Sawtelle Boulevard, Los Angeles, CA 90066",34.0223773,-118.4282273,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3265,"3265 Sepulveda Boulevard, Los Angeles, CA 90034",34.0224823,-118.4251513,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3261,"3261 Sepulveda Boulevard, Los Angeles, CA 90034",34.0223072,-118.4250270,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3327,"3327 Sepulveda Boulevard, Los Angeles, CA 90034",34.0214990,-118.4245022,1996,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3300,"3300 Sawtelle Boulevard, Los Angeles, CA 90034",34.0216030,-118.4273544,2003,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3310,"3310 Sawtelle Boulevard, Los Angeles, CA 90034",34.0214148,-118.4272747,2003,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3320,"3320 Sawtelle Boulevard, Los Angeles, CA 90034",34.0212554,-118.4271414,2003,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3340,"3340 Sawtelle Boulevard, Los Angeles, CA 90034",34.0207593,-118.4267328,2003,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3350,"3350 Sawtelle Boulevard, Los Angeles CA 90034",34.0206192,-118.4266078,2003,-,III,,,,,,,,,,,,,,,,,,,,,
University Village 3360,"3360 Sawtelle Boulevard, Los Angeles, CA 90034",34.0204524,-118.4266612,2003,-,III,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
