Date,Location,Breakfast,Lunch/Brunch,Dinner,Extended Dinner
7/3/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/4/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/4/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/5/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/5/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/6/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/6/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/7/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/7/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/8/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/8/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/9/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/9/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/10/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/10/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/11/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/11/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/12/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/12/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/13/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/13/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/14/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/14/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/15/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/15/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/16/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/16/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/17/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/17/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/18/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/18/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/19/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/19/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/20/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/20/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/21/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/21/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/22/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/22/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/23/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/23/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/24/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/24/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/25/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/25/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/26/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/26/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/27/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/27/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/28/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/28/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/29/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/29/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/30/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/30/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/31/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/31/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/1/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/1/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/2/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/2/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/3/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/3/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/4/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/4/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/5/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/5/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/6/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/6/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/7/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/7/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/8/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/8/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/9/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/9/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/10/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/10/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/11/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/11/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/12/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/12/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/13/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/13/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/14/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/14/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/15/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/15/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/16/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/16/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/17/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/17/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/18/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/18/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/19/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/19/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/20/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/20/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/21/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/21/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/22/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/22/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/23/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/23/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/24/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/24/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/25/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/25/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/26/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/26/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/27/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/27/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/28/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/28/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/29/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/29/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/30/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/30/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/31/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
8/31/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/1/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/1/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/2/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/2/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/3/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/3/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/4/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/4/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/5/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/5/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/6/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/6/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/7/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/7/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/8/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/8/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/9/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/9/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/10/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/10/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/11/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/11/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/12/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/12/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/13/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/13/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/14/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/14/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/15/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/15/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/16/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/16/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/17/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/17/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/18/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/18/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/19/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/19/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/20/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/20/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/21/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/21/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/22/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/22/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  The Taco Cartel  Yuna's Bob,5 p.m. - 9 p.m.  Smile Hotdog  Dina's Dumpling,CLOSED
9/23/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
9/23/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Perro 1-10 Tacos  Heritage Kitchen,5 p.m. - 9 p.m.  Salpicon  The Bollywood Kitchen,CLOSED
9/24/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Kalamaki Greek Street Food  Wafl,5 p.m. - 9 p.m.  Kalamaki Greek Street Food  Wafl,CLOSED
9/24/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Go Fusion N Grill  Perro 1-10 Tacos,5 p.m. - 9 p.m.  Go Fusion N Grill  Perro 1-10 Tacos,CLOSED
9/25/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Heritage Kitchen  Yuna's Bob,5 p.m. - 9 p.m.  Smile Hotdog  Sugo Italiano,CLOSED
9/25/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  The Taco Cartel  Flamin Hot Chicken,5 p.m. - 9 p.m.  Yalla  The Taco Cartel,CLOSED
9/26/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Original Herbivore  Habibi Shack,5 p.m. - 9 p.m.  Habibi Shack  Aloha Fridays,CLOSED
9/26/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Pinch of Flavor  Heritage Kitchen,5 p.m. - 9 p.m.  Yalla  Cerda Vega Tacos,CLOSED
9/27/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Sugo Italiano  Dina's Dumpling,5 p.m. - 9 p.m.  Aloha Fridays  Heritage Kitchen,CLOSED
9/27/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  StopBye Cafe  The Taco Cartel,5 p.m. - 9 p.m.  Kalamaki Greek Street Food  Poutine Brothers,CLOSED
9/28/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Aloha Fridays  Yuna's Bob,5 p.m. - 9 p.m.  Poutine Brothers  Dina's Dumpling,9 p.m. - 12 a.m.  Poutine Brothers  Original Herbivore
9/28/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  StopBye Cafe  Habibi Shack,5 p.m. - 9 p.m.  Cerda Vega Tacos  Habibi Shack,9 p.m. - 12 a.m.  Creamy Boys  Pinch of Flavor
9/29/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Habibi Shack  Poutine Brothers,5 p.m. - 9 p.m.  Wafl  Smile Hotdog,9 p.m. - 12 a.m.  Wafl  Salpicon
9/29/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Sugo Italiano  Dina's Dumpling,5 p.m. - 9 p.m.  Kalamaki Greek Street Food  Uncle Al's Barbeque,9 p.m. - 12 a.m.  Big Softee  Uncle Al's Barbeque
9/30/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  8E8 Thai Street Food  Dina's Dumpling,5 p.m. - 9 p.m.  StopBye Cafe  Aloha Fridays,9 p.m. - 12 a.m.  StopBye Cafe  Aloha Fridays
9/30/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Perro 1-10 Tacos  Smile Hotdog,5 p.m. - 9 p.m.  Perro 1-10 Tacos  The Bollywood Kitchen,9 p.m. - 12 a.m.  BittieBitez Mini-Donuts  The Bollywood Kitchen
10/1/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Flamin Hot Chicken  Poutine Brothers,5 p.m. - 9 p.m.  Flamin Hot Chicken  StopBye Cafe,9 p.m. - 12 a.m.  StopBye Cafe  Smile Hotdog
10/1/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Pinch of Flavor  Aloha Fridays,5 p.m. - 9 p.m.  Aloha Fridays  Pinch of Flavor,9 p.m. - 12 a.m.  BittieBitez Mini-Donuts  Perro 1-10 Tacos
10/2/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Yuna's Bob  Dina's Dumpling,5 p.m. - 9 p.m.  Smile Hotdog  Original Herbivore,9 p.m. - 12 a.m.  Smile Hotdog  Kalamaki Greek Street Food
10/2/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Pinch of Flavor  The Taco Cartel,5 p.m. - 9 p.m.  Flamin Hot Chicken  The Taco Cartel,9 p.m. - 12 a.m.  BittieBitez Mini-Donuts  Flamin Hot Chicken
10/3/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Yuna's Bob  Kalamaki Greek Street Food,5 p.m. - 9 p.m.  Flaming Grain  8E8 Thai Street Food,9 p.m. - 12 a.m.  Cerda Vega Tacos  Flamin Hot Chicken
10/3/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Sugo Italiano  Habibi Shack,5 p.m. - 9 p.m.  Heritage Kitchen,9 p.m. - 12 a.m.  Big Softee  Pinch of Flavor
10/4/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Heritage Kitchen  The Taco Cartel,5 p.m. - 9 p.m.  Heritage Kitchen  Original Herbivore,9 p.m. - 12 a.m.  Smile Hotdog  Original Herbivore
10/4/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Dina's Dumpling  Aloha Fridays,5 p.m. - 9 p.m.  Yalla  Aloha Fridays,9 p.m. - 12 a.m.  Dulce Europa Shaved Ice  Yalla
10/5/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Go Fusion N Grill  Yuna's Bob,5 p.m. - 9 p.m.  Smile Hotdog  Kalamaki Greek Street Food,9 p.m. - 12 a.m.  Smile Hotdog
10/5/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Flaming Grain  Cerda Vega Tacos,5 p.m. - 9 p.m.  Flaming Grain  Heritage Kitchen,9 p.m. - 12 a.m.  Salpicon  Wafl
10/6/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  StopBye Cafe  Flaming Grain,5 p.m. - 9 p.m.  Wafl  Yalla,9 p.m. - 12 a.m.  Wafl  Original Herbivore
10/6/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Dina's Dumpling  Habibi Shack,5 p.m. - 9 p.m.  Smile Hotdog  Habibi Shack,9 p.m. - 12 a.m.  Creamy Boys  Flamin Hot Chicken
10/7/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  StopBye Cafe  Original Herbivore,5 p.m. - 9 p.m.  StopBye Cafe  Original Herbivore,9 p.m. - 12 a.m.  Smile Hotdog  Wafl
10/7/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Flaming Grain  Perro 1-10 Tacos,5 p.m. - 9 p.m.  Flamin Hot Chicken  Perro 1-10 Tacos,9 p.m. - 12 a.m.  Creamy Boys  Flamin Hot Chicken
10/8/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Wafl  StopBye Cafe,5 p.m. - 9 p.m.  Wafl  StopBye Cafe,9 p.m. - 12 a.m.  Original Herbivore  Smile Hotdog
10/8/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Perro 1-10 Tacos  Dina's Dumpling,5 p.m. - 9 p.m.  Perro 1-10 Tacos  Kalamaki Greek Street Food,9 p.m. - 12 a.m.  BittieBitez Mini-Donuts  Kalamaki Greek Street Food
10/9/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Dina's Dumpling  Sugo Italiano,5 p.m. - 9 p.m.  Sugo Italiano  Yalla,9 p.m. - 12 a.m.  Original Herbivore  Wafl
10/9/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Yuna's Bob  Pinch of Flavor,5 p.m. - 9 p.m.  Poppa Joe's Kitchen  Pinch of Flavor,9 p.m. - 12 a.m.  Creamy Boys  Flamin Hot Chicken
10/10/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Heritage Kitchen  Sugo Italiano,5 p.m. - 9 p.m.  Heritage Kitchen  Yuna's Bob,9 p.m. - 12 a.m.  Pinch of Flavor  The Taco Cartel
10/10/2023,Sproul Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Cerda Vega Tacos  Habibi Shack,5 p.m. - 9 p.m.  Perro 1-10 Tacos  Habibi Shack,9 p.m. - 12 a.m.  Creamy Boys  Perro 1-10 Tacos
10/11/2023,Rieber Turnaround Food Trucks ,CLOSED,11 a.m. - 3 p.m.  Heritage Kitchen  Poppa Joe's Kitchen,5 p.m. - 9 p.m.  Original Herbivore,9 p.m. - 12 a.m.  The Taco Cartel
