stat,stat_value,season,school,player
FT_pct,0.9211,2014,UNC Asheville,Andrew Rowsey
FT_pct,0.9211,1998,Louisiana Tech,Lonnie Cooper
FT_pct,0.9209,2016,Wofford,Eric Garcia
FT_pct,0.9204,2004,Illinois State,Vince Greene
FT_pct,0.9204,1995,Stanford,Dion Cross
FT_pct,0.9204,1992,Utah,Josh Grant
FT_pct,0.92,2002,Canisius,Brian Dux
FT_pct,0.9197,2011,Central Connecticut State,Robby Ptacek
FT_pct,0.9195,2007,Utah State,Jaycee Carroll
FT_pct,0.9194,2007,Miami (FL),Jack McClinton
FT_pct,0.9189,2005,New Hampshire,Jermaine Anderson
FT_pct,0.9189,2002,Duke,J.J. Redick
FT_pct,0.9187,2014,San Diego,Johnny Dee
FT_pct,0.9185,2016,George Mason,Otis Livingston
FT_pct,0.9182,2013,Southern Mississippi,Neil Watson
FT_pct,0.918,2007,Belmont,Justin Hare
FT_pct,0.9176,2021,Incarnate Word,RJ Glasper
FT_pct,0.9176,2002,Chattanooga,Tim Parker
FT_pct,0.9174,2019,Northern Iowa,AJ Green
FT_pct,0.9173,2014,Towson,Four McGlynn
FT_pct,0.9173,2010,Columbia,Brian Barbour
FT_pct,0.9171,2009,Nevada,Luke Babbitt
FT_pct,0.9167,2020,Detroit Mercy,Antoine Davis
FT_pct,0.9167,2009,Brigham Young,Tyler Haws
FT_pct,0.9167,2006,Western Michigan,David Kool
FT_pct,0.9158,2000,Detroit Mercy,Rashad Phillips
FT_pct,0.9155,2021,Norfolk State,Joe Bryant
FT_pct,0.9151,2017,Louisiana Tech,Jacobi Boykins
FT_pct,0.915,2021,Northern Iowa,AJ Green
FT_pct,0.9146,2007,Eastern Illinois,Julio Anthony
FT_pct,0.9145,1993,Colorado State,Ryan Yoder
FT_pct,0.9143,2003,Belmont,Steve Drabyn
FT_pct,0.9143,2003,Stanford,Chris Hernandez
FT_pct,0.9137,2017,Bethune-Cookman,Brandon Tabb
FT_pct,0.9135,2013,Cal State Northridge,Josh Greene
FT_pct,0.913,2014,Bryant,Dyami Starks
FT_pct,0.913,2005,Clemson,Shawan Robinson
FT_pct,0.9126,2013,Towson,Four McGlynn
FT_pct,0.9125,2020,Lafayette,Justin Jaworski
FT_pct,0.9124,2018,Long Beach State,Deishuan Booker
FT_pct,0.9123,2006,Green Bay,Mike Schachtner
FG_pct,0.8,2016,UNC Wilmington,Devontae Cacok
FG_pct,0.7701,2017,Kansas,Udoka Azubuike
FG_pct,0.7479,2019,Kansas,Udoka Azubuike
FG_pct,0.756,1997,UCLA,Jelani McCoy
FG_pct,0.7143,2015,Belmont,Evan Bradds
FG_pct,0.7076,2001,Belmont,Adam Mark
FG_pct,0.7075,2020,Grand Canyon,Asbjorn Midtgaard
FG_pct,0.6971,1999,North Carolina,Brendan Haywood
FG_pct,0.6958,2007,UNC Asheville,Kenny George
FG_pct,0.6946,1993,Long Beach State,Mike Atkinson
FG_pct,0.6941,2012,Stephen F. Austin,Taylor Smith
FG_pct,0.6931,2011,Missouri,Ricardo Ratliffe
FG_pct,0.6921,2000,Villanova,Michael Bradley
FG_pct,0.6877,2014,Belmont,Evan Bradds
FG_pct,0.6872,2018,Gonzaga,Brandon Clarke
FG_pct,0.683,1994,Bowling Green State,Shane Kline-Ruminski
FG_pct,0.6805,2018,Duke,Zion Williamson
FG_pct,0.679,2015,Eastern Washington,Venky Jois
FG_pct,0.6787,2019,McNeese State,Shamarkus Kennedy
FG_pct,0.678,2003,Western Kentucky,Nigel Dixon
FG_pct,0.6778,2006,Hampton,Michael Freeman
FG_pct,0.6773,2005,Providence,Randall Hanke
FG_pct,0.6764,1996,Washington,Todd MacCulloch
FG_pct,0.6757,2016,Creighton,Justin Patton
FG_pct,0.6752,1995,Montana State,Quadre Lollis
FG_pct,0.6739,1998,Liberty,Delawn Grandison
FG_pct,0.6722,2017,Eastern Michigan,James Thompson IV
FG_pct,0.6715,2006,Georgetown,Roy Hibbert
FG_pct,0.6715,2017,North Carolina Central,Raasean Davis
FG_pct,0.6714,1994,Davidson,George Spain
FG_pct,0.6707,2019,Florida International,Osasumwen Osaghae
FG_pct,0.6707,2016,Tennessee-Martin,Javier Martinez
FG_pct,0.6702,1996,Central Connecticut State,Sean Scott
FG_pct,0.67,2002,Belmont,Adam Mark
FG_pct,0.6692,2016,Loyola (IL),Aundre Jackson
FG_pct,0.6691,2018,Holy Cross,Jehyve Floyd
FG_pct,0.668,2000,Iona,Nakiea Miller
FG_pct,0.668,2017,Holy Cross,Jehyve Floyd
FG_pct,0.6677,1996,McNeese State,Rosell Ellis
FG_pct,0.6667,2012,North Dakota State,Marshall Bjorklund
FG_pct,0.6667,2007,UNC Wilmington,Vladimir Kuljanin
FG_pct,0.6667,2006,Toledo,Florentino Valencia
FG_pct,0.6656,2018,Dayton,Obi Toppin
FG_pct,0.6654,2021,Akron,Enrique Freeman
FG_pct,0.6647,2001,Duke,Carlos Boozer
FG_pct,0.6643,2014,Duke,Jahlil Okafor
FG_pct,0.6629,2003,Dayton,Sean Finn
FG_pct,0.6626,2006,UNC Wilmington,Vladimir Kuljanin
FG_pct,0.6625,1998,Washington,Todd MacCulloch
FG_pct,0.662,2015,Texas Southern,Derrick Griffin
FG_pct,0.6619,2003,Belmont,Adam Mark
FG_pct,0.6619,2005,Texas A&M-Corpus Christi,Cedric Smith
FG_pct,0.6617,2004,Hampton,Bruce Brown
FG_pct,0.6616,2002,Maine,Rickey White
FG_pct,0.6605,2018,Arkansas,Daniel Gafford
FG_pct,0.6604,2014,North Carolina Central,Jordan Parks
FG_pct,0.66,2008,Arizona State,Jeff Ayres
FG_pct,0.6598,2015,Hofstra,Rokas Gustys
FG_pct,0.6577,1992,Houston,Bo Outlaw
FG_pct,0.6561,1995,Nevada,Daniel Watts
FG_pct,0.655,2020,Ohio,Dwight Wilson
FG_pct,0.6547,2020,Gonzaga,Drew Timme
FG_pct,0.6544,2020,Illinois,Kofi Cockburn
FG_pct,0.654,1992,Xavier,Brian Grant
FG_pct,0.6539,1995,Centenary (LA),Lincoln Abrams
FG_pct,0.6539,1994,North Carolina,Rasheed Wallace
FG_pct,0.6537,1992,Iona,Harry Hart
FG_pct,0.6536,2008,Oklahoma,Blake Griffin
FG_pct,0.6524,2006,Norfolk State,Calvin Brown
FG_pct,0.6518,1992,Duke,Cherokee Parks
FG_pct,0.6517,1993,Texas State,Lynwood Wade
FG_pct,0.6516,1998,Georgia State,Quincy Gause
FG_pct,0.6515,2004,Utah State,Nate Harris
FG_pct,0.651,1992,Ohio,Gary Trent
FG_pct,0.6506,1993,Michigan State,Anthony Miller
FG_pct,0.6503,1997,Washington,Todd MacCulloch
FG_pct,0.6498,2015,Florida International,Adrian Diaz
FG_pct,0.6498,1997,Little Rock,Ryan Moss
FG_pct,0.6489,2021,Dayton,DaRon Holmes II
FG_pct,0.6482,2021,Purdue,Zach Edey
FG_pct,0.6479,2013,Murray State,Jarvis Williams
FG_pct,0.6474,2007,Boise State,Matt Nelson
FG_pct,0.6473,1996,Ohio,Ed Sears
FG_pct,0.6471,2015,Fordham,Ryan Rhoomes
FG_pct,0.6471,2007,Saint Joseph's,Ahmad Nivins
FG_pct,0.6459,2015,Utah,Jakob Poeltl
FG_pct,0.6459,2006,North Carolina,Brandan Wright
FG_pct,0.6458,2017,Dayton,Josh Cunningham
FG_pct,0.6455,2021,Creighton,Ryan Kalkbrenner
FG_pct,0.6454,2018,North Carolina Central,Raasean Davis
FG_pct,0.6454,2015,Eastern Michigan,James Thompson IV
FG_pct,0.645,1996,Tennessee Tech,Lorenzo Coleman
FG_pct,0.6446,2016,Chattanooga,Justin Tuoyo
FG_pct,0.6436,2021,Florida Gulf Coast,Kevin Samuel
FG_pct,0.6432,2016,Eastern Washington,Jacob Wiley
FG_pct,0.6429,1998,Little Rock,Ryan Moss
FG_pct,0.6426,2002,Colorado State,Matt Nelson
FG_pct,0.6423,2019,Wofford,Chevez Goodwin
FG_pct,0.642,2007,George Mason,Will Thomas
FG_pct,0.6419,1992,Wright State,Mike Nahar
FG_pct,0.6417,2019,Kentucky,Nick Richards
FG_pct,0.6417,1995,George Washington,Alexander Koul
2PT_pct,0.8196,2018,Little Rock,Kris Bankston
2PT_pct,0.8095,2019,Winthrop,Chase Claxton
2PT_pct,0.8,2016,UNC Wilmington,Devontae Cacok
2PT_pct,0.7848,2020,Quinnipiac,Seth Pinkney
2PT_pct,0.7734,2009,Ohio State,Dallas Lauderdale
2PT_pct,0.7701,2017,Kansas,Udoka Azubuike
2PT_pct,0.7609,2005,Virginia Military Institute,Matt Murrer
2PT_pct,0.7562,1996,UCLA,Jelani McCoy
2PT_pct,0.756,2016,Florida Gulf Coast,Demetris Morant
2PT_pct,0.75,2020,Tulsa,Darien Jackson
2PT_pct,0.75,2015,Central Florida,Tacko Fall
2PT_pct,0.75,2003,Virginia Military Institute,Matt Murrer
2PT_pct,0.75,1998,Liberty,Delawn Grandison
2PT_pct,0.7486,2001,Belmont,Adam Mark
2PT_pct,0.7479,2019,Kansas,Udoka Azubuike
2PT_pct,0.7476,2018,Central Florida,Tacko Fall
2PT_pct,0.7472,2018,Duke,Zion Williamson
2PT_pct,0.7415,2013,Southern Illinois-Edwardsville,Keaton Jackson
2PT_pct,0.7404,2020,Akron,Enrique Freeman
2PT_pct,0.7401,1994,Bowling Green State,Shane Kline-Ruminski
2PT_pct,0.74,1997,Texas State,Carlos Morris
2PT_pct,0.7376,2008,UC Davis,Mark Payne
2PT_pct,0.7371,2021,Gonzaga,Chet Holmgren
2PT_pct,0.7363,2002,Pittsburgh,Chevon Troutman
2PT_pct,0.7328,2009,Oklahoma State,Matt Pilgrim
2PT_pct,0.7315,2016,UCLA,Lonzo Ball
2PT_pct,0.7278,2018,Texas,Jaxson Hayes
2PT_pct,0.7273,2008,Northern Arizona,Shane Johannsen
2PT_pct,0.7267,2000,Villanova,Michael Bradley
2PT_pct,0.7267,2010,Northern Arizona,Shane Johannsen
2PT_pct,0.7266,2000,Chattanooga,Dusty Pullian
2PT_pct,0.726,2017,Alabama,Donta Hall
2PT_pct,0.7256,2021,Western Kentucky,Jamarion Sharp
2PT_pct,0.7235,2021,Duke,Mark Williams
2PT_pct,0.7229,2002,Belmont,Adam Mark
2PT_pct,0.7228,2020,Grand Canyon,Asbjorn Midtgaard
2PT_pct,0.7218,2016,Morehead State,Treshaad Williams
2PT_pct,0.7217,2015,Drake,Dominik Olejniczak
2PT_pct,0.7217,2004,Providence,Randall Hanke
2PT_pct,0.7214,2015,UC Santa Barbara,Sam Beeler
2PT_pct,0.7212,2015,Belmont,Evan Bradds
2PT_pct,0.7211,1998,Gonzaga,Casey Calvary
2PT_pct,0.7197,2017,Fairfield,Jonathan Kasibabu
2PT_pct,0.7188,2014,Wyoming,Derek Cooke
2PT_pct,0.7185,2005,Utah,Chris Jackson
2PT_pct,0.7179,2016,Central Florida,Tacko Fall
2PT_pct,0.7174,2006,Virginia Military Institute,Matt Murrer
2PT_pct,0.7164,2017,Northeastern,Anthony Green
2PT_pct,0.7161,2017,Texas Southern,Trayvon Reed
2PT_pct,0.7156,2021,Western Carolina,Marlow Gilmore
2PT_pct,0.7143,2018,Murray State,K.J. Williams
2PT_pct,0.7135,2018,Hofstra,Jacquil Taylor
2PT_pct,0.7133,1997,Southern Mississippi,Vandarel Jones
2PT_pct,0.713,2021,Marquette,Kur Kuath
2PT_pct,0.7122,2021,Oral Roberts,Elijah Lufile
2PT_pct,0.7115,2001,Hampton,David Johnson
2PT_pct,0.7111,2012,Tennessee Tech,Dennis Ogbe
2PT_pct,0.7109,2017,Arizona State,De'Quon Lake
2PT_pct,0.7107,2020,Gonzaga,Anton Watson
2PT_pct,0.7107,2021,Norfolk State,Kris Bankston
2PT_pct,0.7095,2019,Wofford,Messiah Jones
2PT_pct,0.7072,2002,Dayton,Sean Finn
2PT_pct,0.707,2013,UC Irvine,Mamadou Ndiaye
2PT_pct,0.707,2015,Indiana,Thomas Bryant
2PT_pct,0.7068,2016,Vermont,Darren Payen
2PT_pct,0.7064,2020,Hofstra,Kvonn Cramer
2PT_pct,0.7055,2018,Grand Canyon,Michael Finke
2PT_pct,0.7054,2009,Southern,Julius Ingram
2PT_pct,0.7054,2021,New Mexico State,Johnny McCants
2PT_pct,0.7047,2018,Gonzaga,Brandon Clarke
2PT_pct,0.7041,2013,Tennessee Tech,Dennis Ogbe
2PT_pct,0.7035,2021,Miami (OH),Precious Ayah
2PT_pct,0.7035,2021,Brown,Jaylan Gainey
2PT_pct,0.7033,2020,Stephen F. Austin,David Kachelries
2PT_pct,0.7031,2014,Belmont,Evan Bradds
2PT_pct,0.7021,1993,Appalachian State,Ricky Nedd
2PT_pct,0.702,2018,Yale,Paul Atkinson
2PT_pct,0.7019,2015,Creighton,Geoffrey Groselle
2PT_pct,0.7018,2021,Auburn,Walker Kessler
2PT_pct,0.7015,2012,Memphis,D.J. Stephens
2PT_pct,0.7012,2021,Manhattan,Josh Roberts
2PT_pct,0.7011,2011,Stephen F. Austin,Taylor Smith
2PT_pct,0.7009,2003,UT Arlington,Donny Beacham
2PT_pct,0.7008,2017,Dayton,Josh Cunningham
2PT_pct,0.7,2013,Michigan,Jordan Morgan
2PT_pct,0.7,1992,Appalachian State,Ricky Nedd
2PT_pct,0.6995,2014,Northern Kentucky,Jalen Billups
2PT_pct,0.6994,2011,George Washington,David Pellom
2PT_pct,0.6993,2018,Texas A&M,Josh Nebo
2PT_pct,0.699,2021,California Baptist,Juhlawnei Stone
2PT_pct,0.6987,2018,Liberty,Scottie James
2PT_pct,0.6986,2010,Iona,Alejo Rodriguez
2PT_pct,0.6984,2016,North Carolina Central,Pablo Rivas
2PT_pct,0.6984,2019,Dayton,Obi Toppin
2PT_pct,0.6983,2020,Radford,Shaquan Jules
2PT_pct,0.6981,2005,Birmingham-Southern,Sredrick Powe
2PT_pct,0.6981,2000,Bowling Green State,Josh Almanson
2PT_pct,0.698,2020,Belmont,Grayson Murphy
2PT_pct,0.6979,2016,Loyola (IL),Aundre Jackson
2PT_pct,0.6977,2021,Alabama,Charles Bediako
3PT_pct,0.5603,2013,Duquesne,Micah Mason
3PT_pct,0.5467,2016,Marquette,Markus Howard
3PT_pct,0.5409,2016,Kennesaw State,Nick Masterson
3PT_pct,0.5329,1992,Sam Houston State,Roosevelt Moore
3PT_pct,0.5288,1992,Kentucky,Travis Ford
3PT_pct,0.525,2008,UCLA,Darren Collison
3PT_pct,0.5205,2017,William & Mary,Connor Burchfield
3PT_pct,0.5128,1997,New Mexico,Royce Olney
3PT_pct,0.5108,2003,San Diego,Brad Lechtenberg
3PT_pct,0.5092,1998,Northern Arizona,Ross Land
3PT_pct,0.5064,2015,Middle Tennessee,Giddy Potts
3PT_pct,0.5042,2004,Arizona,Salim Stoudamire
3PT_pct,0.5022,2010,Ohio State,Jon Diebler
3PT_pct,0.5,2006,Texas A&M,Josh Carter
3PT_pct,0.5,2006,Bradley,Jeremy Crouch
3PT_pct,0.5,1994,Green Bay,Chris Westlake
3PT_pct,0.4978,2007,Utah State,Jaycee Carroll
3PT_pct,0.4974,2010,Southern Methodist,Robert Nyakundi
3PT_pct,0.4973,2018,Norfolk State,Derrik Jamerson
3PT_pct,0.4949,2017,Saint Francis (PA),Andre Wolford
3PT_pct,0.4947,1999,Central Florida,Jason Thornton
3PT_pct,0.4933,2002,Pennsylvania,Jeff Schiffner
3PT_pct,0.4924,2004,Marist,Will Whittington
3PT_pct,0.4906,2013,High Point,Devante Wallace
3PT_pct,0.4906,1998,Green Bay,Ryan Borowicz
3PT_pct,0.4904,2010,Pittsburgh,Ashton Gibbs
3PT_pct,0.4901,2006,Northern Arizona,Stephen Sir
3PT_pct,0.4895,2005,Northern Arizona,Stephen Sir
3PT_pct,0.4885,2018,Lafayette,Justin Jaworski
3PT_pct,0.4879,2014,UC Davis,Corey Hawkins
3PT_pct,0.4876,2003,Mercer,James Odoms
3PT_pct,0.4875,2010,Weber State,Scott Bamforth
3PT_pct,0.4872,2017,Marquette,Sam Hauser
3PT_pct,0.4868,2003,Samford,Tyson Dorsey
3PT_pct,0.4855,2020,Hampton,Chris Shelton
3PT_pct,0.4847,1997,Oral Roberts,Tim Gill
3PT_pct,0.4843,2011,High Point,Nick Barbour
3PT_pct,0.4841,1994,Montana,Jeremy Lake
3PT_pct,0.484,1993,Boston College,Howard Eisley
3PT_pct,0.4836,2004,Ball State,Dennis Trammell
3PT_pct,0.482,2011,Belmont,Drew Hanlen
3PT_pct,0.4807,2015,Michigan State,Bryn Forbes
3PT_pct,0.4806,2008,Eastern Kentucky,Mike Rose
3PT_pct,0.4804,2014,Longwood,Quincy Taylor
3PT_pct,0.4802,2007,New Mexico,Chad Toppert
3PT_pct,0.4796,2014,Tennessee-Martin,Alex Anderson
3PT_pct,0.4795,2002,Creighton,Kyle Korver
3PT_pct,0.4795,1994,Stanford,Dion Cross
3PT_pct,0.4793,2001,Wright State,Cain Doliboa
3PT_pct,0.4789,2015,Wofford,Fletcher Magee
3PT_pct,0.4789,2007,Valparaiso,Shawn Huff
3PT_pct,0.4786,2007,La Salle,Darnell Harris
3PT_pct,0.4783,2013,Arkansas State,Melvin Johnson
3PT_pct,0.478,2009,Portland,Jared Stohl
3PT_pct,0.4778,2006,Rhode Island,Jimmy Baron
3PT_pct,0.4775,1995,Drexel,Mike Derocckis
3PT_pct,0.4771,2005,Stephen F. Austin,Josh Alexander
3PT_pct,0.477,2019,UC Davis,Stefan Gonzalez
3PT_pct,0.4769,2009,Ohio,Tommy Freeman
3PT_pct,0.4769,2007,TCU,Henry Salter
3PT_pct,0.4767,2018,Fairleigh Dickinson,Darnell Edge
3PT_pct,0.4765,1992,Valparaiso,Casey Schmidt
3PT_pct,0.4764,2008,Creighton,Booker Woodfox
3PT_pct,0.4762,2006,Texas A&M-Corpus Christi,Josh Washington
3PT_pct,0.4762,2005,Samford,Robert Merritt
3PT_pct,0.4756,2003,Stephen F. Austin,Antonio Burks
3PT_pct,0.4756,1996,Radford,Corey Reed
3PT_pct,0.4755,2006,Arkansas State,Adrian Banks
3PT_pct,0.4751,2007,Texas-Rio Grande Valley,Paul Stoll
3PT_pct,0.4751,1996,Kent State,D.J. Bosse
3PT_pct,0.4744,2005,UC Irvine,Ross Schraeder
3PT_pct,0.4741,1994,Michigan State,Shawn Respert
3PT_pct,0.4737,1997,Old Dominion,Mark Poag
3PT_pct,0.4737,1992,Hofstra,Demetrius Dudley
3PT_pct,0.4734,2017,New Mexico,Anthony Mathis
3PT_pct,0.473,2021,UC San Diego,Jake Kosakowski
3PT_pct,0.4727,2000,Nebraska,Cary Cochran
3PT_pct,0.4725,2020,Toledo,Spencer Littleson
3PT_pct,0.4722,2006,New Orleans,James Parlow
3PT_pct,0.4721,1993,Oklahoma State,Brooks Thompson
3PT_pct,0.472,1996,Michigan,Louis Bullock
3PT_pct,0.4718,2017,Massachusetts,Carl Pierre
3PT_pct,0.4717,2013,Sacramento State,Dylan Garrity
3PT_pct,0.4717,2005,Stanford,Chris Hernandez
3PT_pct,0.4713,1997,Richmond,Jarod Stevenson
3PT_pct,0.4713,1996,Northern Arizona,Andrew Mavis
