stat,stat_value,season,school,player
FT_pct,0.942,2002, UConn (I),Sue Bird
FT_pct,0.922,2018,UCLA,Japreece Dean
rebounds,635,1982, Quinnipiac (II),Francine Perry
rebounds,617,2017, Lancaster Bible (III),Courtney Goyak
rebounds,579,1982, New Jersey City (III),Carla Gadsden
rebounds,563,2018, George Mason (I),Natalie Butler
rebounds,544,2018, Mississippi St. (I),Teaira McCowan
rebounds,539,2006, Oklahoma (I),Courtney Paris
rebounds,536,2015, Oral Roberts (I),Vicky McIntyre
rebounds,534,1985, Drake (I),Wanda Ford
rebounds,533,2019, California (I),Kristine Anigwe
rebounds,527,2007, Southeast Mo. St. (I),Lachelle Lyles
rebounds,527,2018, Randolph-Macon (III),Kelly Williams
rebounds,526,2007, Oklahoma (I),Courtney Paris
rebounds,523,1995, Baruch (III),Sybil Smith
rebounds,522,2016, York (NY) (III),Jigcara Grant
rebounds,521,2009, Hillsdale (II),Katie Cezat
rebounds,519,2014, Oregon (I),Jillian Alleyne
rebounds,519,2017, Washington (I),Chantel Osahor
rebounds,507,1982, Hampton (II),Toni Goodman
rebounds,506,1986, Drake (I),Wanda Ford
rebounds,504,1983, Old Dominion (I),Anne Donovan
rebounds,503,2009, Oklahoma (I),Courtney Paris
rebounds,360,1980,UCLA,Denise Curry
assists,367,2011, Gonzaga (I),Courtney Vandersloot
assists,355,1987, Penn St. (I),Suzie McConnell
assists,338,1986, Penn St. (I),Suzie McConnell
assists,326,2016, West Liberty (II),Kailee Howe
assists,322,2015, Baylor (I),Niya Johnson
assists,321,1990, Pacific (I),Tine Freil
assists,321,2010, Gonzaga (I),Courtney Vandersloot
assists,321,2016, Baylor (I),Niya Johnson
assists,320,1992, La Salle (I),Mimi Harris
assists,319,1989, Alabama St. (I),Neacole Hall
assists,318,1988, Alabama St. (I),Neacole Hall
assists,316,1985, Loyola Chicago (I),Faith Mimnaugh
assists,315,1995, FIU (I),Andrea Nagy
assists,309,1992, Albany St. (GA) (II),Selina Bynum
assists,305,1993, Norfolk St. (II),Lisa Rice
assists,304,2017, Texas A&M (I),Curtyce Knox
assists,304,2018, Syracuse (I),iana Mangakahia
assists,303,1990, Rust (III),Tonja Sanders
assists,303,1998, Mount Union (III),Suzy Venet
assists,302,2003, West Liberty (II),Kelly West
assists,248,2017,UCLA,Jordin Canada
blocks,223,2010, Baylor (I),Brittney Griner
blocks,219,1996, St. Paul’s (II),LaKisha Phifer
blocks,206,2012, Baylor (I),Brittney Griner
blocks,205,1996, Marymount (VA) (III),Cori Carson
blocks,195,2010, St. Mary’s (CA) (I),Louella Tomlinson
blocks,194,1994, Pace (II),Rebecca Hanson
blocks,185,1997, Marymount (VA) (III),Cori Carson
blocks,175,2016, Stockton (III),Sasha Williams
blocks,173,2016, Denison (III),Jordan Holmes
blocks,170,2011, Baylor (I),Brittney Griner
blocks,168,1997, St. Paul's (II),LaKisha Phifer
blocks,167,1995, Ferrum (III),Tamiko Martin
blocks,164,2014, Denison (III),Jordan Holmes
blocks,164,2009, Morehead St. (I),Brittany Pittman
blocks,161,2005, Kennesaw St. (II),Lauren Harris
blocks,161,2009, St. Mary’s (CA) (I),Louella Tomlinson
blocks,160,2015, Oral Roberts (I),Vicky McIntyre
blocks,160,2017, Denison (III),Jordan Holmes
blocks,159,2001, West Liberty (II),Jaana Kotova
blocks,159,2002, Le Moyne (II),Stacy Schrader
blocks,66,2016,UCLA,Monique Billings
steals,193,2019, Lamar University (I),Chastadie Barrs
steals,192,1999, Charleston (WV) (II),Hayley Blue
steals,191,1995, Florida A&M (I),Natalie White
steals,191,2018, Lamar University (I),Chastadie Barrs
steals,190,2005, Central Ark. (II),Carone Harris
steals,188,2002, Central Ark. (II),Carone Harris
steals,182,1999, New York U. (III),Jehan Clark
steals,179,2003, Emmanuel (MA) (III),Evita Esteves
steals,178,1996, CCNY (III),Enma Rivera
steals,178,1997, Rowan (III),Jenn Denby
steals,175,1994, CCNY (III),Thais Palmer
steals,172,1994, Florida A&M (I),Natalie White
steals,171,1995, Rutgers-Newark (III),Crystal Robinson
steals,171,2003, Millersville (II),Gema Robles
steals,170,1995, Salve Regina (III),Jill St. Germain
steals,169,2003, Notre Dame (MD) (III),Amanda Poppleton
steals,168,1993, Lafayette (I),Heidi Caruso
steals,125,1977,UCLA,Ann Meyers
