degree_year,act_major_name,avg_gpa
2015-16,CHINESE,3.447436
2015-16,CIVIL ENGINEERING,3.274221
2015-16,CLASSICAL CIVILIZATION,3.176398
2015-16,COGNITIVE SCIENCE,3.461324
2015-16,COMMUNICATION STUDIES,3.601074
2015-16,COMPARATIVE LITERATURE,3.580999
2015-16,COMPUTER SCIENCE,3.332757
2015-16,COMPUTER SCIENCE & ENGINEERING,3.329657
2015-16,DANCE,3.615197
2015-16,DESIGN MEDIA ARTS,3.543263
2015-16,"ECOLOGY, BEHAVIOR & EVOLUTION",3.450211
2015-16,ECONOMICS,3.285812
2015-16,ELECTRICAL ENGINEERING,3.301199
2015-16,ENGLISH,3.389749
2015-16,ENVIRONMENTAL SCIENCE,3.310317
2015-16,ETHNOMUSICOLOGY,3.609473
2015-16,FILM & TELEVISION,3.661273
2015-16,FINANCIAL ACTUARIAL MATHEMATICS,3.397882
2015-16,FRENCH,3.406213
2015-16,GENDER STUDIES,3.281898
2015-16,GEOGRAPHY,3.172604
2015-16,GEOGRAPHY/ENVIRONMENTAL STUDIES,3.241665
2015-16,GEOLOGY,3.005363
2015-16,GLOBAL STUDIES,3.55124
2015-16,HISTORY,3.432958
2015-16,HUMAN BIOLOGY AND SOCIETY,3.624881
2015-16,INTERNATIONAL DEVELOPMENT STUDIES,3.306691
2015-16,JAPANESE,3.410157
2015-16,KOREAN,3.417927
2015-16,LATIN-AMERICAN STUDIES,3.467434
2015-16,LINGUISTICS,3.306212
2015-16,LINGUISTICS & ASIAN LANGUAGES & CULTURES,3.313481
2015-16,LINGUISTICS & COMPUTER SCIENCE,3.378866
2015-16,LINGUISTICS & PSYCHOLOGY,3.033847
2015-16,MATERIALS ENGINEERING,3.190244
2015-16,MATHEMATIC OF COMPUTATION,3.231127
2015-16,MATHEMATICS,3.326911
2015-16,MATHEMATICS - APPLIED SCIENCE,3.356411
2015-16,MATHEMATICS FOR TEACHING,3.089984
2015-16,MATHEMATICS/ECONOMICS,3.300723
2015-16,MECHANICAL ENGINEERING,3.353693
2015-16,MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS,3.417615
2015-16,MIDDLE EASTERN STUDIES,3.517001
2015-16,"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY",3.497764
2015-16,MUSIC,3.494451
2015-16,MUSICOLOGY,3.620858
2015-16,NEUROSCIENCE,3.417196
2015-16,NURSING - FOUR YEAR PROGRAM,3.414434
2015-16,PHILOSOPHY,3.251226
2015-16,PHYSICS,3.317583
2015-16,PHYSIOLOGICAL SCIENCE,3.533375
2015-16,POLITICAL SCIENCE,3.341355
2015-16,PSYCHOBIOLOGY,3.358599
2015-16,PSYCHOLOGY,3.36715
2015-16,RUSSIAN STUDIES,3.678859
2015-16,SOCIOLOGY,3.200901
2015-16,SPANISH,3.347199
2015-16,SPANISH AND COMMUNITY AND CULTURE,3.088564
2015-16,STATISTICS,3.317126
2015-16,THEATER,3.558904
2015-16,WORLD ARTS & CULTURE,3.591006
2016-17,AEROSPACE ENGINEERING,3.337137
2016-17,AFRICAN AMERICAN STUDIES,3.251252
2016-17,AMERICAN LITERATURE & CULTURE,3.384949
2016-17,ANTHROPOLOGY,3.20405
2016-17,APPLIED LINGUISTICS,3.034003
2016-17,APPLIED MATHEMATICS,3.371583
2016-17,ARCHITECTURAL STUDIES,3.657527
2016-17,ART,3.552753
2016-17,ART HISTORY,3.449849
2016-17,ASIAN AMERICAN STUDIES,3.260614
2016-17,ASIAN HUMANITIES,3.228461
2016-17,ASIAN STUDIES,3.011578
2016-17,ASTROPHYSICS,3.210148
2016-17,ATMOSPHERIC AND OCEANIC SCIENCES,3.274135
2016-17,BIOCHEMISTRY,3.331704
2016-17,BIOENGINEERING,3.457977
2016-17,BIOLOGY,3.28516
2016-17,BUSINESS ECONOMICS,3.656323
2016-17,CHEMICAL ENGINEERING,3.310638
2016-17,CHEMISTRY,3.210447
2016-17,CHEMISTRY - MATERIAL SCIENCE,3.153941
2016-17,CHICANA & CHICANO STUDIES,3.197775
2016-17,CHINESE,3.454825
2016-17,CIVIL ENGINEERING,3.303697
2016-17,CLASSICAL CIVILIZATION,3.48009
2016-17,COGNITIVE SCIENCE,3.419449
2016-17,COMMUNICATION STUDIES,3.648607
2016-17,COMPARATIVE LITERATURE,3.388559
2016-17,COMPUTER SCIENCE,3.331778
2016-17,COMPUTER SCIENCE & ENGINEERING,3.313802
2016-17,DANCE,3.545576
2016-17,DESIGN MEDIA ARTS,3.580188
2016-17,"ECOLOGY, BEHAVIOR & EVOLUTION",3.38723
2016-17,ECONOMICS,3.324512
2016-17,ELECTRICAL ENGINEERING,3.299873
2016-17,ENGLISH,3.446308
2016-17,ENVIRONMENTAL SCIENCE,3.33075
2016-17,ETHNOMUSICOLOGY,3.430075
2016-17,FILM & TELEVISION,3.724025
2016-17,FINANCIAL ACTUARIAL MATHEMATICS,3.396377
2016-17,FRENCH,3.596056
2016-17,GENDER STUDIES,3.32848
2016-17,GEOGRAPHY,3.122928
2016-17,GEOGRAPHY/ENVIRONMENTAL STUDIES,3.217437
2016-17,GEOLOGY,3.287437
2016-17,GLOBAL STUDIES,3.615996
2016-17,HISTORY,3.394006
2016-17,HUMAN BIOLOGY AND SOCIETY,3.587712
2016-17,INTERNATIONAL DEVELOPMENT STUDIES,3.401754
2016-17,JAPANESE,3.402571
2016-17,LATIN-AMERICAN STUDIES,3.041458
2016-17,LINGUISTICS,3.35234
2016-17,LINGUISTICS & ASIAN LANGUAGES & CULTURES,3.353669
2016-17,LINGUISTICS & COMPUTER SCIENCE,3.203063
2016-17,LINGUISTICS & PSYCHOLOGY,3.157359
2016-17,MARINE BIOLOGY,3.166955
2016-17,MATERIALS ENGINEERING,3.421937
2016-17,MATHEMATIC OF COMPUTATION,3.316687
2016-17,MATHEMATICS,3.436968
2016-17,MATHEMATICS FOR TEACHING,3.26052
2016-17,MATHEMATICS/ECONOMICS,3.404328
2016-17,MECHANICAL ENGINEERING,3.365884
2016-17,MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS,3.462516
2016-17,MIDDLE EASTERN STUDIES,3.503816
2016-17,"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY",3.572485
2016-17,MUSIC,3.519025
2016-17,MUSICOLOGY,3.487477
2016-17,NEUROSCIENCE,3.442593
2016-17,NURSING - FOUR YEAR PROGRAM,3.49822
2016-17,PHILOSOPHY,3.35116
2016-17,PHYSICS,3.258381
2016-17,PHYSIOLOGICAL SCIENCE,3.541621
2016-17,POLITICAL SCIENCE,3.341719
2016-17,PSYCHOBIOLOGY,3.421835
2016-17,PSYCHOLOGY,3.403841
2016-17,SOCIOLOGY,3.211724
2016-17,SPANISH,3.351372
2016-17,SPANISH AND COMMUNITY AND CULTURE,3.45324
2016-17,STATISTICS,3.364823
2016-17,THEATER,3.422938
2016-17,WORLD ARTS & CULTURE,3.452722
2017-18,AEROSPACE ENGINEERING,3.331748
2017-18,AFRICAN AMERICAN STUDIES,3.225619
2017-18,AMERICAN LITERATURE & CULTURE,3.385059
2017-18,ANTHROPOLOGY,3.267906
2017-18,APPLIED LINGUISTICS,3.259568
2017-18,APPLIED MATHEMATICS,3.324988
2017-18,ARABIC,3.53748
2017-18,ARCHITECTURAL STUDIES,3.612138
2017-18,ART,3.620234
2017-18,ART HISTORY,3.361518
2017-18,ASIAN AMERICAN STUDIES,3.199459
2017-18,ASIAN HUMANITIES,3.233963
2017-18,ASIAN STUDIES,3.072192
2017-18,ASTROPHYSICS,3.178189
2017-18,BIOCHEMISTRY,3.404887
2017-18,BIOENGINEERING,3.51709
2017-18,BIOLOGY,3.337563
2017-18,BIOPHYSICS,3.089037
2017-18,BUSINESS ECONOMICS,3.675504
2017-18,CHEMICAL ENGINEERING,3.424537
2017-18,CHEMISTRY,3.329322
2017-18,CHEMISTRY - MATERIAL SCIENCE,3.309927
2017-18,CHICANA & CHICANO STUDIES,3.217754
2017-18,CHINESE,3.38416
2017-18,CIVIL ENGINEERING,3.365381
2017-18,CLASSICAL CIVILIZATION,3.415964
2017-18,COGNITIVE SCIENCE,3.419366
2017-18,COMMUNICATION STUDIES,3.646424
2017-18,COMPARATIVE LITERATURE,3.34715
2017-18,COMPUTER SCIENCE,3.360154
2017-18,COMPUTER SCIENCE & ENGINEERING,3.34739
2017-18,DANCE,3.530143
2017-18,DESIGN MEDIA ARTS,3.532074
2017-18,"ECOLOGY, BEHAVIOR & EVOLUTION",3.622679
2017-18,ECONOMICS,3.361667
2017-18,ELECTRICAL ENGINEERING,3.306724
2017-18,ENGLISH,3.480121
2017-18,ENVIRONMENTAL SCIENCE,3.369367
2017-18,ETHNOMUSICOLOGY,3.539049
2017-18,FILM & TELEVISION,3.627337
2017-18,FINANCIAL ACTUARIAL MATHEMATICS,3.424929
2017-18,FRENCH,3.518531
2017-18,GENDER STUDIES,3.369917
2017-18,GEOGRAPHY,3.172482
2017-18,GEOGRAPHY/ENVIRONMENTAL STUDIES,3.412914
2017-18,GEOLOGY,3.172392
2017-18,GLOBAL STUDIES,3.572097
2017-18,HISTORY,3.437324
2017-18,HUMAN BIOLOGY AND SOCIETY,3.710039
2017-18,INTERNATIONAL DEVELOPMENT STUDIES,3.431888
2017-18,JAPANESE,3.278627
2017-18,LINGUISTICS,3.366982
2017-18,LINGUISTICS & ASIAN LANGUAGES & CULTURES,3.638293
2017-18,LINGUISTICS & COMPUTER SCIENCE,3.152355
2017-18,LINGUISTICS & PSYCHOLOGY,3.247207
2017-18,MATERIALS ENGINEERING,3.342644
2017-18,MATHEMATIC OF COMPUTATION,3.255164
2017-18,MATHEMATICS,3.385145
2017-18,MATHEMATICS/ECONOMICS,3.27554
2017-18,MECHANICAL ENGINEERING,3.303858
2017-18,MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS,3.487914
2017-18,MIDDLE EASTERN STUDIES,3.68538
2017-18,"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY",3.444133
2017-18,MUSIC,3.527803
2017-18,MUSICOLOGY,3.35706
2017-18,NEUROSCIENCE,3.490806
2017-18,NURSING - FOUR YEAR PROGRAM,3.51825
2017-18,PHILOSOPHY,3.356342
2017-18,PHYSICS,3.332549
2017-18,PHYSIOLOGICAL SCIENCE,3.555939
2017-18,POLITICAL SCIENCE,3.389363
2017-18,PSYCHOBIOLOGY,3.455372
2017-18,PSYCHOLOGY,3.397624
2017-18,SOCIOLOGY,3.222096
2017-18,SPANISH,3.495344
2017-18,SPANISH AND COMMUNITY AND CULTURE,3.267479
2017-18,STATISTICS,3.415434
2017-18,THEATER,3.495017
2017-18,WORLD ARTS & CULTURE,3.633327
