day_of_week,hour,n_people,n_people_rel,category,facility
1.0,12,118.0,0.8077611480409082,4.0,wooden
1.0,13,119.0,0.8183988192491541,4.0,wooden
1.0,14,150.0,1.027942966179365,4.0,wooden
1.0,15,174.0,1.1950520638535953,4.0,wooden
1.0,16,202.0,1.3850744474660817,4.0,wooden
1.0,17,204.0,1.3947437151134894,4.0,wooden
1.0,18,189.0,1.2980550832205935,4.0,wooden
1.0,19,184.0,1.2637690696110355,4.0,wooden
1.0,20,147.0,1.00926299624952,4.0,wooden
1.0,21,119.0,0.8168998001712817,4.0,wooden
1.0,22,81.0,0.5547801764154133,3.0,wooden
1.0,23,32.0,0.2202748048842232,2.0,wooden
5.0,0,12.0,0.0803467158020398,1.0,wooden
5.0,1,0.0,0.0,0.0,wooden
5.0,2,1.0,0.0068512703397088206,1.0,wooden
5.0,3,0.0,0.0,0.0,wooden
5.0,4,29.0,0.19697402226662858,1.0,wooden
5.0,5,40.0,0.27389510289881397,2.0,wooden
5.0,6,46.0,0.3182726494173825,2.0,wooden
5.0,7,61.0,0.4150120565351279,3.0,wooden
5.0,8,61.0,0.4189478926877266,3.0,wooden
5.0,9,73.0,0.49985119138003287,3.0,wooden
5.0,10,98.0,0.6688925020789633,4.0,wooden
5.0,11,103.0,0.7074681329047151,4.0,wooden
5.0,12,118.0,0.8055344658985307,4.0,wooden
5.0,13,138.0,0.9464312980900091,4.0,wooden
5.0,14,141.0,0.9646277216930941,4.0,wooden
5.0,15,166.0,1.1374631268436577,4.0,wooden
5.0,16,167.0,1.142970621454902,4.0,wooden
5.0,17,161.0,1.104729279665049,4.0,wooden
5.0,18,128.0,0.876962603482729,4.0,wooden
5.0,19,106.0,0.7234941478732514,4.0,wooden
5.0,20,81.0,0.5544803961136759,3.0,wooden
5.0,21,44.0,0.3025376744745105,2.0,wooden
5.0,22,2.0,0.010276905509563231,1.0,wooden
5.0,23,2.0,0.010962032543534114,1.0,wooden
6.0,0,1.0,0.0068512703397088206,1.0,wooden
6.0,1,2.0,0.010276905509563231,1.0,wooden
6.0,2,0.0,0.0,0.0,wooden
6.0,3,0.0,0.0,0.0,wooden
6.0,4,1.0,0.0068512703397088206,1.0,wooden
6.0,5,2.0,0.013702540679417641,1.0,wooden
6.0,6,7.0,0.04967170996288895,1.0,wooden
6.0,7,43.0,0.2962166882168225,2.0,wooden
6.0,8,65.0,0.4473733760120504,3.0,wooden
6.0,9,77.0,0.5269647293201571,3.0,wooden
6.0,10,86.0,0.5893581898745175,3.0,wooden
6.0,11,91.0,0.6236083357122466,4.0,wooden
6.0,12,85.0,0.5793605481016272,3.0,wooden
6.0,13,92.0,0.6271767056808449,4.0,wooden
6.0,14,98.0,0.6704040913259759,4.0,wooden
6.0,15,108.0,0.7429160098797304,4.0,wooden
6.0,16,93.0,0.6367308264648538,4.0,wooden
6.0,17,97.0,0.662517841849843,4.0,wooden
6.0,18,95.0,0.652739210546804,4.0,wooden
6.0,19,36.0,0.24379103625463888,2.0,wooden
6.0,20,3.0,0.017356551527262346,1.0,wooden
6.0,21,2.0,0.013702540679417641,1.0,wooden
6.0,22,2.0,0.012180036159482347,1.0,wooden
6.0,23,1.0,0.009591778475592349,1.0,wooden
7.0,0,2.0,0.010276905509563231,1.0,wooden
7.0,1,0.0,0.0,0.0,wooden
7.0,2,0.0,0.0,0.0,wooden
7.0,3,0.0,0.0,0.0,wooden
7.0,4,0.0,0.0,0.0,wooden
7.0,5,2.0,0.010276905509563231,1.0,wooden
7.0,6,3.0,0.019697402226662858,1.0,wooden
7.0,7,31.0,0.21372157198591682,2.0,wooden
7.0,8,59.0,0.40392706872370265,3.0,wooden
7.0,9,68.0,0.46267048069584665,3.0,wooden
7.0,10,70.0,0.47787610619469023,3.0,wooden
7.0,11,71.0,0.4840137025406794,3.0,wooden
7.0,12,76.0,0.524049295133047,3.0,wooden
7.0,13,78.0,0.5330871411130884,3.0,wooden
7.0,14,86.0,0.5911042814365801,3.0,wooden
7.0,15,98.0,0.674220930164815,4.0,wooden
7.0,16,78.0,0.5318822933112725,3.0,wooden
7.0,17,88.0,0.6063374250642306,4.0,wooden
7.0,18,91.0,0.6265798147042794,4.0,wooden
7.0,19,74.0,0.5096136085036355,3.0,wooden
7.0,20,73.0,0.5003789855001132,3.0,wooden
7.0,21,51.0,0.3513331430202683,2.0,wooden
7.0,22,16.0,0.1084112777283337,1.0,wooden
7.0,23,2.0,0.010276905509563231,1.0,wooden
